(UNDER BREATH) |c1|You're asking for it, dude.|c|	（小聲） |c1|你這是自找罵挨，臭小子。|c|
Oh, it ain't ME, Stranger. It's m'boss, the one who already owns half the property in town and wants the rest of it.	喔，才不是俺想的呢，陌生人。是俺老闆，他已經擁有鎮上一半的地產，現在想要剩下的那一半。
But why? Why would anyone want a broken-down piece of underdeveloped property like Coarsegold?	可是為什麼？誰會想要粗金鎮這種破破爛爛、又沒開發的地方？
Ah'm afeared that ain't none of yer business, pard.	恐怕這不干你的事，朋友。
Well? Are you going to stop those rowdy cowhands?	那，你打算阻止那些鬧事的牛仔嗎？
Hell no, bwoy! Ah'm gonna let 'em do their business, then ah'm gonna collect m'cut and git outta this town! And ah'd advise YEW to do the same!	才不咧，小子！俺要讓他們把事情辦完，然後俺拿了自己那一份就閃人！俺勸你也照做！
Hey hey hey, bwoy! Don't be tichin' me. We's a pretty macho bunch in this town... iff'n yew don't know thet by now, yew better lern pretty quick! Leastways, not with the window open!	嘿嘿嘿，小子！別碰俺。俺們這鎮上的人可個個都很男子氣概……你要是還不知道，最好快點搞懂！至少也別把窗戶開著做這種事！
Yew tryin' to peddle yer potions door-to-door, Phartkis?	你這是想挨家挨戶兜售你那些藥水嗎，法特凱斯？
No, no, this is Dad Gumm's Elixir. I found it on his wagon; I don't even carry the stuff.	不不，這是老岡姆的萬靈藥。我在他的貨車上找到的，我根本沒在賣這東西。
Welp, that's fine, bwoy, yew jus' hang onto it. Wouldn't want one of children gettin' ahold of it, would we?	呃，那就好，小子，你自己收好吧。俺們可不希望哪個小孩拿到手，對吧？
Why, that's ol' Doc Gillespie's whisky glass! I'd rekanize that anywheres! Whut you doin' with it, Pharmakas?	咦，那是老吉勒斯比大夫的威士忌杯！俺到哪都認得出來！你拿著它幹嘛，法瑪卡斯？
I'm saving him from himself.	我是要救他脫離自己的壞習慣。
Thet's the stoopidest thang I ever heard. Cain't save someone frum themSELF. How could yew git away?	這是俺聽過最蠢的話了。人怎麼可能救自己脫離自己呢。你這套說詞怎麼混得過去？
That's a fine bit o' detective work, bwoy! Yew get sum big-time points fer that one?	這下你偵探工作做得不錯嘛，小子！這件事有讓你拿到不少大分數吧？
Sure did!	那當然！
Well, thet's fine, jes' fine. Now skedaddle on back to yer Pharmacy there, Pharsky, an' I'll be over in a li'l while.	好啊，那就好，那就好。現在快滾回你的藥局吧，法斯基，俺待會就過去。
I cain't read thet, Pharphetcht. Yew know ain't nobody 'round here kin read that ol' drunk's chicken scratchin'. And say, that reminds me. Ah'm gonna be stopping 'round at the Pharmacy a little later. Hope yew don't mind. Thet's fine, bwoy, jus' fine. Ah'll be seeing you later, then.	俺看不懂這個，法菲切特。你知道這鎮上沒人看得懂那個醉鬼的鬼畫符。對了，這倒提醒俺了。俺待會會去藥局那邊晃晃，希望你別介意。那就好，小子，那就好。待會見啦。
Need anything for your piles, Sheriff?	需要點什麼治痔瘡的藥嗎，警長？
If I WANTED sumpin' fer m'piles, I'da come inna yer store and AST ya fer sumpin'! Which reminds me, ah'll be payin' yew a visit shortly. Yew best be in when I gets there.	俺要是想治痔瘡，自然會進你店裡開口跟你要！這倒提醒俺了，俺待會會去拜訪你，你最好乖乖在店裡等著。
Certainly, Sheriff. Anything to help.	當然，警長。樂意效勞。
That's whut yew say now! HAW HAW HAW!	你現在是這麼說的！哈哈哈！
Ah don't drink beer on duty, bwoy!	俺執勤時不喝啤酒的，小子！
It's nothing but water. I took it from the water tower.	這只是水而已。我從水塔裡打來的。
Then ah SURELY doesn't wanna drink it.	那俺可就更不想喝了。
Why, Sheriff? Do you know if there's something WRONG with the water? Could somebody have done something TO it? Something YOU know all about?	怎麼了，警長？你是不是知道水有什麼問題？是不是有人對水動了什麼手腳？一件你一清二楚的事？
Quit yellin' at me, bwoy! I don't know whut yer squawkin' about! Git outta mah face! G'wan witcha! Scat!	別對俺大呼小叫的，小子！俺不知道你在鬼扯什麼！從俺眼前滾開！走開！滾！
Hmmm. He seems just a slight bit defensive.	嗯……他看起來還真有點心虛的樣子。
Shoot, bwoy, I wouldn't give yew a plugged nickel. Yew kin jus' go beggin' elsewheres.	呿，小子，俺一毛都不會給你。你要討飯就去別的地方吧。
HEY HEY HEY! Tryin' to stab a Sheriff is grounds fer inkarserayshun!	嘿嘿嘿！敢拿刀捅警長，足夠讓你去蹲苦牢了！
I was merely showing it to you.	我只是拿給你看看而已。
Well, criminey, bwoy, ah've seen ice picks before! Now vamoose, before I change muh mind and toss you in the hoosegow fer attemptin' to aerate an officer of the law!	唉呦，小子，俺又不是沒見過冰錐！現在快滾，免得俺改變主意，把你扔進大牢，罪名是企圖在執法人員身上「通風」！
Walll, lookee whut yew got. Charcoal. Yew plannin' on makin' a homemade bomb, mebbe? Gonna blow up the Ol' Abandoned Mine or sumpin'? Fella kin get inna lotta trouble, messin' around with dynamite. Take yer hand right off.	哦，瞧瞧你拿了什麼。木炭啊。你該不會想自製炸彈吧？打算把那座廢棄舊礦坑炸了還是怎樣？小子亂搞炸藥可是會惹上大麻煩的。手還會被炸飛咧。
Here's some advice fer ya, friend-to-friend, guy. Don't go tryin' to make no dynamite. Find a peaceful use fer that charcoal. You'll breathe easier. 'Nuff said!	俺這是朋友對朋友給你個建議，老兄。別想著要做炸藥。找個和平點的用途給那塊木炭吧。你會活得輕鬆點。就這樣，別多說了！
HAW HAW HYUK! If that ain't the PUNIEST lookin' whip I ever did see!	哈哈哈！那真是俺看過最遜的鞭子了！
