You test the leather strap. Wow, it IS durable!	你測試了一下皮帶。哇，還真耐用！
Your old pistols, looking somewhat tarnished after so many years in storage, are probably still quite serviceable.	你的老手槍收了這麼多年，看起來有點鏽蝕，但應該還能用。
Your old pistols, now cleaned and restored to their original working condition, bring back a flood of emotions, with memories of yesteryear!	老手槍如今擦得乾乾淨淨、恢復原本堪用的狀態，勾起你滿滿的往日回憶！
Your pistols are clean and loaded for bear! Now you're cookin'!	你的手槍擦得乾淨，子彈也上滿了！這下有搞頭了！
Your old pistols are fully loaded with the Sheriff Chickenshift's surplus ammo.	你的老手槍已經裝滿了席夫特警長留下的剩餘彈藥。
You riffle through the stack of spicy French Postcards, but they just won't animate smoothly.	你快速翻著那疊養眼法國明信片，但畫面就是動不流暢。
Ooh-la-la and Va-va-voom! No, that's not an exclamation! That's the names of the two ladies prominently featured on Madame's spicy French postcards. (Or, rather, they're the two ladies with the prominent features on Madame's spicy French postcards!)	「喔啦啦」和「哇哇轟」！不，這可不是感嘆詞！這是歐薇莉夫人那疊養眼法國明信片上，兩位「重點突出」女郎的名字。（或者說，她們就是那兩位「重點」特別突出的女郎！）
You press down on the tube, and it crumples ever so slightly. (What WILL modern technology think of next??)	你按了按軟管，它稍微皺了一下。（現代科技還能想出什麼花招啊？？）
The tube of Preparation G, the latest anti-hemorrhoidal unguent from the folks at Parke-Loomis, is labeled, "Top Tush Treatments -- since 1848!"	這支「G痔膏」，是帕克盧米斯家族最新推出的抗痔瘡軟膏，管身標著：「頂級屁股療方——自1848年起！」
You turn the prescription over, looking for a locker combination or something, but there's nothing written on the other side.	你把處方箋翻過來，想找置物櫃密碼之類的東西，但背面什麼都沒寫。
Penelope Primm, 4 mls Tyloxpolynide orally 2x/5 days.	潘妮洛普，泰洛西聚醯胺4毫升，口服，每5天2次。
Why, the poor dear! She must be suffering from the vapors, those injurious exhalations produced within the body, creating feelings of hypochondria and depression. (Her prescription is in Doc's usual scrawl, and smells of whisky, so you know it's authentic!)	哎呀，可憐的姑娘！她一定是得了「氣鬱症」，就是體內產生的那種有害氣息，會讓人疑神疑鬼、意志消沉。（她的處方箋是大夫一貫的鬼畫符筆跡，還帶著威士忌味，一看就知道是真貨！）
You hold the prescription up to the light to see if you can see any secret messages, but nothing is visible.	你把處方箋舉起來對著光，看看有沒有藏著什麼密文，但什麼也看不出來。
Helen Back's prescription is barely legible due to all the whisky spots, but you eventually decipher it...	海倫·貝克的處方箋被威士忌漬弄得幾乎認不出來，但你最後還是解讀出來了……
Helen Back, Quinotrazate tabs, 3x/7 days.	海倫·貝克，奎諾崔唑錠，每7天3次。
You try reading it backwards, but it's still a whisky-sodden, poorly-written prescription. Dang that Doc Gillespie anyway!	你試著反著讀，但這依然是張被威士忌泡爛、字跡潦草的處方箋。真是的，都怪大夫吉勒斯比！
This prescription is impossible to read. That's what happens when Doc writes a prescription through bleary, whisky-soaked eyeballs!	這張處方箋根本看不懂。這就是大夫用泡了威士忌、朦朧不清的眼睛開處方的下場！
You shake the solution up a bit, just to make sure it stays well-mixed.	你把藥水搖了搖，確保成分混合均勻。
This should do the trick! You decide to name it "Pharkas's Patented Anti-Poopulent." (Now if you could only find a way to insure everybody in town gets a dose.)	這應該管用！你決定把它取名叫「法卡斯特效止臭配方」。（現在只差想辦法讓全鎮的人都吃到一劑了。）
With a few quick movements, you make an authentic Western lasso out of the rope. It's like falling off a log... once you learn how, you never forget!	三兩下，你就用這條繩子搓出一條道地的西部套索。簡單得就像探囊取物……一旦學會了，這輩子都忘不掉！
This hank of rope is plenty sturdy. (Give yourself enough of it, and you'll hang yourself.)	這捆繩子相當堅韌。（繩子夠長，就能上吊了。）
You carefully feel the edge of your silver ear. It's a little ragged, but sharp as the dickens!	你小心摸了摸銀耳朵的邊緣。有點粗糙，但鋒利得要命！
You've honed your silver ear to a deadly razor sharpness.	你已經把銀耳朵磨得像剃刀一樣致命鋒利。
You scrape some of the dirt off the shovel, but it's still hopelessly dirty.	你刮掉了鏟子上一些泥土，但它還是髒得沒救。
This shovel was left at ReBoot Hill for the convenience of the gravediggers.	這把鏟子留在「重開機墓園」，方便掘墓人使用的。
You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!	你仔細端詳這隻銀耳朵。做工精細，耳窩正好貼合你的軟骨耳根，邊緣毫無粗糙感。做得漂亮，尤其這還是你第一次嘗試脫蠟鑄造這門奇妙技藝！
It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!	這就是你即將名震天下的銀耳朵，代表著真理、正義與藥學之道的象徵！
You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)	你戳了戳蝸牛，牠們立刻縮回殼裡。（有點像你洗冷水澡的感覺！）
If you only had a few snails mushroom caps to go with these.	要是能找幾朵蘑菇頭配這些蝸牛就好了。
You pour a small amount of beer on the snails. They quickly begin to weave around uncertainly, as if... as if they were DRUNK! How bizarre!	你倒了點啤酒在蝸牛身上。牠們立刻搖搖晃晃地爬來爬去，簡直像……簡直像喝醉了一樣！太詭異了！
You run your hand up the length of the blade. Criminy! This baby's SHARP! (You compose a short mental note of complaint to the Franklin Mint.)	你的手沿著刀刃摸了上去。老天！這傢伙真利！（你在心裡草擬了一封簡短的抗議信，準備寄給富蘭克林鑄幣廠。）
It appears to be a Confederate sword. You wonder if it's sharp?	這看起來像是一把南方邦聯軍刀。你在想它利不利？
You drop the charcoal into tin can. Now we're gettin' somewhere!	你把木炭丟進鐵罐裡。這下總算有點眉目了！
You poke around inside the can for a few leftover beans, but no dice. (And no beans, either!)	你在罐子裡摸來摸去，想找幾顆剩下的豆子，但沒撈到。（豆子也一顆都沒有！）
You gently stir the coal, and a little of it sifts through the holes in the can. (Look, Ma! Black snow!)	你輕輕攪動煤炭，有一點從罐子的洞裡漏了出來。（老媽你看！黑雪耶！）
You stir the can full of charcoal with your finger. Whee!	你用手指攪了攪裝滿木炭的罐子。哇呼！
You feel the jagged edges inside the can where the ice pick has poked through the steel. You feel the leather of the strap where it passes through the holes in the side of the can. (And you feel mighty silly standing here feeling a can!)	你摸了摸罐子內側被冰錐戳穿鐵皮留下的鋸齒狀邊緣。你也摸了摸皮帶穿過罐子側邊洞口的部分。（站在這裡摸一個罐子，你覺得自己蠢斃了！）
Yep, it feels like those holes go right straight through that can!	沒錯，摸起來這些洞真的是直接穿透這個罐子！
With all the precision of a serial killer, you deftly poke some holes in the tin can with the ice pick. Hah!	你以連環殺手般的精準手法，俐落地用冰錐在鐵罐上戳出幾個洞。哈！
Having accomplished your immediate desire, and in the process hopelessly dulling the ice pick, you exhibit absolutely no regard for this barren piece of locality laughingly called the "environment" by brazenly tossing the ice pick away. You're such a "consumer!"	達成眼前的目的後，冰錐也順帶徹底鈍掉了，你完全不顧這片被戲稱為「環境」的荒地，大剌剌地把冰錐隨手一丟。你還真是個「消費者」！
You slip the leather strap through the holes in the tin can. They fit perfectly. Congrats! You've always wanted a tin feed bag!	你把皮帶穿過鐵罐上的洞。完全合身。恭喜！你一直夢寐以求的鐵皮飼料袋終於到手了！
The leather strap just won't fit through the holes in the tin can... because there ARE no holes in the tin can!	皮帶就是穿不過鐵罐上的洞……因為這個鐵罐根本沒有洞！
It's an empty can of beans. Why would Mom keep an empty can of beans on her shelf? Well, Mom's memory ain't what she used to be.	這是個空豆子罐頭。老媽為什麼要在架上放個空罐頭呢？唉，老媽的記性大不如前了。
The hole-ridden tin can is now chock full of charcoal.	這個滿是洞的鐵罐現在裝滿了木炭。
This tin can is full'a charcoal.	這個鐵罐裝滿了木炭。
The tin can, riddled with holes from your trusty ice pick, has a leather strap threaded through two of the holes.	這個被你那把冰錐戳滿洞的鐵罐，有條皮帶穿過其中兩個洞。
You've poked major holes in the tin can!	你在鐵罐上戳出了好大幾個洞！
Careful, you'll get your finger stuck in one of the bottles.	小心點，你的手指會卡進瓶子裡的。
Oops.	糟了。
See! Now pull it out. Gently... carefully...	你看吧！現在把它拔出來。輕輕地……小心地……
Ooof!	唔喔！
There. Now you're free again. Now don't do that again, okay?	好了。你又自由了。別再這樣做了，好嗎？
You've taken one of the empty beer bottles and filled it with water from the water tower. The other bottles are all empty.	你拿了一個空啤酒瓶，裝滿了水塔裡的水。其他瓶子都還是空的。
You're too precariously balanced to juggle paper and glass. Get on solid ground first!	你現在站得搖搖欲墜，沒辦法同時耍紙又耍玻璃。先站到穩固的地方再說！
Finally you see the prescription as Doc Gillespie must've seen it when he wrote it: through the bottom of a whisky glass!	你終於看清了這張處方箋，就像大夫吉勒斯比開處方時看到的樣子：透過威士忌杯底看出去的模樣！
You carefully pack the clay in and around the wax ear, leaving a small opening so that you can pour out the molten wax later.	你小心地把黏土包在蠟耳朵四周，留下一個小開口，方便之後把融化的蠟倒出來。
You try to attach the wax ear to the small knot of cartilage on the side of your head, but the wax is too slippery to stay on. Apparently you'll need to do something more to the wax ear to build yourself an acceptable prosthesis.	你想把蠟耳朵黏到頭側那塊軟骨小結上，但蠟太滑黏不住。看來你還得對這隻蠟耳朵做點什麼，才能做出一隻堪用的義耳。
This handsomely-carved wax ear looks very much like one that bastard Kenny the Kid shot off so many years ago!	這隻雕工精美的蠟耳朵，看起來很像多年前被那混蛋小鬼肯尼一槍轟掉的那隻！
You stir the few remaining drops of whisky around, then lick off your finger. Mmm! Single-malt!	你攪了攪杯底剩下的幾滴威士忌，然後舔了舔手指。嗯！單一麥芽的！
Poor Doc! What's he gonna do without his whiskey glass?	可憐的大夫！沒了威士忌杯，他該怎麼辦？
Scraping off the clay now would destroy the mold!	現在把黏土刮掉會毀掉整個模具的！
This clay mold still contains your original wax "positive" of your ear.	這個黏土模具裡還留著你原本那隻耳朵的蠟「正模」。
This door is locked.	這扇門鎖住了。
You don't hear anything.	你什麼也沒聽到。
This door won't open this way.	這扇門這樣打不開。
This door is already open and there's really no need for you to lock it.	這扇門已經開著了，你實在沒必要把它鎖起來。
Whew-ee! You can't. The aroma is simply too overpowering. You don't dare touch the horse without some way to protect yourself from the stench.	唷呵！你辦不到。那股味道實在太嗆了。沒有東西保護自己不受臭味侵襲，你可不敢碰這匹馬。
Somebody's poor horse seems to be dispelling huge quantities of a noxious methane compound.	不知是誰家可憐的馬，正在排放大量刺鼻的甲烷氣體。
The horse's tail is fluttering in the breeze! (And what a breeze that is!)	馬尾巴在風中飄啊飄！（那可真是一陣「好風」！）
Hey, you're a purty li'l paint, aren't ya? Yes, you are! Yes, you are! What a little cutie! I like you, horsie! I sure do! Can I take you home with me? CAN I take you home with me? You'd like that, wouldn't you? Yes, you would! Yes, you would!	嘿，你這匹小花馬真漂亮，是不是啊？沒錯，就是你！就是你！你這小可愛！我喜歡你，小馬兒！真的很喜歡！我可以帶你回家嗎？可以帶你回家嗎？你會喜歡的，對吧？沒錯，你會喜歡的！你會喜歡的！
(You need to get out more often, Freddy.)	（佛萊迪，你真的該多出門走走了。）
Nice horsey! (You'd BETTER be nice to this horsey. It has the power to cloud men's minds!)	乖馬兒！（你最好對這匹馬客氣點，牠可是有蠱惑人心的能耐！）
You must be thinking of Dad Gumm's Magic Suppositories! Unfortunately, Dad stopped manufacturing those years ago when they were found to be explosive under pressure!	你該不會是在想「甘老爹神奇栓劑」吧！可惜的是，甘老爹多年前就已經停產了，因為那玩意兒被發現在受壓時會爆炸！
You don't have nearly enough keys to plug up |c2|all|c| the horses in town!	你手邊的鑰匙根本不夠塞住鎮上|c2|所有|c|的馬！
Yes, if you wanted, you could capture the "effluvium" in the tin can, but since the tin can doesn't have a top, the effluvium wouldn't stay in there.	沒錯，如果你想，是可以用鐵罐把那股「臭氣」收集起來，可惜鐵罐沒有蓋子，臭氣根本留不住。
You really think that giving the horses hemorrhoids will make them stop farting?	你真的以為讓馬得痔瘡就能讓牠們不放屁嗎？
That charcoal might stay in there for a minute or two, but then |c0|BANG!|c| There goes windows all up and down Main Street!	那塊木炭或許能撐個一兩分鐘，但接下來|c0|轟！|c|大街兩旁的窗戶就全都保不住了！
Yeah, spank 'em, that'll keep the horses from farting. Bet it really starts 'em kicking!	對啦，打牠們屁股，這樣就能讓馬不放屁了。我賭牠們會踢得更起勁！
You'd need a lot of gas masks, but you're on the right track.	你會需要一大堆防毒面具，不過方向是對的。
You carefully pour the Deflatulizer into the horse's water trough. The horses greedily lap up the dee-lish- and nu-trish- medicated trough water.	你小心地把「消脹劑」倒進馬的水槽裡。馬兒們貪婪地舔著那槽既美味又營養的藥水。
Seein' as how his home-brewed "Patootie Sealant" done the trick on these horses, Freddy ran 'round and dumped the stuff into all the horse troughs in town. It warn't long 'afore the folks o' Coarsegold wuz all breathin' a sigh of relief!	眼看自家土法煉製的「屁股密封劑」對這些馬管用，佛萊迪就跑遍全鎮，把這玩意兒倒進所有的馬水槽裡。沒過多久，粗金鎮的鄉親父老就都鬆了一口氣！
Freddy tossed away his homemade gas mask, kind of a shame too, since he could'a made a purty penny off'n the patent rights. Life returned to normal, fur a short spell anyhooch, until one lazy day when one o' the local inbreeds come a'runnin' up wif the latest calamity...	佛萊迪把自製的防毒面具扔了，說起來也挺可惜的，畢竟光靠專利權他大可撈上一筆。日子恢復了平靜，至少太平了一陣子，直到某個懶洋洋的日子，鎮上某個腦筋不太靈光的傢伙又跑來通報最新的災難……
Unlike most headwaiters, this horse's ass doesn't accept tips!	這匹馬的屁股跟大多數的領班可不一樣，牠可不收小費！
You briefly consider pouring beer into the horse's nether regions, but you quickly realize it would only worsen the horse's flatulence... and you'd have a hell of a time recycling that bottle!	你一度考慮把啤酒倒進馬的「下半身部位」，但很快意識到這只會讓牠更容易脹氣……而且那個瓶子你也很難再回收利用了！
If you did that, you'd have to shoot it afterwards. (The Church Key, not the horse.)	你要是這麼做，之後就得把它斃了。（是指開瓶器，不是馬。）
You are truly a sick and cruel person. (Oh, you just wanted to climb on board? Oops!)	你真是個既變態又殘忍的人。（喔，你只是想爬上去騎？抱歉搞錯了！）
The horse would undoubtedly appreciate the "seven knots to heaven" trick, but you've got better uses for that rope in mind!	這匹馬肯定會很享受「七劫升天結」這一招，不過你這條繩子還有更好的用途！
That might make sense if you were trying to remove their intestinal polyps, but that's not their problem.	如果你是想幫牠們摘除腸內息肉，這麼做或許還說得通，可惜牠們的問題不是這個。
The sheer force of the wind would break the wax seal instantly. (But you get an "A" for creativity.)	那股風力大到會瞬間吹破蠟封。（不過創意這塊，算你拿了「甲」！）
You could try that, but then you might have to go looking for it again, and wouldn't that be just TOO disgusting.	你是可以試試看，但之後你可能還得回頭去找它，那也未免太噁心了吧。
They're not rags, you know, they're your old official Cowboy duds!	這可不是破布，這是你當年正牌牛仔裝的行頭耶！
You're gonna |c0|need|c| that claim check sooner or later, and if you stick it in there, you're not gonna want it anymore.	你遲早會|c0|需要|c|那張提領單，要是把它塞進那裡，你以後可就不會想再要它了。
You've got better (and more polite) uses in mind for those boots!	那雙靴子你另有更好（也更得體）的用途！
That's one interesting place to store the letter.	把信藏在那裡，還真是個有趣的地方。
(SCOTTY LIKE) She can't take any more, Cap'n! I'm afraid she's gonna BLOW!	（模仿史考特的語氣）她撐不住了，艦長！我怕她要爆炸了！
In what may well be the most revolting idea you've ever had, you hold the brown paper sack up to the horse's anal sphincter and wait. With a reverberating "bbbrrraaatt," the horse reponds, inflating your bag a foul sample of "gas." You quickly twist the bag shut to lock in freshness.	你想出了這輩子大概最噁心的點子：把牛皮紙袋湊到馬的肛門口等著。伴隨一聲響亮的「噗噗噗——」，馬兒配合演出，把你的袋子吹得鼓鼓的，裝滿一袋難聞的「氣體」樣本。你趕緊把袋口扭緊，把新鮮度鎖住。
A really terrifically disgusting idea! Unfortunately, the horse's tail momentarily blocks your access.	真是個超級噁心的點子！可惜馬尾巴一時擋住了你的去路。
Someone's horse (at least, you HOPE it was a horse) has decorated the street with a steamin' hot, fly-attracting "pie."	不知是誰家的馬（至少你希望是馬），在街上留下了一坨熱騰騰、招蒼蠅的「大餅」。
You gingerly pick up the steaming pile and place it in your (ecccch!) pocket. (You make a mental note to burn these clothes when you're done with the game.)	你小心翼翼地撿起那坨熱騰騰的東西，放進你的（噁！）口袋裡。（你在心裡記下，等這遊戲玩完就把這身衣服燒了。）
unused msg	未使用的訊息
Taking a serious look at yourself, you decide you like what you see.	你認真打量了一下自己，覺得看到的還挺不錯。
These little self-introspective chats are fun, aren't they, Freddy?	這種自我對話挺好玩的，對吧，佛萊迪？
Ahhh! Scratching right there sure feels good, eh, Freddy?	啊∼抓那個地方真的很舒服，對吧，佛萊迪？
You uncork and swig the elixir, finishing the bottle before you know it.	你拔開瓶塞，灌了一大口藥水，還沒回過神瓶子就見底了。
How poetic... the dorky and the door key!	真有詩意啊……「阿呆」和「鑰匙」真是絕配！
You rub the paper all over your hands, but it's still legible!	你把紙在手上到處搓，但字跡還是看得清清楚楚！
You rub it all over your hands, but it's still legible!	你在手上到處搓，但字跡還是看得清清楚楚！
You rub it all over your hands, but it's still totally illegible!	你在手上到處搓，但字跡還是完全認不出來！
Doc's already drained all the whisky from the glass, but hey, nice try!	大夫早就把杯裡的威士忌喝得一滴不剩了，不過，算你有心！
There's not enough whisky in the glass to drink, and you're not particularly hungry for a sodden piece of paper!	杯子裡的威士忌不夠喝，你對一張泡爛的紙也沒什麼胃口！
You already have the corrected prescription!	你已經拿到修正過的處方箋了！
You heave... a sigh of relief!	你長長地……鬆了一口氣！
You take a swig of the water from the water tower. Uh-oh. Your stomach starts to make strange sounds. Your small intestine begins to whine. Your lower intestine starts complaining loudly.	你灌了一口水塔裡的水。糟了。你的胃開始發出怪聲。小腸開始咕嚕抱怨。大腸則放聲大聲抗議。
You're having enough trouble balancing on the ladder as it is; now's no time to juggle your inventory items.	你光是站在梯子上保持平衡就夠費勁了，現在可不是耍弄物品的時候。
It's not a good idea to try that up here! Lose your balance and you'll be nothing more than a particularly large road apple.	在這麼高的地方可別亂來！一旦失去平衡，你就會變成一坨特大號的路邊「馬糞」。
You had a drink of water just before you went to bed!	你睡前才剛喝過水了！
Fighting crime is thirsty work, but wait 'til you've dealt with the situation at hand to take your refreshment.	打擊犯罪是件費口渴的差事，不過先把眼前的事處理完，再來解渴吧。
You try the old trick of flattening the can against your skull. Ring around the forehead! Ring around the forehead!	你試著用老招數，把罐子壓扁在自己頭上。額頭一圈印！額頭一圈印！
Congratulations! Nice form, Mr. Ripper!	恭喜啊！姿勢真標準，開膛手先生！
You briefly consider that current craze, the "minstrel" look, but decide there are better uses for the charcoal.	你一度考慮跟上時下流行的「黑臉秀」造型，但轉念一想，木炭還有更好的用途。
You glance around to make sure no one is watching, then you flagellate yourself just a little bit.	你四處張望，確定沒人在看，然後小小鞭笞了自己一下。
You take a few deep breaths from the gas mask, clearing your head and enabling you to go on awhile longer!	你對著防毒面具深呼吸幾口，腦袋清醒了，能再撐一陣子！
You can't fiddle with that while you're on the ladder.	你站在梯子上沒辦法擺弄那個。
Fortunately, the aroma hasn't permeated the interior of the building. You won't need to use that gas mask in here.	還好，那股味道還沒滲進屋裡。你在這裡用不著防毒面具。
You can't keep your balance up here AND use the gas mask properly at the same time, Freddy.	佛萊迪，你沒辦法一邊在這裡保持平衡，一邊好好戴防毒面具。
Unfortunately for you, this Deflatulizer is highly concentrated, far too powerful to be ingested in undiluted form!	很不巧，這瓶「消脹劑」濃度極高，沒稀釋過根本不能直接喝下肚！
What? Uncooked? And without garlic butter? AUGGGH!	什麼？沒煮過？還沒加蒜味奶油？啊啊啊！
You thank yourself for last night, and pay yourself the usual amount.	你為了昨晚的事謝謝自己，還付了平常那個數目給自己。
You rub the bottle cap across your lips, just enough to make sure that everybody knows what a macho stud pharmacist you are!	你把瓶蓋在嘴唇上抹了抹，好讓大家都見識見識你這位藥師有多猛！
You take a drink of the beer.	你喝了一口啤酒。
BURRRRRRRRP!!	呃啊嗝——！！
(Fortunately, you've got MUCH more beer left. You could never drink that much beer, so stop trying!)	（還好你還剩下超多啤酒。你不可能喝得完那麼多，別再嘗試了！）
You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!	你故作矜持地省下一趟去茅房的功夫……但你說什麼也不肯再帶著那個瓶子到處走了！
You are amazed to find the church key's shape precisely fits your navel, making a perfect belly-button lint remover.	你驚訝地發現開瓶器的形狀正好卡進你的肚臍，變成一支完美的肚臍毛清除器。
(LADDER PUN) You rung?	（梯子雙關語）「梯」呼喚我了嗎？
Give yourself enough rope and you know you'll hang yourself!	給自己夠長的繩子，你知道遲早會上吊的！
You strongly consider lynching yourself, but decide you're hung well enough already!	你認真考慮過要吊死自己，但轉念一想，覺得自己這方面已經「掛」得夠好了！
You take a swig of the concentrated water purification solution. That'll clean your clock!	你灌下一大口濃縮淨水劑。這下有你受的了！
You open the valve on the tank of nitrous oxide, and suddenly the game seems much funnier! Unfortunately, you soon die laughing!	你打開笑氣桶的閥門，突然覺得這遊戲有趣多了！可惜沒多久，你就笑死了！
You foolishly ingest several sacks of the baking soda, creating a major eruption of the worst kind!	你傻傻地吞下好幾包小蘇打粉，結果引發了一場最糟糕的大爆發！
Don't French postcards. You don't know where those postcards have been!	別亂搞法國明信片。你根本不知道那些明信片經過哪些人的手！
Trying the ol' hot wax treatment? You're SUPPOSED to have hairy legs, Freddy.	想試試老派熱蠟除毛？佛萊迪，你本來就該有一雙毛腿。
Good idea! Those fingernails were getting a little dirty!	好主意！那些指甲是有點髒了！
You cleverly attempt to unlock your head by inserting the desk key into your nose. Apparently this isn't the right key.	你自作聰明地想用書桌鑰匙插進鼻孔裡，試圖打開自己的腦袋。看來這不是對的鑰匙。
You find the safe deposit box key fits perfectly into several orifices!	你發現保險箱鑰匙完美地插進了好幾個孔洞裡！
What are you doing? Trying to rob yourself? Who are you trying to kid? Those pistols aren't loaded!	你在幹嘛？想搶劫自己？你在唬誰啊？那兩把手槍根本沒上膛！
You just can't resist nibbling off a little corner of the crust. No one will ever notice that!	你實在忍不住，偷咬了一小角派皮。反正沒人會發現的！
Ummm, good to the last drop! That Mom sure can make a good cup of Instant Hazelnut Vanilla Mocha Java. (Maybe she has friends here from Europe!)	嗯∼喝到最後一滴都好喝！老媽泡的即溶榛果香草摩卡爪哇咖啡真是一絕。（說不定她在歐洲有朋友呢！）
It won't clean THAT "deadly weapon," Freddy!	佛萊迪，這可清不了「那把致命武器」！
Just where did you intend to stick those bullets, Freddy?	佛萊迪，你到底打算把那些子彈塞到哪裡去？
Just like you've seen it done at the spas, you apply the clay to your face for a few moments, then scrape it off. Now your complexion is as soft and smooth as a newborn hog's butt!	就像你在溫泉會館看過的那樣，你把黏土敷在臉上一會兒，然後刮掉。現在你的膚質光滑柔嫩，跟剛出生的小豬屁股一樣！
You will want to wear it later, but only after you have completed your outfit.	你之後會想穿上它，但要等你把整套裝扮準備齊全才行。
