It's not a whip.	這不是鞭子。
Ah never drinks when ah'm on-duty, bwoy. Whut kinda lawman yew think I AM, anyway?	老子當班從不喝酒，小子。你把老子當成哪門子的執法人員了？
Yew think, jes 'cuz ah'm MEAN, I'm STOOPIT? Ah got loaded weapons here, bwoy! Ah gotta be alert! Cain't be out-drawin' no varmints wif a skull full o' MUSH, bwoy! Now git yer patootie OUTTA here 'fore ah has to remove it fer ya!	你以為老子兇就代表老子笨？老子這兒可有上了膛的傢伙，小子！得保持清醒才行！腦袋一團漿糊，怎麼跟壞蛋拔槍對決？現在把你的屁股挪出去，免得老子親自幫你挪！
Yer not plannin' any vandalism with those thangs, are yew, bwoy?	你該不會是打算拿那些東西搞破壞吧，小子？
Of course not, Sheriff! Do I look like the kind of person who'd break bottles frivolously, for target practice or something?	當然不會，警長！我看起來像是那種會沒事亂砸瓶子、練靶什麼的人嗎？
I spoze not, yer too much of a goody-two-shoes fer thet, aintcha? Welp, jus' keep those away from the kids. Dang vandals, every one of 'em.	老子猜也是，你這種乖寶寶哪幹得出那種事。好吧，離小孩遠一點就成。那些搞破壞的，個個都欠教訓。
Sheriff Shift eyes you suspiciously.	席夫特警長狐疑地盯著你。
'Zat YER key, bwoy? Yer not STEALIN' no keys now, are ya?	那是你的鑰匙嗎，小子？你該不會是在偷鑰匙吧？
Sheriff! Do I look like the kind of person who'd steal ANYthing?	警長！我看起來像是那種會偷東西的人嗎？
Welp... I spoze ya don't. In fact, ya look too chicken to steal a kiss from a miss.	呃……老子猜不像。老實說，你膽子小得連跟姑娘偷個吻都不敢。
Thet looks suspiciously lahk the ladder Miz Primm wuz sayin' wuz taken from the schoolhouse playground! Lemme see the serial number on thet ladder.	那東西看起來很像潘妮洛普小姐說被人從校園裡偷走的梯子！讓老子瞧瞧那梯子的編號。
There isn't any serial number. I, uh, made it m'self.	沒有編號。這個嘛，是我自己做的。
Oh. Well, thet's OK, then. Carry on, bwoy.	喔。那就沒事了。繼續吧，小子。
Yew tryin' to tie me up, bwoy?	你想把老子綁起來嗎，小子？
No, I'm trying the old rope-a-dope trick.	不是，我只是在練那招老套的「以柔克剛」。
That's boxin', bwoy, not ropin'! HAR! Yew pretty dumb, yew know thet?	那是拳擊術語，小子，不是套繩！哈！你還真夠笨的，知道嗎？
Jumpin' Jehosophat, bwoy, yew tryin' to hogtie me?	我的老天爺啊，小子，你想把老子五花大綁？
What if I am?	如果我就是想呢？
Walp, ah'd say you were pretty pitiful with a lasso!	呃，老子只能說你套繩的本事還真夠遜的！
Whut you got there?	你那兒拿的是啥？
It's a water purification solution. It'll help alleviate the town's gastric troubles.	這是淨水劑，能幫忙緩解鎮上的腸胃問題。
Lemme git this straight. That there stuff's gonna alleviate the town's gastric troubles?	讓老子搞清楚。那玩意兒能緩解鎮上的腸胃問題？
Uh, I believe that's what I just said. That IS what you want, isn't it? You don't WANT the whole town to die of dehydration from excessive diarrhea, do you?	呃，我剛剛好像就是這麼說的。這不就是你要的嗎？你總不希望全鎮的人都因為拉肚子拉到脫水而死吧？
<Sputter>	〈支吾〉
I mean, nobody would've PURPOSEFULLY poisoned the town's drinking water, right? So I wouldn't be BOTHERING anybody by purifying the water, would I?	我是說，總不會有人故意在鎮上的飲用水裡下毒吧？所以我把水淨化一下，應該不會惹到誰吧？
You... I mean, the whole... That is... Well, NO, for corn sake, that's just PERFECT, Pharquar, just flippin' PERFECT. Go ahead an' CURE the whole dang town. That's right neighborly of you. RIGHT neighborly.	你…我是說，整個…那個…好吧，不，老天爺啊，這下真是「太完美」了，法夸爾，簡直完美到家。你就儘管去把全鎮的人都「治好」吧。真是敦親睦鄰啊。敦親睦鄰。
Yew tryin' to gas me with thet thang?	你是想拿那玩意兒毒死老子嗎？
Yes, only I can't get it open. Would you open it for me?	是啊，只是我打不開。能幫我開一下嗎？
Whut, so's you kin turn around and gas me with it? Hyuk, hyuk, yew must be dumber than yew look!	啥，好讓你回頭拿去毒老子？嘿嘿，你比看起來還笨啊！
Ha, ha! But not dumber than YOU look, right, Sheriff?	哈哈！但總沒你看起來那麼笨吧，警長？
Haw haw! Yer darn tootin', bwoy, darn tootin'!	哈哈！你說得真對，小子，真對！
Whoa there, son! You must have some whopper of a bellyache there!	哇喔，小子！你這肚子疼得可不輕啊！
Actually, I was kinda hoping I could bury you underneath all this baking soda.	其實，我是想把你埋在這堆小蘇打底下。
Hyuk hyuk hyuk! You ain't gotta snowman's chance in hell of doin' THET, bwoy! Ah may be short, but I'se wirey!	嘿嘿嘿！你休想辦得到，小子！老子個頭雖矮，但筋骨可硬得很！
Say, these are sum purty li'l fillies!	哎呀，這些小馬駒兒還真俊俏！
Yes, would you be willing to trade something for 'em?	是啊，你願意拿東西跟我換嗎？
Nope! Got m'self a photographic memory. Got 'em all memorized. Thanks much, bwoy!	不用！老子過目不忘，全都記在腦子裡了。多謝了，小子！
Yew fixin' to do sum candle-makin'?	你打算做蠟燭嗎？
Walp, nice to know you gotcherself a hobby. Everbuddy needs a hobby. Y'know whut my hobby is?	呃，知道你有個嗜好挺好的。人人都該有個嗜好。你知道老子的嗜好是啥嗎？
It's makin' life miserbul for pipsqueaks. Yew know whut a pipsqueak is, dontcher?	就是讓那些小屁孩過得生不如死。你知道啥叫小屁孩吧？
Gooood. Word to the wise, Furpiece. Catch ya later, bwoy.	很好。給你個忠告，法皮斯。回頭見了，小子。
HEY NOW! Yew jabbin' thet thang at me!	喂，搞什麼！你拿那玩意兒戳老子！
No, no, I wasn't.	不，不，我沒有。
THERE! Yew done it AGAIN!	你看！你又來了！
No, no, no. I'm just practicing my knifework.	不，不，不。我只是在練刀法。
Welp, take it OUTSIDE, bwoy! Take it OUTSIDE! Jehosophat, bwoy, iffn I didn't know yew wuz a chicken, ah'd thank yew wuz tryin' to ventilate muh spleen!	呃，拿到外頭去練，小子！到外頭去！老天爺啊，小子，要不是老子知道你是個膽小鬼，還真以為你想在老子脾臟上開個洞呢！
Now jus' hold on a cotton-pickin' minute. Yew mean to tell me that yew, some kinda Western Hero, is jus' gonna walk in and shoot the Sheriff in cold blood? No fair fight, no shootout in the middle of the street, no nothin'? Does that sound like a act of a Hero? Or does it sound like the act of a coward?	等等，先別急。你的意思是，你這個自稱西部英雄的傢伙，竟然打算大搖大擺走進來，冷血地把警長給斃了？沒有公平對決，沒有街頭槍戰，啥都沒有？這聽起來像英雄幹的事嗎？還是像懦夫幹的事？
Uh, coward, I guess.	呃，我猜是懦夫吧。
Yew bet your boots. Let's just pretend that whole thang didn't happen, shall we? Let's see if yew kin get through this whole thang without shootin' anyone outright. 'Kay? 'Kay.	那還用說。咱們就當這件事沒發生過，成不？看看你能不能撐過這整齣戲，一槍都不用開。成吧？成。
Here you go, Sheriff. Another nice, hot cup of coffee.	給你，警長。又一杯熱騰騰的好咖啡。
Yew blind, bwoy? Cain't you see ah've already got a cuppa coffee here ah ain't drunken yet? Git that thing away fum me!	你瞎了嗎，小子？沒看到老子這兒還有杯沒喝完的咖啡？把那玩意兒拿開！
I tole yuh, it's YERS, bwoy! Now take it and shimmy yer butt outta town afore we gotta shimmy it FER ya!	老子跟你說了，那是你的，小子！現在拿著它，自己滾出鎮去，免得老子動手幫你滾！
I tole' ya, bwoy, those 'r on the house! Now take 'em and head on outta town, buckaroo, 'afore you git hurt.	老子跟你說了，小子，那些是招待的！現在拿著，滾出鎮去，牛仔小子，免得你受皮肉之苦。
You toss the clay at the Sheriff.	你把黏土扔向警長。
What in tarnation? Hey, Pharmhouse! Dontcha be throwin' yer mudpies at ME, bwoy! Hell's bells, son, g'wan back ter elementary skool iffn yer gonna start playin' wif clay! Geeeeez. I dunno why we's even worrying about this fool, he's jus' a case of arrested develupmint.	搞什麼鬼？喂，法姆好斯！別拿你那泥巴餅往老子身上扔，小子！老天爺啊，小子，你要玩黏土就滾回小學去玩！老天，老子真不懂大夥兒幹嘛還替這蠢貨操心，這傢伙根本是發育不良的案例。
Wail, ah'll be a monkey's uncle. Gotcherself a holda some real silver there, ain'tcha?	哎呀，真是太陽打西邊出來了。你手上這玩意兒是真銀吧？
I believe it is, yes.	我相信是真的，沒錯。
Well, if thet ain't sumpin' special. Y'all mus' be as pleased as punch. Why don't you CELERBATE, bwoy, by gittin' OUTTA TOWN BY SUNDOWN? I think thet's a RIGHT good idea! A change of scenery do you a WORLD o' good, bwoy. Might even save yer life! HAW HAW HAW! Hyukhyukhyukhyuk!	哎呀，這可真是了不得。你一定樂歪了吧。要不趁著這股高興勁兒，小子，天黑前滾出鎮去，好好慶祝一番？老子覺得這主意好極了！換個環境對你有百利無一害，小子。搞不好還能保你一命呢！哈哈哈！嘿嘿嘿嘿！
You outdone yerself fer stoopidness this time, bwoy. Thet's the dumbest-lookin' silver ear I ever seen. It's all crooked and ugly.	你這次可真是蠢到出神入化了，小子。那是老子見過最蠢的銀耳朵，又歪又醜。
I guess you would know, wouldn't you, Sheriff?	我猜這方面你最有經驗了吧，警長？
Why, thet there's a fine, spankin' new turquoise 'n beige cowboy suit yew got there, sonny bwoy! Didjer MOMMY sew it fer ya? HYUK HYUK HAW! HYUK HYUK HAW!	哎呀，你身上這套嶄新的松綠配米黃牛仔裝可真體面啊，乖寶寶！是你老媽幫你縫的嗎？嘿嘿哈！嘿嘿哈！
That's a very good donkey imitation, Sheriff. Do you do horses?	那頭驢子叫模仿得真像，警長。馬叫你也會模仿嗎？
The Sheriff stops laughing and eyes you narrowly.	警長止住笑聲，瞇眼盯著你。
Don't be wisin' off to me, Paraquat. I got yer number, see? I bin keepin' my eye on yew. And let me tell yew sumpin'. I don't lahk yew. Yer a do-goodin', high-falutin' sunnuva gun, and we don't lahk yer kind in these parts. So watch yer back, bwoy. I'm watchin' yew. I'm ALWAYS watchin' yew.	別跟老子耍嘴皮子，巴拉刈。老子早就把你看透了，懂嗎？老子一直盯著你。跟你說件事，老子不喜歡你。你這個假仁假義、自命清高的傢伙，咱們這一帶不歡迎你這種人。所以最好小心點，小子。老子盯著你呢。老子隨時都盯著你。
Y'all should be stoppin' back on Tuesday, bwoy! Yor boots'll be ready then! HYUK HYUK! Just joshin' ya, son, ah dunno where this thang come from.	你星期二該再來一趟，小子！到時你的靴子就好了！嘿嘿！開玩笑的啦，小子，老子也不知道這玩意兒打哪兒來的。
Them's sum pretty dooded-up boots ya gots there, son! Them suckers your'n?	你這雙靴子打扮得真花俏啊，小子！那雙傢伙是你的嗎？
A-yep. I mean, yes.	呃，對啊。我是說，沒錯。
Well, well, well! Mebbe I misjudged ya. Mebbe wif them stunnin' turquoise 'n beige boots, yer a real honest-to-gorsh GUNSLINGER! HAW HAW HAW!	哎呀呀！也許老子看走眼了。憑著那雙亮眼的松綠配米黃靴子，你搞不好還真是個道地的槍手呢！哈哈哈！
I think you're being sarcastic.	我覺得你是在諷刺我。
Wal shoot, bwoy, mebbe ah am, mebbe ah ain't. It kinda depends on what "sarcastic" means.	呃，小子，也許是，也許不是。這要看「諷刺」是啥意思了。
My, my! Whut a purty hanky you got there!	哎呀哎呀！你那手帕真俊俏啊！
It's my lucky neckerchief, not a hanky.	那是我的幸運領巾，不是手帕。
Well, whutever yew callin' it, bwoy, it's right purty. Why, you could even sop up yer own blood with it if yew had to! That IS a lucky hanky, ain't it? Let's hope you never gotta do nuthin' like that! It'd be a shame to stain such a purty hanky! Wouldn't it now? Hyuk hyuk haw!	呃，不管你叫它啥，小子，反正挺俊俏的。要真有需要，你還能拿它擦自己的血呢！那可真是條幸運手帕啊，對吧？但願你永遠用不上那種場合！把這麼俊俏的手帕給弄髒了，多可惜啊！對吧？嘿嘿哈！
This thang ain't got no pictures or conversations innit! Whut the devil's the use of a letter wifout pictures or conversations innit? Bor-ring, Pharmhand, bor-ring!	這玩意兒裡頭沒圖也沒對話！一封信要是沒圖沒對話，到底有啥用啊？無聊，法姆漢，無聊透頂！
Whoa there! Yew almost took mah head off with thet there shovel!	哇喔！你那把鏟子差點把老子的頭給削了！
Oh, sorry. Let me try again. I'm sure I can get it right this time.	喔，抱歉。讓我再試一次，這回肯定能弄對。
Whut? Stop talkin' garbage, bwoy. You'se stoopit.	啥？別胡說八道了，小子。你真夠蠢的。
Pharkist! Whut the Sam Hill are yew tryin' to do, gas me? Ah'm sufferin' as it is, whut with m'front window permanently open! Take that bagga gas outta here 'afore I pass out!	法克斯特！你這是想幹啥，毒死老子嗎？老子現在已經夠受罪了，前窗還永遠關不緊！快把那袋毒氣拿走，免得老子昏過去！
Here, Sheriff. I thought you might like to try putting this bag over your head. It'll make your appearance more pleasing.	給，警長。我想你或許會想把這袋子套在頭上試試，能讓你的模樣順眼一點。
Pharmakus, iffn ah didn't know better, I'd swear you'se tryin' to insult me. But yer not clever enuf fer that, areya?	法馬克斯，要不是老子夠了解你，還真會以為你在羞辱老子呢。不過你也沒那份聰明才智，對吧？
No, Sheriff, I'm much too much of a dullard for that.	沒有，警長，我這人太笨了，做不出那種事。
Yeah, thet's whut I thought.	嗯，老子也是這麼想的。
Pharsight! Yew are a sick pig, yew know thet? Take that maggot-infested thang outta this here govermint office 'afore I has to THROW you out!	法賽特！你這人真是個變態，知道嗎？把那長蛆的玩意兒拿出這間官署，免得老子把你扔出去！
Walp, if this ain't the stoopidest hunk o' lost-wax castin' I ever did see! An ear? Who you fixin' to fool with THAT thang, Pharkum?	呃，這可真是老子見過最蠢的脫蠟鑄件了！一隻耳朵？你打算拿那玩意兒去唬弄誰啊，法克姆？
I know I could never put one over on YOU, Sheriff.	我知道我絕對騙不過你，警長。
You kin bet yer boots -- I sez, you kin bet yer boots -- on THAT!	這你儘管放心──老子說，這你儘管放心──絕對錯不了！
Well lookee here, it's arts and crafts time with everbuddy's favorite Pharmacist! Thet's a loverly piece of clay-and-wax sculpture there, bwoy! Yew gonna go FAR! And if you don't git outta town SOON, yew gonna go farther then yew THOUGHT! HAR HAR HYUK!	哎喲瞧瞧，大夥兒最愛的藥師先生要來上美勞課啦！那件黏土蠟像做得真可愛啊，小子！你前途無量哦！要是不快點滾出鎮去，你的「前途」可比你想的還遠呢！哈哈嘿！
Well, looks like yew'll have a new line o' work onct you git outta town, bwoy... carvin' prosthesises! That is, iffn yew git outta town IN ONE PIECE! Haw haw haw!	呃，看來你滾出鎮之後倒是能改行了，小子……去雕義肢！前提是你能全鬚全尾地滾出去！哈哈哈！
Tryin' to POISON me, bwoy? Do I LOOK sick? I don't THANK I look sick! Wuz I sick wiffout mah KNOWIN' it?	想毒死老子嗎，小子？老子看起來像生病嗎？老子可不覺得自己看起來有病！難道老子病了自己還不知道？
Yew bet yer prescription-filling BEHIND yew don't thank so! Now don't you be slippin' me none of yer medications agin, or ah'll be VERY unhappy witchoo. Yew hear me, bwoy?	你那配藥的屁股最好搞清楚，老子才不覺得！以後別再偷塞你那些藥給老子了，不然老子會非常不高興。聽到沒，小子？
I hear ya.	聽到了。
GOOD!	很好！
The Sheriff's big old desk is cluttered with all sorts of crime-fighting paraphernalia... just in case the Sheriff decides to fight some crime someday.	警長那張又大又舊的辦公桌上，堆滿了各式各樣的緝凶用具……以防哪天警長心血來潮真想去抓壞人。
Keep your hands offn m'crap, Parakwat.	你的手離老子的破爛玩意兒遠一點，巴拉刈。
Pharkas.	法卡斯。
Whutever.	隨便啦。
Sheriff Shrift has tastefully decorated his window in the fashionable "Noveau Leavenworth" style.	席夫特警長把他的窗戶，用時下流行的「新監獄風」品味地裝飾了一番。
Them there bars're mortared in place nice and tight, bwoy! No amount of tuggin's gone budge 'em. Jes' give that one up right NOW.	那些鐵條可是用水泥牢牢固定住的，小子！你再怎麼拉扯也動不了分毫。這念頭現在就給老子打消。
That's the jail cell, where Sheriff Checkum ("Chicken") P. Shift tosses the bad guys. With the town's population dwindling, there haven't been many occupants lately.	那是牢房，外號「膽小雞」的切克姆·P·席夫特警長專門把壞蛋扔進去的地方。隨著鎮上人口日漸凋零，近來牢房裡也沒什麼房客了。
Yew wantin' to spend a night in the hoosegow, son? I think that can be arranged, hyuk hyuk!	你想在大牢裡過一夜嗎，小子？老子看這事兒可以安排，嘿嘿！
It's supposed to look like authentic Western masonry, but it's really a fiberglass polymer, nice and light and perfect for Western sets like these.	這看起來像是道地的西部石造工法，但其實是玻璃纖維聚合材質，輕巧好用，最適合這種西部場景了。
They're cee-mented in place, Pharkberg. Do yer worst, y'cain't hardly move 'em.	那些是用水泥固定死的，法克伯格。你使出渾身解數也休想搬得動。
Technically, the fiberglass polymer set is all one piece, so you can't move it.	嚴格說來，這整組玻璃纖維聚合材質是一體成形的，所以你搬不動。
Those are the Sheriff's six-guns. Actually, they're revolvers and rifles... but there are six of them!	那些是警長的「六響槍」。其實是左輪手槍和步槍啦……不過總共有六把！
Hey, Porkers! Them's my official shootin' irons, an' yew don't wanna be touchin' 'em. I could clap you in irons fer thet.	喂，波克斯！那些是老子官配的傢伙，你可別亂碰。老子可以為此把你銬起來。
This looks like a table.	這看起來像張桌子。
Yew break it, yew bought it! Hyuk, hyuk.	弄壞了就得照價賠！嘿嘿。
The Sheriff keeps this lamp lit so's he can read his procedural manuals and see the pictures REAL good.	警長讓這盞燈一直亮著，好讓他能看清他那些辦案手冊，尤其是裡頭的圖片。
Leave it be, Pharmint, I gotta see muh penal diagrams good.	別碰，法明特，老子得把那些刑罰圖表看清楚才行。
The Sheriff hung his hat and long coat on the rack.	警長把帽子和長大衣掛在架子上。
Y'all jus' leave them duds alone, bwoy. You knows I like you, bwoy, but you go pokin' 'round in a man's privates, I takes your hand off in nuthin' flat, bwoy, jus' like that.	你就別去碰那些衣物了，小子。你知道老子挺喜歡你的，小子，但你要是敢去摸一個男人的私人物件，老子二話不說就把你的手剁了，小子，就是這麼回事。
Some of the Sheriff's law-and-order books: PentUpHouse, Letters to PentUpHouse, PentUpHouse Pets, PentUpHouse Forum, Female Convicts in Bondage, Babes 'n Bars, and Debbie Does Cell Block D.	警長的部分執法藏書：《壓抑之屋》、《致壓抑之屋的信》、《壓抑之屋寵物》、《壓抑之屋論壇》、《女囚受縛記》、《鐵窗辣妹》，還有《黛比大戰D區牢房》。
Leave 'em be, Pharkmeister, y'all ain't got no business stickin' your nose in mah penal codes.	別碰，法克大師，你沒必要把鼻子伸進老子的刑法書裡。
This is where the Sheriff keeps his trade journals.	這裡是警長存放他那些行業期刊的地方。
Hey! Pharberg! Y'all keep yer hands offn mah bookshelves.	喂！法伯格！你的手離老子的書架遠一點。
Wouldja mind not tearin' that down, Pharkem? I ain't caught that critter yet.	你介不介意別把那東西扯下來，法克恩？老子那隻小畜生還沒逮著呢。
It's an old Register clock.	這是一座老舊的收銀鐘。
It don't need windin', Barkus, it's one of them clocks what winds itself from the constant vibrations of California's shaky tectonic plates.	那不需要上發條，巴克斯，那是靠加州地殼板塊持續晃動來自動上鏈的鐘。
This turn-of-the-century Sheriff's office is manned by a real turn-of-the-century Sheriff.	這間世紀之交的警長辦公室，坐鎮著一位貨真價實、世紀之交的警長。
You can't commune with the environment in that fashion.	你沒辦法用那種方式跟這裡的環境溝通。
Whut choo lookin' for, bwoy?	你在找啥，小子？
That's an old trunk, dated back to the 1870s. Actually, in that case, it's pretty new!	那是個老舊的箱子，年代可追溯到1870年代。不過這樣算起來，其實還挺新的！
If yew get that thang open, Pharkly, let me know. It's bin locked fer years. Nuttin' in it, as fur as I know.	你要是能把那玩意兒打開，法克利，記得告訴老子一聲。那東西鎖了好多年了。據老子所知，裡頭啥也沒有。
That's the key to the Pharmacy, not the key to this trunk. There IS no key to this trunk! It can't be opened!	那是藥局的鑰匙，不是這箱子的鑰匙。這箱子根本沒有鑰匙！打不開的！
You can't open the trunk with the ice pick. In fact, you can't open the trunk at all.	你沒辦法用冰錐打開這箱子。事實上，這箱子根本打不開。
That key doesn't work with this trunk. Anyway, there's nothing in the trunk.	那把鑰匙開不了這箱子。反正箱子裡也沒東西。
There's no need to pry the trunk open with the knife. There's nothing inside the trunk.	沒必要拿刀撬開這箱子。裡頭什麼都沒有。
That's not a trunk key. In fact, there IS no key to this trunk. Just leave it alone.	那不是這箱子的鑰匙。事實上，這箱子根本沒有鑰匙。別管它了。
That key won't open this trunk. There's nothing in this trunk anyway! Leave it alone!	那把鑰匙打不開這箱子。反正這箱子裡也沒東西！別管它了！
There's no reason to shoot the trunk open. There's nothing inside.	沒必要開槍把箱子打開。裡頭什麼都沒有。
This is the Sheriff's spittoon, where he gets most of his target practice.	這是警長的痰盂，他大部分的練靶都在這上頭。
Drop it, Pharkenstein. I'm startin' a collection.	放下，科學怪法。老子正在收藏這玩意兒呢。
Y'all mind leavin' thet thang up there? Whenever I feel m'self gettin' soft, I jes' look at that ugly varmint and get the ol' fires stoked up again.	你介不介意把那玩意兒留在原處？每當老子覺得自己心軟了，只要看一眼那隻醜東西，老火氣就又燒起來了。
It's an old bucket. Sheriff Shift occasionally likes to soak his feet.	這是個舊水桶。席夫特警長偶爾喜歡拿來泡腳。
Quit pokin' 'round in muh foot-soaking tub, Pharkblatt, unless you wuz goin' to soak muh feet fer me. Hyar, hyar!	別在老子的泡腳桶裡東摸西摸的，法克布拉特，除非你是想幫老子泡腳。嘿呀，嘿呀！
Say, Sheriff! I know how much a law enforcement person like yourself enjoys a good hot cup of coffee every now and then.	話說，警長！我知道像你這樣的執法人員，偶爾就是喜歡來杯熱騰騰的好咖啡。
Thanks, pardner! But 'cha know what? Sumptin sweet would shore taste good right now!	多謝了，夥計！不過你知道嗎？現在來點甜的肯定更對味！
Why, I bet that's true. I'll be glad to try and find you something to munch on. But, in the meantime, I've been thinking about moving to another city. But, I've got no bullets. I was wondering if you have any bullets that would fit an old .45?	哎，我猜也是。我很樂意去幫你找點吃的。不過在這之前，我一直在考慮搬去別的城鎮。只是我手頭沒子彈，不曉得你有沒有能裝進老式點45手槍的子彈？
Whey, shore, son. Here. Have a box o' these Remingtons! No charge; they're on the County.	哎呀，當然有，小子。拿去，這盒雷明頓子彈給你！不用錢，郡政府請客。
Here's what you wanted, Sheriff. A nice hot cup of Mom's coffee.	這是你要的東西，警長。老媽餐館熱騰騰的好咖啡。
Thanks, pardner! This'll shore go good wit' dat apple pie you gave me!	多謝了，夥計！這個配你剛給老子的蘋果派肯定絕配！
You are most welcome, Sheriff. Say, you wouldn't happen to have a spare gun cleaning kit, would you? These old pistols of mine are dirty as sin!	不客氣，警長。話說，你該不會剛好有多的槍械保養工具吧？我這些老手槍髒得不像話！
Okay, son. But this gun cleanin' kit'll be the last thing I give ya. Now git chur pistols cleaned, git chur horse packed up and git chur ass outta town!	好吧，小子。但這套保養工具是老子給你的最後一樣東西了。現在把你的手槍擦乾淨，把馬打點好，然後把你的屁股滾出鎮去！
Here, Sheriff Shift. I know how much a law-enforcing person like yourself appreciates a good fatty dessert-like foodstuff for breakfast.	給，席夫特警長。我知道像你這樣的執法人員，早餐就是愛吃這種油滋滋、跟甜點沒兩樣的東西。
Whey, thank cue! I bin so hongrey I coulda et a bear! But, do ya think I could git a cuppa coffee to go with this?	哎呀，多謝啦！老子餓得都能吞下一頭熊了！不過，能不能也給老子來杯咖啡配著吃？
Why, sure, Sheriff. But, in the meantime, I've been thinking about moving to another city. But, I've got no bullets. I was wondering if you have any bullets that would fit an old .45?	哎，當然，警長。不過在這之前，我一直在考慮搬去別的城鎮。只是我手頭沒子彈，不曉得你有沒有能裝進老式點45手槍的子彈？
Here you go, Sheriff Shift. I found some of Mom's nice hot apple pie for ya. I know how much a law-enforcing person like yourself enjoys sweet, fatty breakfasts.	給你，席夫特警長。我幫你找了些老媽餐館熱騰騰的蘋果派。我知道像你這樣的執法人員，早餐就愛吃甜甜膩膩的東西。
Whey, thank cue! I bin so hongrey I coulda et a bear! This'll shore go good with that cuppa coffee ya brung me earlier!	哎呀，多謝啦！老子餓得都能吞下一頭熊了！這個配你剛才拿來的那杯咖啡肯定絕配！
Uh, Sheriff? do you have anything I could use to clean these old guns of mine before I leave town? They're mighty dirty and I want to be prepared for my long journey!	呃，警長？在我離開鎮上之前，你有沒有什麼東西能讓我清理一下這些老槍？它們髒得很，我想為長途旅程做好準備！
Okay, son. But this gun cleanin' kit'll be the last thing I give ya. Now git chur guns cleaned, git chur horse packed and git chur ass outta ma town!	好吧，小子。但這套保養工具是老子給你的最後一樣東西了。現在把你的槍擦乾淨，把馬打點好，然後把你的屁股滾出老子的鎮去！
The Sheriff's favorite desk chair has, over the years, just about welded itself to the floor.	警長最愛的那張辦公椅，這些年下來幾乎已經和地板焊在一起了。
You can't move the chair legs. They've become part of the floor. Sheriff Shift isn't exactly a go-getter.	你搬不動這椅腳，它們早就成了地板的一部分。席夫特警長可不是什麼幹勁十足的人。
That's the stolen apple pie you gave Sheriff Shift.	那是你給席夫特警長的那個偷來的蘋果派。
It ain't et yet!	還沒吃完呢！
That's the cup of coffee you thoughtfully provided to the Sheriff.	那是你貼心送給警長的那杯咖啡。
Ah'm not done drinkin' it yit, Pharquar!	老子還沒喝完呢，法夸爾！
