You must first place the balance pan on the balance.	你得先把秤盤放到天平上。
You've got a crucible of molten silver! You shouldn't leave the lab until you figure out something to do with it.	坩堝裡有一鍋熔化的銀！在想出該拿它怎麼辦之前，你不該離開實驗室。
You quickly pour the molten silver into the empty mold.	你迅速把熔銀倒進空模具裡。
You can't sleep. You're too restless. Maybe because it's broad daylight.	你睡不著，心裡靜不下來。也許是因為現在是大白天。
You'll never get back to sleep now. There's trouble afoot, and that gnaws at your gut. Or maybe it's that whole pouch of "Gummy Buffalo" you had just before you went to sleep!	你現在肯定睡不回去了。有麻煩正在醞釀，啃噬著你的胃。也可能是睡前吃下那一整包「水牛軟糖」的緣故！
It's your Seamy Pasturepedic 100% rawhide-filled mattress. You bumped into it at a sidewalk sale. And fractured your shin. They let you take it home, which was cheaper than paying to have your leg fixed.	這是你的「邋遢牧場牌」百分百生皮填充床墊。你在路邊拍賣時撞上了它，撞裂了小腿骨。對方讓你把床墊帶回家，因為那比幫你治腿便宜多了。
You don't really need those grooming aids, you're a Western-style hero. Your hair is always in place and your gums are always sparkling pink.	你其實不需要那些梳妝用品，你可是西部風格的英雄。頭髮永遠服服貼貼，牙齦永遠粉嫩發亮。
Your grooming aids:	你的梳妝用品：
This is no time to sit and read books. You're in the middle of a stirring saga of the Old West!	現在不是坐下看書的時候。你正身處一場蕩氣迴腸的西部傳奇之中！
A lovely old glass-fronted bookcase, containing some of your favorite leisure-time reading material:	一個古樸的玻璃門書櫃，裡頭放著你最愛的休閒讀物：
Now let's see. Where wuz I? Oh, that's right. Madame Ovaree begged and pleaded with Freddy to either leave town or take up his ol' gunslingin' ways, sumpthin' which Freddy was just a mite reluctant to consider. So they decided to sleep on it, and though they didn't get much sleep, Freddy did mull it over somewhat.	讓我瞧瞧，講到哪了？喔對了。歐薇莉夫人苦苦哀求佛萊迪，要嘛離開小鎮，要嘛重操他當年的槍手舊業，這件事佛萊迪其實有點不太願意考慮。於是他們決定先睡一覺再說，雖然沒睡多少，佛萊迪倒是把這事琢磨了一番。
Penelope... Coarsegold... Madame Ovaree...	潘妮洛普……粗金鎮……歐薇莉夫人……
<cough cough>	<咳咳>
It's been so long since you moved this chair, it seems to have become one with the floor. How zen!	這張椅子好久沒挪動了，看起來已經跟地板融為一體。真是禪意十足！
You ran across this desk chair outside the General Store. In so doing, you tripped and knocked out two teeth. You threatened to sue the owner, but he placated you by giving you this fine chair to keep.	你在雜貨店外撞見這張書桌椅。撞的時候還絆了一跤，磕掉兩顆牙。你揚言要告老闆，結果他送你這張好椅子當賠罪，你就消氣了。
You pick up the claim check, your hand trembling with the memory of the last time you wore the boots that you traded for it... that monster, Kenny the Kid, looking down at you and laughing as your ear bled in the hot sun...	你拿起提貨單，手不禁顫抖，想起上次穿這雙靴子換來的回憶……那個惡棍小鬼肯尼，居高臨下看著你，在烈日下笑著看你耳朵流血……
It's a claim check... for a pair of boots! Your old cowboy boots from... the Before Time? Before "The Accident?" Could it be?? That's what you get for not opening this drawer for the past decade.	這是一張提貨單……用來領一雙靴子！是你「從前」……在「那場意外」之前的舊牛仔靴嗎？難道是？這就是你十年沒開這個抽屜的下場。
This side of the armoire doesn't open. It must've been built by the same yahoo that built the outhouse by ReBoot Hill!	衣櫃的這一側打不開。八成是蓋「重開機丘」那間茅廁的同一個蠢蛋做的！
You picked up this old armoire at the farmer's market. It gave you a hernia. So instead of paying the doctor's bills, the owner let you keep it.	你在農夫市集買下這個舊衣櫃，結果搬出了疝氣。老闆讓你留下衣櫃，抵掉醫藥費。
Look, your closet full of pharmacist duds.	瞧，你滿櫃子的藥劑師行頭。
The armoire door is wide open, displaying your outfits for all the world to see and admire.	衣櫃門大開，你的行頭展示在世人眼前，供人欣賞。
The drawer at the base of your armoire is empty, except for a few stray black widows.	衣櫃底部的抽屜是空的，只剩幾隻遊蕩的黑寡婦蜘蛛。
It's the open drawer of your armoire, currently exceedingly empty and devoid of stuff.	這是衣櫃打開的抽屜，目前空得徹底，什麼都沒有。
You take your old gunslinger clothes and your "Good Guy Model" Stetson hat.	你拿起舊日的槍手服裝，還有那頂「好人款」牛仔氈帽。
Your old hat and gunslinging outfit! And ... mmmm! ... it smells of camphor!	你的舊帽子和槍手裝束！而且……嗯……聞起來有樟腦味！
You take the key.	你拿起了鑰匙。
Hot dawg, now we're gettin' somewhere.	呦呼，這下總算有點進展了。
It's a key! Hot dawg, now we're gettin' somewhere.	是把鑰匙！呦呼，這下總算有點進展了。
The dresser is artistically placed as it is. No need to move it.	這梳妝台的擺放本身就很有美感，不需要移動。
You stumbled onto this big ol' dresser at a moving sale. And broke your toe. So rather than pay to have your toe fixed, the owner let you keep the dresser. In fact, you get ALL your furniture by accident!	你在搬家拍賣上撞見這個大梳妝台，還撞斷了腳趾。老闆讓你留下梳妝台，抵掉治腳趾的錢。說真的，你所有的家具都是這樣意外得來的！
You'll hafta close the dresser drawer before you can do that. Damn these one-bedroom apartments.	你得先關上梳妝台抽屜才能這麼做。這種一房公寓真是狹小討厭。
The drawer is empty, save for a few cobwebs, dust balls, and dead gnats. If you had some socks and underwear in there, they'd need washing pretty badly.	抽屜是空的，只剩幾張蜘蛛網、灰塵球和死掉的小蟲。要是裡頭真有襪子和內褲，恐怕早該拿去洗了。
There you are, Freddy Pharkas, you are mostly indeed a picture of stately mysterious strangerness. Nobody will be positive to recognize you any now.	瞧瞧你，佛萊迪·法卡斯，此刻的你儼然是一副莊嚴神秘的陌生人模樣。現在沒人能篤定認出你了。
Thanks for your help, Srini. Coarsegold owes you a debt of gratitude it can never repay. If anyone asks, Freddy Pharkas has left town. And if I don't come out of this alive, the Pharmacy is yours.	謝謝你的幫忙，斯里尼。粗金鎮欠你一份永遠還不清的恩情。要是有人問起，就說佛萊迪·法卡斯已經離開小鎮了。要是我這趟出去回不來，藥局就是你的了。
That is of a true generous nature you are displaying, Freddy Pharkas. As for me, I would like to open a pharmacy on the reservation among my people. But whether that is fated to be or not is in the hands of someone who is not I. Luck be with you, Freddy Pharkas. I am proud now.	你展現出的，正是真正慷慨的天性，佛萊迪·法卡斯。至於我，我希望能在保留區為我的族人開一間藥局。但這是否是命中注定，並非由我來決定。祝你好運，佛萊迪·法卡斯。此刻我深感驕傲。
With your boots, your clothes, your guns cleaned and loaded, your silver ear, and your lucky neckerchief, you're ready to get dressed and assume your identity as the Gunslingin' Stranger. You return to your penthouse suite, high atop the glittering Pharkas Pharmacy in Beautiful Downtown Coarsegold.	靴子穿上，衣服備妥，槍枝擦亮上膛，銀耳裝好，幸運領巾繫上，你準備好換上「槍手陌生人」的身分了。你回到頂樓套房，高踞於閃亮的法卡斯藥局之上，坐落在粗金鎮美麗的市中心。
It's a reading lamp. Don't bother it while it's reading.	這是一盞閱讀燈。它在看書的時候別去打擾它。
While browsing at a second-hand store, you were struck by this particularly sturdy reading lamp. The result was a mild concussion. The guy who'd accidentally dropped it out of the second-story window was very apologetic, and rather than pay for the skull surgery, offered to let you take the lamp home with you.	你在二手商店逛街時，被這盞特別堅固的閱讀燈砸中，落得輕微腦震盪。不小心從二樓窗戶把它丟下來的那個人非常抱歉，與其付顱骨手術的錢，他寧可讓你把燈帶回家。
There's nothing under there but more moose.	那下面除了更多的麋鹿，什麼都沒有。
Your authentic moose-skin rug looks very attractive with those eyeglasses on it! It would've been a mite less lumpy if somebody'd remembered to skin the moose first.	你那張正宗麋鹿皮地毯上擺著眼鏡，看起來相當有型！要是當初有人記得先把麋鹿剝皮，地毯會少一點凹凸不平。
There's nothing left in the drawer you can use.	抽屜裡沒有你能用的東西了。
You've got nowhere to take it.	你沒有地方可以拿它去。
While window-shopping in Chowchilla, your eye fell on this plain but serviceable nightstand. They got your eye back in, but the owner didn't want to touch the nightstand anymore. He let you keep it.	你在喬奇拉逛街時，一眼就相中這個樸素卻實用的床頭櫃──看到眼珠子都掉出來了。他們把眼珠裝了回去，但老闆從此不想再碰這櫃子，索性讓你留著。
Don't move it, it's covering up the results of a failed experiment involving Madame Ovaree, a dog, a melon and a Tibetan hanging basket.	別移動它，它正蓋著一場失敗實驗的殘局，牽涉到歐薇莉夫人、一隻狗、一顆哈密瓜和一個西藏吊籃。
A small picture of your Mother, rest her soul. If only she could have lived to see you now: an ex-gunslinging pharmacist in Coarsegold, California. She'd have had a heart attack and died.	一張你母親的小照片，願她安息。要是她能活著看到現在的你——一個曾是槍手、如今在加州粗金鎮當藥劑師的男人，恐怕會嚇到心臟病發身亡。
Sturdy timbers. Solid construction. Indoor plumbing. Any of those would be an improvement!	堅固的木料。紮實的建造。室內水管。有這些哪一樣都算是進步！
This is your cozy li'l bedroom.	這是你溫馨的小臥室。
I wonder how this would look if I added a little paneling?	不知道加點壁板裝潢，這裡會變成什麼樣子？
You usually try to avoid talking to your surroundings.	你通常會盡量避免跟周遭環境講話。
FIRE! FIRE! Freddy Pharkas, please come urgently!	火災！火災！佛萊迪·法卡斯，請火速前來！
Whu... what's wrong, Srini?	什……什麼事，斯里尼？
A tragedy is becoming!! The Assay Office is aflame! She is burning with a might most severe! The Pharmacy may be next alighted! Get dressed as soon as possible!	一場悲劇正在成形！！驗金所著火了！火勢猛烈異常！藥局可能是下一個遭殃的！請盡速更衣！
I am dressed. I don't own pajamas.	我已經穿好衣服了。我沒有睡衣。
Take mine! No, wait, there is not time to perform such an effort. Just hurry and scheme in such a way so as to extinguish the most threatening fire!	穿我的吧！不，等等，沒時間做這種事了。快去想辦法，把那最危急的火撲滅！
You can only take the stairs up or down. You can't take them anywhere else.	你只能沿著樓梯往上或往下走，沒辦法走到別的地方。
The stairs lead down to your back office.	樓梯往下通往你的後方辦公室。
Careful, that trunk is DANGEROUS! And you've got the scars to prove it.	小心，那個皮箱很危險！你身上的疤痕就是證明。
Your Dad unloaded his old vaudeville trunk on you. Not on purpose, though; he didn't know you were standing underneath when he unloaded it off the top of the stagecoach. Ever since then, you've had brief blackouts. But what the hey? Free trunk, right?	你老爸把他那口舊雜耍皮箱丟給了你。不是故意的啦，他從驛馬車頂上卸下箱子時，沒發現你正站在下面。從那之後，你就時不時會短暫昏迷。但管它的，反正箱子是白拿的，對吧？
You need to close the armoire first. What do you think this is, the Embassy Suites?	你得先把衣櫃關上。你以為這裡是什麼高級套房飯店嗎？
There is nothing more in your trunk.	你的皮箱裡沒有別的東西了。
Salvatore O'Hanahan, town barber/dentist/bootblack, is hard at work on his customer, Eb Sorbeen, Jr. Salvatore also happens to be the only Irish-Italian in town!	鎮上的理髮師兼牙醫兼擦鞋匠薩瓦多·歐哈納翰，正在替顧客小艾伯·索賓賣力服務。薩瓦多恰好也是鎮上唯一的愛爾蘭裔義大利人！
Salvatore O'Hanahan is taking a moment to sing a few bars from "The Barber of Seville."	薩瓦多·歐哈納翰正抽空哼唱幾句《塞維利亞的理髮師》。
How's business, Sal? Seems like you always have a customer these days.	生意怎麼樣，阿薩？這陣子好像總是有顧客上門。
Notta so good, Freddy. My earnings are up, butta ma profits are down!	不太好呦，佛萊迪。偶的營收是漲了，可是利潤卻掉了！
That's too bad, Sal. Do you have any ideas about how to increase business?	真可惜，阿薩。你有沒有什麼點子能拉抬生意？
Well, ah do have one idea. I've been thinkin' 'bout providin' dirty reading material for ma customers ta read whilst they wait.	呃，偶是有一個點子。偶一直在想，要不要弄點色色的讀物，讓顧客等待的時候可以看看。
But your customers are illiterate!	可是你的顧客都不識字啊！
Yup, an' they cain't read so good neither!	對啊，他們也看不懂字！
Howdy, Sal! How's things?	嘿，阿薩！最近怎麼樣？
I canna complain, Freddy! I'm-a gettin' plenty business.	沒啥好抱怨的，佛萊迪！偶生意好得很。
Did you notice that the Hotel's been shut down?	你注意到旅館被停業了嗎？
Yeah, I noticed that this-a morning! What's up with THAT? Who'sa-da genius who came up with THAT?	有啊，偶今早才注意到！這是搞什麼？是哪個天才想出這種主意的？
Well, if you hear anything about it, let me know, willya?	嗯，要是你聽到什麼消息，記得告訴我，好嗎？
Hey, you got it, Freddy! Anna same to you! You hear anything, you letta me know! I be right here, uppa to my arms in this guy's head!	嘿，沒問題，佛萊迪！你也一樣！你聽到什麼也要告訴偶！偶就在這兒，手都埋進這位客人的腦袋裡了！
Sal...	阿薩……
Gimme a break, Freddy! I gotta customers. Don't you gotta customers?	饒了偶吧，佛萊迪！偶還有顧客呢。你不也有顧客要顧？
Well, I suppose so.	呃，這倒也是。
Then do me a favor, hokay? You come-a back when you gotta news, hokay? I gotta make some headway onna this guy! Hey! I made a funny! "Gotta make some headway." Get it? Get it?	那就幫偶個忙，好嗎？有消息再回來找偶，好嗎？偶得在這位客人「頭」上有點進展了！嘿！偶說了個笑話！「頭上有進展」，聽懂了沒？聽懂了沒？
Got it.	懂了。
Good!	很好！
Sal, all hell has broken loose.	阿薩，事情大條了。
What's-a da problem, Freddy, me lad?	出什麼問題了，佛萊迪，小老弟？
The Sheriff shut down Smithie. Then he shut me down, too. Some crap about being a fire hazard.	警長把鐵匠史密的店關了，接著也把我的藥局停業了。說什麼有火災風險的鬼話。
Say it ain't so, Freddy!	別說是真的，佛萊迪！
'Fraid so, Sal. And if that weren't bad enough, the whole town's bein' gassed by flatulent horses. Someone must've poisoned the horse's feed.	恐怕是真的，阿薩。而且還不只如此，整個鎮上都被馬屁薰得受不了。一定有人在馬飼料裡下了毒。
Tell-a me about it! I been stuffin' hair in the door jamb, tryin' to keep the stench out! You gotta do sumpin', Freddy!	可不是嘛！偶一直在門縫塞頭髮，想擋住那股臭味！你得想想辦法啊，佛萊迪！
But... but I'm just a pharmacist!	可是……可是我只是個藥劑師啊！
Yes, and the horses, they just have gas, right? So do sumpin' about it!	對啊，那些馬也只是脹氣而已，不是嗎？所以你就想個辦法解決啊！
OK! I'm thinking, I'm thinking!	好啦！我在想了，我在想了！
You can breathe easier now, Sal. I took care of that problem with the horses. Turns out somebody put lentils in the feed! Ever hear of anything so dastardly?	現在你可以鬆口氣了，阿薩。馬的問題我解決了。原來是有人在飼料裡摻了扁豆！你聽過這麼陰險的事嗎？
Atsa devious alright, Freddy! But now whatta ya gonna do about that-a stampede headin' for town?	這招真夠陰的，佛萊迪！但你現在要怎麼對付那群衝向鎮上的蝸牛暴走潮？
What am I gonna do about it? Why is it always ME?	我能怎麼辦？為什麼每次都是我？
Sure 'n yer the smart one, Freddy Pharkas... the one in control, the one we're all watchin' and countin' on. You're the protagonist here, the rest of us are just extras. Now go be a bonnie lad and STOP THAT STAMPEDE!	那是因為你是聰明的那一個，佛萊迪·法卡斯……你是掌控全局的人，是我們所有人在看、在指望的人。你才是這故事的主角，我們其他人不過是路人甲乙丙。現在去當個好孩子，把那波暴走潮擋下來！
Sal! Great news! I derailed the snail stampede. Those snails are history.	阿薩！好消息！我把蝸牛暴走潮攔下來了。那些蝸牛已經成為歷史了。
Atsa my boy! Your mama mus' be so proud.	這才是偶認識的小子！你老媽一定引以為傲。
Now if I can just figure out WHAT'S going on in town... and how to get an Indian off an anthill!	現在只要我能搞清楚鎮上到底發生了什麼事……還有要怎麼把一個印地安人從蟻丘上弄下來就好了！
Well, the former problem, she sounds like-a very tough problem. But the latter problem, she sounds pretty easy!	嗯，前面那個問題聽起來相當棘手。但後面那個問題，聽起來倒是挺簡單的！
Congratulate me, Sal. I've got an assistant now!	恭喜我吧，阿薩。我現在有助手了！
So I hear! Now mebbe you can do somethin' about the town's water supply, eh?	偶聽說了！那你現在能不能想想辦法解決一下鎮上的供水問題？
One thing at a time! I'm on the case, okay?	一件一件來！我正在處理，好嗎？
Sal, I'm heading out of town for a while.	阿薩，我要暫時離開鎮上一陣子。
But you were doing such a good job, m'lad! Fixin' the water supply, puttin' out the fire... we need ye, Freddy!	可是你做得那麼好啊，小老弟！修好供水、撲滅大火……我們需要你，佛萊迪！
I know, but now the Sheriff and the Banker are out to get me. It's not safe for me in town any more.	我知道，但現在警長和銀行家都盯上我了。鎮上對我來說已經不安全了。
You wan' me to talk to 'em for you? Maybe Salvatore throws his weight around a li'l, eh?	要不要偶幫你去跟他們談談？也許讓薩瓦多施點壓力，嗯？
No, no, no. It's not worth the trouble. I'll be back, Sal. And if I'm not... you take care.	不、不、不。不值得這麼麻煩。我會回來的，阿薩。要是我沒回來……你自己保重。
'Ay, you take care, too, you a nize boy.	嘿，你也保重啊，你這個好孩子。
Hey, I put a fire out last night and saved the town. Proud of me?	嘿，我昨晚撲滅了一場火，救了整個鎮。以我為榮嗎？
Of course I'm proud of you!	我當然以你為榮！
Hey, Sal!	嘿，阿薩！
'Ey, that's Salvatore to you, stranger. What can I do for ye?	嘿，對你來說是「薩瓦多」，陌生人。有什麼能為你效勞的？
Oh... that's right... um... I was here for a teeth cleanin'.	喔……對了……呃……我是來洗牙的。
Sorry, I gotta customer gettin' "The Works." That's gonna take all day.	抱歉，偶有個客人要做「全套服務」，得花上一整天。
Oh, no! He found an "All Day" sucker!	喔，不！他被纏上一整天了！
Don't go out on the street, now, Salvatore! There's a lot of shootin' and nastiness goin' on out there!	薩瓦多，先別上街！外頭正在槍林彈雨、烏煙瘴氣呢！
Thanks for the warnin', stranger! Much obliged!	謝謝你的提醒，陌生人！感激不盡！
(MUTTERING) |c1|'ey, hands off while I'm a-workin' onna this guy!|c|	（喃喃自語） |c1|嘿，偶在幫這位客人服務的時候，手別亂碰！|c|
Salvatore sings away, unmindful of your poking and prodding.	薩瓦多自顧自地唱著歌，沒留意到你在戳戳弄弄。
Ah, no thankee, lad. I had a wee bit of that stuff last night, anna whoo boy, I'm-a payin' today.	啊，不用了，謝謝，小老弟。偶昨晚喝了一點那玩意，唉呀，今天可有得受了。
I don't know nuttin' about fillin' no prescriptions, Miz Scarl... I meanna, Freddy!	偶對配藥這種事一竅不通啦，史卡……偶是說，佛萊迪！
Not awhile I'm a-workin', Freddy! I wouldn't want to be operatin' heavy machinery like this chair while under the influence, now, would I?	偶在工作的時候不行，佛萊迪！偶總不能醉醺醺地操作這張椅子這種重機械吧，是不是？
Nice job, Freddy! I hope you gotta big points for that!	幹得好，佛萊迪！希望你因此拿到不少分數！
Yepper!	沒錯！
I wish I'd-a thoughta that.	真希望偶自己想得到這一招。
Atsa nice offer, Freddy, butta my hemors aren't a-rhoiding.	這提議不錯，佛萊迪，不過偶的痔瘡沒在發作啦。
I'm-a not drinkin' beer, it throws off my clippin'.	偶不喝啤酒的，那會影響偶剪東西的手感。
It's water, not beer.	這是水，不是啤酒。
Ho, you thinkin' I'm-a just born offa da boat? I can tell-a da difference between water anna beer. I just lookit the label!	哦，你當偶是剛下船的菜鳥嗎？水跟啤酒偶還分得出來啦。偶就看看標籤而已！
You no needa my charity, Freddy. You doin' hokay.	你不需要偶的施捨，佛萊迪。你過得挺好的。
Say, that thing, she's-a sharper than mosta my dental instruments! You wanna trade for ol' rusty drill?	說真的，那東西比偶大部分的牙科器材都利！要不要拿來換偶那支生鏽的老鑽頭？
Nah, I don't think so. Thanks for the offer, though.	不了，我看還是不用了。謝謝你的好意就是了。
Some nize chunks-a charcoal. You wouldn't be takin' 'em from the Blacksmith's forge, would ya now, laddie-a?	這幾塊木炭挺不錯的。你該不會是從鐵匠的爐子那兒順來的吧，小老弟？
Smithie's gone, Sal. He hit the trail.	鐵匠史密走了，阿薩。他上路離開了。
Oh, I'm-a sorry to see 'em go... him bein' such a fine broth of a smithie, too.	喔，偶還真捨不得他走……他可是個挺不錯的鐵匠呢。
'Atsa nice strop! Good for sharpenin' blades! But I gotta whetstone, I no needa da strop. Thanks anyways!	這磨刀皮帶不錯！很適合磨利刀刃！不過偶有磨刀石了，不需要皮帶。還是謝了！
I'm-a not needin' that gas mask, laddie, as long as I'm-a stayin' inside!	只要偶待在屋裡，就用不著那個防毒面具，小老弟！
Don't be givin' it to me, lad. I'm-a not have any problems inna da lower regions!	別給偶那個，小老弟。偶下面那一帶可沒什麼毛病！
I don't needa da snails. I'm-a da vegetarian.	偶不需要蝸牛。偶是吃素的。
'Atsa not necessary, Freddy. You don't owe me any money! You haven't been in for a haircut or tooth job for months!	這沒必要，佛萊迪。你又不欠偶錢！你都好幾個月沒來剪頭髮或看牙了！
No-tanka you, Freddy, lad! You gotta Chianti?	不用了，謝啦，佛萊迪！你有奇揚地紅酒嗎？
Nope... sorry.	沒有……抱歉。
Too bad. 'Ow about a wee bit o' whisky, then?	真可惜。那來一小杯威士忌怎麼樣？
Sorry, none of the hard stuff.	抱歉，烈酒我這沒有。
Atsa always the way, eh? Same all over.	老是這樣，是吧？到哪都一樣。
Sorry, this-a week I only accept aluminum.	抱歉，偶這禮拜只收鋁製品。
Sure 'n that key notta belongin' to me!	那把鑰匙可不是偶的！
What, you wanna climb uppa me? Wanna see the toppa my head? Wotsa big deal?	怎樣，你想爬到偶身上？想看偶的頭頂是吧？有什麼大不了的？
Some hanka rope you're havin' there, laddie.	你手上那捆繩子挺不賴的嘛，小老弟。
I was going to tie you up.	我本來是要把你綁起來的。
Ah, couldn't be lettin' ye do that, now. Nope, nope.	啊，偶可不能讓你這麼做。不行，不行。
'Ay, I'm-a notta herd o' cattle! You should be usin' that lasso somewheres else, lad.	嘿，偶又不是一群牛！那條套索該用在別的地方，小老弟。
I'm-a no needin' that, Freddy! I'm-a sterilizin' my water wi' whisky!	偶用不著那個，佛萊迪！偶都用威士忌來消毒水的！
'Ay, now, we traded fair 'n square! I love-a doze French Postcards, I'm-a keepin' 'em! You keep-a da laughing gas! Feh!	嘿，偶們可是公平交易的！偶喜歡這些法國明信片，偶要留著！你就留著那個笑氣吧！哼！
Some pile o' baking soda you've got there, lad! Atsa real nize!	你那堆小蘇打粉還真不少，小老弟！挺不錯的！
You hand Salvatore your French Postcards.	你把法國明信片交給薩瓦多。
Your customers may not be able to read, Salvatore, but I bet they would enjoy looking at pictures!	薩瓦多，你的顧客也許不識字，但我敢說他們會喜歡看圖片！
# NOTE: 第137-138行雙關語（"The Works" 全套服務 / "All Day" sucker，棒棒糖與呆瓜雙關）中文無法完全對應，取其「花一整天纏著」的意思保留笑點結構，未逐字硬譯棒棒糖。
# NOTE: Salvatore O'Hanahan 為愛爾蘭裔義大利人，原文混雜愛爾蘭腔（laddie, 'ay, sure 'n）與義大利腔（atsa, gotta, hokay）；譯文以「偶」作第一人稱、輔以口語助詞模擬其外國腔調，僅用於此角色台詞，未在其他角色套用。
# NOTE: 第58行原文本身即刻意寫成不通順英文（narrator 戲仿），譯文保留同等生澀感，非誤譯。
