Hello, Hopalong Singh!	哈囉，阿星大俠！
An' that's how Freddy met his ironic ol' death... fum ingestin' horsey products that wuz never meant to be ingested. A few days later, all o' Coarsegold got bought up by some mysterious East Coast consortium, and... well... The rest, as they's fond of sayin', is history.	這就是佛萊迪那諷刺的死法……吃了根本不該吃下肚的馬用藥品給毒死的。沒過幾天，整個粗金鎮就被東岸一個神秘財團給買走了，然後嘛……剩下的，就跟人家常說的一樣，都成了歷史囉。
Too bad about thet, y'know. Guess Freddy's constitution couldn't handle th' noxious fumes that wuz expectoratin' through town. Seems to me a man with his edukashun shoulda known whut to do about a simple bit o'flatulence, but hey, I'm just a simple whittlin' sorta story-tellin' entertainin' kinda guy. And thet's m'story for now. Now git along into bed, it's past yer bedtime.	唉，說來也真可惜。俺猜佛萊迪的身子骨就是扛不住那股在鎮上竄來竄去的毒氣。照理說，像他那麼有學問的人，該懂得怎麼處理個小小的脹氣才對嘛，不過俺呢，也不過是個愛削木頭、愛講古逗人開心的老頭子罷了。今兒個的故事就講到這，快去睡吧，早就過了你的睡覺時間囉。
And thet's how Freddy done up and died... from eatin' mollusks without the proper accompanying condiments. And as fer Coarsegold, well, it wuzn't long before it was wiped from the face of the earth. (sob) (sob) (sniffle) (retch)	這就是佛萊迪的死法……吃了軟體動物，卻沒配上該有的佐料給害死的。至於粗金鎮嘛，沒過多久就從地表上消失了。（啜泣）（啜泣）（抽鼻子）（乾嘔）
So, sorry to say, thet's how Freddy Pharkas done up and died. Takin' medication he didn't need were the death of him, and it warn't long afterwards that Coarsegold fell into the hands of... of... Gol durn it, I'm too choked up to tell yuz how it all ended. <sniff>	唉，說來遺憾，佛萊迪·法卡斯就是這麼死的。吃了根本不需要的藥，要了他的命，沒多久粗金鎮就落到了……落到了……哎呀，俺哽咽得說不下去了，沒法跟你講後來怎麼了。〈抽鼻子〉
'Course, the rilly ironic thang is thet Freddy shoulda known better'n to drink that arful patent medicine. It wuz like to pourin' a bottle of grain alkyhol down yer gullet. Freddy died jes' a li'l while later, foamin' at the mouth and pointin' at sum purple wild dingos he thought he wuz seein'. Coarsegold came to a nasty end, whut with the... well, I don't like t' talk about it, it gimmee the ol' white trash blues.	說真的，最諷刺的是佛萊迪應該早知道不該喝那瓶劣質成藥。那味道就跟灌一整瓶穀物酒精下肚差不多。沒過多久佛萊迪就死了，嘴裡直冒白沫，還一直指著他以為看見的紫色野狗。粗金鎮的下場也很難看，那個……唉，俺不想多講，一講就讓俺心裡發悶。
Poor ol' Freddy Pharkas done laughed hisself to death... but the folks of Coarsegold, they wuzn't laughin' two weeks later when the whole town got bought up from underneath 'em. Ol' Willy's done spinnin' yarns fer now. This one always makes me go all teary-eyed and phlegmy.	可憐的老佛萊迪·法卡斯竟然是笑死的……不過兩星期後，整個鎮子被人從腳底下買走時，粗金鎮的鄉親們可就笑不出來了。老威利今兒個講古就講到這。這故事每次都讓俺紅了眼眶、哽咽不已。
Well, you gots to admit the fella died tryin' to defend his town. Now, we all either hadda leave town or get shot up anyways, so it's not as if Freddy'd done any real good, but it were still excitin' to have him around fer awhile. I guess that story don't end so good. Lemme see, have I told you th' one about the travelin' band uniform salesman and the librarian? Welp, it seems there was trouble in River City, and they had this pool table, and...	好啦，你也得承認，那小子好歹是為了保衛自己的鎮子才死的。俺們後來不是離鄉背井，就是照樣挨槍子兒，所以說佛萊迪其實也沒幫上什麼真正的忙，不過有他在的那陣子，倒也挺熱鬧的。俺猜這故事結局不怎麼好。讓俺想想，俺跟你講過那個賣樂隊制服的推銷員跟圖書館員的故事沒？欸，聽說是河城出了麻煩，他們有張撞球檯，然後……
So thet's how Freddy's brilliant career done come to a screechin' halt. He sank into the swamp and wuz never seen again. A shame, too, 'cuz the rest of us were kinda plannin' on bein' in the sequel. That ain't one of my better stories, anyhoo. Say, did I ever tell ya the story about ol' King Graham? It seems there wuz this evil wizard, and he got Graham into just a peck o' trouble...	佛萊迪那輝煌的前程，就這麼嘎然而止。他沉進了沼澤裡，再沒人見過他。也真可惜，俺們其他人本來還盤算著要在續集裡露臉呢。反正這也不算俺講得最好的故事。對了，俺跟你講過老葛拉漢國王的故事沒？聽說有個邪惡巫師，把葛拉漢害得麻煩纏身……
Kinda silly, but yep, that's how Freddy died... crushed by a load of bicarbonate while tryin' to put out the fire at the ol' Assay office. The whole town burned to the ground that night, and the British troops got turned back. British Troops? Waitaminnit, I'm getting confused. OH, okay, now I remembers. It wuzn't Freddy that got squashed by them sacks of powder, that wuz sumthin' else. Lemme go back and figger out what actually DID happen to Freddy Pharkas.	說來有點蠢，不過沒錯，佛萊迪就是這麼死的……在老驗金所滅火時，被一堆碳酸氫鈉粉包給壓死了。整個鎮子那晚燒個精光，英軍還被擊退了。英軍？等等，俺越講越糊塗了。喔，對，俺想起來了。被那堆藥粉包壓死的不是佛萊迪，是別的什麼東西。讓俺重新想想佛萊迪·法卡斯到底是怎麼回事。
Yep, Freddy fell down, went "boom." It were a sad day, we found 'em all squished and not really livin' anymore. 'Course, we had our own problems to deal with, all of a sudden-like. Thet's about when the town of Coarsegold ceased to exist, as we'd done known it. But thet's another story, boys 'n girls. I gots to be alone wif my thoughts fer awhile.	沒錯，佛萊迪摔了一跤，「碰」的一聲。那天真悲傷，俺們發現他被壓得扁扁的，早就沒了氣。當然啦，俺們自己突然間也有一堆麻煩事要應付。大概就是從那時候起，俺們熟悉的粗金鎮就不復存在了。不過那又是另一個故事囉，孩子們。俺得自個兒靜一靜。
Nope, Freddy didn't quite make it outta that schoolhouse alive. Nope, nope, nope, nope, nope. Nunh-unh. Penelope, she bought up the whole town, or whut wuz left of it after the explosion, and made a fortune with the oil rights. How wuz we to know the town wuz built on oil fields? We didn't even know whut oil wuz! We warn't STUPID, y'know. Just nobody'd told us whut OIL were! Fer corn's sake! Now I'm riled. Go tell yerself stories fum now on. Don't even talk to me.	不，佛萊迪根本沒能活著走出那間校舍。不、不、不、不、不。沒有的事。潘妮洛普把整個鎮子——或者說爆炸後剩下的部分——全買了下來，靠石油權大賺了一筆。俺們哪裡曉得這鎮子是蓋在油田上頭？俺們連石油是啥都不知道！俺們才不是笨蛋咧，只是沒人跟俺們說過石油是什麼玩意兒罷了！老天爺啊！現在俺可火大了。從今以後你自個兒去講故事吧，別再跟俺說話了。
Guess ol' Freddy just warn't thinkin' too well thet day. Them guns hadn't been fired in decades. The resultin' explosion took off Freddy's hands, his forearms, shattered his clavicle and broke his whutcha call your left tibia. He died kinda messy-like a couple hours later. As fer the rest of Coarsegold, well... let's just say it wuz laid to rest not long afterwards.	俺猜老佛萊迪那天腦子就是沒轉過來。那些槍已經幾十年沒開過火了。結果那一炸，把佛萊迪的雙手、前臂都炸沒了，鎖骨碎裂，連那個叫什麼……左邊的脛骨也斷了。幾個鐘頭後，他就這麼慘兮兮地死了。至於粗金鎮剩下的部分嘛……這麼說吧，沒多久也跟著入土為安了。
Yip, Freddy's itchy trigger finger got th' best of him. The sheriff wuzn't about to let Freddy git away with shootin' folks in cold blood. 'Course, the Sheriff pretty much shut down the town a few days later, throwin' everybuddy out inta the street. Never did figger out who he was actin' on behalf of, anyways. And thet's m'story fer now, boys and girls. Mah ol' epiglottis ain't whut she used ta be.	沒錯，佛萊迪那按耐不住的扳機指終究害了他。警長可不會放過他冷血殺人這件事。當然啦，沒過幾天警長就把整個鎮子給封了，把大伙兒統統趕到街上去。俺們始終沒搞清楚他是替誰辦事的。今兒個的故事就講到這，孩子們。俺這把老喉嚨，也不比從前囉。
So Freddy were left fer dead, oozin' blood inta the hard-packed dirt of the streets of Coarsegold. Not long afterwards, those who wouldn't git outta their beloved Coarsegold ended up the same way. Life's a real bitch sumtimes, ain't she? Pardon me now, nature's callin'.	佛萊迪就這麼倒在地上等死，血滲進了粗金鎮那堅硬的街土裡。沒過多久，那些捨不得離開心愛的粗金鎮的人，也落得同樣下場。人生有時候還真是磨人哪，是吧？俺先失陪了，內急啊。
Yip, Freddy met his death at the tip of a sword. Too bad, 'cuz he'd gotten so close to savin' Coarsegold from fallin' into Penelope's mercenary clutches. So Penelope went ahead with her little scheme. She bought up the town real cheap and made millions in the oil industry. She died just a few years back, but she wuz so rich that she had herself froze solid 'til they could find a way to bring her back to life. Ain't that a hoot?	沒錯，佛萊迪死在劍尖底下。真可惜，他當時眼看就要救下粗金鎮，不讓它落入潘妮洛普那雙貪婪的手裡了。於是潘妮洛普就這麼把她的小算盤打成了。她用低價買下整個鎮子，靠石油生意賺進幾百萬。她幾年前才過世，不過她有錢到把自己冷凍起來，等著哪天有辦法讓她死而復生。這不挺妙的嗎？
...Mebbe if Freddy'd found sum way to stop "Aces" before he'd won up all the deeds to the town, there'd still be a Coarsegold today. 'Course, Aces weren't actin' on his own, sumbuddy'd put him up to it. Never found out who or why, though. And as fer me, I got outta town by sundown and hightailed it to the Ozarks, where a man kin still be a man wifout other men questionin' me about bein' manly or not. But that ain't neither here nor there. Now get outta here.	……要是佛萊迪能在「王牌」把鎮子的地契全贏走之前想個法子攔住他，今天說不定還有粗金鎮在。當然啦，王牌不是自己一個人搞的，是有人在背後指使。不過俺始終沒查出是誰、又是為了什麼。至於俺自己嘛，天黑前就逃出了鎮子，一路跑到歐扎克山區去，在那兒男人還能堂堂正正做男人，沒人管你夠不夠男子氣概。不過這都是題外話了。你現在給俺滾吧。
Now it wuzn't as if Freddy didn't have enuf time to stop them snails, but somehow, he screwed it up but good. The snails ran over Coarsegold and slimed it to kingdom come. Those of us thet wuzn't kilt hadda leave town without bringin' anything with us. I wuz one of the ones that didn't make it. Thet's right, sonny! Yer talkin' to a GHOST! BOO!!! Nyah-ha-ha... <cough> <wheeze> <hack>	這倒不是說佛萊迪沒時間攔住那些蝸牛，不知怎麼搞的，他就是搞砸了。那些蝸牛橫掃粗金鎮，把整鎮黏得一塌糊塗。沒被害死的俺們，只能兩手空空逃離家鄉。而俺呢，就是沒能逃過一劫的那一個。沒錯，小子！你現在正跟一個鬼魂說話呢！哇啊啊！呀哈哈……〈咳嗽〉〈喘氣〉〈咳〉
So 'cuz Freddy couldn't think of a way to put out the fire, all of Coarsegold was in ashes by the next mornin'. The loss of life wuz tree-menjus, but somewhere, sumbuddy was sure happy about it, 'cuz before you knew it... Well, thet's another story, boys 'n girls.	就因為佛萊迪想不出法子滅火，隔天早上整個粗金鎮就成了一片灰燼。死傷慘重得不得了，不過在某個角落，有人肯定是樂歪了，因為不知不覺間……這個嘛，又是另一個故事囉，孩子們。
...and them rowdy cowhands, whom sumbody'd hired to come in and skare folks off a bit, ended up shootin' Freddy and chasin' everbody outta town. And as fer Coarsegold, well, none of us ever found out who wuz behind all the evildoin's. Not that we cared. It warn't that much of a town, anyways. Say, did I ever tell ya the story about a little nose-pickin' brat named Willy Beamish? Welp, it all started in this town that wuz mostly strip-malls...	……那些被人請來嚇唬鄉親的鬧事牛仔，後來把佛萊迪給斃了，還把大伙兒統統趕出鎮外。至於粗金鎮嘛，俺們始終沒查出這些壞事背後是誰搞的鬼。反正俺們也不怎麼在乎，這鎮子本來也沒多了不起。對了，俺跟你講過那個愛挖鼻孔的小屁孩威利·畢米許的故事沒？欸，一切都是從一個滿是購物商場的小鎮開始的……
That's how it all ended. Freddy'd let the whole dang town die o' the creepin' cruds. I wuz lucky, I stuck to whisky so's I wouldn't get poizoned by the town's drinkin' water. Iffn only Freddy'd used his pharmacological powers fer the good o' the town. <sigh> Then this story'd mighta had a happier endin'.	這一切就這麼結束了。佛萊迪讓整個該死的鎮子染上怪病死光光。俺算幸運，俺只喝威士忌，才沒被鎮上的飲用水給毒到。要是佛萊迪能把他那身藥學本事用在鎮子的福祉上就好了。〈嘆氣〉這故事說不定就會有個圓滿一點的結局。
So after awhile, most folks in town plum passed out from the noxious fumes. Them that didn't get kilt by the aroma got kilt when sum idjit struck a flint. Anyways, it was a painless way t' go, even if it were kinda nauseating. And Freddy, well, at least he didn't have to reckon with his secret past anymore. Now if Freddy had just thunk a little bit faster an' a little bit smarter, things mighta turned out a mite different. Now, how 'bout another story, or did you wanna hear this one again?	過了一陣子，鎮上大部分人都被那股毒氣熏得昏死過去。沒被臭氣熏死的人，又被某個蠢蛋擦火石給引爆炸死了。反正，這死法倒是不怎麼痛苦，就是有點噁心。至於佛萊迪嘛，好歹他再也不必去面對自己那段秘密的過去了。要是佛萊迪當初能想得快一點、聰明一點，事情或許會有點不一樣的結局。好啦，要不要俺再講一個，還是你想再聽一遍這個？
So before he hardly got nowhere, Freddy sold out to the Banker and walked outta Coarsegold with enough cash to start a new life somewheres else. Naah, we don't keep in touch no more. I kinda resent the guy, him sellin' us all down the river and sich. We all hadda give up our propitty after that. For all I know, he died in a pharmacy, and good riddance to him. He wuz never nuttin' special, anyway. I forgit why I even brought him up.	所以還沒怎麼折騰，佛萊迪就把自己賣給了那個銀行家，揣著足夠的現金離開粗金鎮，到別處展開新生活去了。不，俺們早就沒聯絡了。俺其實挺恨那小子的，他這樣把大伙兒都給賣了。俺們後來都被迫放棄了自己的財產。就俺所知，他大概是死在哪間藥局裡吧，死了也好，少了個禍害。反正他也從來不是什麼了不起的人物。俺都忘了自己幹嘛提起他了。
Sierra Customer Service	Sierra 客戶服務
Sierra Sales	Sierra 業務部
Sierra Technical Support	Sierra 技術支援
Technical Trouble-Shooting Tips	技術疑難排解小技巧
Warranty Information	保固資訊
Game Hints	遊戲提示
EXIT	離開
Call our friendly Customer Service folks about returned merchandise, back orders, defective merchandise, company policy, and general game information.	有關退貨、缺貨補寄、瑕疵商品、公司政策以及遊戲相關資訊，歡迎致電我們親切的客戶服務人員洽詢。
To speak to a real live human, call: U.S.A. (800) SIERRA5 U.K. 44 734 303 171 Europe 33 146 01 4600	想跟真人客服講話，請撥打：美國 (800) SIERRA5 英國 44 734 303 171 歐洲 33 146 01 4600
To fax your questions, dial: U.S.A. (408) 644-2018 U.K. 44 734 303 362 Europe 33 146 31 7172	傳真您的問題，請撥打：美國 (408) 644-2018 英國 44 734 303 362 歐洲 33 146 31 7172
NOTE: |c0|No game hints will be given out over the phone!|c| If you want a hint, look elsewhere in this "Help" menu.	注意：|c0|電話中恕不提供遊戲提示！|c| 如需提示，請至本「說明」選單的其他項目查詢。
To order copies of any other fine Al Lowe game (or even a non-Al game), call our direct sales lines: U.S.A. (800) 757-7707 U.K. 44 734 303 362 Europe 33 146 01 4600	想訂購 Al Lowe 其他精彩作品（或是其他非 Al 遊戲），請撥打我們的直撥業務專線：美國 (800) 757-7707 英國 44 734 303 362 歐洲 33 146 01 4600
To fax your order, include your name, address, phone number, credit card number and expiration date, to: U.S.A. (408) 644-2018 U.K. 44 734 303 201 Europe 33 146 31 7172	傳真訂購時，請附上姓名、地址、電話號碼、信用卡卡號及有效期限，傳至：美國 (408) 644-2018 英國 44 734 303 201 歐洲 33 146 31 7172
Technical assistance is merely a phone call away. Call for convenient, person-to-person service at: U.S.A. (206) 644-4343 U.K. 44 734 303 171 Europe 33 146 01 4600	技術協助只需一通電話。歡迎撥打以下號碼，享有便利的專人服務：美國 (206) 644-4343 英國 44 734 303 171 歐洲 33 146 01 4600
Technical assistance is also available via fax at: U.S.A. (408) 644-7697 U.K. 44 734 303 362 Europe 33 146 31 7172	技術協助也提供傳真服務，號碼為：美國 (408) 644-7697 英國 44 734 303 362 歐洲 33 146 31 7172
If you prefer to correspond by mail, be sure to give us detailed information on both your computer system and the nature of your problem. Please include your address and telephone number in case we need additional information.	若您偏好以信件聯繫，請務必詳述您的電腦系統規格與問題狀況，並附上地址及電話號碼，以便我們在需要時進一步聯繫。
Send your written request to: Sierra On-Line, Inc. Attention: Technical Support P. O. Box 85006 Bellevue, WA 98015-8506	書面申請請寄至：Sierra On-Line, Inc. 收件人：技術支援部 P. O. Box 85006 Bellevue, WA 98015-8506
Sierra Technical Support is also available through: |c3|*|c|Our U.S.A. BBS: (206) 644-0112 or our U.K. BBS: 44 734 304 227 |c3|*|c|CompuServe: GO GAMAPUB, Sierra ID 76004,2134 |c3|*|c|Prodigy: Tech Support ID WBWW55A |c3|*|c|America On-Line: Keyword Sierra |c3|*|c|GEnie: Private E-Mail to Sierra.sup	Sierra 技術支援也可透過以下管道取得：|c3|*|c|美國 BBS：(206) 644-0112，或英國 BBS:44 734 304 227 |c3|*|c|CompuServe：輸入 GO GAMAPUB, Sierra ID 76004,2134 |c3|*|c|Prodigy：技術支援代號 WBWW55A |c3|*|c|America On-Line：關鍵字 Sierra |c3|*|c|GEnie：私訊 Sierra.sup
If you're experiencing any type of technical difficulties with your program, here are some suggestions you might try.	若您在使用本程式時遇到任何技術問題，以下有幾點建議可供參考。
1. |c0|Review the README file in the CD's root directory.|c| To do this, change to your CD drive (typically D:<enter>), then type README. The README file may contain additional instructions since the documentation was printed.	1. |c0|請查看光碟根目錄下的 README 檔案。|c| 作法是切換到您的光碟機（通常輸入 D：<enter>），再輸入 README。由於說明書印製後可能有異動，README 檔案內或許有補充說明。
2. Boot your system with the Boot Disk you created. (See Boot Disk Instruction in the Sierra Game Manual.) Then reinstall and run the game under a Boot Disk environment.	2. 用您製作的開機磁片來啟動系統（開機磁片作法請見 Sierra 遊戲手冊），然後在開機磁片環境下重新安裝並執行遊戲。
3. If applicable, select "Do Not Use Extended Memory" for your memory option.	3. 若適用，請在記憶體選項中選擇「不使用擴充記憶體」。
If your problems continue, call or fax Sierra Technical Support. The numbers are listed elsewhere in this menu.	若問題依然存在，請致電或傳真 Sierra 技術支援，號碼詳見本選單其他項目。
Answers to our most frequently asked technical questions are available by calling our Automated Technical Support Line (which we call "Robo-tech") at |c1|(206) 746-8100|c|. Follow the menus. If your specific issue is not addressed, you may write or fax us with your questions.	常見技術問題的解答，可撥打我們的自動技術支援專線（俗稱「機器人技術員」）|c1|(206) 746-8100|c| 查詢，依語音選單操作即可。若您的問題未在其中，可另行來信或傳真詢問。
Answers to our most frequently asked technical questions are also available on the free Sierra BBS. At the Main Menu, select the option for Technical Help and then select the Top 10 Technical Issues.	常見技術問題的解答，也可在免費的 Sierra BBS 上查詢。在主選單中選擇「技術支援」，再選擇「十大技術問題」即可。
If you need a replacement diskette, or are dissatisfied with this product in any way, see your Sierra Game Manual.	若需要更換磁片，或對本產品有任何不滿，請參閱您的 Sierra 遊戲手冊。
OUR PROMISE: We want you to be happy with every Sierra product you purchase from us. Period. If for any reason you're unhappy with the product, return it within 30 days for an exchange or a full refund... EVEN IF YOU BOUGHT IT RETAIL!	我們的承諾：我們希望您購買的每一項 Sierra 產品都能讓您滿意，就這麼簡單。若您因任何理由對產品不滿意，請於 30 天內退回，即可換貨或全額退款……即使是在零售店購買的也一樣！
THE ONLY CATCH: You've got to tell us why you don't like it. Otherwise, we'll never get better. Send it back to us and we promise we'll make things right. (If you bought it at a retail outlet, please send us your original sales receipt.)	唯一的條件：請告訴我們您不滿意的原因，不然我們永遠沒辦法進步。把產品寄回給我們，我們保證會妥善處理。（若您是在零售店購買，請附上原始購買收據。）
No, this isn't a menu of hints. You'd cheat. We know you would, because we play games, too, and we cheat every chance we get.	不，這不是提示選單。你一定會作弊的。我們很清楚，因為我們自己也玩遊戲，只要有機會就會作弊。
But we have a lot of ways for you to GET hints.	不過我們有很多管道可以讓你拿到提示。
Hints are available by phone, hint books (order through the Sierra Sales Department), through the Sierra BBS, the ImagiNation Network (formerly The Sierra Network), many on-line services, or by mail.	提示可透過電話、提示書（向 Sierra 業務部訂購）、Sierra BBS、ImagiNation Network（原 Sierra Network）、多項線上服務，或郵寄方式取得。
If you want an immediate response, you can call our 24 hour Hint Line at: U.S.A. |c3|(900) 370-5583|c| U.K. |c3|44 734 304 004|c| Europe |c3|33 136 68 4650|c|	若想立即得到答案，可撥打我們的 24 小時提示專線：美國 |c3|(900) 370-5583|c| 英國 |c3|44 734 304 004|c| 歐洲 |c3|33 136 68 4650|c|
The charge is $0.75 each minute. U.K. customers are charged the normal rate for U.K. telephone calls. |c0|Callers under the age of 18 must get their parents' permission before calling the Hint Line. ABSOLUTELY NO HINTS WILL BE PROVIDED THROUGH OUR CUSTOMER SUPPORT LINES.|c|	每分鐘收費 0.75 美元。英國客戶則以英國一般電話費率計算。|c0|未滿 18 歲者撥打提示專線前，須先取得家長同意。客戶服務專線絕對不提供任何遊戲提示。|c|
Help With ...	說明主題...
He was born in old St. Louie,	他生於古老的聖路易，
By the age of four Dad knew he was the	才四歲，老爹就看出他是
Best little crackshot the West had ever seen.	西部有史以來，最神的小神槍手。
By the time he reached pubescence,	才到了情竇初開的年紀，
He could outshoot all the adolescents	他就已經技壓群雄，
West of Durango and North of Abilene.	打遍杜蘭戈以西、阿比林以北，無人能敵。
Pharkas, Freddy Pharkas.	法卡斯，佛萊迪·法卡斯。
Famous gunslingin' deputy.	赫赫有名的槍手副警長。
Freddy Pharkas, Freddy Pharkas,	佛萊迪·法卡斯，佛萊迪·法卡斯，
Frontier hero-to-be.	未來的邊疆英雄。
Then one day young Freddy Pharkas	直到有一天，年輕的佛萊迪·法卡斯
Stared at eyes as black and dark as Night, the	直視著那雙漆黑如夜的眼睛，
Eyes of an outlaw, well-known throughout the West.	那是西部惡名昭彰的亡命之徒的雙眼。
Oh, the tough kid's name was Kenny,	喔，那狠角色的名字叫肯尼，
And he outdrew Freddy Pharkas when he	他拔槍比佛萊迪·法卡斯還快，
Shot Freddy's ear off, to prove who was the best.	一槍轟掉佛萊迪的耳朵，證明誰才是真正的高手。
Now our hero, Freddy Pharkas,	如今我們的英雄，佛萊迪·法卡斯，
With his wounded pride and earless carcass,	帶著受創的自尊與缺耳的身軀，
Vowed to the heavens to give up gunnery.	對著蒼天發誓，從此金盆洗手不再摸槍。
He'd be better off, he reckoned,	他心想，自己不如
With the lifelong dream that always beckoned:	追求那個一直召喚著他的畢生夢想：
Pestles, not pistols, and pharmacology.	藥杵而非手槍，還有藥學。
Pharkas, Freddy Pharkas,	法卡斯，佛萊迪·法卡斯，
Highest score on his S.A.T.,	學測考出最高分，
Freddy Pharkas, Freddy Pharkas.	佛萊迪·法卡斯，佛萊迪·法卡斯。
Five-year college degree.	讀了五年拿到學位。
After Fred matriculated,	佛萊迪入學之後，
Got his Ph.D. and graduated,	拿到博士學位順利畢業，
Moved out to Coarsegold and bought a pharmacy,	搬到粗金鎮，開了一間藥局，
He's a real prescription writer,	如今他是正牌的處方箋開立人，
And they don't know he's an ex-gunfighter,	沒人知道他曾是個槍手，
Locked up his mem'ries, repressed them totally.	他把回憶鎖了起來，壓抑得徹徹底底。
But his peaceful new survival	可他這份平靜的新生活，
Soon was shot to hell upon arrival	很快就被轟得粉碎，因為
Of Coarsegold's schoolmarm, the sweet Penelope.	粗金鎮那位甜美的女教師，潘妮洛普，來了。
She has captured Fred's affection,	她擄獲了佛萊迪的芳心，
But he's scared he'll get a huge... rejection,	可他怕自己會被狠狠地……拒絕，
Can't bear to tell her just what he used to be.	不忍心告訴她自己過去的身分。
Frontier Pharmacist bourgeoisie,	邊疆藥師，布爾喬亞氣息，
Peerless, earless and free!	無人能敵、缺了一耳、自由自在！
Now the whole town still remembers	如今全鎮的人都還記得
How the old schoolhouse was blown to embers,	那間老校舍是怎麼被炸成灰燼的，
Though Miss Primm's body was never, ever found.	儘管潘妮洛普小姐的遺體始終沒被找到。
While the Sheriff and the Banker	而警長與那位銀行家
Left the folks of Coarsegold red with anger,	讓粗金鎮的鄉親們氣得面紅耳赤，
So, tarred and feathered, they ran 'em out of town.	於是鄉親們把他們塗上瀝青、裹上羽毛，趕出了鎮外。
And Srini, he became an	而斯里尼呢，則成了
Ordinary Rexall Teepee Shaman	一個平凡的雷克索帳篷薩滿，
Down on the Pecos, where Injun hearts still burn.	在佩科斯河畔，那印第安魂魄依舊熾熱之地。
While the townsfolk, safe from danger,	而鎮民們躲過了危險，
Talk about that silver-earlobed stranger,	仍在談論那位有著銀耳垂的陌生人，
Where did he come from, and when will he return?	他究竟從何而來，又何時會歸來？
Black gold fields were his legacy.	黑色的油田，就是他留下的傳奇。
out of 999 points! Not bad fer a tenderfoot!	／999 分！對一個菜鳥來說已經很不錯了！
out of 999 points! Hold yer head up high, Buckaroo!	／999 分！抬頭挺胸吧，牛仔小子！
out of 999 points! Yer mama'd be so proud!	／999 分！你老媽肯定與有榮焉！
He looks like he could be a faithful Indian sidekick.	他看起來像是個忠心耿耿的印第安夥伴。
Look out, Freddy--Injuns! No, wait! This one's an Indian. A REAL Indian. From India! He sits atop an anthill, surrounded by swarms of ants, looking trapped. You feel sorry for him. If there were only some way you could help him.	小心啊，佛萊迪——印第安人！不，等等！這位是印度人。貨真價實的印度人。來自印度的那種！他坐在一座蟻丘上，被成群的螞蟻包圍，一副進退不得的模樣。你不禁替他感到難過。要是有什麼辦法能幫上他就好了。
An Indian sits atop an anthill, surrounded by swarms of ants. He looks trapped. You feel sorry for him. If there were only some way you could help him.	一位印度人坐在蟻丘上，被成群的螞蟻包圍。他看起來進退不得。你不禁替他感到難過。要是有什麼辦法能幫上他就好了。
Thank you again, Mr. F. I am so much grateful!	再次感謝你，法先生。在下真是感激不盡！
Oh? Grateful enough to accept the assistant's position I mentioned earlier? I could really use some help out around the shop.	喔？感激到願意接下我之前提過的助手職位嗎？我這藥局裡真的很需要人手幫忙。
I would be honored! Where do I begin?	那真是我的榮幸！我該從何開始？
