This is a good place to get hitched!	這裡正是拴馬——呃，喜結良緣的好地方！
Peering through Mom's greasy glass, you can see she's open for business. You've always been fond of Mom's cooking... at least, the first time it goes down!	透過老媽那油膩膩的玻璃窗望進去，看得出她還在營業。你一直很喜歡老媽的手藝……至少第一口吞下去的時候是這樣！
You feel a twinge of guilt, knowing you were at least partially responsible for Mom's closing. You vow to make it up to her, somehow.	你隱隱感到愧疚，畢竟老媽餐館歇業多少跟你脫不了關係。你發誓總有一天要補償她。
If Mom catches you smearing her windows, she'll smear your face.	要是被老媽逮到你亂抹她的窗戶，她會把你的臉也抹一頓。
Rain barrels are such an important aspect of life in an arid, drought-scourged landscape like this. Water running off the buildings' roofs is channeled through gutters and downspouts into storage... Oh, wait a minute. This is just an old whisky barrel. Forget it!	在這種乾旱缺水的地方，集雨桶可是生活中不可或缺的一環。屋頂的雨水經由排水溝和落水管收集儲存……喔，等等。這只是個舊威士忌桶。當我沒說！
No, no, no! |c2|Tuesday|c| is your turn in the barrel!	不、不、不！|c2|星期二|c|才輪到你進桶子！
You do your "Peeping Freddy" routine with the Hotel window. Furtive shadows steal across the walls inside. What little light seeps into the Hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)	你對著旅館窗戶來一段「偷窺佛萊迪」戲碼。鬼鬼祟祟的影子在牆上晃過，透進屋內的微光曖昧地勾勒出模糊的形體。（噁心到有詩意了！）
You address the hotel window:	你對旅館窗戶說道：
You've made yourself perfectly clear! Hee hee hee!	你表達得再清楚不過了！嘿嘿嘿！
(You're losing it, Freddy.)	（你快瘋了，佛萊迪。）
Rubbing your finger on the hotel window barely removes any dirt. (Apparently there was more dirt going on INside than OUTside!)	你用手指抹了抹旅館窗戶，幾乎抹不掉什麼髒污。（看來裡頭發生的骯髒事，比外面的灰塵還多！）
You really can't reach that window from here. But hey, a Pharmacist's reach should exceed his grasp!	你這裡真的搆不到那扇窗戶。不過話說回來，藥師的野心本該超越自己的臂長！
It's locked, stock and barrel!	鎖得死死的，一點縫都沒有！
Your arms aren't quite that long!	你的手臂沒那麼長！
Mom's Cafe awaits the hearty traveler who has a thing for good food-- but isn't afraid to eat here anyway!	老媽餐館正等著那些愛吃美食——卻又不怕死照樣進來吃的硬漢旅人！
A crudely-lettered sign reads, "Mom's's Cafe's dun bin closed by order of the sheriff. Health Code violations is all the reason he needs!"	一塊字跡潦草的告示寫著：「老媽餐館已依警長命令歇業。違反衛生法規，理由夠充分！」
Mom's closes up at night, ever since the Great Kerosene Shortage of '85.	自從八五年那場煤油大缺貨後，老媽餐館晚上就不營業了。
Heeeelllloooooow!	哈──囉──！
But there is no response from within Mom's Cafe.	但老媽餐館裡沒有任何回應。
Mom! I'm hungry!	老媽！我餓了！
From inside, you hear Mom reply, "You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!"	你聽見老媽從裡面回話：「你會消化不良的！這麼晚吃東西不好！明天再來吧！」
It's locked! Mom's is closed! Sheriff Shift strikes again! (And stomachs all over town are heaving... sighs of relief!)	鎖住了！老媽餐館關門了！席夫特警長又出手了！（全鎮的胃都在翻騰……鬆一口氣的那種翻騰！）
Mom's seems to be locked.	老媽餐館似乎鎖住了。
Going to swing down like Tarzan? Wrong kinda movie!	想學泰山盪下去？你認錯片場了！
The Golden Balls Saloon is presently open. Since it only has swinging doors, it's ALWAYS open!	金球酒館目前是開著的。反正它只有一扇彈簧門，永遠都是開著的！
The remains of the Sugar Pine & Coarsegold's Engineer's Shack lie rotting on the south side of Main Street.	「糖松與粗金鎮鐵路」工程師小屋的殘骸，在大街南側逐漸腐朽。
Don't go poking in that hazardous eyesore. (The same warning applies to the Brothel!)	別去戳那個危險的眼中釘。（這句警告對妓院也一樣適用！）
These hitching posts serve as an excellent means of stabilizing unmanned horses.	這些拴馬柱可是固定無人看管馬匹的絕佳工具。
You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, not the post.)	你朝柱子俐落地劈了一記手刀。太好了！再來一兩下就會徹底斷掉。（斷的是你的手，不是柱子。）
Peering between every crack in the hotel's board sidewalk makes you 'board' yourself!	盯著旅館木板人行道的每道縫隙看，看得你都要「木」然了！
You rip the porch off of the hotel and put it in your pocket, just in case you need a porch later in the game. Kidding. Just a little adventure game humor there. Don't bother looking in your inventory.	你把旅館的門廊拆下來塞進口袋，以防遊戲後面用得到門廊。開玩笑的啦，不過是冒險遊戲的老哏。別費心去道具欄找了。
You can't reach the porch from here.	你這裡搆不到門廊。
Ah, many's the young cowpoke who had to quickly lower himself off of this balcony with a bunch of knotted sheets. (Usually stark nekkid!)	啊，不少年輕牛仔曾靠著打結的床單，匆忙從這陽台溜下去。（而且通常是一絲不掛！）
Considering all the abuse given to this balcony over the years from stuntmen, it's in surprisingly good shape.	想想這些年特技演員對這陽台的各種摧殘，它的狀況出乎意料地好。
Mom's front porch is almost as large as her rear entry.	老媽餐館的前門廊，幾乎跟她的後門一樣大。
Poor Mom. You almost wish you hadn't dumped that horse patty inside her eating area. But-- you vow to make it up to her somehow!	可憐的老媽。你幾乎後悔把那坨馬糞丟進她的用餐區。不過——你發誓總有一天會補償她！
Many an early-morning customer of yours has spent the night sleeping on these well-stained boards.	你不少一大早上門的顧客，前一晚都是睡在這片滿是污漬的木板上。
They hang porch-rustlers in these parts.	這一帶，偷門廊的人是要被吊死的。
The door to the Hotel is locked. The hotel was shut down unexpectedly. This put a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)	旅館的門鎖著。這間旅館無預警歇業，害兩名櫃檯人員和五位「服務小姐」都丟了飯碗。（幸好沒請女傭，不然也一起被炒魷魚！）
Anybody in there?	有人在裡面嗎？
There's no response.	沒有回應。
Okay, I'll take that as a "no!"	好吧，俺就當作是「沒有」了！
You yank the knob a few times, but nothing happens. Then you try to open the door to the closed Hotel. No luck there, either.	你扭了幾次門把，什麼事也沒發生。接著你試著推開這間停業旅館的門，一樣沒用。
That would be quite a trick... opening the Hotel door from the balcony. You're not quite up to it. (Or down to it, as the case may be!)	從陽台開旅館大門，那可是個大絕活……你可沒那本事。（或者該說，沒那個「高」度！）
Once the heart of a thriving business district, there's not much left of beautiful downtown Coarsegold now.	曾經是繁華商業區的核心，如今美麗的粗金鎮市中心已所剩無幾。
Und chust how long haf you had zees desire to talk mit inanimate objects?	那麼，你這種想跟死物講話的癖好，到底有多久了，嗯？
It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless"?)	這正是粗金鎮那種「無價」氛圍的一部分！（還是該說「一文不值」？）
The ground is too hard-packed here.	這裡的地面太硬，踩得死死的。
Sam Andreas has a tough time keeping these large plate glass windows intact, since he's developed a habit of throwing rowdies out through them!	山姆·安德列斯很難讓這些大片玻璃窗保持完整，畢竟他養成了把鬧事的傢伙直接扔出窗外的習慣！
Careful, you never know when some airborne wino is going to come flying outta that window.	小心點，你永遠不知道什麼時候會有個醉漢從那扇窗飛出來。
Now there's a guy who's in constant pane!	這下這傢伙，真是痛（窗）苦不堪啊！
Poor fellow. It doesn't pay to pick a fight with Sam Andreas!	可憐的傢伙。跟山姆·安德列斯打架真的不划算！
There's no use talking to him. He's out cold.	跟他講話沒用，他已經昏過去了。
You'd like to help him. But he IS full of shards of glass, and you HATE the sight of blood!	你是想幫他啦。但他身上插滿玻璃碎片，而你最怕看到血了！
He doesn't need anything except a lifetime supply of Mercurochrome!	他什麼都不需要，只需要一輩子份量的紅藥水！
The window has been smashed into teeny weeny pieces. Fortunately, Sam has the foresight to install Safety Glass!	這扇窗被砸成細碎小片。幸好山姆有先見之明，裝的是安全玻璃！
Cutting yourself on the sharp edges of the broken window might make for some memorably disgusting animation, but it would also be an incredibly stupid thing for you to do.	被碎玻璃的尖銳邊緣割傷，或許能做出一段令人印象深刻的噁心動畫，但這麼做真的蠢到家了。
Poor Sam Andreas! It's a good thing he waters down his whisky so much, or else all of his profits would be consumed by glaziers.	可憐的山姆·安德列斯！還好他的威士忌摻水摻得夠兇，不然賺的錢全都要拿去付玻璃工的錢了。
You are surprised to see Billy, the town handyman, boarding up The Dirty Sheet Hotel.	你驚訝地看到鎮上的雜工比利，正在把「髒床單旅館」的門窗釘上木板。
Don't you find it frustrating to keep replacing that plate glass, Billy?	比利，老是要換那片玻璃，你不覺得很煩嗎？
Nope. I find it a real crack-up.	不會啊，俺覺得挺「破」有意思的。
Billy, the town handyman and jack-of-all-trades, is boarding up yet another Coarsegold business, the "Dirty Sheets Hotel," the finest hostelry in all of Eastern Madera County. (Okay, so maybe it was only the best after that other hotel shut down, but in its day, The Dirty Sheet was really something!)	比利，鎮上的萬能雜工，又在把粗金鎮另一家店面釘上木板——「髒床單旅館」，馬德拉郡東部最高檔的旅店。（好吧，其實是等另一家旅館關門後才變最高檔的，不過「髒床單」當年可真是了不起！）
Say, Billy! When did the ol' Dirty Sheet fold?	欸，比利！那間老「髒床單」是什麼時候倒的？
Oh, g'mornin' Mr. Pharkas. Why, just yestaday. It was a surprise to me too. Nobody told me nuttin' 'bout it until they gave me these boards.	喔，早安啊，法卡斯先生。就昨天的事。俺也是嚇了一跳，誰都沒跟俺說，直到他們把這些木板塞給俺。
I'd like to shake your hand, Billy. You are doing a fine job!	俺想跟你握個手，比利。你做得很好！
He looks at you a little funny.	他用有點奇怪的眼神看著你。
Here, Billy!	拿去，比利！
No thanks, Mr. Pharkas! I've already got one of those!	不用了，謝了，法卡斯先生！俺已經有一個了！
Shhhyeah, right.	是喔，隨便你說。
How nice! A pile of horse plop is baking in the sun, right in the middle of the road. (You make a mental note: hurry up and get around to inventing the Poop Scoop.)	真棒！一坨馬糞正在路中央曬太陽。（你在心裡記一筆：得趕快發明「便便鏟」了。）
You bravely, stupidly grab ANOTHER steaming, fly-laden horse plop. This one is even more texturey than the last one!	你英勇又愚蠢地抓起另一坨熱騰騰、蒼蠅環繞的馬糞。這坨的「口感」比上一坨還豐富！
Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	看樣子老媽也想搭上喜劇俱樂部的風潮。告示上寫著：「即將登場——開放麥克風之夜。使出全力！保證笑死你！」
It's too dark to make out what's written on that bunting.	天色太暗，看不清那面彩布上寫了什麼。
The fabric has been pre-treated to resist those pesky dust storms, stampedes, flash floods, tsunamis, monsoons, and droughts.	這塊布料經過特殊處理，能抵擋惱人的沙塵暴、牛群暴衝、山洪、海嘯、季風和乾旱。
Not from down here, you can't!	你在這下面可辦不到！
You've got no reason to put the canister on the railing. (At least, not YET.)	你沒理由把罐子放在欄杆上。（至少現在還沒有。）
|c0|FORESHADOWING ALERT! FORESHADOWING ALERT!|c|	|c0|伏筆警報！伏筆警報！|c|
It's the canister of nitrous oxide. You put it there yourself. Remember?	這是氧化亞氮罐，你自己放在那裡的，記得嗎？
You decide that the canister of nitrous oxide would look better somewheres else.	你覺得那罐氧化亞氮擺在別的地方會更好看。
Just fly there. (NOT!!)	飛過去就好啦。（才怪！！）
Freddy Pharkas? You wuz askin' about Freddy Pharkas? The man whut saved Coarsegold, only nobody knowed it wuz him? Why, jes' hop up here on ol' Whittlin' Willy's lap and I'll tell ya all about it.	佛萊迪·法卡斯？你在打聽佛萊迪·法卡斯？那個救了粗金鎮、卻沒人知道是他救的傢伙？來，坐到老削木威利的腿上來，俺跟你從頭說起。
Apparently Mom's jumping on the comedy bandwagon. The banner reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	看樣子老媽也想搭上喜劇的風潮。布條上寫著：「即將登場——開放麥克風之夜。使出全力！保證笑死你！」
You've got no reason to put the canister on the railing. At least, not YET.	你沒理由把罐子放在欄杆上。至少現在還沒有。
Mom's Cafe must have good food -- all the stagecoaches stop there!	老媽餐館的菜一定不錯——所有驛馬車都在那停靠！
You decide that the canister of nitrous oxide would look better somewhere else.	你覺得那罐氧化亞氮擺在別的地方會更好看。
Please, stranger. I'm simply not in the mood. Why don't you go bother Trixie, the Accommodating Sheep?	拜託，陌生人。俺現在沒那個心情。你何不去煩「隨和的羊」翠西呢？
Here, Chester. Maybe it'll help you through these tough times.	拿去，切斯特。或許能幫你撐過這段苦日子。
No thank you, sir. I still have my dignity. That's the one thing they can't take away from me.	不用了，謝謝你，先生。俺還有尊嚴，那是他們唯一奪不走的東西。
You've never seen Chester Field look so downtrodden. Why, he looks like he's lost his best friend. He's wearing a sandwich board, upon which has been VERY hastily scribbled, "Will polish ears for stagecoach fare."	你從沒見過切斯特·菲爾德這麼落魄的樣子。他看起來就像失去了最好的朋友。他身上掛著一塊三明治廣告牌，上頭潦草地寫著：「代客擦耳朵，換一張驛馬車票。」
Polish your ear, Mister? I'm trying to get stagecoach fare to Chicago.	幫你擦擦耳朵吧，先生？俺想湊點錢買去芝加哥的驛馬車票。
No thanks, Chester. I'm broke. But hey, doesn't the trip to Chicago by stagecoach take just about forever?	不用了，切斯特，俺身上沒錢。不過話說回來，坐驛馬車去芝加哥不是要花上一輩子嗎？
Well, yes, but I've always wanted a life on the stage!	呃，是沒錯，不過俺一直很想過「舞台」上的生活嘛！
(ba-dump bump!)	（登楞！）
Hoping Chester won't recognize you with your new disguise, you approach him with a friendly smile.	你希望切斯特認不出偽裝後的你，於是帶著友善的笑容走向他。
Say, pardner, that's a woeful little sign you're carrying there, "Will polish ears for stagecoach fare." What's the problem? Why so down on your luck?	老兄，你掛的這塊牌子挺可憐的啊，「代客擦耳朵，換一張驛馬車票」。怎麼回事？為什麼這麼倒楣？
Well, I'll tell you, even though I usually don't talk to silver-disguised strangers. There's a man inside who's the best gol-damned poker cheat I've ever seen. I never even knew he's was stealing my store until it wuz all over. You see, I bet everything I owned, including my store, on a queen-high straight flush! And that son of a gun had a king-high!	好吧，俺就告訴你，雖然俺一般不跟穿一身銀的陌生人講話。裡面有個傢伙，是俺見過最會出老千的撲克牌高手。俺一直到全輸光了才發現他在坑俺。俺把身家全押上去，連店都賭了，手上是Q高順子！結果那狗娘養的是K高！
Don't feel bad, fella, I would have probably done the same. By the way, did you get this gambler's name?	別難過，老兄，換作是俺大概也會這樣。對了，你有問到那個賭徒的名字嗎？
Name? Shore did. Wheaton Hall is his name, but everybody calls him 'Aces.' And I kin see why!	名字？當然問了。他叫惠頓·霍爾，不過大家都叫他「王牌」，俺完全懂為什麼！
Thanks for your time, and I hope things work out for you! I think I might just pay Mr. Aces a little call!	謝謝你撥空，也希望你順利！俺想俺該去拜訪一下這位「王牌」先生了！
Good luck to you stranger, if'n yur a'gonna git inta that game!	祝你好運了，陌生人，要是你真打算進去玩那一局的話！
Thanks. I'm wearing my lucky neckerchief, so I'm not too worried.	謝了。俺戴著幸運圍巾呢，不太擔心。
Shhyeah, right. Are those bloodstains on there?	是喔，隨便你說。那上頭是血漬嗎？
The door to the Hotel is locked. The ol' Dirty Sheet was shut down unexpectedly putting a total of two desk clerks and five working girls out of jobs. (Fortunately, there weren't any maids, or they'd have been fired, too!)	旅館的門鎖著。老「髒床單」無預警歇業，害兩名櫃檯人員和五位「服務小姐」都丟了飯碗。（幸好沒請女傭，不然也一起被炒魷魚！）
Peering between every crack in the hotel's board sidewalk makes you "board" yourself!	盯著旅館木板人行道的每道縫隙看，看得你都要「木」然了！
You really can't reach that window from here. But hey, a pharmacist's reach should exceed his grasp!	你這裡真的搆不到那扇窗戶。不過話說回來，藥師的野心本該超越自己的臂長！
You do your "Peeping Freddy" routine with the hotel window. Furtive shadows steal across the walls inside. What little light seeps into the hotel plays teasingly at vague forms and shapes. (How nauseatingly poetic!)	你對著旅館窗戶來一段「偷窺佛萊迪」戲碼。鬼鬼祟祟的影子在牆上晃過，透進屋內的微光曖昧地勾勒出模糊的形體。（噁心到有詩意了！）
It's locked! Mom's is closed! Sheriff Shift strikes again! Stomachs all over town are heaving... but this time it's sighs of relief!	鎖住了！老媽餐館關門了！席夫特警長又出手了！全鎮的胃都在翻騰……不過這次是鬆一口氣的翻騰！
(OFF MIKE) You'll get indigestion! It's not good to eat so close to bedtime! Come back tomorrow!	（畫外音）你會消化不良的！這麼晚吃東西不好！明天再來吧！
You deliver a swift karate chop to the post. Excellent! One or two more and you'll have it completely broken. (Your hand, that is!)	你朝柱子俐落地劈了一記手刀。太好了！再來一兩下就會徹底斷掉。（斷的是你的手！）
It feels like part of the ambience that makes Coarsegold so priceless! (Or should that be "worthless?")	這正是粗金鎮那種「無價」氛圍的一部分！（還是該說「一文不值」？）
What are you gonna do, hang off the balcony and steal their hats? Dream on!	你想幹嘛，吊在陽台上偷他們的帽子？想得美！
A whole fleet of rowdy cowhands seems to have invaded Main Street. They're shooting around indiscriminately (the barbarians!). Did they do this just for the fun of it? Or did somebody put them up to it?	一整批粗魯的牛仔似乎入侵了大街。他們亂開槍掃射（真是野蠻！）。他們是純粹找樂子，還是有人在背後唆使？
That's the germ of an idea. Unfortunately, you need some way to make SURE that gas gets set off!	這算是個點子的雛形。可惜你還需要想個辦法，確保那些氣體一定會被引爆！
|c0|Hey, you guys! CUT IT OUT!|c|	|c0|喂，你們這些傢伙！住手啦！|c|
They can't even hear you above the sound of their own obnoxious yelling and the frequent gunshots. Looks like you'll have to be just a |c2|bit|c| more forceful.	他們自己吵吵嚷嚷加上槍聲不斷，根本聽不見你在喊什麼。看來你得再強硬|c2|一點|c|才行。
You encounter dozens of rowdy cowhands from that cattle drive outside of town who are carelessly firing their guns everywhere and frightening (not to mention killing) the locals.	你遇上一群從鎮外趕牛隊來的粗魯牛仔，足足有好幾十個，正到處亂開槍，嚇壞（更別說殺傷）當地居民。
Luckily, the rowdy cowboys don't notice you from down below.	幸好，樓下那群粗魯的牛仔沒注意到你。
The Barber Shop is locked up tight at night.	理髮店晚上鎖得緊緊的。
This door leads to Salvatore O'Hanahan's combination barber shop and dental emporium. Just don't ask him about his heritage. He's VERY confused.	這扇門通往薩瓦多·歐哈納翰的理髮兼牙醫複合店。千萬別問他祖籍的事，他自己也搞得很亂。
Salvatore O'Hanahan, the town barber, doesn't appreciate men touching his pole.	鎮上的理髮師薩瓦多·歐哈納翰，可不喜歡別人碰他的旋轉燈柱。
Like all proud red-blooded Italian-Irish-American barbers, Salvatore O'Hanahan is extremely proud of his pole. (Actually, he almost had to give it up when they levied an expensive pole tax!)	就像所有血氣方剛的義裔愛爾蘭裔美籍理髮師一樣，薩瓦多·歐哈納翰對他的燈柱格外自豪。（其實他們一度課了很貴的「柱子稅」，差點讓他被迫放棄！）
Do you have any relatives named Gallup?	你有沒有姓蓋洛普的親戚？
Salvatore O'Hanahan's barber shop and dental emporium is still open for business.	薩瓦多·歐哈納翰的理髮兼牙醫店仍在營業中。
Hey, don't take that sign, it isn't yours. It's Salvatore's. He stole it from a barber shop in San Jose!	喂，別拿那塊招牌，那不是你的。是薩瓦多的，他是從聖荷西一家理髮店偷來的！
The sign says "O'Hanahan's Barber Shop."	招牌上寫著「歐哈納翰理髮店」。
You can't talk to the sign! (It only knows sign language!)	你沒辦法跟招牌講話！（它只懂「手語」！）
You wipe a smudge of something off the window.	你把窗戶上的一團污漬擦掉。
Hey, this isn't road dirt! It's hair oil!	喂，這不是路上的泥巴！是髮油！
Peering through the window, you think you see a barber inside!	你透過窗戶望去，似乎看到裡面有個理髮師！
The stage wuz set fer Freddy's showdown. Wait, did I say "slowdown?" I meant "showdown. No, I DID say "showdown," didn't I? I thought I did, I warn't sure.	舞台已經為佛萊迪的對決搭好了。等等，俺剛是不是說成「對付」了？俺是說「對決」啦。不對，俺是不是真的說了「對決」？俺以為俺有說，不太確定。
You can't reach it from here. Be VERY thankful!	你這裡搆不著。你該萬分慶幸！
