You can't play now.	現在還不能玩。
This is the thick, bubbly, foul dark water that seems to be oozing from the ground all through town and creating nothing but a messy problem for the townsfolk.	這是那種又濃又冒泡的惡臭黑水，似乎從鎮上到處的地底滲出來，只為鎮民添了一堆麻煩。
You don't want to touch it. It gets all over everything, smells bad, and won't come off.	你不會想碰它的。沾到哪都是，臭得要命，又洗不掉。
Why not just walk on out there to the middle of the swamp and give it a try?	何不乾脆走到沼澤中央試試看？
Main Street comes to an end here in the thick, mucky swamp; beyond it lies the Old Abandoned Mine.	大街到這裡就沒入濃稠泥濘的沼澤，再過去便是那座廢棄礦坑。
Your words bounce over the swamp and echo into nothingness.	你的話音掠過沼澤，回盪一陣後便消散無蹤。
You leave that right where it is, ya young whippersnapper!	你把那東西原封不動放著，小屁孩！
That would be like trying to dig up mud.	那就跟想挖泥巴沒兩樣。
That's the Old Abandoned Mine, once run by the Old Abandoned Mine Company, Inc. You remember blowing it up in the demo! (It was Coarsegold's original "'Ore House!")	那是廢棄礦坑，以前由「廢棄礦業股份有限公司」經營。你還記得在試玩版裡把它炸掉的事！（那可是粗金鎮原本的「礦」業重鎮！）
You can't take it, it's not yours! Besides, there's no way over to the mine anymore, what with the swamp getting wider, thicker and deeper all the time.	你不能拿，那不是你的東西！再說，現在也沒辦法過去礦坑了，沼澤越來越寬、越來越稠、越來越深。
This tree isn't doing too well, what with its roots soaking up all that mucky swampwater.	這棵樹長得不太好，畢竟樹根整天泡在那些泥濘的沼澤水裡。
It feels solid on the outside. (But it's retching on the inside!)	摸起來外表挺結實。（但內心正翻騰作嘔呢！）
Could I have misjudged the surface tension?	難道是我錯估了表面張力？
The swamp seems thick enough to hold your weight!	這沼澤看起來夠濃稠，撐得住你的體重！
Some unhealthy-looking scrub grows in the area.	這一帶長著一些看起來病懨懨的灌木叢。
You've got no use for these sickly shrubs.	這些病懨懨的灌木，你派不上用場。
The shrubs here by the swamp are particularly sad-looking.	沼澤邊這些灌木叢，長得特別可憐。
You don't want to be carrying around any sickly plants.	你不會想隨身帶著這些病懨懨的植物。
You remember a time, not too long ago, when these leaves were glossy and healthy.	你還記得不久之前，這些葉子曾經油亮又健康。
The leaves are far out of reach, along with everything else on the far side of the swamp.	這些葉子遠在沼澤對岸，跟其他東西一樣搆不著。
The tree leaves here are dying and diseased.	這裡的樹葉正在枯萎、生著病。
You wouldn't want those leaves even if you could reach 'em.	就算搆得到那些葉子，你也不會想要。
The Old Abandoned Mine Office is no longer used. But it's still fondly remembered!	廢棄礦坑辦公室早就沒人用了。但大家仍懷念著它！
The Old Abandoned Mine Office is too far away to reach.	廢棄礦坑辦公室太遠了，搆不著。
These old mining car tracks are rusted and beyond their useful lives.	這些老舊的礦車軌道早已鏽蝕，壽命也到頭了。
You can't reach those tracks from this side of the swamp!	從沼澤這一側，你搆不到那些軌道！
Something awful and fetid is bubbling up in great big blurps from the murky depths of the swamp.	從沼澤幽暗的深處，冒出一團團惡臭難聞的大氣泡。
Yuck! Your skin crawls at the very thought.	噁！光是想到就讓你渾身起雞皮疙瘩。
Chances are you'll need that. Don't be tossing it into the swamp.	你八成用得到那東西，別把它丟進沼澤裡。
Why not just walk on out there to the bubbles and try to do some digging?	何不乾脆走到那些氣泡那裡，試著挖挖看？
This is the west end of Bluff Street, which runs parallel to Main Street. Collier Bluff sweeps across the north side the street here; beyond it stretches the great painted desert. But you can't get there from here! (In fact, you can't get there from anywhere.)	這裡是斷崖街西端，與大街平行。柯利爾斷崖橫亙街道北側，再過去便是遼闊的彩繪沙漠。但你沒辦法從這裡過去！（其實，你從哪裡都到不了那裡。）
You start to say something to that, but think better of it.	你正想開口說些什麼，但轉念作罷。
Bluff Street is just a little too large to take with you.	斷崖街這條路，你可沒辦法打包帶走。
The ground here is too hard for digging.	這裡的地面太硬了，挖不動。
The trees of Coarsegold, like the citizens, grow gnarled and bent.	粗金鎮的樹，跟鎮民一樣，長得歪七扭八。
These branches are high out of reach. It's a perspective thing.	這些樹枝高得搆不著，這是透視角度的問題。
That's Hyman Untertaekker's shop. He's the town undertaker.	那是海曼·安德泰克的店。他是鎮上的殯葬業者。
The place appears to be locked and shuttered. Come to think of it, you haven't seen Hyman in a couple of days. Ordinarily, that would be suspicious. But given what's been happening in town lately, it seems pretty normal.	這地方看起來門窗緊鎖。仔細想想，你已經好幾天沒看到海曼了。照理說這很可疑，但看看鎮上最近發生的種種怪事，這其實還算正常。
High in the sky stands the town gallows. (Ernest & Julio GallowsO4 Brand Lynching Equipment: "We will hang no man before his time.")	高聳入天的是鎮上的絞刑架。（「歐內斯特與胡里奧」牌私刑器材：「我們絕不提早吊死任何人。」）
It's Temple Beth-Gesundheit.	這是「貝斯健康」猶太會堂。
The Synagogue is closed. There are no Jews in Coarsegold, there never were. But the building contractor and the architect sure had fun scaring the folks of Coarsegold!	這座猶太會堂沒有開放。粗金鎮從來沒有猶太人，一個也沒有。不過建商跟建築師倒是拿這件事把鎮民唬得一愣一愣，玩得挺開心！
An Old Abandoned shack stands by the alleyway between Bluff and Main Streets.	斷崖街與大街之間的巷弄旁，立著一間廢棄小屋。
Hands off, this property belongs to the Old Abandoned Company.	手拿開，這是「廢棄公司」的財產。
The sign says "Hyman Untertaekker... Und You're Not!"	招牌寫著：「海曼·安德泰克……你可不是（死人）！」
If you're looking for a sign, maybe you should play one of those Bible Trivia games.	你要是想找「徵兆」，不如去玩玩聖經知識問答遊戲。
They started to build an outhouse here, but municipal funds ran out during construction. So the builder did a half-assed job!	他們本來要在這裡蓋一間戶外茅廁，但蓋到一半市府經費用完了。所以建商只做了半調子！
It seems unusually wobbly, even for an outhouse.	就算是茅廁，這棟也搖得太誇張了。
The tall stone fenceposts are pebbled and worn from years of rain, wind and tourists.	這些高聳的石頭籬柱，經年累月被風吹雨打、遊客摸來摸去，表面坑坑疤疤。
The fenceposts feel pebbled and rough from years of wind, rain and tourists. Of course, you could have known THAT just by looking at them!	摸起來這些籬柱坑坑疤疤又粗糙，那是多年風吹雨打加遊客把玩的痕跡。當然啦，這種事光用看的你也知道！
That's a Shears Craftsperson Graveyard-Quality Shovel standing in the dirt.	那是一把插在土裡的「席爾斯工匠墓園級」鏟子。
You consider doing your crooning routine, using the shovel as a mike stand. But hey, where's the audience?	你考慮來一段深情獻唱，把鏟子當麥克風架用。但是，嘿，觀眾在哪呢？
Glancing furtively around to see if Doug's within sight, you grab his shovel.	你偷偷張望四周，確認道格不在附近後，抓起了他的鏟子。
You can't reach the shovel from out here.	你在這裡搆不到那把鏟子。
There's a recently-filled grave in ReBoot Hill.	「重開機墓園」裡有座剛填好土的新墳。
It's bad enough that you want to take dirt from someone's grave... but do you have to do it with your bare hands, too?	你想從別人墳墓上挖土已經夠糟了……難道還非得徒手挖不可？
You don't need any more clay from the grave.	你不需要再從墳墓挖更多黏土了。
You can't reach the grave from this side of the fence.	從籬笆這一側，你搆不到那座墳墓。
You start to dig up the freshly-laid grave. Muscles that haven't been used in years begin to groan and whine. But with the gritty determination of a professional grave-robber, you toil on... and on... and on...	你開始挖掘這座新墳。多年沒用過的肌肉開始又痠又痛。但你憑著職業盜墓者的堅毅精神，不斷挖著……挖著……挖著……
You can't dig up the grave from here!	你在這裡沒辦法挖那座墳墓！
Finally, after digging for what seems to be hours (but through the miracle of computer animation, only takes YOU a few seconds), you uncover the casket of... your ol' buddy Phil Graves! You open up the casket and take a look.	終於，挖了彷彿好幾個鐘頭（但多虧電腦動畫的神奇魔力，你其實只花了幾秒鐘），你挖出了一具棺材……裡頭躺的正是你的老朋友菲爾·格雷夫斯！你打開棺材看了一眼。
Y'know, most people can't carry off this "rigor mortis" thing and still look stylish and relaxed. But Phil wears it really well.	你知道嗎，大部分人搞不定「屍僵」這回事，還能看起來時髦又放鬆。但菲爾穿起這身「行頭」倒是挺合適。
Doug McCarkus, the town's lone gravedigger, performs his sad, solitary task at graveside. (If you listen close, you can hear him muttering something about Union rules.)	道格·麥卡克斯，鎮上唯一的掘墓人，獨自在墓旁埋頭做著這件悲傷的差事。（仔細聽，還能聽見他喃喃唸著工會規定什麼的。）
Hey, Doug, you big lug! How's it going?	嘿，道格，你這個大塊頭！最近怎樣啊？
Doug shrugs.	道格聳了聳肩。
Don't bug Doug 'til his digging's dug.	道格還沒挖完之前，別去煩他。
It's a pile of rich, reddish dirt from the grave. (In fact, it's more clay than dirt, which explains all the lush growth around here!)	這是一堆從墳墓挖出來、肥沃的紅褐色土。（其實與其說是土，不如說是黏土，難怪這一帶長得這麼茂盛！）
You grab a handful of clay from the pile beside the grave. (Well, you never know, it COULD come in handy.)	你從墳墓旁的土堆抓了一把黏土。（誰知道呢，說不定用得到。）
You can't reach that pile of dirt from here.	從這裡搆不到那堆土。
You've already got enough clay for one game.	這局遊戲裡，你手上的黏土已經夠用了。
You've taken your clay; now lie in it.	黏土你拿了，現在就躺在裡頭吧。
It's an open grave. Even a world-weary, seen-it-all Pharmacist like yourself, one who deals with cold sores, headaches, and diarrhea on a daily basis, still can't shake that uneasy feeling one gets when standing close to Death.	這是一座敞開的墳墓。就算是你這種見多識廣、看破紅塵的藥劑師，天天處理唇皰疹、頭痛、拉肚子這些小毛病，站在死亡旁邊，還是會有股揮之不去的不安。
What are you looking for, gold fillings? C'mon, you've defiled Phil Graves' unfilled grave enough already!	你在找什麼，金牙填充物嗎？得了吧，你褻瀆菲爾·格雷夫斯這座還沒填土的墳墓，次數也夠多了！
You carefully search through the many pockets of Graves's three-dollar suit, until you discover... the safe deposit box key you entrusted to Phil oh so many years ago!	你仔細翻遍格雷夫斯那套三塊錢西裝的每個口袋，終於發現……多年前你託付給菲爾保管的保險箱鑰匙！
You can't reach the open grave from here.	從這裡搆不到那座敞開的墳墓。
That's okay, you just keep that key. Phil doesn't need it back.	沒關係，鑰匙你留著就好。菲爾不需要拿回去了。
In a touching display of emotion (and a hidden desire to carry a little less around with you), you fold up Philip's letter and place it under his folded hands.	你動情地（其實也是想少帶點東西在身上）把菲利普的信摺好，放進他交疊的雙手底下。
I guess this makes Phil a correspondence corpse!	這樣看來，菲爾也算是個「通信」屍體了吧！
You begin the arduous task of replacing the heaping mound of dirt, one shovelful at a time... over... and over... and over...	你開始吃力地把那堆土一鏟一鏟填回去……一次……又一次……又一次……
You can't use the shovel on the grave from out here.	從這裡沒辦法拿鏟子填那座墳墓。
Finally, after what seems like only a few seconds (but which, through the miracle of good programming, actually takes you several hours), you carefully fill up Philip's grave!	終於，感覺上只過了幾秒鐘（但多虧優良程式設計的神奇魔力，其實花了你好幾個鐘頭），你仔細把菲利普的墳墓填好了！
A noose swings lazily in the breeze... always a gloomy sign.	一條絞繩隨風懶洋洋地搖曳……向來不是什麼好兆頭。
You know what I always say... "No noose is good noose!"	你知道我常說什麼……「沒有絞繩才是好消息！」
Hey, what's noose? How's it hangin'?	嘿，絞繩，最近怎樣？吊得還好嗎？
The noose seems to say, "Knot too well. Can't talk now, I'm all tied up!"	絞繩彷彿在說：「不太『結』實。現在沒空講話，我可是被綁得死死的！」
But it's knot within reach!	但它「結」果搆不著！
A rickety old fence stands by Collier Bluff, ready to fall down at any second.	柯利爾斷崖旁立著一道搖搖欲墜的老籬笆，隨時都可能倒塌。
You give it a shake, and the whole length of fence quivers. Dry rot and bullet holes have sapped the wood of its strength.	你搖了一下，整道籬笆都跟著顫抖起來。木頭朽壞加上彈孔累累，早就沒了強度。
One of those bottles is full of water; drink it before you do anything else!	那些瓶子裡有一瓶裝滿了水；做別的事之前，先把它喝了吧！
There's no point in setting up target practice until you're ready to start shooting!	你都還沒準備好開槍，擺靶練習根本沒意義！
You can't reach the fence from here. But keep stretching; you'll add inches to your biceps and tone those lateral obliques!	從這裡搆不到籬笆。不過繼續伸展也好，能練壯你的二頭肌，順便雕塑一下腹外斜肌！
Srini's waiting for you to start your target practice.	斯里尼正等你開始練靶呢。
From here, it looks like Srini, your faithful Indian sidekick!	從這裡看過去，那是斯里尼，你忠實的印度裔夥伴！
Srini is patiently waiting for you to get your gunslingin' outfit together.	斯里尼耐心等著你把槍手行頭準備齊全。
Welp, Srini, I think I'm ready to try some target-shooting. You ready?	好啦，斯里尼，我想我準備好要練靶了。你呢？
Of certainly. I am without a desire to wait any further for to stand in front of your blazing guns and take my life in your hands to help you perfect your shooting.	那是自然。我毫無意願再多等一刻，好站到你那把火熱的槍口前，把自己的性命交到你手上，助你練就完美槍法。
How do you wanna start?	你想怎麼開始？
Perhaps it would be besting if you placed some targets upon the fenceposts, for a commencement.	或許，作為開端，將靶子安放於籬柱之上，乃是較佳之選。
Don't yell from here. You'll wake the dead!	別在這裡大吼大叫，你會把死人都吵醒的！
Srini, what are you waiting for?	斯里尼，你在等什麼？
You! The soonest you can arrange a disguisement of your right ear, and complete an outfit most befitting of a gunslinging-type person, the soonest we can get you dressed!	你啊！你越早把右耳的偽裝安排妥當，把最適合槍手身分的行頭備齊，我們就能越早把你打扮好！
Close physical contact between men is frowned upon in your country, is it not?	在你的國家，男人之間的親密肢體接觸是不被允許的，對吧？
I guess so.	我想是吧。
Good! Please to keeping it thusly.	很好！還請如此保持下去。
You can't poke Srini from here!	你在這裡沒辦法戳斯里尼！
You'll have to get closer to him.	你得靠他近一點才行。
Those bottles would be making excellent target practice targets, Freddy! If it were not for the filling of water in one of them. Drink up!	佛萊迪，那些瓶子拿來當練靶靶子再好不過了！只可惜其中一瓶裝滿了水。喝了它吧！
In my country, we have struggled for years to learn to do without the need for ice picks.	在我的國家，我們花了多年苦心鑽研，學會不需要鑿冰錐也能過活。
Provided you are prepared to practice shooting, set the bottles upon the fenceposts and we can commence to begin starting!	只要你準備好練習射擊，就把瓶子放上籬柱，我們便可以著手開始起頭了！
You are a most fortunate individual to be holding keys. I struggle much of my life to find keys.	你能握有鑰匙，實在是個幸運至極之人。我這輩子多半的時間都在苦苦尋覓鑰匙。
Srini, my boy, you just have to know where to click.	斯里尼老弟，你只需要知道該點在哪裡。
You do? Humph and humph! I have never thought of clicking!	是嗎？哼哼！我從未想過「點擊」這回事！
The ladder that saved my life! I remember it finely!	那座救了我一命的梯子！我記得可清楚了！
Are these for keepsies?	這些是要送我的嗎？
Um... I was just showing them to you.	呃……我只是拿給你看看而已。
I do not want them. Your American women are too skinny as it is.	我不需要那些。你們美國女人本來就已經太瘦了。
Do not threaten me, Freddy Pharkas! I am working out as well as I am!	別威脅我，佛萊迪·法卡斯！我這身鍛鍊可不是蓋的！
I am dodging too fast for you to see. That is the way of my people.	我閃躲的速度快得你看不見。這是我族人的方式。
Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can partake of it. But I love us both for our differences.	啊，蘋果派。看著它，我只能想到成千上萬顆蘋果為了這塊派犧牲時的哀嚎。我不明白一個有思想的人怎麼能夠享用它。但我倆的差異，正是我喜愛之處。
I prefer Golden Shower Herbal Tea. I like mine tepid... with a twist!	我比較喜歡「金雨」花草茶。我喜歡溫溫的……再加點花樣！
Ooh, you keep that now, Freddy Pharkas. You can be using it to ensure guns are clean enough to use with impunity.	喔，你留著那個吧，佛萊迪·法卡斯。你可以用它確保槍枝夠乾淨，用起來才不會出岔子。
They appear as though to be most effective, they are having to be propelled with much force from a firing chamber!	這些東西看來效果十足，得靠槍膛使勁的力道才能發射出去！
Oh! You have clay! Now you are really the hero I thought you were!	喔！你有黏土了！現在你真的是我心目中的英雄了！
That is a most handsome and clever use of my medallion! Now all you need is other things for your disguise.	這真是巧妙又體面地運用了我的勳章！現在你只需要其他東西來完成偽裝了。
What else do I need?	我還需要什麼？
I believe you should have something different than your current shoes, something other than your current clothes, loaded and cleaned pistols, and something for good luck! Then wear your ear, and I will know you are ready to be all dressed up like a big cowboy!	我認為你該換雙不同的鞋、換套不同的衣服、備妥上膛清潔好的手槍，還要有個帶來好運的東西！接著戴上你的耳朵，我就知道你已經打扮妥當，像個道地的西部牛仔了！
You keep those, Freddy Pharkas! They can help make you look like a real Western Hero!	這些你留著吧，佛萊迪·法卡斯！它們能幫你看起來像個真正的西部英雄！
As, yes! It will be ready on Tuesday! Hee hee hee. I have made a funny. Excuse my jocularity. I do not know whence this piece of paper comes.	啊，對！星期二就會好了！嘻嘻嘻。我開了個玩笑。請見諒我的詼諧。我也不知道這張紙是打哪來的。
Yes, they are truly boots worthy of a Western Hero! May you have an opportunity to wear them with pridefulness.	沒錯，這雙靴子真是配得上西部英雄！願你有機會自豪地穿上它們。
I do not recognize it, but it is a handsome addition to any wardrobe.	我不認得這東西，但它絕對是衣櫃裡體面的一員。
This is your personal mail. I am not reading it now or ever!	這是你的私人信件。我現在不會看，以後也不會看！
You are walking around with a shovel. Surely that is unusual.	你扛著一把鏟子到處走。這肯定不太尋常。
That Freddy Pharkas! I never know what to expect from you yet!	那個佛萊迪·法卡斯啊！我永遠猜不透你下一步要幹嘛！
I am full up of that. But thanks to you anyway.	那個我已經吃很飽了。不過還是謝謝你。
You are a lost-wax casting fool, Freddy Pharkas! Ways to go!	佛萊迪·法卡斯，你真是個脫蠟鑄造狂！厲害！
