A child's slate sits rests on a nearby desk.	一塊小朋友的石板擱在附近的書桌上。
As you bend down to pick up your gunbelt, Penelope hurls the Derringer straight at your head!	就在你彎腰去撿槍帶時，潘妮洛普把德林傑手槍直直朝你的頭扔了過來！
You resignedly unbuckle your holsters, letting your guns slip to the floor. Penelope appears to relax a little, but her finger is still on the trigger of the Derringer. Looks like she might shoot at any moment!	你無奈地解開槍套扣環，任槍枝滑落地面。潘妮洛普似乎稍微放鬆了一點，但手指仍扣在德林傑手槍的扳機上。看樣子她隨時都可能開槍！
A couple of Civil War swords, or at least fabulous replicas from the Frankenheimer Mint, are mounted high up on the wall.	牆上高處掛著兩把南北戰爭軍刀，或者說是法蘭肯海默鑄造廠出品的精美複製品。
There's no way to reach that when Penelope's got a gun pointed straight at you!	潘妮洛普的槍正對著你，你根本沒辦法搆到那個！
It's a copy of AMERICAN HISTORY FROM THEN 'TIL NOW. All 33 pages' worth!	這是一本《美國歷史從古至今》，足足有33頁的份量！
Now's no time to brush up on the American Revolution! All 33,000 deaths worth!	現在可不是複習美國獨立戰爭的時候！那可是死了三萬三千人的歷史！
This is the one-room schoolhouse. It's a lot dingier and darker on the inside than it looked from the outside... just like Penelope!	這是那間只有一個教室的校舍。裡頭比外表看起來更加陰暗骯髒……就跟潘妮洛普一樣！
Now's not the time for idle chit-chat! It's time for ACTION!	現在不是閒聊的時候！是時候採取行動了！
That won't help you |c0|now|c|, Freddy!!	那|c0|現在|c|對你沒有幫助，佛萊迪！！
It's a fascinating book about Puff and Spot... a dragon and a soda-pop character. You've got no time for Sex Ed right now!	這是一本講「小噗」和「小點」的有趣書……一隻龍和一個汽水造型的角色。你現在沒空上性教育課！
You've got no time to brush up on your reading skills!	你現在沒空複習你的閱讀能力！
It's all about Bob, Dick 'n Jane. And how much fun it was for Bob and Jane!	內容全是鮑伯、迪克跟珍的故事。還有鮑伯和珍玩得有多開心！
Some old camel's hair paintbrushes sit on the shelf. Just in case the kids decide they want to paint some camel hair!	架上放著幾支舊駱駝毛畫筆。以防哪天小朋友突然想畫駱駝毛！
This is no time for arts 'n crafts!	現在不是玩美勞的時候！
The latest and greatest American Flag stands limply at attention. A feeling not wholly unfamiliar to you!	最新款、最氣派的美國國旗有氣無力地立正站好。這種感覺你並不陌生！
This would be a terrible time to wrap yourself in the flag! It has a very low armor factor!	現在把自己裹進國旗裡簡直是糟糕透頂的主意！它的防禦力低得可憐！
There's a large chalkboard on the wall behind the teacher's desk.	老師講桌後方的牆上掛著一塊大黑板。
Wait 'til the teacher calls on you. And somehow, you don't think she will!	等老師點你回答問題吧。不過你總覺得，她大概不會點你！
Looks like somebody started a very nice portrait of George Washington... the Father of Plywood Dentures!	看來有人開始畫了一幅喬治·華盛頓的精美畫像……那位「三合板假牙之父」！
Now's no time to be taking pictures!	現在不是拍照的時候！
That's one of the hanging lamps that helps illuminate the peaceful, yearning, upturned faces of the ignorant and uneducated... who come in on Parents' Day to see how their children are doing.	那是懸掛的燈具之一，用來照亮那些無知未受教育之人平靜、渴盼、仰望的臉龐……他們會在「家長參觀日」進來看看自己孩子的表現如何。
There's more than enough light for you to see what you need to do.	這裡的光線已經足夠讓你看清該做的事了。
You see row upon row of quaint school desks, complete with one-piece bench, desktop and ink well. Eww, one of 'em still has a pigtail stuck in it.	你看見一排排古樸的學校課桌椅，附有一體成型的長椅、桌面和墨水池。噁，其中一張還卡著一條辮子。
You briefly consider throwing or hiding behind a desk, but decide instead that cool concentration and cunning are the secrets to bringing this encounter to a quick and just conclusion.	你一度考慮丟課桌或躲到課桌後面，但轉念一想，冷靜專注與機智才是迅速、公正解決這場對峙的關鍵。
The left window is closed.	左邊的窗戶關著。
What are you trying to do, beat a hasty retreat? Deal with the problem at hand, Freddy!	你想幹嘛，倉皇逃跑嗎？先解決眼前的問題吧，佛萊迪！
This window's propped open.	這扇窗戶被撐開著。
Your life is in jeopardy. Don't make things worse by making the room stuffier. And no, you can't escape by leaping from the window! Penelope would run you through the moment you turned your back.	你的性命危在旦夕。別讓房間變得更悶熱，讓情況更糟。而且不行，你不能跳窗逃跑！你一轉身，潘妮洛普就會一劍刺穿你。
This stove keeps the kiddies warm in the winter, and dries their mukluks.	這座暖爐冬天用來給小朋友取暖，也用來烘乾他們的雪靴。
The stove is cold and empty. How like Penelope's heart!	暖爐又冷又空。就跟潘妮洛普的心一樣！
Some old chunks of hardwood sit in the scuttle.	煤桶裡放著幾塊舊硬木柴。
Neither the chunks of wood nor the scuttle itself will help you out this mess!	不管是那些木柴還是煤桶本身，都幫不了你脫離這團混亂！
It's a rickety wooden bucket, long past usefulness and into the "quaint decor" mode.	這是個搖搖晃晃的木桶，早已失去實用價值，淪為「古樸擺飾」。
The old wooden bucket isn't sturdy enough to be of any use.	這個舊木桶不夠堅固，派不上用場。
There's a large, colorful map of California on the wall.	牆上掛著一張色彩繽紛的加州大地圖。
You can brush up on your geography |c0|later!|c| Have you tried playing "Gold Rush?"	你可以|c0|之後|c|再複習地理！你玩過「淘金熱」嗎？
There's a small map of the United States. Have you noticed how California, on the map to the right, appears to be larger than all the United States put together? That's California ego for you!	這裡有一張小小的美國地圖。你注意到了嗎，右邊那張地圖上的加州看起來比整個美國加起來還大？這就是加州人的自我膨脹！
Perfect! You grab the map, roll it up, and konk Penelope over the head with it. Not!	太好了！你抓起地圖，捲成一團，往潘妮洛普頭上一敲。才怪！
How nice! Some of the children's artwork has been placed up on the wall for all to admire.	真不錯！牆上貼著幾幅小朋友的作品，供大家欣賞。
Say, if only somebody would invent a box with an electric heat exchange unit and some sort of gaseous coolant, you could use magnets to affix these pictures to the outside of the box and display them thusly in a kitchen!	話說，要是有人發明一種裝有電動熱交換裝置和某種氣態冷媒的箱子，你就可以用磁鐵把這些畫貼在箱子外面，擺在廚房裡展示了！
But that's not important right now.	不過那現在不重要。
You resolve to return at a calmer moment and retrieve some of these pictures to decorate your pharmacy.	你打定主意，等情勢平靜下來後再回來拿幾幅畫，裝飾你的藥局。
There's an old broomstick leaning against the wall.	牆邊靠著一根舊掃帚。
No need to take the broom. It's not like you have to bring it back to the Wizard as proof that you defeated Penelope.	不必拿這把掃帚。你又不需要把它帶回去給巫師，證明你打敗了潘妮洛普。
You see a bench, where the children sit to remove their mukluks.	你看見一張長椅，小朋友會坐在這裡脫雪靴。
It's too heavy to be hurled effortlessly. Or even picked up. Or just moved.	它太重了，沒辦法輕鬆丟出去。甚至連搬起來、移動都做不到。
A row of pegs for coats is hung on the wall here. Looks like one of the children forgot to take his or her coat. There's gonna be hell to pay at home later!	牆上釘著一排掛外套的木釘。看來有個小朋友忘了拿走外套。回家後有得他好受了！
You rifle through the child's coat pockets, looking for loot, but you find nothing. You crum!	你翻遍了那件小孩外套的口袋，想找點值錢的東西，卻什麼也沒找到。你這卑鄙小人！
There on the wall are a couple of small daguerreotypes. Looks like the kids took some crayons to 'em.	牆上掛著幾張小小的銀版相片。看來小朋友拿蠟筆塗鴉過了。
Those li'l pictures are too flimsy to be of any use to you.	那些小照片太脆弱了，對你派不上用場。
The teacher's desk stands on the raised platform.	老師的講桌立在高起的講台上。
Nothing on the desk looks immediately useful to you.	桌上的東西看起來目前都派不上用場。
It's a ball of some sort, with strange markings all over it. At first, you think it's supposed to be the Earth, but the Earth is very slightly egg-shaped, so that obviously isn't it. Anyway, you scarcely have time to worry about it right now.	這是某種球體，上面佈滿奇怪的標記。你一開始以為那是地球儀，但地球其實是略呈蛋形的，所以顯然不是。總之，你現在根本沒空管這個。
You can't reach the strange orb!	你搆不到那顆奇怪的球體！
It looks like somebody's taken a bite out of McGruff's Reader!	看來有人啃了一口《麥格夫讀本》！
This is neither the time nor the place to brush up on your phonics. Well, okay, it's the |c0|place,|c| but it isn't the |c0|time.|c|	現在不是複習自然發音法的時間，這裡也不是地方。呃，好吧，這裡算是|c0|地方，|c|但現在不是|c0|時間。|c|
Textbooks and classics of literature sit on this shelf.	架上放著教科書和文學經典。
This is no time to be reading the classics! You'd be bored silly!	現在不是讀經典名著的時候！你會被悶壞的！
You fool, you've deliberately tried to ruin all my plans. I just wanted you to know I don't regret what I'm about to do. Say Hi-yo, Silver!	你這蠢貨，你存心要毀掉我所有的計畫。我只是想讓你知道，我對接下來要做的事沒有絲毫悔意。喊一聲「駕，銀駒！」吧！
"Hi-yo, Silver?"	「駕，銀駒？」
Ignoring Penelope turns out to be a bad idea. She decides you have inadequate ventilation.	無視潘妮洛普不是個好主意。她覺得你身上通風不夠好。
FREDDY! You?!	佛萊迪！是你？！
Yes, it's me.	對，是我。
Yes, it is |c2|I|c|.	沒錯，是|c2|鄙人|c|。
Boy, you can take the wicked villainous hoodwinking double- crossing lying slut out of the schoolteacher, but you can't take the schoolteacher out of the wicked villainous hoodwinking double- crossing lying slut!	老天，你或許能把那個邪惡狡詐、坑蒙拐騙、背信棄義的壞女人從老師身上拿掉，但你沒辦法把老師從那個邪惡狡詐、坑蒙拐騙、背信棄義的壞女人身上拿掉！
I suppose I may as well tell you, you know too much already. I'll never be able to let you live. I had just finished my education back in western Pennsylvania at the local Meadville Normal School when I saw a small ad on the school bulletin board seeking teachers for a "lovely little village, way out West, nestled high in the Sierra Nevada mountains."	我想我不妨告訴你，反正你知道得已經夠多了，我絕不可能讓你活著離開。我剛在賓夕法尼亞州西部的米德維爾師範學校完成學業，就在校園佈告欄上看到一則小廣告，徵求老師到「一個坐落在內華達山脈深處、迷人的西部小村莊」任教。
I wrote a letter of inquiry and was offered the position by the Coarsegold Board of Education. They even sent me stagecoach fare! Soon after my arrival (which you saw in the Prologue, I believe), I noticed the oily swamp behind the schoolhouse. Being a good Pennsylvania oil country girl, I grasped immediately that Coarsegold was literally oozing money!	我寫了一封詢問信，粗金鎮教育委員會就給了我這個職位。他們甚至還寄來了驛馬車車資！我抵達後不久（我想你在序幕裡看過了），就注意到校舍後方那片油膩膩的沼澤。身為土生土長、來自賓州油田地帶的姑娘，我立刻看出粗金鎮根本是遍地流油！
But I could never afford to buy mineral rights on the meager pittance they pay a single unwed female teacher, so I made a little arrangement with Mr. Balance. He foreclosed whichever mortgages he could, and convinced Sheriff Shift to shut down everyone else. Balance would get the land and buildings for a song and give me the mineral rights |c2|I|c| wanted, as long as I gave him what |c2|he|c| wanted!	但憑我這個未婚女教師微薄的薪水，根本買不起礦權，於是我跟貝倫斯先生做了個小小的安排。他能查封的抵押品就查封，還說服席夫特警長去把其他人統統趕盡殺絕。貝倫斯用低價拿到土地和建築物，再把|c2|我|c|想要的礦權給我，條件是我得給他|c2|他|c|想要的東西！
But Penelope! You seemed to be such a sweet, innocent young woman. How could you be such a SLEAZEBAG?	可是潘妮洛普！你看起來明明是那麼甜美純真的女孩。你怎麼能是這麼一個卑鄙小人？
Before I kill you, Mr. Gunslingin' Stranger Hero-type, let's find out who you REALLY are behind that silver ear!	在我殺你之前，這位槍手陌生英雄先生，我們先來看看你那銀耳朵背後真正的身分是誰！
It HAD to be me, Freddy. Don't you see? It's ALWAYS the person you LEAST SUSPECT.	一定得是我才行，佛萊迪。你還不明白嗎？永遠都是你最不可能懷疑的人。
I didn't suspect Srini. Couldn't it be him?	我沒懷疑過斯里尼。會不會是他？
It's a little late for that now.	現在說這個已經太遲了。
Wait! I REALLY didn't suspect ME!	等等！我真的從來沒懷疑過我自己！
Well, if it's YOU, then I'm doing the town a favor by disposing of you, aren't I? (SNICKER)	既然是你，那我把你除掉，也算是幫這個鎮上一個忙，不是嗎？（竊笑）
Penelope eyes the lantern sitting on the newel post.	潘妮洛普瞄了一眼樓梯柱頭上的燈籠。
Oops! How clumsy of me!	哎呀！我真是笨手笨腳！
Oh, well. Coarsegold won't be needing a schoolhouse anyway!	唉，算了。反正粗金鎮也用不著校舍了！
Wait! There were a lot of other people I didn't suspect!	等等！還有很多其他人我也沒懷疑過！
It's a kerosene lantern, way up out of reach.	那是一盞煤油燈，掛得太高，搆不到。
You are deluding yourself in a big way.	你根本是在自欺欺人。
It appears to be a harlequin doll, his eyes glaring at you in the flickering firelight, his mocking grin making you feel all oogy inside.	那看起來是個小丑娃娃，在搖曳的火光中瞪著你，那嘲弄般的笑容讓你心裡直發毛。
From here? You must be thinking of that other Al Lowe game, |c3|"Plastic Man, Frontier Pharmacist"|c|.	從這裡？你一定是把我跟艾爾·洛威的另一款遊戲搞混了，|c3|《塑膠人：邊境藥師》|c|。
This old pitcher is decorated with images of elder statesmen.	這個舊水壺上裝飾著幾位政治元老的畫像。
Dream on! And if you don't find a way out of this predicament quickly, you |c0|will|c| be dreaming on and on and on and on....	作夢吧！要是你不趕快想辦法脫困，你|c0|真的|c|會一直作夢，作個沒完沒了……
It's a little brown jug.	這是個棕色的小罐子。
Oh, sure, let's pour a little moonshine on the burning oil and see if |c0|that|c| helps. Anyway, you can't reach it from here.	喔，好啊，往燃燒的油上倒點私釀酒，看看|c0|那樣|c|有沒有幫助。反正你在這裡也搆不到它。
This decorative toy chest is old and worthless.	這個裝飾用的玩具箱又舊又不值錢。
Yes, crawling through the puddle of oil to get to the toy chest seems like a smashingly good idea, doesn't it? Think again, Brainiac!	沒錯，爬過那灘油去拿玩具箱，聽起來真是個超棒的主意，是吧？再想想吧，天才！
An old barrel of some sort stands far out of reach in the corner of the room.	房間角落立著某種舊木桶，離你很遠搆不到。
Try looking at it and reading the words very carefully.	試著仔細看看，把上面的字讀清楚。
There are a lot of books stacked up in the corner. You'd like to read some of the clever titles, but they're too far away. From here, though, they do look very flammable.	角落堆著一大疊書。你很想讀讀那些聰明的書名，但離得太遠了。不過從這裡看，它們倒是看起來很易燃。
You may be an intellectual, Freddy, at least compared to most of the other mokses in this town, but you do choose the |c2|darndest|c| times to try to catch up on your reading!	佛萊迪，你或許稱得上是個知識分子，至少比鎮上其他大老粗強，但你挑的閱讀時機還真是|c2|不是時候|c|！
A rolled-up chart or map of some sort stands in the corner of the basement.	地下室角落立著一捲圖表或地圖之類的東西。
Your instinct for survival tells your natural curiosity to shut up about the map and start concentrating on getting |c0|outta here!!!!|c|	你的求生本能叫你天生的好奇心閉嘴別管什麼地圖了，快專心想辦法|c0|離開這裡！！！！|c|
There's a child's toy drum on the shelf.	架上放著一個小朋友的玩具鼓。
What were you going to do, bang the drum slowly?	你打算怎麼做，慢慢打鼓嗎？
Some jars sit on the top shelf of the bookcase over yonder.	那邊書櫃的最上層架子放著幾個罐子。
The jars are far out of reach.	那些罐子離得太遠，搆不到。
There's a tall set of bookshelves jammed in the corner.	角落塞著一組高大的書架。
You can't even hope to reach those shelves.	你根本沒指望搆到那些架子。
There's a small bookshelf set in the wall near the stairs.	樓梯附近的牆上嵌著一個小書架。
Hey, that's school property, leave it alone.	喂，那是學校的財產，別亂碰。
It's the dank little schoolhouse basement. The walls and columns are made of rough brick; the stone floor is dirty and uneven.	這是校舍那間陰暗潮濕的小地下室。牆壁和柱子都是粗糙的磚砌而成；石頭地板又髒又不平整。
You've got VASTLY more important things to do than to chat with the scenery!	你現在有更重要得多的事要做，沒空跟這些背景閒扯！
There are no trap doors, no hidden exits, nothing whatsoever that would help you.	這裡沒有活板門，沒有隱藏出口，什麼都幫不了你。
Stairs leading up to the schoolroom. And they're looking mighty attractive right about now.	通往教室的樓梯。此刻看起來格外誘人。
You'd never be able to drag your chair up those steps... at least, not in time to avoid being incinerated first!	你根本沒辦法拖著椅子爬上那些台階……至少來不及在被燒成灰之前爬上去！
Some old crates are piled up here.	這裡堆著幾個舊木箱。
Even if you could get over to them, you wouldn't have the leverage to break them open.	就算你能靠近它們，你也沒有施力點把它們撬開。
A decrepit piano sits under the stairwell.	樓梯間下方放著一台破舊的鋼琴。
Of course! You'll |c0|play|c| your way out of here with a few old family favorites! Wait, that logic seems somehow flawed.	沒錯！你要靠彈幾首老家庭金曲，把自己「|c0|彈|c|」出困境！等等，這邏輯好像哪裡怪怪的。
A large stone column, topped with wooden beams, dominates the room.	一根粗大的石柱聳立在房間中央，頂端連著木樑。
The column ain't goin' nowhere. In the position you're in, you can't even get a grip on it.	這根柱子哪也不會去。以你現在的處境，你連抓住它都做不到。
You'd never be able to shimmy over to it in time!	你根本來不及爬過去！
A few old schoolroom desks have been piled haphazardly on the far side of the column.	柱子的另一側雜亂堆著幾張舊課桌。
They're way 'round back of the column, where you can't get at them.	它們在柱子後面老遠的地方，你搆不到。
Some books have been stacked at the base of the column.	柱子底部堆著幾本書。
Yeah, right, you'll slice your way out of these ropes with the book binding, then you'll dash upstairs and give Penelope a fatal paper cut.	對啦，你要用書的裝訂邊割斷繩子，然後衝上樓，給潘妮洛普來個致命的紙割傷。
A large crate and a smaller one sit at the base of the column.	柱子底部放著一大一小兩個木箱。
They're around the corner, where you can't get at them.	它們在轉角處，你搆不到。
A few dusty schoolroom charts lean against the large crate.	幾張蒙塵的教室掛圖靠在那個大木箱上。
Those charts will do you no good whatsoever. They're years out of date!	那些掛圖對你一點用都沒有。它們早就過時好幾年了！
Looks like the oily swamp water has seeped into the basement. Wait! That's not swamp water. That must be |c0|oil|c|!! It's what Penelope was after all along... Coarsegold was sitting on a rich oil deposit, and you never even realized it!	看來那油膩的沼澤水滲進了地下室。等等！那不是沼澤水。那一定是|c0|石油|c|！！這就是潘妮洛普一直以來的目標……粗金鎮底下坐擁一座豐富的油田，你竟然一直都沒發現！
Maybe you should be finding a way to avoid the oil as much as possible, rather than trying to splash about in it.	或許你該想辦法盡量避開那些油，而不是想在裡頭撲騰。
It's your silver ear. Your cover's blown now!	那是你的銀耳朵。你的偽裝已經穿幫了！
You can't reach it from the chair, Freddy!	佛萊迪，你坐在椅子上搆不到它！
You "scooch" the chair closer and closer to your precious silver ear... and just manage to snag it!	你「挪動」椅子，一點一點靠近你那珍貴的銀耳朵……終於勉強搆到了它！
The basement floor is bare rock. Well, it WOULD be bare if it weren't so dirty.	地下室的地板是光禿禿的岩石。呃，要是沒那麼髒的話，應該算是光禿禿。
The ground feels like solid rock with a layer of dust on top.	地面摸起來像是堅硬的岩石，上頭覆著一層灰塵。
Smart thinking! You frantically give the silver ear a few quick rubs on the stone floor.	好聰明！你手忙腳亂地把銀耳朵在石頭地板上快速磨了幾下。
You manage to slice into the ropes with the sharpened silver ear!	你用磨尖的銀耳朵成功割開了繩子！
Him again! It's Kenny the Kid, your arch-nemesis from your gunslinging days. He stares at you murderously, with glassy eyes and icewater in his veins. Or maybe he's got icewater in his eyes and glass in his veins? No, wait! He's got veins in his eyes and icewater in a glass! That's it!	又是他！是小鬼肯尼，你當年當槍手時的死對頭。他用那雙玻璃般冷漠的眼睛殺氣騰騰地瞪著你，血管裡彷彿流著冰水。還是說，他眼裡是冰水，血管裡是玻璃？不對，等等！是他眼裡有血管，杯子裡裝著冰水！對，就是這樣！
Kenny, we're not kids anymore. We're grown up. We're both adults. Let's settle this reasonably.	肯尼，我們都不是小孩子了。我們都長大了。我們都是成年人了。這件事，我們理性地解決吧。
I don't wanna. You can't make me. You're not the boss of me!	我才不要。你逼不了我。你又不是我老大！
I take back what I said about us both being adults.	我收回剛才說我們都是成年人那句話。
Oh, yeah? Well, I'm rubber, you're glue. Everything you say bounces off me and sticks to you!	喔，是嗎？那我是橡皮，你是膠水。你說的話全部彈回去，黏在你身上！
If you touch Kenny, you'll have to turn your back on Penelope, and she'll stab you through the heart. Then again, if you ignore Kenny, he'll surely put a bullet through your heart. This situation basically sucks.	你要是對肯尼出手，就得轉身背對潘妮洛普，她會一劍刺穿你的心臟。可要是你不理肯尼，他肯定會一槍射穿你的心臟。這處境基本上爛透了。
Unfortunately, you're using the sword to keep Penelope at bay. You'll have to find some other way to deal with Kenny!	可惜你正拿劍牽制潘妮洛普。你得想別的辦法來對付肯尼！
Penelope, can't we talk this out like civilized people?	潘妮洛普，我們就不能像文明人一樣好好談談嗎？
Talk all you like. I'm fencing.	你儘管講，我正在「削」你。
Oh, my gosh! First you plot to destroy Coarsegold, then you sell stolen property? The shame of it all!	我的天哪！你先是密謀毀掉粗金鎮，現在又幹起「銷贓」的勾當？真是丟人現眼！
Not THAT kind of fencing, you fool! SWORD fencing!	不是那種「銷」，你這笨蛋！是拿劍「削」你的「削」！
Oh, okay! Now I got it!	噢，好吧！這下我懂了！
There's no way you'll be able to grab her before she turns you into Fred-Ka-Bobs!	你不可能在她把你戳成「佛萊迪串燒」之前抓住她！
There's a better deadly weapon for dealing with her! Actually, there's TWO, but this game is rated PG!	有更好的致命武器可以對付她！其實有兩種，不過這遊戲是保護級的！
Justice will be done, madam!	正義將會得到伸張，夫人！
Damn! I knew I shouldn't have wasted my time packing those student folders! I shall allow you to choose the manner of your demise.	該死！我就知道不該浪費時間去打包那些學生資料夾！我就讓你自己選擇死法吧。
Sorry, you took too long to decide.	抱歉，你考慮的時間太久了。
Penelope grabs one of the swords off the Civil War display above the blackboard.	潘妮洛普從黑板上方的南北戰爭展示架上抓起一把軍刀。
Curses! You've foiled me!	可惡！你「阻撓」了我！
It's not a foil, it's a sabre. A foil is straight and has two sharp edges, unless it's the smaller French foil which is dull and is used chiefly for thrusting. A sabre, like this one, is curved and has one sharp edge. As a teacher and a member of the fencing team, you of all people should have known THAT!	那不是「銳劍」，是「軍刀」。銳劍是直的，有兩側刃口，除非是比較小型的法式銳劍，那種刃口是鈍的，主要用來刺擊。軍刀像這把一樣，是彎的，只有一側刃口。你身為老師，又是擊劍隊成員，這種事你應該最清楚才對！
Oh, no... foiled, defeated AND corrected! Now I REALLY feel bad.	唉，不會吧……被阻撓、被打敗，還被糾正！這下我真的心情很差。
And thank god for my high school intramural sports program! Otherwise, I'd be fettucine al Freddy by now!	還好我高中時參加過校內體育社團！不然我現在早就變成一盤「佛萊迪寬麵」了！
Did I forget to mention downstairs that Meadville Normal had the nation's first female fencing team?	我剛才在樓下是不是忘了提，米德維爾師範學校擁有全國第一支女子擊劍隊？
Why, it's you! I recognize you now! From the old neighborhood. Freddy something!	咦，是你！我現在認出你了！以前老街坊的。姓佛萊迪什麼的！
Good to see you again, Kenny. I hope I didn't hurt your hand out there in the street.	很高興再見到你，肯尼。希望我剛才在街上沒傷到你的手。
Whoa! That was you, out there? I didn't recognize you. Have you done something with your hair?	哇！剛才街上那個是你？我沒認出來。你頭髮是不是弄過了？
It's funny, Pharkas! I thought I killed your sorry ass back in St. Louis!	真好笑，法卡斯！我還以為我早在聖路易斯就把你這可憐蟲給解決了！
No, not my hair, Kenny, but THIS!	不，肯尼，不是我的頭髮，是「這個」！
Hurling your sharpened ear like a Chinese throwing star, you whip it at Kenny, catching him right in the throat!	你把磨尖的耳朵當成手裡劍一樣甩出去，正中肯尼的喉嚨！
Freddy Pharrrrggggghhhhh!!	佛萊迪法卡……嗄啊啊啊啊！！
One of the two Civil War Swords is still above the blackboard.	黑板上方還剩一把南北戰爭軍刀。
