Will not.	才沒有。
With your last remaining ounce of strength, you pull yourself up and stumble off towards the schoolhouse... to see Penelope.	你用盡最後一絲力氣爬起身，踉踉蹌蹌地朝學校走去…去見潘妮洛普。
Penelope... Penelope, the sweet... Penelope, my beloved... Penelope... the TRAITOR!	潘妮洛普…甜美的潘妮洛普…我摯愛的潘妮洛普…潘妮洛普…叛徒！
Kenny's gun is still smoking. (Of course, that's very bad for its health!)	肯尼的槍還冒著煙。（當然啦，這對它的「健康」很不好！）
Your hat, like all Western heroes' hats, stays on through just about ANYthing!	你的帽子跟所有西部英雄的帽子一樣，不管發生什麼事都不會掉！
Kenny the Kid looms over you, grinning cruelly.	小鬼肯尼居高臨下地站在你面前，露出殘忍的笑容。
You've never seen Main Street from this angle: lying half-dead in the middle of the street, your life swimming before your eyes as your blood pools in the dust... What a view! You imagine you'll never see a view like THIS again as long as you live!	你從沒從這個角度看過大街：半死不活地躺在路中央，血在塵土裡積成一灘，過去的種種在眼前一幕幕閃過…真是壯觀！你猜這輩子大概再也看不到這種「美景」了！
You can hardly move. You can't reach anything beyond yourself.	你幾乎動彈不得，碰不到自己以外的任何東西。
Kenny has managed to shoot off a sizable portion of your GOOD ear!	肯尼一槍轟掉你「完好」那隻耳朵一大塊！
You shoot the gun out of Kenny's hand! Unfortunately, you did it just after HE shot YOU!	你一槍把肯尼手上的槍打掉了！可惜，你是在他先打中你之後才做到的！
Kenny looks down at you with pure, undisguised malice and disgust.	肯尼低頭看著你，眼神裡毫不掩飾地充滿惡意與嫌惡。
Welp, Mister Bigshot Gunslinger, looks t'me like yer bark was worse'n yer bite. Wait'll I tell the Boss how easy I whupped your butt, yew sorry excuse for a hero. Now die here in the dirt like the puny li'l pig yew are! See ya in hell, pal! (VICIOUS LAUGH)	哼，這位大牌槍手先生，看來你是雷聲大雨點小啊。等我回去告訴老大，說老子多輕鬆就把你這個爛英雄給撂倒了。現在就在這塵土裡像隻可憐的小豬一樣死去吧！地獄見啦，老兄！（狂笑）
He spits into the dust, and trudges off cockily.	他朝塵土裡吐了口口水，趾高氣揚地走開了。
Your eyes are getting heavy...	你的眼皮越來越沉重…
You poke yourself in the eye. Nice going!	你戳到自己的眼睛。真有你的！
A trickle of blood runs from your mouth.	一絲血從你嘴角流下。
Flubble-ubble-ubble-ubble!	呼嚕嚕嚕嚕！
Now that you've got THAT out of the way, do you think you could try to save yourself?	好啦，這件事解決了，你能不能想辦法救救自己？
This is your pharmacy. Where you work. Hence the name, "Pharkas' Pharmacy."	這是你的藥局，你工作的地方。所以才叫做「法卡斯藥局」。
You and that are not on speaking terms.	你跟那個東西已經沒話好說了。
Quit picking at everything. That's the sign of an obsessive/compulsive personality disorder. But, that's... okay.	別再什麼都要摸一下了，這是強迫症的徵兆。不過……算了，沒關係。
This door leads to your back office, laboratory, and the stairs to the second floor.	這扇門通往你的後方辦公室、實驗室，還有通往二樓的樓梯。
You thought an Iced Cream Stand would attract customers. Mostly, it attracts cockroaches. Especially now that the Iced Cream deliveries have stopped.	你原本以為冰淇淋攤能招來顧客，結果大多招來的是蟑螂。尤其現在冰淇淋都停止進貨了。
Yes, you often feel like ripping this Iced Cream Stand down and binging on the dregs of the leftover toppings. But you have to watch your heroic, girlish figure.	沒錯，你常常很想把這個冰淇淋攤拆了，把剩下的配料一口氣吃光。但你得顧著自己那英雄又纖細的身材。
Ahh, your Diploma from the University of Hicksville School of Apothecary Sciences and Other Good Guesses. The old alma mater. What memories!	啊，這是你在「鄉巴佬大學藥劑與亂猜學系」拿到的畢業證書。母校啊，真是回憶滿滿！
But it's hung so well!	但它掛得多好看啊！
The top shelf is where you keep all the newest, most scientifically advanced medications safe from shoplifters:	最上層架子放的是你那些最新、最先進的藥品，安全地擺著防小偷：
You won't need that one.	你用不到那一瓶。
Here on the second shelf, close at hand, is where you keep the most expensive medicines out of reach of the customers:	這第二層架子伸手就拿得到，放的是你最貴、顧客卻拿不到的藥品：
NEW YORK CITY?!?!	紐約市？！？！
Nope, won't need any of that particular one.	不，那一種你用不上。
The items on the top shelf here are one or two weeks past their expiration dates:	這裡最上層架子上的東西，過期一到兩個禮拜了：
You don't need any of these items, and even if you did, they've expired.	你不需要這些東西，就算需要，它們也過期了。
On the lowermost shelf of this case, you keep slightly scratched, dented, or previously-used items:	這個櫃子最底層放的是有點刮傷、凹陷，或用過的東西：
Chemists who keep up on their trade journals (like you always mean to do) know that these preparations aren't worth the bottles they're bottled in.	有在追蹤業界期刊的藥劑師（就像你「一直打算」要做的那樣）都知道，這些藥根本連裝它們的瓶子都不值。
On the middle shelf, you store discontinued items:	中間那層架子放的是停產的商品：
Savvy druggists (like you) eschew the use of trashy medicinals like these.	精明的藥劑師（比如你）都會避免使用這種爛藥。
Up on the top shelf here, you keep your overstock:	這裡最上層放的是你的庫存過剩品：
Pharmacists in the know, like yourself, know that there's no value to these phony curatives. That doesn't stop you from selling them, though!	內行的藥劑師（比如你自己）都知道這些假藥毫無價值。不過這不妨礙你照樣賣給客人！
This hand-painted sign adds a real touch of friendly, folksy atmosphere to the place. It also spells "Pharmacy" phonetically, inbreeding being as popular as it is around here.	這塊手繪招牌給店裡添了幾分親切樸實的氣氛，上面還用注音式拼法拼出「藥局」兩個字──畢竟這一帶近親聯姻風氣頗盛。
Certainly you're desperate for a sign of some sort, but not THIS kind of sign.	你的確很需要某種「跡象」，但絕對不是這種「招牌」。
It's the back counter where you, Freddy Pharkas, Frontier Pharmacist Extraordinaire, dispense your wares.	這是後方櫃檯，你──佛萊迪·法卡斯，超凡的邊疆藥師──就是在這裡發藥的。
There's nothing there to be taken. You keep your business tidy... which is easy to do when there ain't much business!	那裡沒什麼好拿的。你把生意打理得井井有條…畢竟生意本來就沒多少！
The items on the second shelf are about a month past their saleable shelf life:	第二層架子上的東西，過了可販售期限大約一個月：
You don't need any of these items, and even if you did, they're expired.	你不需要這些東西，就算需要，它們也過期了。
The items on the third shelf are 3-4 months past their usable shelf life:	第三層架子上的東西，過了可用期限三到四個月：
The bottom shelf holds the items that are a year or more past their shelf lives, OR have been found to be poisonous and/or illegal, OR have inexplicably reproduced on their own:	最底層架子放的東西，不是過期一年以上，就是被驗出有毒或違法，或是莫名其妙自己繁殖出來的：
You don't need to use any of these items, and even if you did, you'd expire.	你完全不需要用這些東西，就算需要，用了你也會「過期」。
You've always wanted a counter gate; now you have one. And now you know they're a pain in the butt.	你一直很想要一道櫃檯小門，現在你有了。而現在你也知道，這種東西真的很煩人。
Your overhead designer lamps are rarely used, since the pharmacy closes at sunset.	你那些頭頂上的設計師吊燈很少用到，畢竟藥局日落就打烊了。
No need to turn on the lamps. The dry rot gives off a dandy phosphorescent glow.	不必開燈，木材腐朽本身就散發出一種挺不錯的螢光。
That's another table upon which to display your many valuable patent medicines and innovative treatments.	那是另一張桌子，用來展示你那些珍貴的成藥和創新療法。
It took you weeks to get the bottles arranged just so. Don't blow it now.	你花了好幾個禮拜才把瓶子排成這樣，現在別搞砸了。
This multi-instrument piano-roll-style juke machine is called a "Symphonium." Trouble is, the company that sold it to you went out of business after producing only one roll. And how many times can one person listen to "Does Your Chawin' Tobacco Lose Its Flavor On the Bedpost Overnight"?	這台多樂器紙捲式點唱機叫做「交響機」。麻煩的是，賣你這台機器的公司只做了一捲紙捲就倒閉了。而且一個人到底能聽幾遍「你嚼的菸草，過了一夜放在床柱上還有味道嗎」這種歌？
The Symphonium hasn't worked since 1885, when old Manny Rivberg put his fist through it.	這台交響機自從一八八五年老曼尼·瑞夫柏格一拳打穿它之後，就再也沒動過。
"Ol' Manny Rivberg... That Ol' Manny Rivberg. He just keeps..."	「老曼尼·瑞夫柏格啊…那個老曼尼·瑞夫柏格。他就是一直…」
That's enough! Say any more and we'll have to pay a royalty!	夠了夠了！再講下去我們可要付版權費了！
Here, on top of your "Reduced!" table:	這裡，是你「特價出清」桌的桌面：
Nope, that's not one of the pills, poultices or preparations you'll need.	不，那不是你需要的藥丸、膏藥或製劑。
On top of this cabinet, you have a stunningly arranged display of Old Snuffy's Limproot Hair Oil Creme (in the 8 oz., 16 oz., and Giant 64 oz. "Baby Huey" jars), as well as a few dusty boxes of Rustler's Stove Chocolates.	這個櫃子上方，精心陳列著「老鼻煙軟根髮油霜」（有8盎司、16盎司，以及巨無霸64盎司的「大寶寶」罐裝），還有幾盒積了灰的「牛仔爐灶巧克力」。
You won't need any Limproot Hair Oil Creme or Rustler's Stove Chocolates today.	今天你用不到軟根髮油霜，也用不到牛仔爐灶巧克力。
On the upper shelf of the left-hand cabinet, you find:	在左手邊櫃子的上層架子，你找到：
You briefly consider shoplifting some of these items, but hey, you really already own them, so where's the excitement?	你一度想順手牽羊拿走幾樣，但話說回來，這些東西本來就是你的，這樣有什麼刺激感？
On the bottom shelf of the left-hand cabinet are:	左手邊櫃子最底層放的是：
You don't need any underarm oatmeal packs; you took care of THAT little problem this morning! And fortunately, you don't need any of this other stuff either!	你不需要腋下燕麥敷包，那個小問題你今天早上已經處理過了！而且很幸運，其他這些東西你也都用不上！
It's the President's wife. She's the head of the "Just Say No to Ether" campaign.	這是總統夫人。她是「向乙醚說不」運動的發起人。
Mrs. Cleveland, I just want you to know that your "Just Say No to Ether" campaign has really inspired me. I'm totally committed to wiping out anesthetic abuse in our lifetime.	克里夫蘭夫人，我只想讓您知道，您的「向乙醚說不」運動真的深深啟發了我。我這輩子都會全心投入根除麻醉藥物濫用。
Keep talking to photographs and you WILL be committed!	你再繼續跟照片講話，你才真的會被「收容」！
Leave her where she is, as a shining beacon to all who gaze upon her serene countenance. (Incidentally, have you heard about her scandalous affair?)	讓她繼續掛在那裡吧，對所有仰望她那安詳容顏的人來說，她就是一盞明燈。（對了，你聽說過她那樁醜聞緋聞嗎？）
It's Saint Joseph, patron saint of chewable aspirin.	這是聖約瑟，咀嚼式阿斯匹靈的守護聖人。
If you pick it up, all the luck will run out of the bottom.	你要是把它拿起來，好運就會全從底部漏光。
This bottle is filled with this century's most incredible medical breakthrough.	這個瓶子裡裝的是本世紀最驚人的醫學突破。
You won't be needing any leeches in this game.	這個遊戲裡你用不上水蛭。
Back then, this is what was known as a "support system."	在那個年代，這就是所謂的「支撐系統」。
Seems sturdy enough... for now.	看起來還算牢靠…目前是啦。
This sign clearly lets the townsfolk know that the prescription counter is in the back of the store.	這塊招牌清楚地告訴鎮民，配藥櫃檯在店的後方。
Someday, maybe there'll be a glass tube there, bent in the shape of the word "Prescription," filled with a rare gas that will glow in brilliant colors. Wouldn't that be wonderful? Boy, that'd make people actually WANT to buy drugs!	也許有一天，那裡會裝上一根玻璃管，彎成「處方箋」這幾個字的形狀，裡面灌著稀有氣體，會發出絢麗的光芒。那該有多棒啊？天哪，這樣一來大家搞不好還真的會想買藥呢！
We were going to put in this elaborate animation of you touching the giant finger, like the creation mural on the ceiling of the Sistine Chapel depicting God touching Adam's finger with lightning bolts crackling all around. But, screw it.	我們本來打算做一段精緻的動畫，讓你觸碰那根巨大的手指，就像西斯汀教堂天花板上那幅創世壁畫，畫著上帝用閃電觸碰亞當的手指那樣。不過，算了，懶得做。
Thisi is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS provided by Crate & Whisky Keg.)	這是一套豪華層架，採用拋光桃花心木鑲嵌、雕花收邊、加寬中層架板，還有防滑收邊桌腳。（FREDDY PHARKAS 的層架由「板條與威士忌酒桶公司」提供。）
They're already arranged in a pleasing yet sales-conducive manner.	它們已經擺得賞心悅目又有助於銷售了。
This is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS, FRONTIER PHARMACIST provided by Crate & Whisky Keg.)	這是一套豪華層架，採用拋光桃花心木鑲嵌、雕花收邊、加寬中層架板，還有防滑收邊桌腳。（FREDDY PHARKAS, FRONTIER PHARMACIST 的層架由「板條與威士忌酒桶公司」提供。）
On the upper shelf of the right display case, you keep some of your hot sellers:	右邊展示櫃的上層架子，放的是你的熱銷商品：
Your survival instincts narrowly prevent you from using any of the items on this shelf.	你的求生本能勉強阻止你使用這層架子上的任何東西。
On the lower shelf of the right display case, you keep some old, reliable, steady sellers:	右邊展示櫃的下層架子，放的是老字號、穩定熱賣的商品：
You wouldn't recommend any of these preparations to your worst enemy.	這些藥你連對最恨的敵人都不會推薦。
Hey, Pharkas! M'butt's killin' me.	嘿，法卡斯！我的屁股快痛死我了。
He does know how to make an entrance, doesn't he?	他還真懂得怎麼引人注目地登場，是吧？
Sorry to hear that, Smithie.	真遺憾，鐵匠史密。
Yeah, so gimme some o' dat Preparation G.	嗯，那就給我來點那個「G藥膏」吧。
It's Smithie the Blacksmith, owner of Smithie's Blacksmith and a durned clever fellow. He seems to be in pain.	這是鐵匠史密，「史密鐵匠鋪」的老闆，是個腦筋挺靈光的傢伙。他看起來很痛苦。
Why not your usual six-pack of liniment, Smithie?	怎麼不跟平常一樣來六瓶擦劑就好，史密？
Wall, Mr. Pharkas, I'ma fixin' to take a long ride. I'ma gonna leave town. The Sheriff shut me down for operatin' without a Smithie License, whutever the hell that is. So I sold that lousy property offn to that cheap snake of a banker, P. H. Balance, down to the Bank of Bob. And good riddance, sez I!	哎呀，法卡斯先生，俺打算出遠門一趟，準備離開這鎮子了。警長說俺沒申領什麼「鐵匠執照」──管他那是啥玩意兒──就把俺鋪子給關了。所以俺把那塊爛地賣給那個摳門的銀行家蛇鼠一窩的P. H.貝倫斯，就是「阿波銀行」那個，賣給他了。俺說啊，走了正好，眼不見為淨！
I'll be sorry to see y'all go, Smithie.	你要走了，我還真捨不得呢，史密。
Yeah, well, this town's goin' ta hell in a hand-me-down, anyway. Sumpthin's wrong with them horses out there, they's pooting up a storm. Cain't hardly take the smell, I wuz like to pass out around there!	唉，反正這鎮子也是每況愈下啦。外頭那些馬也不知道是咋回事，一直放屁放個沒完，那味道簡直薰得俺快昏過去！
That ain't whut I come in here fer! C'mon, Pharkas, I'm itchin' to blow this taco stand. Gimmee my Preparation G, willya?	那不是俺進來要說的事！快點啦，法卡斯，俺等不及要閃人了。把俺的G藥膏給俺，行不行？
Frederick!	佛萊德瑞克！
Thank you, Frederick, this looks perfect! You are a scholar and a gentleman.	謝謝你，佛萊德瑞克，這看起來完美極了！你真是個學識淵博又有紳士風度的人。
Shucks, I'm just a poor pharmacist tryin' to please m' favorite customer. Will I see you again soon?	哎呀，俺只是個窮藥師，想讓自己最寶貝的客人開心而已。我們很快還會再見面嗎？
I think that can be arranged, Frederick. See you soon.	我想這可以安排，佛萊德瑞克。到時候見。
I'll be waiting. S'long, now, Penelope.	我會等妳的。先這樣了，潘妮洛普。
Why, Miss Primm, you sure are lookin' purty today!	哎呀，潘妮洛普小姐，妳今天可真是漂亮啊！
Now, Frederick, you can call me Penelope if you please. After all, I think we're... to that point in our relationship.	好啦，佛萊德瑞克，你可以叫我潘妮洛普沒關係。畢竟，我想我們之間……已經到了那個階段了。
She must be talking about the hayride you both went on last month... or the square dance you both went to last week... or the cow-tipping expedition you both went on last night!	她說的想必是你們上個月一起坐的乾草車、上禮拜一起去的方塊舞，還是昨晚一起去的推牛惡作劇吧！
Well, then, to what do I owe the pleasure of your company this fine morning?	那麼，是什麼風把妳吹來，讓我這美好的早晨有妳作伴？
This isn't a social call, I'm afraid. I have this rather important prescription Doc Gillespie gave me. I was hoping you could fill it as soon as possible.	恐怕這不是一趟社交拜訪。我這裡有張大夫吉勒斯比開給我的重要處方箋，希望你能盡快幫我配好。
My pleasure, Penelope.	樂意之至，潘妮洛普。
I apologize for the scruffiness of the Prescription. Doctor Gillespie was in his cups again.	抱歉這張處方箋寫得有點潦草，吉勒斯比醫生又喝多了。
No trouble, Penelope, that's as usual.	沒關係，潘妮洛普，他一向如此。
I'll just wait right here if you don't mind, Frederick.	如果你不介意，我就在這裡等囉，佛萊德瑞克。
Well now, I admit you're somewhat of a distraction to me, Penelope, but I'll do m'best!	這個嘛，我得承認妳對我來說是有點分心啦，潘妮洛普，不過我會盡力的！
Penelope hands you the prescription.	潘妮洛普把處方箋遞給你。
Penelope! It's so good to see you again!	潘妮洛普！能再見到妳真好！
I'm afraid this isn't good news, Frederick. This prescription you filled for me?	恐怕不是什麼好消息，佛萊德瑞克。你之前幫我配的那張處方箋？
Yes? What about it?	怎麼了？有什麼問題嗎？
Well, one of the children tasted a bit -- just a bit, mind you, on the tip of his finger, just to see what it tasted like.	這個嘛，有個孩子嚐了一點──注意，就只是沾在指尖上一點點，只是想知道味道而已。
And?	然後呢？
I had to send him home. Chills, fever, bloody stool, the whole thing. I do hate to be a pest, but I'm terrified that this may be incorrectly prepared. Could you take another look at it?	我只好讓他回家了。發冷、發燒、血便，什麼症狀都出現了。我實在不想煩你，可是我很擔心這是不是配錯了。你能不能再看一次？
For you... anything.	為了妳……什麼都行。
Unfortunately, you were so taken with Penelope's angelic presence that you forgot to charge her the 19 cents she owed you!	可惜的是，你被潘妮洛普那天使般的存在迷得神魂顛倒，忘了跟她收她欠你的19分錢！
Frederick! Oh, Frederick!	佛萊德瑞克！喔，佛萊德瑞克！
Penelope, dearest! My heart leaps at seeing you in my humble store again.	潘妮洛普，我親愛的！看到妳又光臨我這寒酸小店，我的心都要跳出來了。
I'm afraid it's not a happy occasion, Frederick. This prescription seems letter-perfect, except for the amount. Can you take another look at it? I'd hate for either one of us to be cheated.	恐怕這次來不是什麼開心的事，佛萊德瑞克。這張處方箋看起來每個字都對，只有份量不對。你能不能再看一次？我可不希望咱們倆有誰吃虧。
Goodness! I'll remake it right away, Penelope, and I'll get it perfect. This time, for sure! Wait right here.	天哪！我馬上重配，潘妮洛普，這次一定做到完美！妳就在這裡等一下。
It's Penelope, the love of your life! Right here in your very own pharmacy! And she's as beautiful as the day she stepped off the stage!	是潘妮洛普，你此生摯愛的女人！就站在你自己的藥局裡！她還是跟當初下馬車那天一樣美麗！
I sure have been having a swell time with you these past few weeks, Penelope!	這幾個禮拜跟妳在一起，我過得真是開心極了，潘妮洛普！
Why, thank you, Frederick. I have, too.	哎呀，謝謝你，佛萊德瑞克。我也是。
I do believe I have a... a growing... uh... a growing AFFECTION for you!	我確實覺得自己……對妳有種……呃……日漸增長的愛慕之情！
That's sweet of you, Frederick. I think you're very cute... for a pharmacist, that is. Considering that you've only got one ear. And you're scrawnier than the other men around town.	你真貼心，佛萊德瑞克。我覺得你挺可愛的……以一個藥師來說啦。畢竟你只剩一隻耳朵，而且比鎮上其他男人都瘦弱。
(TO SELF) She thinks I'm cute! She thinks I'm cute!	（自言自語）她覺得我很可愛！她覺得我很可愛！
How's school, Penelope?	學校還好嗎，潘妮洛普？
Oh, how I love filling those impressionable young minds with knowledge, their eager faces turned upward in the quest to learn. It's so satisfying!	喔，我最喜歡把知識灌進那些純真的小腦袋裡了，看著他們求知若渴地抬頭望著我，真是太有成就感了！
I was wondering if you were going to go to the Rotary Club luncheon next week, and if so, if you had anybody else to go with.	我在想妳下禮拜會不會去扶輪社的午餐聚會，如果會的話，妳是不是已經有人陪妳一起去了。
Forgive me, Frederick, I do so hate to be short with you, but I DO need this prescription... otherwise I'd love to stay and chat. Please don't think me impertinent!	原諒我，佛萊德瑞克，我實在不想這麼匆忙，可是我真的需要這張處方箋……不然我很樂意留下來聊天。請別覺得我沒禮貌！
Not at all, it's my fault for prattling on so. I'll get right to it.	哪裡的話，是我不好，話太多了。我馬上就去辦。
I really can't wait to get my ha...	我實在等不及想拿到我的手……
Frederick, |c2|please!|c| I need to get back to school as soon as possible!	佛萊德瑞克，|c2|拜託！|c|我得儘快回學校去！
Of course, of course, of course. Right away, Penelope.	當然，當然，當然。馬上就好，潘妮洛普。
Please, Frederick! Not in public! And not in broad daylight! And never, ever before our nineteenth date!	拜託，佛萊德瑞克！不要在大庭廣眾之下！也不要在光天化日之下！而且絕對不能在我們第十九次約會之前！
I'm sorry, Frederick, I'm only interested in picking up my prescription just now. I'll be happy to look at your toys any other time!	抱歉，佛萊德瑞克，我現在只想拿我的處方箋。你那些玩意兒，改天我很樂意再看！
Yes, Frederick, it's my prescription. Do you think you could fill it for me?	是的，佛萊德瑞克，這是我的處方箋。你能幫我配一下嗎？
If I'm any sort of a pharmacist, I should be able to. I'm not sure what's taking me so long.	要是我還算個藥師的話，這應該難不倒我。我也不知道自己怎麼會拖這麼久。
Good day, Freddy... Freddy Pharkas!	日安，佛萊迪……佛萊迪·法卡斯！
That's better, Freddy Pharkas.	這樣好多了，佛萊迪·法卡斯。
That'll be 22 cents, Miss Back.	一共是22分錢，貝克小姐。
Put it on my tab, I don't have it with me right now.	記在我帳上吧，我現在身上沒帶錢。
Well, g'day to you, Ms. Back! What can I do for you today?	那麼，日安啊，貝克小姐！今天我能為妳做點什麼？
Well, Freddy Pharkas, Doc Gillespie, that no-good, gin-soaked sodden ol' lush, wrote me this damn prescription that'll probably cost me an arm and a leg. Here. Take this prescription, the rotgut from that old wino doctor is making my new ensemble stink to high heaven.	哼，佛萊迪·法卡斯，那個沒用、成天泡在琴酒裡的老酒鬼吉勒斯比大夫，開了這張要命的處方箋給我，大概又要花我一大筆錢了。拿去，把這張處方箋收下，那個老酒鬼醫生開的爛藥，把我這身新行頭都薰得臭氣沖天。
Mr. Pharkas!	法卡斯先生！
Yes, Helen?	是，海倫？
I accidentally gave a bit of this so-called "medicine" to one of my pets. AND IT DIED! Obviously, this is not fit for consumption. Now take back my prescription and get it RIGHT this time. Or you'll feel the wrath of my handbag!	我不小心把一點這個所謂的「藥」餵給我的一隻寵物吃，結果牠死了！很顯然這東西根本不能吃。現在把我的處方箋收回去，這次給我配對！不然你就等著嚐嚐我手提包的厲害！
I'm so sorry, Ms. Back. I'll take another stab at it, and I'll remove the charge from your tab until I get it right.	真的很抱歉，貝克小姐。我會再試一次，在配對之前，這筆錢我先不記在妳帳上。
Humph!	哼！
Frederick Pharkas!	佛萊德瑞克·法卡斯！
Yes, Mom? What can I do for you now?	是，老媽？我現在能為妳做什麼？
Are you trying to pull the sheep over my eyes?	你是想拿整隻羊蒙我的眼睛嗎？
Huh?	嗄？
This prescription! Oh, the medication seems just fine, but the quantity is wrong. I want exactly how much is prescribed, no more, no less. Is that understood?	這張處方箋！藥本身看起來沒問題，可是份量不對。我要的是處方上寫的份量，不多也不少。聽懂了嗎？
