It isn't.	才不是。
So THAT'S the stench I've been smelling! What an inconsiderate clod you can be. That burnt baking-soda smell is simply nauseating. It's no wonder I've got no customers today.	原來我一直聞到的臭味就是那個！你這個人怎麼這麼不體貼。那股燒焦小蘇打的味道真讓人反胃。難怪我今天一個客人都沒有。
I thought I was doing the town a favor.	我還以為自己是在幫鎮上的忙呢。
Well, next time, think a little harder.	哼，下次多用點腦子想想。
Mom, I'm going to be leaving town awhile. Just wanted to tip m' hat and say thanks.	老媽，我要離開鎮上一陣子。就想跟你脫帽致意，說聲謝謝。
Fool, you're not even wearing a hat.	傻瓜，你根本沒戴帽子。
And in case I don't see you again, I think you're a brave, feisty, spry li'l lady.	萬一我們沒機會再見，我想說你是位勇敢、潑辣、精神抖擻的小姑娘。
Why, you condescending twerp, I'm not a "little lady," and if you ever call me "feisty and spry" again, you'll need a blacksmith to help you swallow your lunch.	你這自以為是的小混蛋，我才不是什麼「小姑娘」，你要是再敢叫我「潑辣、精神抖擻」，就得找鐵匠幫你把午飯塞回喉嚨了。
Yes, well... so long, now.	是，好啦……那就再會了。
Whatever.	隨便啦。
Mom, where are all your customers?	老媽，你的客人都跑哪去了？
Damned if I know. They all jumped up at more or less the same time and ran to the outhouse. It's not my fault, though. They hadn't even et yet. Just had a glass of water, and bam, they're gone. If you tell anyone about it, you're dead meat on a hook.	我哪知道。他們差不多同一時間跳起來，衝去茅廁。不過這不是我的錯。他們根本還沒吃東西呢。就喝了杯水，然後咻一下就不見人影。你要是敢跟別人說，我就把你掛鉤上當肉乾。
That sounds fair.	聽起來很公平。
Mom, you'd better keep everyone inside 'til I can get this horse flatulence thing straightened out.	老媽，你最好把大家都留在裡面，等我把這馬匹脹氣的事情搞定。
Not that it's any of your business, but I'll be keeping my customers in here as long as I can. 'Course, if they just keep ordering weak tea and Uwanna Biscuits, I'll toss their butts into the street. Can't make any money selling tea and frickin' biscuits!	這不關你的事，不過我會盡量把客人留在裡面。當然，他們要是一直點淡茶跟「你懂的」餅乾，我就把他們踢到街上去。賣茶跟該死的餅乾哪賺得了錢！
Mom, what do you know about ants?	老媽，你對螞蟻了解多少？
Keep your voice down, Freddy Pharkas. That was a long time ago, and I paid the fine and got rid of the ants.	小聲點，佛萊迪·法卡斯。那是很久以前的事了，我付了罰款，也把螞蟻清乾淨了。
No, I meant wild ants.	不，我是說野生的螞蟻。
You're talking crazy talk. There's no such thing as domesticated ants. Ants is ants. Now get out before you scare away the customers.	你在胡說八道什麼。哪有什麼家養的螞蟻。螞蟻就是螞蟻。快出去，免得把客人都嚇跑了。
What customers??	什麼客人啊？？
Mom, Mom!	老媽，老媽！
Let me guess. You only have one cavity.	我猜猜看。你只有一顆蛀牙。
Huh? No, I wanted to know if you have any salt. There's a stampede of snails a-comin', and I need to stop 'em.	啊？不是，我是想問你有沒有鹽。有一大群蝸牛要衝過來了，我得阻止牠們。
I don't know anything about no stampede. Unless they're stopping here to eat, I don't even care. As for salt, you KNOW we're a salt-free community! That's why everyone's so laid back. Low blood pressure. And we aim to keep it that way.	我對什麼蝸牛群一無所知。除非牠們是來這裡吃飯的，不然我才懶得管。至於鹽嘛，你明明知道我們是個無鹽小鎮！這就是為什麼大家都這麼悠哉，血壓又低。我們打算繼續保持下去。
Dang! Well, what could I use?	該死！那我能用什麼？
Beer works for me. I just spread a little of it out along the back porch and the little buggers just follow it right off!	我都用啤酒。我就在後門廊灑一點，那些小東西就乖乖跟著走了！
Jeez, Mom, thanks.	老天，老媽，謝啦。
Now git outta here!	現在快滾出去！
Helen, have you ever thought of putting escargot on the menu?	海倫，你有沒有想過在菜單上加個法式蝸牛？
You've already taken it, I don't want it back. Like I said, take it out of here, I'm sick of the sight of it. Honestly!	你已經拿走了，我不要拿回來。我說過了，拿出去，我看到就煩。真是的！
We don't serve beer in here, Freddy Pharkas.	我們這裡不供應啤酒，佛萊迪·法卡斯。
It's water, it's just in a beer bottle.	這是水，只是裝在啤酒瓶裡而已。
Do you think I was born yesterday, Freddy Pharkas?	你當我是昨天才出生的嗎，佛萊迪·法卡斯？
Obviously not.	顯然不是。
Well! I never!	哼！真是沒見過！
Well! Maybe you SHOULD!	哼！也許你就該多見識見識！
I must say, Freddy Pharkas, that's pretty clever of you. You DID get points for that, didn't you?	我得說，佛萊迪·法卡斯，這招挺聰明的。你該加分了吧？
Yes, Ma'am.	是，夫人。
I should hope so.	那是當然。
That looks like Saloonware, not Cafeware.	那看起來是酒館的東西，不是餐館的。
No no! Only need bicarbonate AFTER eating food, not during preparation phase!	不不！碳酸氫鹽要吃完飯「之後」才需要，不是在準備階段！
Prefer plum wine! You got any plum wine?	比較想要梅酒！你有沒有梅酒？
Uh... no.	呃……沒有。
Thought not! Nobody in town ever get plum wine! Bah!	就知道沒有！鎮上沒人搞得到梅酒！哼！
Not mine! Hop Singh's feet bound to take smaller size!	不是我的！阿星的腳要穿小一號的！
Hmm... not need bullets, not called for in repertoire of recipes!	嗯……不需要子彈，食譜裡用不到！
Not need wax, unless you got carnauba wax for pastries. You got any carnauba wax?	不需要蠟，除非你有做糕點用的巴西棕櫚蠟。你有巴西棕櫚蠟嗎？
Same all over town! Feh!	全鎮都一樣！呸！
Ahh, perfect for hibachi! You got hibachi?	啊，拿來烤肉正好！你有火缽嗎？
Um... nope.	嗯……沒有。
Nobody got Hibachi in Coarsegold. Sad, sad!	粗金鎮沒人有火缽。可悲，可悲！
Not need key! Hop Singh welcome everywhere in Coarsegold. You welcome everywhere in Coarsegold?	不需要鑰匙！阿星在粗金鎮到處都受歡迎。你在粗金鎮到處都受歡迎嗎？
Nooooo, I couldn't say that.	不……這我可不敢說。
Didn't think so! Hop Singh most popular in town!	就知道你不敢！阿星是鎮上最受歡迎的人！
Ah, so! Be ready Tuesday! Sorry, little joke. Cousin Lo Fat have laundry in New York. Hop Singh not know what claim check for.	啊，是喔！星期二準備好！抱歉，開個小玩笑。表弟羅發在紐約開洗衣店。阿星不知道領據是幹什麼用的。
Ooh, Freddy Pharkas make lousy pudding! Very gummy, bad flavor.	哦，佛萊迪·法卡斯做的布丁真難吃！又黏又難吃。
That not mine! Hop Singh use cleaver, not gun!	那不是我的！阿星用菜刀，不用槍！
Very bad taste! Turquoise and beige. Try black and red and yellow. Now that is color combination.	品味真差！綠松石配米黃。試試黑配紅配黃。那才叫配色。
You not like it, you don't have to drink it. Hop Singh not want it back.	你不喜歡，不喝就好。阿星不要拿回去。
I look like horse to you?	我在你眼裡像匹馬嗎？
Nay. I mean, no.	不。我是說，不像。
Good! Then take away!	好！那就拿走！
Not in front of food!	別在食物前面弄這個！
Hop Singh fit as fiddle! Not needing nostrums!	阿星身體好得很！不需要什麼偏方！
We not accept empties. Sorry!	我們不收空瓶。抱歉！
Ooh, take away before Mom sees! Mom keep very neat restaurant, not appreciate bag of flatulent.	哦，趁老媽還沒看到快拿走！老媽的餐館整潔得很，才不欣賞一袋屁味。
We already have plenty doggie bags.	我們打包袋多得很。
Hop Singh have advanced filtration nostrils, not need gas mask. Thank you kindly anyway!	阿星的鼻子過濾功能一流，不需要防毒面具。不過還是謝謝你的好意！
No, no, no, no, no! Take away! Mom make me clean that up if you leave it here!	不、不、不、不、不！拿走！你放在這裡老媽會叫我清理！
Hop Singh use karate to chop ice, not needing ice pick.	阿星用空手道劈冰，不需要冰錐。
You already offer that to me! What, you no take "no" for answer? No, no, no!	你已經給過我這個了！怎麼，你聽不懂「不要」嗎？不、不、不！
You not want to threaten Hop Singh. I break bones like that.	你不會想威脅阿星的。我一根手指就能把骨頭折斷。
Not needing ladder. Everything in kitchen down low.	不需要梯子。廚房裡的東西都擺得很低。
Always wanted one of these! You have one made out of silk?	一直想要這種東西！你有沒有絲做的？
Oh, gee, not on me.	喔，天哪，我身上沒有。
Too bad. You find silk lasso, let me know. Hop Singh got kinky idea.	真可惜。你找到絲套索，記得跟我說。阿星有個刺激的點子。
That pretty pitiful whip. Much too short and flat.	那條鞭子真可憐。太短又太扁了。
So sorry, cannot read that. Lost contacts.	真抱歉，看不清楚。隱形眼鏡弄丟了。
It's Hopalong Singh, Helen's faithful cook from the Far East. He used to work as a professional chef for a chain of Ponderolla restaurants.	他是阿星（全名霍帕龍·星），海倫忠實的遠東大廚。他以前在「彭德羅拉」連鎖餐廳當過專業主廚。
Very nice medallion! Congratulate Srini for me!	勳章真漂亮！替我恭喜斯里尼！
Not need your money. Mom pay me better than I make in San Francisco. Develop "Nouvelle Frontier" cuisine. Very popular!	不需要你的錢。老媽付的薪水比我在舊金山賺得還多。我還開發了「新邊疆料理」，很受歡迎！
Nice quality neckerchief. Where you steal it from?	領巾質料真好。你從哪偷來的？
Steal it? Don't be silly. It's mine!	偷？別傻了。這是我的！
Uh-huh. Never seen you with neckerchief before.	嗯哼。從沒看過你戴領巾。
I had it put away for safekeeping. It's my lucky neckerchief.	我把它收起來保管。這是我的幸運領巾。
Ah, no wonder you have so little luck lately.	啊，難怪你最近這麼倒楣。
No, thank you. Hop Singh not in laughing mood just now.	不，謝了。阿星現在沒心情笑。
That pie look awfully familiar! Look like one I just made awhile ago and now is missing! Where you find it?	那個派看起來眼熟得很！好像是我剛做好又不見了的那個！你從哪找到的？
Uh... my Mom sent it to me. Yeah, that's it, my Mom sent it to me.	呃……是我老媽寄給我的。對，就是這樣，我老媽寄給我的。
Let me smell that! (SNIFF SNIFF) Say! You Mom almost as bad a baker as I am! I cannot bake pie to save life!	讓我聞聞！（嗅嗅）嘿！你老媽做的糕點跟我一樣爛！我做派爛到要命！
You level the pistol at Hop Singh.	你把手槍對準阿星。
Do not try it! Wearing bulletproof apron! Hah!	想都別想！我穿的是防彈圍裙！哈！
Not interested in looking at pictures of American women.	沒興趣看美國女人的照片。
They're French, not American.	她們是法國人，不是美國人。
Even worse! You got pictures of chocolate desserts?	那更糟！你有巧克力甜點的照片嗎？
Uh... no, sorry.	呃……沒有，抱歉。
Nobody in Coarsegold got pictures of chocolate desserts. Phooey!	粗金鎮沒人有巧克力甜點的照片。哼！
That for tea?	那是泡茶用的？
Well, it's for the town's water supply.	呃，是要給鎮上的供水用的。
Then no concern to me.	那就不關我的事。
Nice rope, so?	繩子不錯，然後呢？
Shovel very dirty. Please to remove it from restaurant before Mom have hissy fit.	鏟子髒得很。請在老媽發飆前把它拿出餐館。
# NOTE: 「Sheriff Shift」與統一譯名表的「Sheriff (Hodge)」姓氏不符，暫音譯為「席福特」，請核對原稿確認警長正式姓名後統一。
# NOTE: 「Hopalong Singh」原文雙關西部片英雄 Hopalong Cassidy，中文譯為「霍帕龍‧星」僅保留音譯，雙關笑點未能完全保留。
# NOTE: 「Helen Back」為姓氏諧音哏（Hell and back），統一譯名表僅列「Helen Steele → 海倫」，此處姓氏另譯「貝克」音譯，如與其他批次的「Helen ○○」全名不一致請統一校對。
