He did it! What a MANLY man! Riverboat gambler in the corner pocket!	他還真做到了！好一個有男子氣概的男人！賭船老千，一桿進袋！
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!	那是喬，幾年前跟老馬夫·波特結過樑子的傢伙。他擁有本地一個名副其實的「陷阱」觀光景點。幾年前他把兩個小鬼——好像叫湯姆跟貝琪什麼的——困在裡頭。他們差點沒能出來。真該有人把這事寫成書才對！
Joe grunts. And that's the most you've ever heard him say!	喬哼了一聲。這已經是你聽過他講最多話的一次了！
You've got to think of a way to frame Aces!	你得想個辦法把王牌給栽贓下獄！
Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.	畫框就留在原地吧。它可為這幅畫的構圖加分不少呢。
Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.	王牌近看比遠看還醜！也許瞇著眼看會好一點。
Shhhh, it's rude to talk to that while the game's in progress.	噓，牌局進行中跟那個講話很沒禮貌。
Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.	把你的手指從我身上拿開。你讓我很緊張。我可不喜歡讓我緊張的人。
This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.	這是撲克牌桌。粗金鎮大部分的財富，似乎都從這一邊流向了王牌那一邊。
Hey, keep your hands off the table. And don't make me tell you again.	嘿，手離桌子遠一點。別讓我再說第二次。
You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!	你在作弊！那是隻假的左手！你的真手藏在桌子底下！你一直把好牌塞進手裡，再把爛牌抽掉！
Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...	哎呀，沒錯，銀耳陌生人！你說對了…差不多啦！你看，我桌底下沒有牌。我只有這個…
Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!	現在轉過身去，銀耳仔！我想我寧可從背後斃了你，這樣就不必看你那張醜臉了！
Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.	坐在櫃台後面的是P·H·貝倫斯，鮑伯銀行現任的老闆兼經營者。
(UNDER BREATH) He's a bore and a lice-infested jerk.	（低聲嘀咕）他是個無聊透頂、渾身長蝨子的混蛋。
Come again? Did you say something, Pharkas?	你說什麼？你剛剛說了什麼嗎，法卡斯？
I said you were more than just a nice, respected clerk!	我是說你不只是位親切受人尊敬的行員！
Oh. That's very different.	喔，那可差多了。
Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.	我跟你提過我們新推出的哥倫布日帳戶了嗎？這是個福利全開、但完全不計利息的帳戶。
Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!	你聽說我們的復活節俱樂部帳戶了嗎？要是我們捨得把利息分出去，說不定還會讓它變成計息帳戶呢！
Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.	是的，我們最新的萬聖節存摺帳戶非常創新！我們給你零利率，只酌收一點點名義上的手續費。
We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.	我們有個新的贖罪日儲蓄帳戶。貝斯湖那家熟食店的爾文才剛開了一個，我相信他會推薦的。
You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!	跟你說，今天是申請我們無息秘書節支票帳戶的最後一天。每個月只要27美元，我們會把帳單寄給你的秘書！
Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!	聖派翠克節的促銷活動就快到了。我們給你帳戶，你給我們綠鈔票！
Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!	明天是我生日。留份禮物給我，我就幫你開一個P·H·貝倫斯生日俱樂部帳戶！
For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.	陣亡將士紀念日，我們讓你永誌不忘的方式，就是把你的錢拿走藏進我們的金庫。
Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.	說起來，你藥局關門真是太可惜了。生意這麼突然沒了，一定不好受。我們鮑伯銀行深表同情。
Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.	是啊，你藥局的事我很遺憾。也許你該考慮把店賣了，離開這個鎮子。
Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.	嗯，我知道你不是來鮑伯銀行存款的。沒生意，沒錢，對吧？乾脆把老店賣了算了。
You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.	跟你說，要是鮑伯銀行不得不查封你的藥局，那就太可惜了。也許你可以趁事情惡化前先把它賣了。我或許能幫你介紹個投資人。
How about it, Freddy? Thought any more about selling that run-down store of yours?	怎麼樣啊，佛萊迪？那間破舊的店，考慮得怎麼樣了，要不要賣？
You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.	你最好賣了它，法卡斯。在這西部，付不出錢的人日子可不好過。我可以幫你把那地方接手過去。當然，我會出個合理的市價。雖然照現在的行情，那也值不了多少錢。但鮑伯銀行講求公道。
Come to sell me your store yet?	考慮好要把店賣給我了嗎？
I don't do business with losers. And you're about to lose, Pharkas. Big time.	我不跟輸家做生意。而你就快要輸了，法卡斯。輸得徹底。
Please keep your grubby hands to yourself.	請把你那雙髒手管好。
(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|	（壓低聲音） |c1|哼，你這老山羊，要不要我把你的屁股舉報給國稅局啊！|c|
Did you say something?	你說了什麼嗎？
I said, "How I would love a turn at buttoning your Old Squire's blue coat."	我是說，「真希望有機會替您那件老紳士藍外套扣扣子。」
Oh. Thank you, I'll button it myself.	喔，謝了，我自己扣就行。
Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.	別想把那種污水賣給我，法卡斯。這根本就是純粹的騙術。
This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.	這是機密資料。我根本不該看這個。也就只有你會這樣公然藐視規矩，法卡斯。
Take that nasty little glass away from me. It's stinking up my class establishment.	把那個噁心的小玻璃杯拿走。它把我這高檔場所都給薰臭了。
Clever, Pharkas, very clever. Hope you got a good many points for this.	聰明啊，法卡斯，真聰明。希望你這招能為你加不少分。
My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.	我的肛門括約肌好得很，謝謝關心。我一天排便兩次，從不用力。而且，我覺得你這提議相當令人反感。
You are a desperate individual, Pharkas. I do not give handouts.	你真是走投無路了，法卡斯。我可不做施捨這種事。
(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|	（低聲嘀咕） |c1|你這隻豬，無賴又下流的傢伙！|c|
What say?	你說啥？
I said, "Your fine Dad was the bank founder."	我是說，「令尊當年可是這家銀行的創辦人。」
Oh! Yes, indeed!	喔！沒錯，正是如此！
Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.	別想拿你那把破冰錐威脅我，法卡斯。我有本地警方保護。
This is trash. Away with it!	這是垃圾。拿走！
(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|	（低聲嘀咕） |c1|這裡的垃圾可不只這一件。|c|
I can't hear you. What was that?	我聽不清楚。你說什麼？
I said, "There's lots of lonely cash in here."	我是說，「這裡有好多寂寞的現金呢。」
Oh. Whatever you say.	喔，隨你怎麼說。
You always were a strapping lad. Heh. heh.	你一直都是個健壯的小夥子啊。呵，呵。
Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!	你的擔心是多餘的，法卡斯。我在這裡安全得很。你可以走了。出去時，可別讓門打到你的屁股！
Are you suggesting that I need something like this? I'll have you know I never expel gas!	你是在暗示我需要這種東西嗎？告訴你，我從不放屁！
(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|	（壓低聲音） |c1|那你或許該放一下，免得爆炸。|c|
I'm sorry, I didn't quite catch that.	抱歉，我沒聽清楚。
I'm sorry, I said, "Maybe I should spend more time in the commode."	抱歉，我是說，「也許我該多花點時間蹲馬桶。」
Oh! Well, I don't want to hear about your personal problems.	喔！好吧，我不想聽你私人的問題。
Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.	蝸牛？你要我拿這些做什麼，存進戶頭嗎？法卡斯，你比我想像的還要瘋。
I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.	我很樂意把它安全地放進你在鮑伯銀行的聖誕俱樂部帳戶裡。前提是你得先開一個。
Beer is the beverage of morons. Take it elsewhere forthwith.	啤酒是蠢蛋的飲料。馬上拿去別處。
(SOTTO VOCE) |c1|You worthless waste of space.|c|	（壓低聲音） |c1|你這個佔位置的沒用東西。|c|
Did you just say something?	你剛剛說了什麼嗎？
I said, "Your worth is based on taste."	我是說，「你的價值，取決於品味。」
Oh. Yes, I've invested a fortune in these beautiful paintings!	喔，沒錯，我在這些美麗的畫作上投資了一大筆錢！
I don't need any of your castoffs, Pharkas. Throw them out yourself.	我不需要你那些淘汰品，法卡斯。自己拿去丟了吧。
I don't recognize that key. It certainly opens nothing around here!	我不認得那把鑰匙。反正在這裡它什麼都打不開！
(SOTTO VOCE) |c1|Like the key to your generosity.|c|	（壓低聲音） |c1|就像打開你那份大方的鑰匙一樣。|c|
Say again, please.	麻煩再說一次。
I said, "Look at me, I'm a sight to see!"	我是說，「你看看我，可真是賞心悅目啊！」
Oh. You look pretty scrawny to me.	喔，我看你倒是挺瘦弱的。
Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.	還在想爬上梯子頂端啊，法卡斯？我看這大概是你唯一能爬上去的辦法了。
You don't have the gumption to tie me up, Pharkas.	你沒那個膽子把我綁起來的，法卡斯。
(UNDER BREATH) |c1|And I don't have enough rope, either!|c|	（低聲嘀咕） |c1|反正我繩子也不夠用！|c|
What was that? What did you say?	什麼？你說什麼？
I said, "You don't happen to be a dope, either."	我是說，「你倒也不像個傻瓜。」
Oh. Too true, too true! Heh, heh.	喔，說得太對了，太對了！呵，呵。
Cease your ridiculous antics, Pharkas. Do I look like a cow to you?	別再耍那些荒唐把戲了，法卡斯。我看起來像頭牛嗎？
I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.	我可沒有那些低下階層常有的腸胃毛病。所以，這帖藥你拿去別處用吧。
That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.	那個罐子完全沒有兌換價值。不過還是很謝謝你想到我們鮑伯銀行。
I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!	抱歉了，鄉巴佬藥師。我們不接受大量的小蘇打存款！
(UNDER BREATH) |c1|You're full of hot air.|c|	（低聲嘀咕） |c1|你這人真是滿口廢話。|c|
Excuse me? What did you say?	你說什麼？再說一次？
I simply said, "You've got a full head of hair."	我只是說，「你的頭髮真是茂密。」
Oh. Yes, do you like it? It's imported.	喔，是啊，你喜歡嗎？這是進口貨。
Vulgar displays of pulchritude do not impress me, Pharkas.	低俗的美色炫耀，可打動不了我，法卡斯。
(UNDER BREATH) |c2|You're no saint, you no-account rear!|c|	（低聲嘀咕） |c2|你才不是什麼聖人，你這沒用的屁股精！|c|
Pardonne moi?	敢問，您說什麼？
I merely say, "I ain't got no account here!"	我只是說，「我在這兒可沒開戶。」
Oh. Well, whose fault is that?	喔，那是誰的錯呢？
I find your wax utterly irrelevant.	我覺得你的蠟一點都不重要。
(SOTTO VOCE) |c1|Yeah, and I find YOU utterly an elephant!|c|	（壓低聲音） |c1|是啊，我覺得你完全就是頭大象！|c|
I'm sorry? Please repeat that, I missed it.	抱歉？麻煩再說一次，我沒聽到。
I said, "I think you are a hell of a gent."	我是說，「我覺得您真是個了不起的紳士。」
Oh. Yes!	喔，沒錯！
What damage do you think you're going to do with that little penknife? Just remember, Pharkas, I've got friends in this town. Powerful friends. Not like your flea-bitten pals. So don't threaten me. Your day will come. And soon, too, I guarantee you.	你以為拿那把小折刀能造成什麼傷害？記住了，法卡斯，我在這鎮上有朋友。有力的朋友。可不像你那些渾身跳蚤的哥兒們。所以別想威脅我。你的報應快來了。而且很快，這我跟你保證。
You hand the safe-deposit key to P.H. Balance.	你把保管箱鑰匙交給P·H·貝倫斯。
It'll be ready Tuesday. OH! I mean, allow me to fetch your safe-deposit box for you immediately.	星期二就會好了。噢！我是說，容我立刻幫您把保管箱取來。
You level your pistol at the Banker.	你把手槍瞄準銀行家。
You try it, Pharkas, and you'll wind up hanging from the tallest limb in town. The Sheriff and I are keeping our eyes on you. One wrong move, and you're history.	你敢試試看，法卡斯，你就等著吊在鎮上最高的那根樹枝上吧。警長跟我都盯著你呢。一步錯，你就完了。
You lower your pistol. You hate to admit it, but he's right; you'd never get away with shooting him in cold blood.	你放下了手槍。你雖然不願承認，但他說得沒錯；你絕不可能就這樣冷血斃了他還能全身而退。
Don't try to bribe me with pie, Pharkas. I'm not some backwoods hick like some of the folks in this one-horse town.	別想拿派來賄賂我，法卡斯。我可不是這種鳥不生蛋小鎮上的鄉巴佬。
Thank you, Pharkas, but no thank you. I prefer a more cultured beverage, specifically, tea.	謝了，法卡斯，不過還是免了。我偏好更有格調的飲料，具體來說，是茶。
(UNDER BREATH) |c1|I hope you choke on your tea!|c|	（低聲嘀咕） |c1|希望你被茶給嗆死！|c|
What did you say, Pharkas?	你說什麼，法卡斯？
I said, "I guess the joke is on me!"	我是說，「我看這玩笑是開在我自己頭上了！」
Oh! Yes, I suppose it is, isn't it?	喔！是啊，我想也是，不是嗎？
What am I supposed to do with this? It's not bankable. Take it away.	你要我拿這個做什麼？這又不能存進銀行。拿走吧。
(QUIETLY) |c1|You've got your nerve, you dirtpile.|c|	（小聲地） |c1|你這堆爛泥還真有膽子。|c|
Huh? What was that?	嗯？你說什麼？
I said, "You've got verve and earthy style."	我是說，「您真是活力充沛、自成一格。」
Oh! That is so!	喔！正是如此！
I do not accept these as currency. In fact, I prefer not to have them in my bank! Please remove them forthwith or I shall have to remove them myself.	我不接受這些當貨幣。事實上，我根本不想讓這些東西出現在我銀行裡！請立刻拿走，不然我就得自己動手了。
(UNDER BREATH) |c1|Any stinkin' day, you dried-up horse.|c|	（低聲嘀咕） |c1|隨便哪個臭天，你這匹乾癟老馬。|c|
Pardon me? Come again?	什麼？再說一次？
I said, "Anything you say. You're right, of course."	我是說，「您說什麼都對，您當然是對的。」
Oh! Well, of course I am.	喔！那當然，我當然是對的。
I'm sure this silver is not investment-grade. Nice try, Pharkas. But hang onto it. It probably has great sentimental value. (SNICKER)	我肯定這銀子不夠投資等級。想得美，法卡斯。不過你還是留著吧。它大概很有紀念價值。（竊笑）
It's an interesting trinket, but hardly worth my time. Take it back, Pharkas.	這是個有趣的小玩意兒，但不值得我花時間。拿回去吧，法卡斯。
That suit is clearly meant for somebody much scrawnier and less robust than me. Take it away.	那套衣服顯然是給比我瘦弱得多的人穿的。拿走吧。
(UNDER BREATH) |c1|One of these days... bang, zoom!|c|	（低聲嘀咕） |c1|總有一天…咚，轟，一拳飛月球！|c|
Oh, I just said, "One of these days, banking boom!"	喔，我只是說，「總有一天，銀行業務蒸蒸日上！」
Oh! I certainly hope so.	喔！我當然希望如此。
It'll be ready on Tuesday, Pharkas. Hehe... just making a funny. This isn't redeemable here.	星期二就會好了，法卡斯。嘿嘿…開個玩笑而已。這東西在這裡兌換不了。
Take those smelly old things away, or I shall be forced to remove you bodily from this bank!	把那些又臭又舊的東西拿走，不然我就得親自把你架出這間銀行！
(SOTTO VOCE) |c1|Yeah, you think so? You'd be sorry.|c|	（壓低聲音） |c1|哼，你以為你辦得到？你會後悔的。|c|
I'm sorry, what did you just say?	抱歉，你剛說了什麼？
I said, "Yeah, they stink like calamari."	我是說，「是啊，它們臭得像魷魚圈。」
Oh! Yes, exactly.	喔！對，一點也沒錯。
I don't want your smelly old neckerchief! Wrap it around your scrawny li'l chicken gullet or something.	我才不要你那條又臭又舊的領巾！拿去纏你那細瘦的雞脖子吧。
(UNDER BREATH) |c1|I sure can't believe you smell so rank!|c|	（低聲嘀咕） |c1|真不敢相信你臭成這副德性！|c|
What was that, Pharkas?	你說什麼，法卡斯？
I said, "You sure have achieved a swell bank."	我是說，「您這銀行辦得可真是有模有樣。」
Oh! Why, thank you. I'm proud of it.	喔！哎呀，謝謝。我對它很自豪。
Ah, yes, a letter from your worthless crony Mr. Graves. A shame he had to die.	啊，是啊，一封來自你那沒用死黨葛雷夫斯先生的信。可惜他非死不可。
Taking up digging, are we? Couldn't make a go of that pharmacy, eh? I'm not surprised. You haven't demonstrated much business sense.	改行挖土啦？藥局經營不下去了，是吧？我一點也不意外。你向來沒什麼生意頭腦。
(UNDER BREATH) |c1|I'd like to dig a grave for YOU.|c|	（低聲嘀咕） |c1|我倒想幫你挖個墳。|c|
Speak up, Pharkas, I can hardly hear you.	大聲點，法卡斯，我幾乎聽不到。
I said, "I'd like to invest my savings with you!"	我是說，「我想把我的存款交給你投資！」
Oh. I'm sure we can arrange something at a later date.	喔，我相信我們日後一定能安排點什麼。
What is this, your lunch? Take it away, Pharkas, I'm watching my weight.	這是什麼，你的午餐？拿走吧，法卡斯，我在控制體重。
I don't require a bag for anything. Goodbye.	我什麼都不需要袋子裝。再見。
(SHOUTING) Remove that filth from my bank at once, do you hear? And while you're at it, remove yourself, too!	（大吼）馬上把那髒東西從我銀行裡拿走，聽到沒？順便也把你自己一起弄走！
I don't appreciate you throwing clay around my bank, Pharkas! Please remove it from the vicinity immediately.	我不喜歡你在我銀行裡到處亂丟黏土，法卡斯！請立刻把它清離這附近。
