Welp, bring it back when it's full, and we'll get stinkin'!	啊，裝滿了再拿回來，咱倆好好喝個痛快！
Well, I went awhile ago. Thanks anyway!	呃，俺剛剛才上過。謝了！
That ain't MY key, son! Yew just hang onto it.	那不是俺的鑰匙，小子！你自個兒留著吧。
Nice piece o' lumber, kiddo. You wanted some stuff whittled into it? Take a number, I gotta finish this piece of scrimshaw.	不錯的木料嘛，小鬼。想要俺幫你雕點什麼？先排隊等著，俺得先把這件鯨骨雕刻品做完。
Y'all got a hank of rope there! Yew bin garbage-pickin' down at Smithie's old place?	你手上那是一捆繩子嘛！你是不是跑去鐵匠史密的老地方翻垃圾啦？
Glad to hear it. Now git.	聽你這麼說俺就放心了。快滾吧。
Gotcherself a nice-lookin' lasso there. You tie it?	你那套索看起來挺不錯的嘛。是你自己打的結？
Hmm. I'm gonna keep m'eye on you. You got the makin's of a real Western hero. Someday they'll be tellin' stories about you, mark my words. Now vamoose.	嗯。俺會盯著你的。你身上有真正西部英雄的料。總有一天大伙兒會傳頌你的故事，記住俺這句話。行了，快走吧。
Whut do you think I am, stupid or sumpin'? I try and whittle that, I'll puncture it, and you'll get laughin' gas for blocks around! We'd all die laughin'! Not that it'd be a bad way to go, but hell, son, I got plans! There's tales to tell and wood t' whittle! Get outta here now.	你把俺當白痴還是怎樣？俺要是拿刀去雕那玩意兒，一戳破，方圓幾條街的人都要吸到笑氣！咱們全都會笑死！倒不是說那樣死法有多糟，可是啊，小子，俺可還有計畫哩！俺還有故事要講，還有木頭要雕呢！快從這兒滾出去。
I sees ya got... whut, about a hunnerd sack?... of bakin' soda there, sonny.	俺看你手上拿的……那是啥，一百包小蘇打嗎？……小子。
Yep, and it's feeling a little heavy, too.	沒錯，而且還挺重的。
Shucks, son. I remembers when I wuz just a sprite in my mama's apple, I used to have to carry FIVE HUNNERD sack o' baking soda to school and back, ever' day, twenny-five miles in each direction. Yer jus' SPOILT, sonny, thet's what's wrong witcha! Now get back to whuch yer doin', and leave me to my whittlin'.	唉唷，小子。俺還記得自己還是俺娘蘋果裡那顆小精靈的時候，俺每天得扛五百包小蘇打上學又扛回家，來回各走二十五哩路呢。你就是被寵壞了，小子，你的毛病就出在這！好啦，回去做你該做的事，讓俺專心雕木頭。
I don't look at no nekkid pitchers of wimmenfolk. But hey, ya got any pitchers of sheep? Bring 'em on by! Now git outta here.	俺才不看什麼女人的裸體照。不過話說回來，你有沒有綿羊的照片？有的話儘管拿來！好了，快滾出去吧。
Nice bit o' wax ya gots there, sonny! Good fer lost-wax castin'! That reminds me, I wuz gonna finish whittlin' that pair o' skis. Welp, I'll get to it tomorrow.	你手上那塊蠟不錯嘛，小子！拿去做失蠟鑄造正合適！這倒提醒俺了，俺本來要把那雙滑雪板雕完的。唉，明天再說吧。
You aim the gun at Willy... and pull the trigger!	你把槍瞄準威利……扣下扳機！
HAH! My skin's tough as nails, kid. Like old rawhide. Bullets cain't stop me.	哈！俺這張皮硬得跟釘子一樣，小子。跟老牛皮似的。子彈打不倒俺。
That shore does smell good, kid! Wouldn't mind whittlin' myself a slice o' that. Gives me the craps, though, so get it away from me.	聞起來還真香啊，小子！俺是不介意切一片來嚐嚐，不過那東西會害俺拉肚子，還是拿遠一點吧。
I don't drink thet stuff. Eats m'gullet out. Gives me ulcers. But you run across some Everclear, I'm right there besides ya.	俺不喝那玩意兒。會把俺的喉嚨燒穿，還會讓俺長潰瘍。不過你要是弄到純穀烈酒，俺立馬站你這邊。
Keepin' yer pistols polished, son. Thet's what it's all about.	把你的手槍擦亮點，小子。這才是重點。
Hey, them's some nice, shiny new bullets ya got! Won't do ya much good settin' in yer sweaty palm, though. Load 'em or lose 'em, kid!	嘿，你那些子彈又新又亮嘛！不過擱在你那汗兮兮的手心裡也沒什麼用。要嘛裝進槍裡，要嘛就丟了吧，小子！
That there's clay! You lookin' to do some lost-wax castin'?	那是黏土嘛！你是想做失蠟鑄造嗎？
Some what?	什麼鑄造？
Never mind, it'd take too long to explain to ya.	算了，跟你解釋起來太花時間了。
That's a fine bit o' silver, kiddo, the kinda thing you could molten' down and use fer lost-wax castin', if you were a mind to! Thet reminds me, gotter get to Sal's one of these days to have muh false teeth re-silvered.	那是塊上好的銀子啊，小鬼，要是你有心的話，融了就能拿去做失蠟鑄造！這倒提醒俺，俺該找個時間去阿薩那兒把俺的假牙重新鍍銀。
Nice duds ya got there, whippersnapper! Beige 'n turquoise. Reminds me a fella I knew, openin' up a restaurant by the Eastern Pacific line. Howie Johnson, I think his name wuz. Loved beige 'n turquoise.	你這身行頭挺不賴嘛，小毛頭！米色配土耳其藍。讓俺想起俺認識的一個傢伙，在東太平洋鐵路線旁開了間餐廳。俺記得他叫豪伊強森，最愛米色配土耳其藍了。
"Go with bright orange," I says to him, "Beige is sich a prissy li'l color." "But it goes with everything," he says to me. "Whut if it does?" I says. "Folks'll remember orange and turquoise. Nobody remembers beige and turquoise."	「用鮮橘色啦，」俺跟他說，「米色那種顏色太娘娘腔了。」「可是它跟什麼都搭啊，」他跟俺說。「搭又怎樣？」俺說。「大伙兒會記得橘配藍綠，沒人會記得米色配藍綠的。」
I don't know if he ever listened to me. Oh, well. Anyways, nice duds. Next time, ya might think about goin' with orange instead of beige.	俺也不知道他到底有沒有聽進去。唉，算了。總之，行頭不錯。下次啊，你可以考慮穿橘色，別再穿米色了。
Oh, yeah! That thang! It'll be ready Tuesday! Ha ha ha, that's a thigh-slapper, son! Shoot, I wuz jus' funnin' ya. I dunno what that's fer.	喔，對！那玩意兒！星期二就會弄好啦！哈哈哈，這笑話夠冷吧，小子！得了，俺就是逗你玩的。俺根本不知道那是幹嘛用的。
Nice pair o' sissified boots ya gots there, kid! Ain't nuttin' like a li'l turquoise 'n beige to strike fear inter the hearts of men!	你那雙靴子挺娘的嘛，小子！沒什麼比一點土耳其藍配米色更能讓大男人聞風喪膽的了！
Cain't whittle nothin' outta THAT, kid!	那玩意兒俺可雕不出啥東西來，小子！
I cain't read this. I ain't got muh readin' glasses on.	俺看不懂這個。俺沒戴老花眼鏡。
Hey, that ain't yourn! That belongs down t' the cemetery, don't it?	嘿，那不是你的東西！那應該是墓園裡的吧，不是嗎？
I was just borrowing it for a while.	我只是先借用一下而已。
Oh, yeah, right. An' Mrs. Lincoln enjoyed the show. Git lost, yew shovel-stealin' varmint.	喔，是喔，對啦。林肯夫人那晚也看戲看得挺盡興的呢。滾遠一點，你這個偷鏟子的小賊。
What the HELL you want me to do with THIS thing?	你到底要俺拿這東西幹什麼鬼用啊？
Nothing, I guess.	我想……沒事吧。
Good! It smells like horse poop, only it don't weigh nuthin'! Whut is it, "Horse Poop Lite" or somethin'? Get it outta my face!	很好！這玩意兒聞起來像馬糞，可是又不會很重！是什麼，「輕盈馬糞」嗎？快從俺眼前拿走！
If you didn't want it, why'd you take it?	你要是不想要，幹嘛拿它？
Whut'd you want me to do with THIS? Whittle it into sumpthin'? It's too soft! Bring it back in a couple weeks, when it's toughened up a little.	你要俺拿『這個』幹嘛？雕成什麼東西嗎？這太軟了！過個幾星期，它硬一點再拿回來吧。
Potatoe sackse.	馬鈴暑麻布袋。
They'r note fore sal.	它們不事要賣滴。
These are big ol' crates of the newest taste sensation sweeping the East. Too bad it hasn't reached the West Coast yet, hence all these full boxes.	這些是一箱箱風靡東岸的最新口味零食。可惜還沒傳到西岸來，所以這些箱子才會全部堆在這兒沒賣掉。
Due to a recent scandal, Chester refuses to sell any more Broccoli Roll-ups.	因為最近鬧出的醜聞，切斯特再也不肯賣花椰菜捲了。
Barrels of Chester Field's most famous smoked delicacies.	一桶桶切斯特最有名的煙燻美食。
Chester isn't selling any more smoked pickles. He's recently developed a major craving for them, and goes through about a barrel a week.	切斯特已經不賣煙燻醃黃瓜了。他最近迷上這味，一星期就能自己吃掉一整桶。
Sacks of Bachelor's Favourite Flour.	一袋袋單身漢最愛麵粉。
Pressure from local conservatives convinced Chester to stop selling these to unmarried persons. They felt he was promoting premarital sacks!	在地保守人士施壓，讓切斯特不再賣給未婚人士。他們覺得這是在鼓吹『婚前偷嘗禁袋』！
It's a horseshoe from Chester's old swayback horse, that got spooked by a wagon, ran into the street and broke its leg under the wagon wheel. Chester sent it to a veterinarian in San Francisco at outrageous cost, but in the end, the horse died anyway. Took every penny Chester had, since the horsemeat guy wouldn't buy the carcass.	這是切斯特那匹老馬掉下來的馬蹄鐵，那匹背都塌了的老馬被馬車嚇到，衝到街上被輪子輾斷了腿。切斯特花了大把銀子把牠送去舊金山看獸醫，結果那匹馬最後還是死了。花光了切斯特所有的積蓄，因為連收馬肉的人都不肯買下那具屍體。
Guess he keeps the horseshoe up there for good luck.	看樣子他是把馬蹄鐵掛在那兒討個吉利。
What? And take away Chester's good luck charm?	什麼？把切斯特的幸運符拿走？
|c2|Wanted! Dead or Alive! For Crimes of Bad Taste, Innuendo & Gentle Perversion Albert "The Tinkler" Lowe Alias "The Talking Bear" Alias "Rottweiler Al" Alias "Creator of the Cult Classic BOP-A-BET" Reward: $500 Dead $15 Alive|c|	|c2|通緝！不論死活！罪名：品味低劣、影射黃腔、溫和變態 艾伯特「小便先生」羅威 別名「會說話的熊」 別名「羅威獵犬」 別名「邪典經典《BOP-A-BET》的創作者」 賞金：死屍500元，活口15元|c|
Leave it up, just in case somebody spots that no-good, scene-stealin', code-snitchin' wiseass sonnuva slimeball!	留著別拿下來，說不定哪天有人會認出那個沒品、搶戲、偷改程式碼、自以為是的爛渣男！
|c3|Notice! Lost: one ferret Brown & white, answers to the name of "Daisy" Enjoys sniffing out dead bodies. If found, please return to Dr. Olympia Myklos c/o Leyendecker Museum, New York City, NY|c|	|c3|啟事！尋物：一隻雪貂 棕白相間，聽到「黛西」這個名字會有反應 喜歡嗅探屍體 若尋獲，請送回紐約市萊恩戴克博物館轉交奧林匹亞·麥克洛斯博士|c|
Criminy, if you were missing |c0|your|c| ferret, would |c0|you|c| want somebody to take down your lost notices?	老天，要是搞丟的是|c0|你自己|c|的雪貂，|c0|你|c|會希望有人把尋物啟事撕掉嗎？
Announcement to All! |c1|I am no longer responsible for any debts incurred by my wife Valanice, my son Alexander or my daughter Rosella. Correspondence may be sent to: K. Graham of Daventry c/o P. Patti Washington, D.C.|c|	公告周知！|c1|本人自此不再為妻子瓦拉妮絲、兒子亞歷山大或女兒羅塞拉所欠下的任何債務負責。若有信件，請寄至：達文翠的葛拉漢國王，轉交派蒂，華盛頓特區|c|
Better not touch it. Whoever this Kay Graham is, she might be very upset.	還是別碰的好。不管這位「凱·葛拉漢」是誰，她搞不好會很不高興。
A small metal mirror.	一面小小的金屬鏡子。
It's nailed in place. Apparently Chester wants to keep it.	它被釘死在那兒了。看樣子切斯特想留著它。
These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.	這些工業強度的重型鑄鉛平底鍋，表面塗了汞氯化合物，才能達到不沾鍋的效果。
Even though they're still hanging up, Chester yanked 'em off the market when it was discovered that lead, mercury and chlorine are all toxic. The manufacturer denies any responsibility.	雖然這些鍋子還掛在架上，但自從被發現鉛、汞、氯都有毒之後，切斯特就把它們全部下架了。製造商否認一切責任。
This is an old kerosene lantern.	這是一盞老舊的煤油燈。
Chester only sells lanterns in combination with kerosene, but there's no kerosene to be found these days.	切斯特只賣搭配煤油的燈，可是這年頭根本找不到煤油。
SevereWare Non-Clad Kettles.	「嚴重牌」無包層水壺。
Chester's playing it safe; he won't sell these until he's determined that there's no lead, mercury, or chlorine in their manufacture.	切斯特這次學乖了，除非確定製造過程裡沒有鉛、汞或氯，否則他不會賣這些。
This old milk pitcher was only slightly used out on the farm.	這個舊牛奶壺在農場裡只用過幾次而已。
Federal law prohibits the sale of items that once contained unpasteurized milk.	聯邦法律禁止販售曾裝過未經高溫消毒牛奶的容器。
A hank of rope.	一捆繩子。
It's already been sold; Chester's just waiting for Hank to pick it up.	這個已經賣掉了，切斯特只是在等漢克來取貨。
Assorted-size buckets... chicken, grease, slaw, taters and brown gravy-like paste not included.	各種尺寸的桶子……不含雞肉、油脂、涼拌菜絲、馬鈴薯和類似棕色肉汁的醬料。
Chester stopped selling these after they levied the state-wide New Bucket Tax.	自從州政府開徵『新桶子稅』之後，切斯特就不賣這些了。
This is the interior of Chester Field's Mercantile Company. He used to call it a "General Store" until he ran out of Generals.	這裡是切斯特雜貨公司的內部。他以前把這裡叫做「將軍雜貨店」，直到將軍都用完了為止。
Most of what's here won't talk to you, unless it has vocal cords.	這裡大部分的東西都不會跟你說話，除非它長了聲帶。
The building's not for sale. It's Chester Field's livelihood!	這棟房子不賣。這可是切斯特安身立命的本錢！
It's a nice picture of a pussycat laying on its back.	這是一張仰躺著的貓咪照片，挺可愛的。
You won't need any Kitty Porn in this game!	這款遊戲用不著什麼貓咪養眼照！
It's an Early American Bug Zapper. It's a scented candle with Bits O' Gunpowder melted into it.	這是一款早期美式驅蟲器。其實就是一根融了火藥碎粒的香氛蠟燭。
It's not for sale. Chester likes to keep his store bug-free.	這不賣。切斯特喜歡讓店裡保持無蟲狀態。
It's a hanging broom. The nineteenth-century equivalent of an "air cleaner."	這是一把懸掛的掃帚，算是十九世紀版的「空氣清淨機」。
It's out of reach. Chester puts everything up there that he really kinda wants to hang onto.	這東西你搆不到。切斯特把真正想留著的東西都放在那上頭。
A hanging kerosene lantern, used to provide light in the store at night. Since there's no more kerosene to be found, though, Chester now closes at night.	一盞懸掛的煤油燈，原本用來在夜間為店裡照明。可是現在找不到煤油了，切斯特只好晚上關店。
Take the lantern? But... but... but... but that would be STEALING!	拿走這盞燈？可、可、可、可是那樣就是偷竊了啊！
|c2|* Sunday! Sunday! Sunday! *|c| We've turned the floor of the Coarsegold Arena into a giant |c3|Mud Bog!|c| |c0|SEE!|c| Funny Stagecoaches! |c0|SEE!|c| The Giant 18-Wheel Monster Stagecoach crushing EVERYTHING in its path! |c0|SEE!|c| "Kit," the amazing steam-powered covered wagon from "Night Riders." ONLY at the Coarsegold Arena! |c2|* Sunday! Sunday! Sunday! *|c|	|c2|★星期天！星期天！星期天！★|c| 粗金鎮競技場的地板已經化身成一座巨大的|c3|泥漿沼澤！|c| |c0|快來看！|c|滑稽的驛馬車！|c0|快來看！|c|巨型十八輪怪獸驛馬車，所到之處無不粉碎！|c0|快來看！|c|「奇特」──來自「夜行俠」的神奇蒸氣動力篷車，粗金鎮競技場獨家獻映！|c2|★星期天！星期天！星期天！★|c|
We won't let you remove any of the free plugs for other games.	我們可不會讓你拿走這些幫其他遊戲打的免費廣告。
|c0|General George Armstrong Custer|c| |c1|is looking for|c| |c2|a Few Good Men!|c| Able-bodied Young Men desired for vacation to idyllic Little Big Horn. Intelligent, competent leadership. Wipe out a couple dozen Sioux, how hard can it be? BYOB (Bring Your Own Blunderbuss). Benefits. Contact your local recruiting office.	|c0|喬治·阿姆斯壯·卡斯特將軍|c| |c1|正在招募|c| |c2|優秀好漢！|c| 徵求身強體壯的年輕人，前往世外桃源小巨角河渡假。領導才智出眾、能力過人。剿滅個幾十個蘇族戰士，能有多難？請自備武器（獵槍請自理）。福利優渥。請洽當地招募處。
Hey! Believe it or not, some people ENJOY seeing that crap! Sure, a hundred years from now, they'll probably look back at that kind of entertainment and laugh... but for now, it passes the time!	嘿！信不信由你，有些人就是喜歡看這種東西！沒錯，一百年後大家回頭看這種娛樂大概會笑出來……可是現在嘛，拿來打發時間剛剛好！
"Melancholia? Vapors? Cold? Headache? Neuritis? Neuralgia? Dad Gumm it!"	「憂鬱症？虛煩？感冒？頭痛？神經炎？神經痛？老天爺啊！」
Chester has a contract with DadGummCo stipulating that this sign must remain visible at all times. For which, in return, DadGummCo provides insurance to Chester just in case somebody actually |c0|buys|c| a bottle!	切斯特跟「老天爺公司」簽了合約，規定這塊招牌必須隨時掛著讓人看見。作為交換，老天爺公司則提供保險給切斯特，以防萬一真有人|c0|買下|c|一瓶！
Many's the day you'd find Willy, Chester, Smithie, and a few others in here, all with their feet up on this old pot-bellied stove, playing checkers, whittling, and expectorating. They stopped doing that after the backs of their ankles got too crispy.	以前常常能看到威利、切斯特、鐵匠史密和幾個老兄，把腳擱在這座老式圓肚火爐上，一邊下棋、雕木頭、一邊吐痰。後來因為腳踝後側都快烤焦了，他們才不這麼做了。
It's not for sale, dummy, it's a permanent fixture! Kinda like Willy.	這不賣啦，笨蛋，這是固定裝置！就跟威利差不多。
The heavily-stocked back counter runs along the eastern wall of the General Store. A paper bag lies there.	貨品堆得滿滿的後櫃台，沿著雜貨店東側牆面延伸。上頭擺著一個紙袋。
None of the items along the back counter are for sale. Chester's stocking up for the Big Quake, which is due any day now.	後櫃台上的東西一件都不賣。切斯特正在為隨時可能發生的大地震囤貨。
This coffee grinder from the 1883 Shear's Catalog makes TWO big cranks they've got in this store!	這台咖啡研磨機是從一八八三年的希爾斯型錄訂購來的，可是這家店裡像它這樣『愛發牢騷的老搖桿』可有兩支呢！
This coffee grinder is Chester's private property. He won it in his divorce settlement.	這台咖啡研磨機是切斯特的私人財產，是他離婚協議裡爭取到的。
(PUNCH LINE) Divorced? On what grounds?	（哏）離婚？是因為咖啡『渣』太多嗎？
|c0|Wanted: Dead or Alive!|c| |c0|Kwai Chang Caine|c| Alias "The Grasshopper" Alias "Hey, you! Chinaman!" Unarmed but extremely dangerous. Reward: $25 worth of Turd-All Wax, $50 worth of Ed's Kimono Pies, and a $100 gift certificate to the famous Shwingle Catalog. Over 50,000 quality items providing value, selection & economy. Shwingle, Chicago, Illinois, 60609!	|c0|通緝：不論死活！|c| |c0|關長·凱恩|c| 別名「蚱蜢」 別名「喂，你，中國佬！」 雖然手無寸鐵，但極度危險。賞金：價值25元的「屎多蠟」、50元的艾德和服派、以及價值100元的知名「史溫格型錄」禮券。超過五萬件優質商品，經濟實惠、選擇多多。史溫格，伊利諾州芝加哥市，郵遞區號60609！
Hey, this guy is still on the loose. He keeps popping up every few years, just when you thought he was canceled... er, caught.	嘿，這傢伙到現在還逍遙法外呢。他每隔幾年就會冒出來一次，就在你以為他已經被『取消』……呃，被逮到的時候。
It's the General Store's front door.	這是雜貨店的正門。
Willy, I'm in need a way to disguise my ear. Do you think you could do something creative with this, something in the shape of an ear, perhaps?	威利，我需要一個辦法來遮住我的耳朵。你覺得你能不能用這個發揮點創意，弄個耳朵形狀之類的東西出來？
Offhand, I'd say, do it yer dang self! M'nap time's comin' up shortly, I've had a hard day of whittlin'. But you could mebbe do sum lost-wax castin' with this sucker'd do the trick.	俺直接跟你說，自己動手做吧！俺的午睡時間快到了，今天雕了一整天的木頭累壞了。不過你或許可以拿這玩意兒做個失蠟鑄造，應該行得通。
Lost... wha?	失……什麼？
Lost-wax castin', son! Whut'd you do, sleep yer way through metal shop?	失蠟鑄造，小子！你是怎麼搞的，金工課都在睡覺嗎？
I guess I must've. What's "lost-wax casting?"	我想我大概是吧。什麼是「失蠟鑄造」？
That's "castin'," with an apostrophe, sonny, not an "ing." Anyhoo, yew kin make all sortsa things by makin' a wax positive, using clay to make a mold, then meltin' down the metal and pourin' it inter a mold.	是加一撇的「鑄造′」，小子，不是「造型」。反正呢，你先做出一個蠟模正型，再用黏土做個模具，然後把金屬融化，倒進模具裡，就能做出各種東西啦。
I think so. I'm not sure.	我想是吧。我不太確定。
Welp, that's whut yur "restore" button's fer, kiddo. Now scrambooch.	呃，那就是你的『讀取』鍵派上用場的時候啦，小鬼。行了，快滾吧。
I already tole ya, it'd make fer sum fine lost-wax casting'!	俺已經跟你說過了，這拿去做失蠟鑄造再好不過啦！
The door swings open. From the back, you hear Chester's voice.	門被推開了。你聽見切斯特的聲音從後面傳來。
Help yourself. I'll be right out.	自己隨便看。我馬上出來。
It's Whittlin' Willy's authentic whittlin' knife.	這是削木威利真正在用的雕刻刀。
You "borrow" Whittlin' Willy's knife for awhile.	你先『借』走削木威利的刀，用一陣子。
Considering that there's nothing for sale here, you wonder why Chester even bothers keeping these brown paper sacks around.	既然這裡什麼都不賣，你不禁納悶切斯特幹嘛還留著這些牛皮紙袋。
You take a complimentary paper bag.	你拿了一個免費贈送的紙袋。
Those are wood shavings from Willy's skillful whittlin'.	這些是威利精湛雕工削下來的木屑。
Too bad you won't need any, since they're obviously available... at substantial shavings!	可惜你用不上，反正這些東西顯然要多少有多少……根本『屑』手可得！
It won't be worth taking 'till it's hardened.	這東西要等它變硬了才值得拿。
This is a bottle of Mom's home-pressed apple cider. Mom is merciless to those poor apples. As she turns the press, she screams, "Die, you suckers, die!"	這是一瓶老媽自家壓榨的蘋果西打。老媽對那些可憐的蘋果毫不留情，轉動壓榨機的時候，她會尖叫著：「去死吧，你們這些傢伙，去死！」
If you value your right hand -- and we |c2|know|c| you do -- don't be opening Mom's cabinets.	要是你重視自己的右手──我們|c2|知道|c|你很重視──就別打開老媽的櫃子。
Rumor has it that Helen Back keeps the heads of her three dead husbands somewhere behind the Melmac plates and dishes in that china cabinet.	傳言說海倫·貝克把她三任已故丈夫的頭顱，藏在那個碗櫃裡的美耐皿盤子後面。
Oh, oh, oh! You in big water now!	喔喔喔！你這下可闖大禍啦！
|c2|LOOK WHAT YOU'VE DONE!!|c| Freddy Pharkas, I'll see you run out of town for this!! Hop Singh, hop to it! Get out here and clean up this mess! Damn these flies!	|c2|你看看你幹的好事！！|c| 佛萊迪·法卡斯，你這次死定了，我一定把你趕出這個鎮！！阿星，還不快動起來！快出來把這團亂清乾淨！這些該死的蒼蠅！
Mom offers free coffee to her regular customers. You're as regular as anyone -- 11 a.m. every morning, you head straight for the outhouse! So, as usual, you pour yourself a steamin' hot cuppa joe.	老媽會提供免費咖啡給她的常客。你可比誰都「規律」──每天早上十一點，你就直奔戶外廁所！所以呢，你照往常一樣，幫自己倒了杯熱騰騰的咖啡。
Mr. Pharkas, I have no objection to your coming in here and taking a cup of coffee. But please, limit yourself to one cup at a time. Or I will have no choice but to break your skinny bones like matchsticks. Are we clear on this now? Good.	法卡斯先生，你要進來喝杯咖啡，我沒意見。可是拜託，一次只准喝一杯。不然我就沒得選，只好把你那瘦巴巴的骨頭像火柴一樣折斷。這樣說清楚了嗎？很好。
You take another cup of coffee.	你又倒了一杯咖啡。
Oh, sure. Mom's bottomless pot of coffee. Drink up all my profits, why don't you? Take cup after cup. What do you think, I'm running a restaurant here?	喔，可以啊。老媽這壺咖啡就是無底洞。你乾脆把我的利潤全喝光算了，是不是？一杯接一杯地喝。你以為我在這裡開的是什麼，慈善餐廳嗎？
Sor-REE! Gee, Mom, get off my back! Nag, nag, nag!	抱~歉喔！天啊，老媽，別再唸我了！碎碎唸，碎碎唸！
It's one of those newfangled Ol' Missuh Coffee machines. Helen sets it out every other day for free coffee.	這是那種新潮的「老爺咖啡機」。海倫每隔一天就會擺出來，提供免費咖啡。
You won't need any of |c2|that|c| corn... you're getting enough corn playing this game.	你用不著|c2|那種|c|玉米……光是玩這款遊戲，你受的芭樂梗就已經夠多了。
But that can is full of corn! You'll get corn-packing-juice all over everything!	可是那罐頭裡裝滿了玉米啊！你會把玉米罐頭的湯汁灑得到處都是！
P&W Corn: "Firm, crisp kernels that look as good coming out as they do going in!"	P&W玉米：「顆粒紮實爽脆，吃進去跟排出來一樣好看！」
You see nothing on the counter worth snitching.	你看了看櫃台，沒發現什麼值得順手牽羊的東西。
Mom's counter is clean and spanking-white. Helen Back is anal-retentive about cleanliness.	老媽的櫃台乾淨得發亮，一塵不染。海倫·貝克對整潔可是有嚴重潔癖的。
Fer cryin' out loud! You've dropped a horse pie in the middle of Mom's Cafe! What could you have been thinking of? It wasn't lunch, that's for darn tootin'.	我的老天爺啊！你居然在老媽餐館正中央拉了一坨馬糞！你到底在想什麼？那絕對不是什麼午餐，這點錯不了。
Damned flies! This place is like a stable! Maggots crawling through the door and flies circling the ceiling! What's this town coming to? Flies in the summer, snow fleas in the winter. God, but I miss Missouri! Hop Singh, haven't you put up those no-pest strips yet?!?	這些該死的蒼蠅！這裡簡直跟馬廄一樣！蛆從門口爬進來，蒼蠅在天花板上繞圈子！這個鎮是怎麼回事啊？夏天有蒼蠅，冬天有雪蚤。天啊，我好懷念密蘇里！阿星，你還沒把那些防蟲條掛上去嗎？！？
Freddy Pharkas! Look what you brought in with you. What's next? Honestly.	佛萊迪·法卡斯！看看你身上又帶了什麼進來。接下來還會有什麼？真是服了你。
Sorry, Mom. They on order.	抱歉，老媽。它們已經在訂購中了。
There are too many to catch, and they're too fast.	牠們太多了，而且動作太快，根本抓不到。
A swarm of flies makes a constant circuit inside the Cafe. They're the bane of Mom's existence! Along with customers, employees, or anyone who talks to her or has anything to do with her in any way.	一群蒼蠅在餐館裡不停繞圈子飛。牠們是老媽存在的最大剋星！客人、員工，或任何跟她說過話、有過任何往來的人，同樣也是。
