Pressure's On!	壓力來了！
Bob Andrews	Bob Andrews
Barbara Baser	Barbara Baser
Pete Fisher	Pete Fisher
Geoff Keighley	Geoff Keighley
Bill Larkins	Bill Larkins
Wesley Litt	Wesley Litt
Mark Schey	Mark Schey
Bob Ballew	Bob Ballew
Nathan Gams	Nathan Gams
Alan Mandel	Alan Mandel
Game Designers:	遊戲設計：
Director/Producer:	導演／製作人：
Art Designer:	美術設計：
Lead Programmer:	首席程式設計：
Composer:	作曲：
Lead Animator:	首席動畫師：
Character Designer:	角色設計：
Programmers:	程式設計：
Artists/Animators:	美術／動畫：
Quality Assurance:	品質保證：
Customer Service Liaisons:	客服聯絡：
Additional Animation:	額外動畫製作：
Additional Programming:	額外程式設計：
Configuration Lead:	系統組態負責人：
Quality Assurance Configuration:	品保組態測試：
Additional Sound Effects:	額外音效：
Additional QA:	額外品保測試：
Systems Programming:	系統程式設計：
The Beta Test Team:	Beta 測試團隊：
Special Thanks To:	特別感謝：
just a dummy	只是個佔位用假字串。
Why, Penelope, why? Why on earth have you done all this?	潘妮洛普，為什麼？你到底為什麼要做這些事？
I suppose I can tell you. You know too much already, so I can never let you live. I had just finished my education back in western Pennsylvania at the local Meadville... Wait, Josh, can I ask a question?	我想我可以告訴你。反正你知道得太多了，我不可能讓你活著離開。我當年在賓州西部的米德維爾當地完成學業……等等，喬許，我可以問個問題嗎？
|c0|CUT!|c|	|c0|卡！|c|
Shelley, how many times do we hafta do this damned scene??	雪莉，這該死的場景我們到底還要拍幾次啊？？
It's just that I don't understand my motivation for this speech.	只是我搞不懂我這段台詞的動機是什麼。
Oh, geez.	喔，天哪。
I mean, why would Penelope reveal all this to Freddy? Why doesn't she just kill him and get on with it?	我是說，潘妮洛普為什麼要跟佛萊迪講這些？她幹嘛不直接殺了他，了事就好？
Just |c2|do|c| it, all right? I wanna get home tonight.	妳就|c2|照做|c|就對了，行嗎？我今晚還想回家咧。
This is about |c2|acting|c|, Gil. You wouldn't know anything about it!	這關乎的是|c2|演技|c|，吉爾。你根本一竅不通！
Shel, it's just a plot device so that the audience understands what's going on. Otherwise we leave a lot of unanswered questions.	雪兒，這只是個劇情安排，好讓觀眾搞清楚狀況。不然會留下一堆解不開的疑問。
Can't we put it in the manual instead, Joshie, sweetie? It's so |c2|dull|c|.	可不可以把這段改放進說明書就好，喬西小甜心？這段實在|c2|無聊|c|死了。
No, then they might read it before they finish the game. Ready to take it again?	不行，那樣他們搞不好在破關前就先看到了。準備好再來一次了嗎？
I suppose.	我想是吧。
And... ACTION!	然後……開拍！
Ow!	唉唷！
Oh, god.	喔，天啊。
You HIT me again. You REALLY hit me.	你又打到我了。你是真的打到我了。
Yes I'm cut, and I'm bleeding, too.	對，我被割傷了，還流血了。
I hope it's serious.	希望傷得夠重。
I'm gonna sue. This is what happened to Margaret Hamilton, y'know.	我要告你們。你知道嗎，瑪格麗特·漢彌爾頓當年就是這樣受傷的。
Where are you bleeding?	你哪裡在流血？
My finger!	我的手指！
He'll never pick his ear with that finger again.	他再也沒辦法用那根手指挖耳朵了。
You shut up, this is all your fault.	你給我閉嘴，這全都是你的錯。
Can you suffer through one more take, Gil?	吉爾，你能再忍痛拍一次嗎？
Sure, Josho, and I'll bleed to death, but you'll have your game. That's what you want, isn't it?	當然啊，喬肖，我流血流到死也沒關係，反正你的遊戲拍得出來就好。這不就是你要的嗎？
So c'mon, let's do it. What are we waiting for? C'mon, let's go.	所以來吧，拍就對了。我們還在等什麼？來，開始吧。
Use the pain. Direct it at Shelley.	利用這股痛楚。把它發洩在雪莉身上。
All RIGHT!	好，來吧！
Oh, my formal fellow, I am but a weary traveler from-a da land far, far way.	喔，我這位正式的朋友，偶只是一個從遠遠、遠遠的地方來的疲憊旅人啊。
|c0|CUT!!|c|	|c0|卡！！|c|
Whatta was wrong with-a that?	偶那樣是哪裡有問題啦？
The accent slipped, Antonio.	你的口音跑掉了，安東尼奧。
Wotta you talkin' about? That wassa perfect! You doan' know an Indian accent-a iffa she hits you over da head!	你到底在講什麼鬼啦？那樣就是完美的了！就算她拿東西巴你的頭，你也聽不出印度腔長怎樣啦！
I didn't hear any Italian creeping in. I thought it was pretty good.	我沒聽到有義大利腔跑出來啊，我倒覺得挺不錯的。
I'm-a goin' to my trailer! I can't work under these-a conditions! You call-a my agent, you don't like-a my accent!	偶要回偶的拖車去了啦！這種條件偶沒法工作！你不喜歡偶的口音，你自己打給偶的經紀人啦！
Antonio! Don't walk on the ants!	安東尼奧！別踩到螞蟻！
Ants! Hah! 'Atsa what I think of your lousy ants!	螞蟻！哈！偶才不甩你那些爛螞蟻咧！
Mike, get Antonio's agent on the phone. Steve, get the rest of the programmers down here. Gil, take five.	麥克，打電話給安東尼奧的經紀人。史提夫，把其他程式設計師都叫過來。吉爾，先休息五分鐘。
DOUBLE! STUNT DOUBLE! Hey, I said STUNT DOUBLE! I'm not doing this jump myself. I could break my neck.	替身！特技替身！喂，我說了是特技替身！這一跳我才不要自己來，會摔斷脖子的。
Gil, just do it.	吉爾，做就對了。
Yeah, right, like THAT'S in my contract. My stunt double is supposed to handle this.	是喔，講得好像我合約上真的有寫一樣。這種事本來就該我的特技替身來處理。
She can't, she quit yesterday.	她沒辦法，她昨天辭職了。
What? Why?	什麼？為什麼？
People, people, work with me here! I'm sensing reluctance! Now please, just do the jump before we lose the Assay set, all right?	各位，各位，拜託配合一下！我感覺得到大家很不情願！拜託，趁驗金所的布景還沒毀掉之前，快跳一跳好嗎？
Doesn't this scene take place at night?	這場戲不是應該發生在晚上嗎？
We're shooting day-for-night. It's cheaper. The artists will fix it in post-production.	我們現在是用白天拍夜景的手法，比較省錢。美術會在後製時修好。
Oh, I see.	喔，原來如此。
Off the set, Millie.	米莉，離開片場。
But I wanted to watch Gil break his neck!	可是我想看吉爾摔斷脖子耶！
Get |c0|out|c|! He's nervous enough about doing the scene without you watching him. Ready, Gil?	|c0|出去|c|！他拍這場戲已經夠緊張了，別讓妳在旁邊盯著他看。準備好了嗎，吉爾？
This is ridiculous. I swear, I'll sue if something goes wrong. This is what happened to Margaret Hamilton, y'know.	這太荒謬了。我發誓，要是出了什麼差錯我一定告到底。你知道嗎，瑪格麗特·漢彌爾頓當年就是這樣受傷的。
Just DO IT! And... ACTION!	做就對了！然後……開拍！
|c0|OW!|c| Worker's comp! Worker's comp!	|c0|唉唷！|c| 工傷理賠！工傷理賠！
This adventure game is a work of fiction and is protected under the law under the general heading of parody, which means we can get away with everything we said and did in the game. If not, we'll just fall back on that old "the people and events described herein bear no relation to any real or imagined people and events" loophole.	這款冒險遊戲純屬虛構，並受戲仿（parody）相關法律保護——也就是說，我們在遊戲裡講的、做的一切都可以逃過一劫。如果不行，我們還有老招數可以用：「本作所述之人物與事件，純屬虛構，如有雷同，實屬巧合」這句萬用免責聲明。
A total of 34 animals were injured or maimed in the making of this game. After all, we could accept nothing less than total and complete realism.	本遊戲製作過程中，總共有 34 隻動物受傷或殘廢。畢竟，我們要求的可是徹頭徹尾的真實感，一點都不能少。
Cancel	取消
Change Directory	變更目錄
Delete	刪除
No	否
OK	確定
Replace	取代
Save	儲存
Are you sure you want to delete this saved game?	確定要刪除這個存檔嗎？
Restore a Game	讀取遊戲
Save a Game	儲存遊戲
%s is not a valid directory.	%s 不是有效的目錄。
This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.	此目錄／磁碟已無法容納更多存檔。您必須取代現有的存檔，或使用「變更目錄」功能改存到其他目錄／磁碟。
