That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
Authentic Western Voice Direction by Al Lowe	道地西部配音指導：Al Lowe
Authentic Western Voiceovers Produced by Dan Kehler	道地西部配音製作：Dan Kehler
Authentic Western Music & Sounds by Aubrey Hodges	道地西部音樂與音效：Aubrey Hodges
and Authentic Western Quality Assurance by Mike W. Pickhinke	以及道地西部品質保證：Mike W. Pickhinke
Additional Animation and Mondo Thanks To: Jeff Crowe, Joan Delehanty, Maria Fruehe, Gloria Garland, Michael Hutchison, Tony Margioni, Jerry Moore, Cindy Walker, Chris "Smokehouse" Willis, and Deanna Yhalkee	額外動畫與衷心感謝：Jeff Crowe、Joan Delehanty、Maria Fruehe、Gloria Garland、Michael Hutchison、Tony Margioni、Jerry Moore、Cindy Walker、Chris「煙燻屋」Willis，以及 Deanna Yhalkee
Special Guest Programming by Doug Oldfield, Carlos Escobar, and Brian K. Hughes	特別客串程式設計：Doug Oldfield、Carlos Escobar，以及 Brian K. Hughes
Customer Service Liaisonin' by Larry Buchanan and Mike Weiner	客服聯繫：Larry Buchanan 與 Mike Weiner
Systems Programming by Vana Baker, Ed Critchlow, Dan Foy, J. Mark Hood, Brian K. Hughes, Ken Koch, Jack Magne, Terry McHenry, Martin Peters, Larry Scott, Christopher Smith, and Mark Wilden	系統程式設計：Vana Baker、Ed Critchlow、Dan Foy、J. Mark Hood、Brian K. Hughes、Ken Koch、Jack Magne、Terry McHenry、Martin Peters、Larry Scott、Christopher Smith，以及 Mark Wilden
Special Thanks To: Bob Ballew, Donovan Holmes, Jeff & Jon Martin, Rick Spurgeon, Nathan Gams, Alan Mandel, and the Freddy Pharkas Beta Testers	特別感謝：Bob Ballew、Donovan Holmes、Jeff & Jon Martin、Rick Spurgeon、Nathan Gams、Alan Mandel，以及《多情藥師酷牛仔》的測試玩家們
If you're not enjoying FREDDY PHARKAS, FRONTIER PHARMACIST, you will no doubt also dislike Al Lowe's other groundbreaking comedy adventure games:	如果你不喜歡《多情藥師酷牛仔》，想必也不會喜歡 Al Lowe 其他開創性的喜劇冒險遊戲：
|c0|Leisure Suit Larry in the Land of the Lounge Lizards,|c| |c1|Leisure Suit Larry 2: Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),|c| |c2|Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,|c| |c0|Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,|c| and |c3|Leisure Suit Larry 6: Shape Up or Slip Out!|c|	|c0|《花花公子拉瑞：酒廊蜥蜴樂園》，|c| |c1|《花花公子拉瑞2：拉瑞四處尋愛（去了不少糟糕地方）》，|c| |c2|《花花公子拉瑞3：熱情佩蒂追逐悸動的胸肌》，|c| |c0|《花花公子拉瑞5：熱情佩蒂的臥底任務》，|c| 以及 |c3|《花花公子拉瑞6：健身還是滾蛋！》|c|
These and all the other fine Sierra products (including the handy six-pack of FREDDY PHARKAS, FRONTIER PHARMACIST), are available from Sierra. See your Game Manual.	以上作品及其他優質 Sierra 產品（包括方便的六入裝《多情藥師酷牛仔》），皆可向 Sierra 購買。詳見遊戲手冊。
Hints are available on our 24-hour Automated Hint Line. See your Game Manual.	我們的24小時自動提示專線提供攻略提示，詳見遊戲手冊。
Hint Books may be purchased from our Sales Department. See your Game Manual.	攻略本可向我們的業務部門購買，詳見遊戲手冊。
Our Customer Support people can help you with your technical problems, disk replacements, etc. See your Game Manual.	我們的客服人員可協助你處理技術問題、更換磁片等事宜，詳見遊戲手冊。
This half-hour infomercial has been brought to you by Screw Loose Amusements, the Freddy Pharkas team. Now back to the game, already in progress.	這段半小時的置入性廣告由Screw Loose Amusements（多情藥師酷牛仔製作團隊）為您獻上。現在，回到已經開始的遊戲。
You scrape the clay off and discard it, leaving you with a gleaming silver ear! Beautifully done! With an ear like this, you could (dare I say it) RULE THE WORLD! Nyah-ha-ha-ha!	你把黏土刮掉丟棄，留下一只閃閃發亮的銀耳朵！做得漂亮！有這麼一只耳朵，你（我敢說）簡直能統治世界！哈哈哈哈！
Your "ear mold" (yuch!) is now filled with the melted silver from your award medallion. (Y'know, they're NOT going to send Srini another medallion!)	你的「耳模」（噁！）現在灌滿了獎章融化後的銀水。（你知道嗎，他們才不會再寄一面獎章給斯里尼呢！）
Those two just don't go together.	這兩樣東西根本兜不起來。
You try tearing open a sack with your bare hands, but in the never-ending battle of Man vs. Burlap, you lose.	你試著徒手撕開麻袋，但在這場「人類對麻布」的永恆戰爭中，你輸了。
You intended to order one sack of baking soda. Owing to an administrative error, you are now the proud possessor of one hundred forty-four sacks of baking soda... and the superhuman strength required to carry it around. How gross!	你原本只想訂一袋小蘇打粉。由於行政疏失，你現在自豪地擁有一百四十四袋小蘇打粉……以及扛著它們到處走的超人力氣。真夠噁心的！
With muscles bulging from years of grappling with childproof caps, you deftly wield the church key and wrench the tops from all the beer bottles.	多年來與兒童安全瓶蓋搏鬥練出的肌肉派上用場，你俐落地揮動開瓶器，把所有啤酒瓶蓋都扭開了。
Sorry, Mr. Anheuser only recently developed the bottle-cap. Mr. Busch hasn't begun to think about the twist-off tops yet!	抱歉，Anheuser先生才剛研發出瓶蓋，Busch先生根本還沒想到旋轉式瓶蓋這回事！
This is your case of Loebrau, "The Beer that Gave St. Louis Blues." All 24 bottles are tightly stoppered with those newfangled metal bottle-caps.	這是你那箱「羅布勞」啤酒，「讓聖路易憂鬱的啤酒」。24瓶全都用那種新奇的金屬瓶蓋緊緊封著。
You reach inside your old boots and find... the rotting remains of a pair of nasty old Odor Beaters!	你伸手探進舊靴子裡，找到……一雙噁心舊除臭墊的腐朽殘骸！
Sigh. These passenger pigeon-skin boots bring back memories... of the days before Kenny the Kid gave you an ear job.	唉。這雙旅鴿皮靴讓你想起往事……小鬼肯尼幫你「動耳朵手術」之前的日子。
What are you trying to do, open the bullets? Not a smart endeavor!	你想幹嘛，把子彈打開嗎？這可不是聰明的舉動！
Tons o' ammo! Hot lead! Hollow-points! Dum-dums!	一堆彈藥！燙手的鉛彈！空尖彈！達姆彈！
You try to mold the wax with your bare hands, but the wax is just a bit too stiff to handle. (A feeling not wholly unfamiliar to you!)	你試著徒手捏塑蠟塊，但蠟塊硬得有點難處理。（這種感覺你並不陌生！）
With your newly-acquired whittlin' skills, you carve the candle wax into the shape of an ear, one that should theoretically attach snugly to the remains of your original ear. But now look at the gunk on Willy's knife!	憑著新學會的削木手藝，你把蠟燭雕成一只耳朵的形狀，理論上該能緊密接到你原本耳朵的殘餘部位上。可是你看看威利刀上沾的那些黏糊糊的東西！
I'll toss this knife over here where Willy might find it. He'll probably think he dropped it here!	我把這把刀丟在這裡，威利應該會找到。他大概會以為是自己掉在這裡的！
Yeah. Sure.	對啊，可不是嘛。
This puddle of candle wax from the Church is suitable for chewing, but it tends to lose that "Churchy" flavor after only a couple of minutes!	這灘從教堂弄來的蠟燭蠟很適合拿來嚼，不過才嚼個幾分鐘就會失去那股「教堂味」！
You search for something inside the charcoal, but there's nothing to be found.	你在木炭裡翻找，但什麼也沒找到。
You swiped this handful of charcoal from the blacksmith's forge. (Remember to wash your hands when you're finished playing the game!)	你從鐵匠的熔爐裡順了一把木炭。（玩完遊戲後記得洗手！）
The Church key is solid and heavy and refuses to bend.	教堂鑰匙又硬又重，怎麼也彎不了。
Nobody will miss this key to the Church, since the Church is never locked anyway. But doesn't it have an unusual shape?	沒人會發現這把教堂鑰匙不見了，反正教堂從來不上鎖。不過它的形狀是不是挺特別的？
You turn the claim check over, searching for a locker combination, but there's nothing written on the other side.	你把提貨單翻過來，想找置物櫃密碼，但背面什麼也沒寫。
It's a tattered, well-worn claim check, nearly brown with age.	這是一張破舊不堪的提貨單，因為年代久遠幾乎泛成褐色。
You try to shape the clay, but you're no sculptor. (Maybe you should take up whittling instead!)	你試著捏塑黏土，但你不是雕塑家的料。（或許你該改行去削木頭！）
Who would steal a handful of clay from a gravesite? If you only had some eye of newt and tongue of bat...	誰會從墓地偷一把黏土？要是你有蠑螈眼和蝙蝠舌就好了……
You poke around in the gun cleaning kit, but you find nothing useful.	你在槍械清潔工具裡翻了翻，但沒找到什麼有用的東西。
Hey! Maybe a fella could use this for cleanin' guns?!	嘿！說不定這玩意兒可以拿來清槍呢？！
Duh!	廢話！
Sheriff Shift's was so nice to "give" you his gun-cleaning kit. He may be a low-down, evil, corrupt, two-timin' no-good varmint, but he's got the cleanest pistol in town... or so says Madame Ovaree!	席夫特警長人真好，「送」了你他的槍械清潔工具。他或許是個卑鄙、邪惡、貪腐、腳踏兩條船的爛東西，但他那把手槍是全鎮最乾淨的……至少歐薇莉夫人是這麼說的！
You search through the clothes and see your pants, your jacket, your gun belt, and your hat. All are in apparently still in good condition!	你翻了翻這些衣服，看到你的褲子、外套、槍帶和帽子，看起來都還保存得不錯！
These are your old ex-gunslinging clothes, including your "Good Guy Model" hat! (Mr. Pharkas's Wardrobe by Festus Lauren of Cheyenne.)	這些是你以前當槍手時穿的舊衣服，還包括那頂「好人款」帽子！（法卡斯先生的行頭由夏安市的費斯特斯·勞倫提供。）
Only a logger stirs his coffee with his thumb.	只有伐木工人才會用大拇指攪咖啡。
Mmm, there's nothing like a steaming hot cuppa joe from Mom's Cafe, brewed from mountain-grown beans from the steep-sloped hills of Jamaica! Much better than those shoddy trench-grown coffee beans from the shallow-sloped ditches of Peoria!	嗯，沒有什麼比得上老媽餐館那杯熱騰騰的咖啡，用牙買加陡峭山坡上種的豆子沖泡而成！比皮奧里亞淺溝裡種的那種劣質咖啡豆好太多了！
You turn the prescription over, looking for a hint of some sort, but there's nothing to see on the other side.	你把處方箋翻過來，想找點什麼線索，但背面什麼都沒有。
You study Madame Ovaree's prescription, fully amended and corrected by Doc Gillespie: "Madame Ovaree, Estrosterane, 1 paper each morning after."	你仔細研讀歐薇莉夫人的處方箋，已經過大夫吉勒斯比完全修正：「歐薇莉夫人，雌固烷，每日晨後一包。」
"Madame Ovaree, Estrosterane, 1 paper each morning after."	「歐薇莉夫人，雌固烷，每日晨後一包。」
You dip your finger into the deflatulizer and lick it off. Mmmm! Aminophyllic Citrate really hits the spot!	你把手指伸進消脹劑裡沾一下再舔掉。嗯嗯！檸檬酸胺非林真是對味！
Taa-daa, your latest invention: Equine Deflatulizer, an exclusive blend of secret ingredients guaranteed to neutralize noxious methane emissions from the lower gastro-intestinal tract of Equus caballus. In other words, it's Gastroentrological- Veterinarian-In-A-Drum!	鏘鏘，你最新的發明：馬用消脹劑，獨門秘方調配，保證中和馬（Equus caballus）下消化道排放的有害沼氣。換句話說，這是一整桶的「腸胃科獸醫」！
You turn the key over carefully, but it reveals nothing new.	你小心把鑰匙翻過來看，但沒發現什麼新東西。
This is the key to your safe deposit box, pried from the cold, rigid fingers of your dead pal Phil.	這是你保險箱的鑰匙，從你死去的老友菲爾冰冷僵硬的手指間撬出來的。
You attempt to do that key-bending routine you used to know when you were a kid, but somehow you've lost your touch.	你想耍出小時候會的那套彎鑰匙把戲，但不知怎地手感已經生疏了。
This is the key to your roll-top desk.	這是你捲蓋書桌的鑰匙。
The door key's got a nice heft to it!	這把門鑰匙拿在手上挺有份量的！
Hey. This looks just like the key to the front door of my pharmacy!	嘿，這看起來就像我藥局前門的鑰匙！
You open the bottle and take a long, deep whiff. The cilia lining your nose curl up and fall out, your sinuses start to drain, your eyes begin to water, and your face turns red. Say, this stuff is REALLY effective!	你打開瓶子深深吸了一大口。鼻腔裡的纖毛捲起脫落，鼻竇開始流通，眼睛開始泛淚，臉也紅了起來。哎呀，這玩意兒還真有效！
Dad Gumm's Magic Elixir is "Positively guaranteed to cure myopia, melancholia, the vapors, congestion, consumption, malaria, piles, shingles, rickets, leprosy, bubonic plague, gout, bursitis, arthritis, and the galloping cruds. 190 proof." Obviously, "Truth in Advertising" is still years in the future!	「老爹岡氏神奇萬靈藥」號稱「保證能治好近視、憂鬱、歇斯底里、鼻塞、肺癆、瘧疾、痔瘡、帶狀皰疹、佝僂病、痲瘋、鼠疫、痛風、滑囊炎、關節炎，以及急性下瀉。酒精濃度190proof。」看樣子，「廣告不實」這種事還要等好幾年才會出現！
You cleverly shove your finger into a bottle and get it stuck there. You manage to twist it out, but not before popping a half-dozen knuckles. Next stop, Arthritis City!	你自作聰明地把手指插進瓶子裡，結果卡住了。你總算把手指扭出來，但代價是崩了六個指關節。下一站，關節炎之城！
Now that the snails have been eradicated, you're left with a lot of empty beer bottles. Unfortunately, the California Bottle Redemption Act won't be made into law for another 100 years. (After all, that bill was only introduced five years ago!)	現在蝸牛都清光了，你手上剩下一堆空啤酒瓶。可惜「加州瓶罐回收法」還要再等一百年才會立法。（畢竟這法案才剛提出五年而已！）
You gingerly examine the clay "negative" mold.	你小心翼翼地檢查這個黏土「陰模」。
(TO SELF) Pretty decent piece of craftsmanship, even if you do say so yourself!	（自言自語）手藝相當不錯嘛，雖然是自己講的！
It's an empty clay mold of an ear.	這是一個空的耳朵黏土模。
Don't open it! You'll release its precious contents (and probably kill a few locals!).	別打開它！你會把裡面珍貴的東西放出來（大概還會害死幾個當地人！）。
It's a bagful of something which does NOT meet California Emissions Standards!	這一袋東西絕對不符合加州排放標準！
You peek inside the bag. Nope, nothing in there yet!	你往袋子裡瞄了一眼。沒有，裡面還什麼都沒有！
Chester Field's sturdy brown paper bags are suitable for penny candy, two-penny nails, and half-pint containers of Danny's Sourmash-Flavored Yogurt (the kind with the whisky on the bottom!).	切斯特·菲爾德的堅固牛皮紙袋適合裝一分錢糖果、兩分錢釘子，還有丹尼的酸醪風味優格半品脫裝（就是底下沉著威士忌的那種！）。
You adjust the leather strap just so.	你把皮帶調整得剛剛好。
Congratulations on making this homemade gas mask. Devilishly good work!	恭喜你做出這個自製防毒面具，手藝好得邪門！
You're unwilling to touch it any more than necessary.	你實在不想多碰它一下。
How can we put this delicately? It's a fragrant, freshly-baked, road apple.	該怎麼委婉地說呢？這是一坨香噴噴、剛出爐的馬糞。
You touch the ice pick to your finger. That thing's sharp! And MEAN!	你把冰錐碰了一下手指。這東西真利！而且很兇！
You swiped the town ice pick from out back o' the saloon. (Now no one will be able to pick their teeth!)	你從酒館後面順走了鎮上的冰錐。（現在沒人能剔牙了！）
You can't get it open! Damn these childproof tins!	你打不開它！這些兒童安全罐頭真該死！
You hope you got this prescription right! (After all, pharmacology is an art, not an exact science!)	你希望這張處方箋開對了！（畢竟藥學是門藝術，不是精確科學！）
Click here to change your cursor into a Hand, then click the Hand on one of the Inventory objects to do something to it.	點這裡把游標變成「手」，再點物品欄裡的物品，就能對它做點什麼。
Click here to change your cursor into a Question Mark, then pass the Question Mark over the other icons to learn how they work.	點這裡把游標變成「問號」，再把問號移到其他圖示上，就能了解它們的用法。
Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.	點這裡把游標換成「看」游標，再用它點物品欄裡的東西，就能仔細端詳。
Click here to close this Inventory window and return to the game.	點這裡關閉這個物品欄視窗，回到遊戲。
Click here to see more Inventory objects.	點這裡查看更多物品欄裡的物品。
To use an Inventory item, click here to change your cursor into an Arrow, then click the Arrow on the item you wish to use. The Arrow will change into that item. You may then click the item on other Inventory objects or on "OK" to use that item in the game.	要使用物品欄裡的物品，先點這裡把游標變成「箭頭」，再點你想用的物品，箭頭就會變成那個物品。接著你可以把它點在其他物品欄物品上，或點「確定」在遊戲中使用該物品。
You close the knife and open it again. Smooth. Silent. Deadly. (Stolen.)	你把刀合上又打開。滑順，無聲，致命。（偷來的。）
These Confederate Army pen knife replicas are becoming quite popular among the more sophisticated whittlers.	這種南軍小刀複製品，在講究品味的削木愛好者之間越來越受歡迎。
You make sure the ladder's rungs are nice and tight. (A feeling not wholly unfamiliar to Doc Gillespie!)	你確認梯子的橫檔又緊又牢。（這種感覺大夫吉勒斯比並不陌生！）
What sort of cad would steal a ladder from the school playground? (Oh, you would!)	什麼樣的無賴才會從學校操場偷梯子？（喔，你就是啊！）
You have no reason to untie your adroitly-constructed lasso!	你沒理由把這條巧手打造的套索解開！
I never met a lasso I didn't like!	我從沒見過不喜歡的套索！
You test the leather strap. Wow, it IS durable!	你測試了一下皮帶。哇，還真耐用！
A rugged leather strap... your mind reels with the possibilities!	一條粗獷的皮帶……你的腦袋開始天馬行空了！
You turn the paper over, looking for a return address or something, but there isn't one.	你把紙翻過來，想找寄件地址之類的東西，但什麼都沒有。
You received this letter a few years back from your recently dearly-departed friend, Phil Graves:	這封信是幾年前收到的，寄信人是你最近剛過世的朋友，菲爾·葛雷夫斯：
"Dear Freddy, Thank you so very kindly for your recent gracious hospitality during my recent convalescence. The floor of your workroom proved a comfortable bed, and the stale Pharmacy goods you fed me staved off starvation quite adequately.	「親愛的佛萊迪，非常感謝你在我養病期間如此殷勤款待。你工作間的地板證明是張舒適的床，你餵我吃的過期藥局貨也足夠讓我不至於餓死。
"I must admit to being a little curious of your request that I retain your safety-deposit key for you; I cannot imagine what you have secured in that bank vault that could create such strong feelings of both revulsion and endearment.	「老實說，我對你要我替你保管保險箱鑰匙這件事有點好奇；我實在想不出你那銀行金庫裡藏了什麼，竟能同時讓人又噁心又依依不捨。
"However, I have done as you asked and taken your key with me. I vow to you I will never return this key to you nor even allow it within your sight. I further swear to keep it with me wherever I go.	「不過，我還是照你的要求，把鑰匙隨身帶走了。我向你發誓，絕不會把這把鑰匙還給你，也絕不讓它出現在你眼前。我更發誓，無論走到哪裡都會帶著它。
"On this you have my word of honor, for I am, Ever your friend, Philip D. Graves"	「以上所言，我以人格擔保。你永遠的朋友，菲利普·D·葛雷夫斯」
It's solid silver! You can't bend it, break it, or scratch it.	純銀打造！你彎不了它，也弄不斷、刮不花它。
