Welp, bring it back when it's full, and we'll get stinkin'!	Welp, bring it back when it's full, and we'll get stinkin'!
Well, it warn't by drinkin' that St. Louie pisswater. Make mine rotgut, every time!	Well, it warn't by drinkin' that St. Louie pisswater. Make mine rotgut, every time!
They're empty, son!	They're empty, son!
I know!	I know!
Well, whut'd you want me to do with 'em? Pee in 'em?	Well, whut'd you want me to do with 'em? Pee in 'em?
Maybe.	Maybe.
Well, I went awhile ago. Thanks anyway!	Well, I went awhile ago. Thanks anyway!
That ain't MY key, son! Yew just hang onto it.	That ain't MY key, son! Yew just hang onto it.
Nice piece o' lumber, kiddo. You wanted some stuff whittled into it? Take a number, I gotta finish this piece of scrimshaw.	Nice piece o' lumber, kiddo. You wanted some stuff whittled into it? Take a number, I gotta finish this piece of scrimshaw.
Y'all got a hank of rope there! Yew bin garbage-pickin' down at Smithie's old place?	Y'all got a hank of rope there! Yew bin garbage-pickin' down at Smithie's old place?
Glad to hear it. Now git.	Glad to hear it. Now git.
Gotcherself a nice-lookin' lasso there. You tie it?	Gotcherself a nice-lookin' lasso there. You tie it?
Hmm. I'm gonna keep m'eye on you. You got the makin's of a real Western hero. Someday they'll be tellin' stories about you, mark my words. Now vamoose.	Hmm. I'm gonna keep m'eye on you. You got the makin's of a real Western hero. Someday they'll be tellin' stories about you, mark my words. Now vamoose.
Whut do you think I am, stupid or sumpin'? I try and whittle that, I'll puncture it, and you'll get laughin' gas for blocks around! We'd all die laughin'! Not that it'd be a bad way to go, but hell, son, I got plans! There's tales to tell and wood t' whittle! Get outta here now.	Whut do you think I am, stupid or sumpin'? I try and whittle that, I'll puncture it, and you'll get laughin' gas for blocks around! We'd all die laughin'! Not that it'd be a bad way to go, but hell, son, I got plans! There's tales to tell and wood t' whittle! Get outta here now.
I sees ya got... whut, about a hunnerd sack?... of bakin' soda there, sonny.	I sees ya got... whut, about a hunnerd sack?... of bakin' soda there, sonny.
Yep, and it's feeling a little heavy, too.	Yep, and it's feeling a little heavy, too.
Shucks, son. I remembers when I wuz just a sprite in my mama's apple, I used to have to carry FIVE HUNNERD sack o' baking soda to school and back, ever' day, twenny-five miles in each direction. Yer jus' SPOILT, sonny, thet's what's wrong witcha! Now get back to whuch yer doin', and leave me to my whittlin'.	Shucks, son. I remembers when I wuz just a sprite in my mama's apple, I used to have to carry FIVE HUNNERD sack o' baking soda to school and back, ever' day, twenny-five miles in each direction. Yer jus' SPOILT, sonny, thet's what's wrong witcha! Now get back to whuch yer doin', and leave me to my whittlin'.
I don't look at no nekkid pitchers of wimmenfolk. But hey, ya got any pitchers of sheep? Bring 'em on by! Now git outta here.	I don't look at no nekkid pitchers of wimmenfolk. But hey, ya got any pitchers of sheep? Bring 'em on by! Now git outta here.
Nice bit o' wax ya gots there, sonny! Good fer lost-wax castin'! That reminds me, I wuz gonna finish whittlin' that pair o' skis. Welp, I'll get to it tomorrow.	Nice bit o' wax ya gots there, sonny! Good fer lost-wax castin'! That reminds me, I wuz gonna finish whittlin' that pair o' skis. Welp, I'll get to it tomorrow.
You aim the gun at Willy... and pull the trigger!	You aim the gun at Willy... and pull the trigger!
HAH! My skin's tough as nails, kid. Like old rawhide. Bullets cain't stop me.	HAH! My skin's tough as nails, kid. Like old rawhide. Bullets cain't stop me.
That shore does smell good, kid! Wouldn't mind whittlin' myself a slice o' that. Gives me the craps, though, so get it away from me.	That shore does smell good, kid! Wouldn't mind whittlin' myself a slice o' that. Gives me the craps, though, so get it away from me.
I don't drink thet stuff. Eats m'gullet out. Gives me ulcers. But you run across some Everclear, I'm right there besides ya.	I don't drink thet stuff. Eats m'gullet out. Gives me ulcers. But you run across some Everclear, I'm right there besides ya.
Keepin' yer pistols polished, son. Thet's what it's all about.	Keepin' yer pistols polished, son. Thet's what it's all about.
Hey, them's some nice, shiny new bullets ya got! Won't do ya much good settin' in yer sweaty palm, though. Load 'em or lose 'em, kid!	Hey, them's some nice, shiny new bullets ya got! Won't do ya much good settin' in yer sweaty palm, though. Load 'em or lose 'em, kid!
That there's clay! You lookin' to do some lost-wax castin'?	That there's clay! You lookin' to do some lost-wax castin'?
Some what?	Some what?
Never mind, it'd take too long to explain to ya.	Never mind, it'd take too long to explain to ya.
That's a fine bit o' silver, kiddo, the kinda thing you could molten' down and use fer lost-wax castin', if you were a mind to! Thet reminds me, gotter get to Sal's one of these days to have muh false teeth re-silvered.	That's a fine bit o' silver, kiddo, the kinda thing you could molten' down and use fer lost-wax castin', if you were a mind to! Thet reminds me, gotter get to Sal's one of these days to have muh false teeth re-silvered.
Nice duds ya got there, whippersnapper! Beige 'n turquoise. Reminds me a fella I knew, openin' up a restaurant by the Eastern Pacific line. Howie Johnson, I think his name wuz. Loved beige 'n turquoise.	Nice duds ya got there, whippersnapper! Beige 'n turquoise. Reminds me a fella I knew, openin' up a restaurant by the Eastern Pacific line. Howie Johnson, I think his name wuz. Loved beige 'n turquoise.
"Go with bright orange," I says to him, "Beige is sich a prissy li'l color." "But it goes with everything," he says to me. "Whut if it does?" I says. "Folks'll remember orange and turquoise. Nobody remembers beige and turquoise."	"Go with bright orange," I says to him, "Beige is sich a prissy li'l color." "But it goes with everything," he says to me. "Whut if it does?" I says. "Folks'll remember orange and turquoise. Nobody remembers beige and turquoise."
I don't know if he ever listened to me. Oh, well. Anyways, nice duds. Next time, ya might think about goin' with orange instead of beige.	I don't know if he ever listened to me. Oh, well. Anyways, nice duds. Next time, ya might think about goin' with orange instead of beige.
Oh, yeah! That thang! It'll be ready Tuesday! Ha ha ha, that's a thigh-slapper, son! Shoot, I wuz jus' funnin' ya. I dunno what that's fer.	Oh, yeah! That thang! It'll be ready Tuesday! Ha ha ha, that's a thigh-slapper, son! Shoot, I wuz jus' funnin' ya. I dunno what that's fer.
Nice pair o' sissified boots ya gots there, kid! Ain't nuttin' like a li'l turquoise 'n beige to strike fear inter the hearts of men!	Nice pair o' sissified boots ya gots there, kid! Ain't nuttin' like a li'l turquoise 'n beige to strike fear inter the hearts of men!
Cain't whittle nothin' outta THAT, kid!	Cain't whittle nothin' outta THAT, kid!
I cain't read this. I ain't got muh readin' glasses on.	I cain't read this. I ain't got muh readin' glasses on.
Hey, that ain't yourn! That belongs down t' the cemetery, don't it?	Hey, that ain't yourn! That belongs down t' the cemetery, don't it?
I was just borrowing it for a while.	I was just borrowing it for a while.
Oh, yeah, right. An' Mrs. Lincoln enjoyed the show. Git lost, yew shovel-stealin' varmint.	Oh, yeah, right. An' Mrs. Lincoln enjoyed the show. Git lost, yew shovel-stealin' varmint.
What the HELL you want me to do with THIS thing?	What the HELL you want me to do with THIS thing?
Nothing, I guess.	Nothing, I guess.
Good! It smells like horse poop, only it don't weigh nuthin'! Whut is it, "Horse Poop Lite" or somethin'? Get it outta my face!	Good! It smells like horse poop, only it don't weigh nuthin'! Whut is it, "Horse Poop Lite" or somethin'? Get it outta my face!
If you didn't want it, why'd you take it?	If you didn't want it, why'd you take it?
Whut'd you want me to do with THIS? Whittle it into sumpthin'? It's too soft! Bring it back in a couple weeks, when it's toughened up a little.	Whut'd you want me to do with THIS? Whittle it into sumpthin'? It's too soft! Bring it back in a couple weeks, when it's toughened up a little.
Potatoe sackse.	Potatoe sackse.
They'r note fore sal.	They'r note fore sal.
These are big ol' crates of the newest taste sensation sweeping the East. Too bad it hasn't reached the West Coast yet, hence all these full boxes.	These are big ol' crates of the newest taste sensation sweeping the East. Too bad it hasn't reached the West Coast yet, hence all these full boxes.
Due to a recent scandal, Chester refuses to sell any more Broccoli Roll-ups.	Due to a recent scandal, Chester refuses to sell any more Broccoli Roll-ups.
Barrels of Chester Field's most famous smoked delicacies.	Barrels of Chester Field's most famous smoked delicacies.
Chester isn't selling any more smoked pickles. He's recently developed a major craving for them, and goes through about a barrel a week.	Chester isn't selling any more smoked pickles. He's recently developed a major craving for them, and goes through about a barrel a week.
Sacks of Bachelor's Favourite Flour.	Sacks of Bachelor's Favourite Flour.
Pressure from local conservatives convinced Chester to stop selling these to unmarried persons. They felt he was promoting premarital sacks!	Pressure from local conservatives convinced Chester to stop selling these to unmarried persons. They felt he was promoting premarital sacks!
It's a horseshoe from Chester's old swayback horse, that got spooked by a wagon, ran into the street and broke its leg under the wagon wheel. Chester sent it to a veterinarian in San Francisco at outrageous cost, but in the end, the horse died anyway. Took every penny Chester had, since the horsemeat guy wouldn't buy the carcass.	It's a horseshoe from Chester's old swayback horse, that got spooked by a wagon, ran into the street and broke its leg under the wagon wheel. Chester sent it to a veterinarian in San Francisco at outrageous cost, but in the end, the horse died anyway. Took every penny Chester had, since the horsemeat guy wouldn't buy the carcass.
Guess he keeps the horseshoe up there for good luck.	Guess he keeps the horseshoe up there for good luck.
What? And take away Chester's good luck charm?	What? And take away Chester's good luck charm?
|c2|Wanted! Dead or Alive! For Crimes of Bad Taste, Innuendo & Gentle Perversion Albert "The Tinkler" Lowe Alias "The Talking Bear" Alias "Rottweiler Al" Alias "Creator of the Cult Classic BOP-A-BET" Reward: $500 Dead $15 Alive|c|	|c2|Wanted! Dead or Alive! For Crimes of Bad Taste, Innuendo & Gentle Perversion Albert "The Tinkler" Lowe Alias "The Talking Bear" Alias "Rottweiler Al" Alias "Creator of the Cult Classic BOP-A-BET" Reward: $500 Dead $15 Alive|c|
Leave it up, just in case somebody spots that no-good, scene-stealin', code-snitchin' wiseass sonnuva slimeball!	Leave it up, just in case somebody spots that no-good, scene-stealin', code-snitchin' wiseass sonnuva slimeball!
|c3|Notice! Lost: one ferret Brown & white, answers to the name of "Daisy" Enjoys sniffing out dead bodies. If found, please return to Dr. Olympia Myklos c/o Leyendecker Museum, New York City, NY|c|	|c3|Notice! Lost: one ferret Brown & white, answers to the name of "Daisy" Enjoys sniffing out dead bodies. If found, please return to Dr. Olympia Myklos c/o Leyendecker Museum, New York City, NY|c|
Criminy, if you were missing |c0|your|c| ferret, would |c0|you|c| want somebody to take down your lost notices?	Criminy, if you were missing |c0|your|c| ferret, would |c0|you|c| want somebody to take down your lost notices?
Announcement to All! |c1|I am no longer responsible for any debts incurred by my wife Valanice, my son Alexander or my daughter Rosella. Correspondence may be sent to: K. Graham of Daventry c/o P. Patti Washington, D.C.|c|	Announcement to All! |c1|I am no longer responsible for any debts incurred by my wife Valanice, my son Alexander or my daughter Rosella. Correspondence may be sent to: K. Graham of Daventry c/o P. Patti Washington, D.C.|c|
Better not touch it. Whoever this Kay Graham is, she might be very upset.	Better not touch it. Whoever this Kay Graham is, she might be very upset.
A small metal mirror.	A small metal mirror.
It's nailed in place. Apparently Chester wants to keep it.	It's nailed in place. Apparently Chester wants to keep it.
These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.	These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.
Even though they're still hanging up, Chester yanked 'em off the market when it was discovered that lead, mercury and chlorine are all toxic. The manufacturer denies any responsibility.	Even though they're still hanging up, Chester yanked 'em off the market when it was discovered that lead, mercury and chlorine are all toxic. The manufacturer denies any responsibility.
This is an old kerosene lantern.	This is an old kerosene lantern.
Chester only sells lanterns in combination with kerosene, but there's no kerosene to be found these days.	Chester only sells lanterns in combination with kerosene, but there's no kerosene to be found these days.
SevereWare Non-Clad Kettles.	SevereWare Non-Clad Kettles.
Chester's playing it safe; he won't sell these until he's determined that there's no lead, mercury, or chlorine in their manufacture.	Chester's playing it safe; he won't sell these until he's determined that there's no lead, mercury, or chlorine in their manufacture.
This old milk pitcher was only slightly used out on the farm.	This old milk pitcher was only slightly used out on the farm.
Federal law prohibits the sale of items that once contained unpasteurized milk.	Federal law prohibits the sale of items that once contained unpasteurized milk.
A hank of rope.	A hank of rope.
It's already been sold; Chester's just waiting for Hank to pick it up.	It's already been sold; Chester's just waiting for Hank to pick it up.
Assorted-size buckets... chicken, grease, slaw, taters and brown gravy-like paste not included.	Assorted-size buckets... chicken, grease, slaw, taters and brown gravy-like paste not included.
Chester stopped selling these after they levied the state-wide New Bucket Tax.	Chester stopped selling these after they levied the state-wide New Bucket Tax.
This is the interior of Chester Field's Mercantile Company. He used to call it a "General Store" until he ran out of Generals.	This is the interior of Chester Field's Mercantile Company. He used to call it a "General Store" until he ran out of Generals.
Most of what's here won't talk to you, unless it has vocal cords.	Most of what's here won't talk to you, unless it has vocal cords.
The building's not for sale. It's Chester Field's livelihood!	The building's not for sale. It's Chester Field's livelihood!
It's a nice picture of a pussycat laying on its back.	It's a nice picture of a pussycat laying on its back.
You won't need any Kitty Porn in this game!	You won't need any Kitty Porn in this game!
It's an Early American Bug Zapper. It's a scented candle with Bits O' Gunpowder melted into it.	It's an Early American Bug Zapper. It's a scented candle with Bits O' Gunpowder melted into it.
It's not for sale. Chester likes to keep his store bug-free.	It's not for sale. Chester likes to keep his store bug-free.
It's a hanging broom. The nineteenth-century equivalent of an "air cleaner."	It's a hanging broom. The nineteenth-century equivalent of an "air cleaner."
It's out of reach. Chester puts everything up there that he really kinda wants to hang onto.	It's out of reach. Chester puts everything up there that he really kinda wants to hang onto.
A hanging kerosene lantern, used to provide light in the store at night. Since there's no more kerosene to be found, though, Chester now closes at night.	A hanging kerosene lantern, used to provide light in the store at night. Since there's no more kerosene to be found, though, Chester now closes at night.
Take the lantern? But... but... but... but that would be STEALING!	Take the lantern? But... but... but... but that would be STEALING!
|c2|* Sunday! Sunday! Sunday! *|c| We've turned the floor of the Coarsegold Arena into a giant |c3|Mud Bog!|c| |c0|SEE!|c| Funny Stagecoaches! |c0|SEE!|c| The Giant 18-Wheel Monster Stagecoach crushing EVERYTHING in its path! |c0|SEE!|c| "Kit," the amazing steam-powered covered wagon from "Night Riders." ONLY at the Coarsegold Arena! |c2|* Sunday! Sunday! Sunday! *|c|	|c2|* Sunday! Sunday! Sunday! *|c| We've turned the floor of the Coarsegold Arena into a giant |c3|Mud Bog!|c| |c0|SEE!|c| Funny Stagecoaches! |c0|SEE!|c| The Giant 18-Wheel Monster Stagecoach crushing EVERYTHING in its path! |c0|SEE!|c| "Kit," the amazing steam-powered covered wagon from "Night Riders." ONLY at the Coarsegold Arena! |c2|* Sunday! Sunday! Sunday! *|c|
We won't let you remove any of the free plugs for other games.	We won't let you remove any of the free plugs for other games.
|c0|General George Armstrong Custer|c| |c1|is looking for|c| |c2|a Few Good Men!|c| Able-bodied Young Men desired for vacation to idyllic Little Big Horn. Intelligent, competent leadership. Wipe out a couple dozen Sioux, how hard can it be? BYOB (Bring Your Own Blunderbuss). Benefits. Contact your local recruiting office.	|c0|General George Armstrong Custer|c| |c1|is looking for|c| |c2|a Few Good Men!|c| Able-bodied Young Men desired for vacation to idyllic Little Big Horn. Intelligent, competent leadership. Wipe out a couple dozen Sioux, how hard can it be? BYOB (Bring Your Own Blunderbuss). Benefits. Contact your local recruiting office.
Hey! Believe it or not, some people ENJOY seeing that crap! Sure, a hundred years from now, they'll probably look back at that kind of entertainment and laugh... but for now, it passes the time!	Hey! Believe it or not, some people ENJOY seeing that crap! Sure, a hundred years from now, they'll probably look back at that kind of entertainment and laugh... but for now, it passes the time!
"Melancholia? Vapors? Cold? Headache? Neuritis? Neuralgia? Dad Gumm it!"	"Melancholia? Vapors? Cold? Headache? Neuritis? Neuralgia? Dad Gumm it!"
Chester has a contract with DadGummCo stipulating that this sign must remain visible at all times. For which, in return, DadGummCo provides insurance to Chester just in case somebody actually |c0|buys|c| a bottle!	Chester has a contract with DadGummCo stipulating that this sign must remain visible at all times. For which, in return, DadGummCo provides insurance to Chester just in case somebody actually |c0|buys|c| a bottle!
Many's the day you'd find Willy, Chester, Smithie, and a few others in here, all with their feet up on this old pot-bellied stove, playing checkers, whittling, and expectorating. They stopped doing that after the backs of their ankles got too crispy.	Many's the day you'd find Willy, Chester, Smithie, and a few others in here, all with their feet up on this old pot-bellied stove, playing checkers, whittling, and expectorating. They stopped doing that after the backs of their ankles got too crispy.
It's not for sale, dummy, it's a permanent fixture! Kinda like Willy.	It's not for sale, dummy, it's a permanent fixture! Kinda like Willy.
The heavily-stocked back counter runs along the eastern wall of the General Store. A paper bag lies there.	The heavily-stocked back counter runs along the eastern wall of the General Store. A paper bag lies there.
None of the items along the back counter are for sale. Chester's stocking up for the Big Quake, which is due any day now.	None of the items along the back counter are for sale. Chester's stocking up for the Big Quake, which is due any day now.
This coffee grinder from the 1883 Shear's Catalog makes TWO big cranks they've got in this store!	This coffee grinder from the 1883 Shear's Catalog makes TWO big cranks they've got in this store!
This coffee grinder is Chester's private property. He won it in his divorce settlement.	This coffee grinder is Chester's private property. He won it in his divorce settlement.
(PUNCH LINE) Divorced? On what grounds?	(PUNCH LINE) Divorced? On what grounds?
|c0|Wanted: Dead or Alive!|c| |c0|Kwai Chang Caine|c| Alias "The Grasshopper" Alias "Hey, you! Chinaman!" Unarmed but extremely dangerous. Reward: $25 worth of Turd-All Wax, $50 worth of Ed's Kimono Pies, and a $100 gift certificate to the famous Shwingle Catalog. Over 50,000 quality items providing value, selection & economy. Shwingle, Chicago, Illinois, 60609!	|c0|Wanted: Dead or Alive!|c| |c0|Kwai Chang Caine|c| Alias "The Grasshopper" Alias "Hey, you! Chinaman!" Unarmed but extremely dangerous. Reward: $25 worth of Turd-All Wax, $50 worth of Ed's Kimono Pies, and a $100 gift certificate to the famous Shwingle Catalog. Over 50,000 quality items providing value, selection & economy. Shwingle, Chicago, Illinois, 60609!
Hey, this guy is still on the loose. He keeps popping up every few years, just when you thought he was canceled... er, caught.	Hey, this guy is still on the loose. He keeps popping up every few years, just when you thought he was canceled... er, caught.
It's the General Store's front door.	It's the General Store's front door.
Willy, I'm in need a way to disguise my ear. Do you think you could do something creative with this, something in the shape of an ear, perhaps?	Willy, I'm in need a way to disguise my ear. Do you think you could do something creative with this, something in the shape of an ear, perhaps?
Offhand, I'd say, do it yer dang self! M'nap time's comin' up shortly, I've had a hard day of whittlin'. But you could mebbe do sum lost-wax castin' with this sucker'd do the trick.	Offhand, I'd say, do it yer dang self! M'nap time's comin' up shortly, I've had a hard day of whittlin'. But you could mebbe do sum lost-wax castin' with this sucker'd do the trick.
Lost... wha?	Lost... wha?
Lost-wax castin', son! Whut'd you do, sleep yer way through metal shop?	Lost-wax castin', son! Whut'd you do, sleep yer way through metal shop?
I guess I must've. What's "lost-wax casting?"	I guess I must've. What's "lost-wax casting?"
That's "castin'," with an apostrophe, sonny, not an "ing." Anyhoo, yew kin make all sortsa things by makin' a wax positive, using clay to make a mold, then meltin' down the metal and pourin' it inter a mold.	That's "castin'," with an apostrophe, sonny, not an "ing." Anyhoo, yew kin make all sortsa things by makin' a wax positive, using clay to make a mold, then meltin' down the metal and pourin' it inter a mold.
I think so. I'm not sure.	I think so. I'm not sure.
Welp, that's whut yur "restore" button's fer, kiddo. Now scrambooch.	Welp, that's whut yur "restore" button's fer, kiddo. Now scrambooch.
I already tole ya, it'd make fer sum fine lost-wax casting'!	I already tole ya, it'd make fer sum fine lost-wax casting'!
The door swings open. From the back, you hear Chester's voice.	The door swings open. From the back, you hear Chester's voice.
Help yourself. I'll be right out.	Help yourself. I'll be right out.
It's Whittlin' Willy's authentic whittlin' knife.	It's Whittlin' Willy's authentic whittlin' knife.
You "borrow" Whittlin' Willy's knife for awhile.	You "borrow" Whittlin' Willy's knife for awhile.
Considering that there's nothing for sale here, you wonder why Chester even bothers keeping these brown paper sacks around.	Considering that there's nothing for sale here, you wonder why Chester even bothers keeping these brown paper sacks around.
You take a complimentary paper bag.	You take a complimentary paper bag.
Those are wood shavings from Willy's skillful whittlin'.	Those are wood shavings from Willy's skillful whittlin'.
Too bad you won't need any, since they're obviously available... at substantial shavings!	Too bad you won't need any, since they're obviously available... at substantial shavings!
It won't be worth taking 'till it's hardened.	It won't be worth taking 'till it's hardened.
This is a bottle of Mom's home-pressed apple cider. Mom is merciless to those poor apples. As she turns the press, she screams, "Die, you suckers, die!"	This is a bottle of Mom's home-pressed apple cider. Mom is merciless to those poor apples. As she turns the press, she screams, "Die, you suckers, die!"
If you value your right hand -- and we |c2|know|c| you do -- don't be opening Mom's cabinets.	If you value your right hand -- and we |c2|know|c| you do -- don't be opening Mom's cabinets.
Rumor has it that Helen Back keeps the heads of her three dead husbands somewhere behind the Melmac plates and dishes in that china cabinet.	Rumor has it that Helen Back keeps the heads of her three dead husbands somewhere behind the Melmac plates and dishes in that china cabinet.
Oh, oh, oh! You in big water now!	Oh, oh, oh! You in big water now!
|c2|LOOK WHAT YOU'VE DONE!!|c| Freddy Pharkas, I'll see you run out of town for this!! Hop Singh, hop to it! Get out here and clean up this mess! Damn these flies!	|c2|LOOK WHAT YOU'VE DONE!!|c| Freddy Pharkas, I'll see you run out of town for this!! Hop Singh, hop to it! Get out here and clean up this mess! Damn these flies!
Mom offers free coffee to her regular customers. You're as regular as anyone -- 11 a.m. every morning, you head straight for the outhouse! So, as usual, you pour yourself a steamin' hot cuppa joe.	Mom offers free coffee to her regular customers. You're as regular as anyone -- 11 a.m. every morning, you head straight for the outhouse! So, as usual, you pour yourself a steamin' hot cuppa joe.
Mr. Pharkas, I have no objection to your coming in here and taking a cup of coffee. But please, limit yourself to one cup at a time. Or I will have no choice but to break your skinny bones like matchsticks. Are we clear on this now? Good.	Mr. Pharkas, I have no objection to your coming in here and taking a cup of coffee. But please, limit yourself to one cup at a time. Or I will have no choice but to break your skinny bones like matchsticks. Are we clear on this now? Good.
You take another cup of coffee.	You take another cup of coffee.
Oh, sure. Mom's bottomless pot of coffee. Drink up all my profits, why don't you? Take cup after cup. What do you think, I'm running a restaurant here?	Oh, sure. Mom's bottomless pot of coffee. Drink up all my profits, why don't you? Take cup after cup. What do you think, I'm running a restaurant here?
Sor-REE! Gee, Mom, get off my back! Nag, nag, nag!	Sor-REE! Gee, Mom, get off my back! Nag, nag, nag!
It's one of those newfangled Ol' Missuh Coffee machines. Helen sets it out every other day for free coffee.	It's one of those newfangled Ol' Missuh Coffee machines. Helen sets it out every other day for free coffee.
You won't need any of |c2|that|c| corn... you're getting enough corn playing this game.	You won't need any of |c2|that|c| corn... you're getting enough corn playing this game.
But that can is full of corn! You'll get corn-packing-juice all over everything!	But that can is full of corn! You'll get corn-packing-juice all over everything!
P&W Corn: "Firm, crisp kernels that look as good coming out as they do going in!"	P&W Corn: "Firm, crisp kernels that look as good coming out as they do going in!"
You see nothing on the counter worth snitching.	You see nothing on the counter worth snitching.
Mom's counter is clean and spanking-white. Helen Back is anal-retentive about cleanliness.	Mom's counter is clean and spanking-white. Helen Back is anal-retentive about cleanliness.
Fer cryin' out loud! You've dropped a horse pie in the middle of Mom's Cafe! What could you have been thinking of? It wasn't lunch, that's for darn tootin'.	Fer cryin' out loud! You've dropped a horse pie in the middle of Mom's Cafe! What could you have been thinking of? It wasn't lunch, that's for darn tootin'.
Damned flies! This place is like a stable! Maggots crawling through the door and flies circling the ceiling! What's this town coming to? Flies in the summer, snow fleas in the winter. God, but I miss Missouri! Hop Singh, haven't you put up those no-pest strips yet?!?	Damned flies! This place is like a stable! Maggots crawling through the door and flies circling the ceiling! What's this town coming to? Flies in the summer, snow fleas in the winter. God, but I miss Missouri! Hop Singh, haven't you put up those no-pest strips yet?!?
Freddy Pharkas! Look what you brought in with you. What's next? Honestly.	Freddy Pharkas! Look what you brought in with you. What's next? Honestly.
Sorry, Mom. They on order.	Sorry, Mom. They on order.
There are too many to catch, and they're too fast.	There are too many to catch, and they're too fast.
A swarm of flies makes a constant circuit inside the Cafe. They're the bane of Mom's existence! Along with customers, employees, or anyone who talks to her or has anything to do with her in any way.	A swarm of flies makes a constant circuit inside the Cafe. They're the bane of Mom's existence! Along with customers, employees, or anyone who talks to her or has anything to do with her in any way.
Hello, Flies! If I chase that nasty ol' Mom away with a stick, will you give help me find a magic key or something?	Hello, Flies! If I chase that nasty ol' Mom away with a stick, will you give help me find a magic key or something?
They just buzz at you a little bit. Don't forget, this ain't fantasy, this is REALITY!	They just buzz at you a little bit. Don't forget, this ain't fantasy, this is REALITY!
Mom would cut off your testicles and serve them for lunch. Knowing the locals, they'd enjoy 'em!	Mom would cut off your testicles and serve them for lunch. Knowing the locals, they'd enjoy 'em!
Helen Back, a.k.a. "Mom," loves to decorate her dining room with fresh-cut flowers. But since there are no flowers in Coarsegold, she makes do with these sprouted collard green tops.	Helen Back, a.k.a. "Mom," loves to decorate her dining room with fresh-cut flowers. But since there are no flowers in Coarsegold, she makes do with these sprouted collard green tops.
Hmmph. Dunno who around here will eat these, since they don't give you gas, but I'll put them in a bag of cornstarch and think about it. And I suppose a thank-you is in order, so thank you.	Hmmph. Dunno who around here will eat these, since they don't give you gas, but I'll put them in a bag of cornstarch and think about it. And I suppose a thank-you is in order, so thank you.
Are you implying that my customers are in need of bicarbonate?	Are you implying that my customers are in need of bicarbonate?
You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!	You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!
You narrowly avoid making an obvious comeback.	You narrowly avoid making an obvious comeback.
Do you see a liquor license anywhere on the wall?	Do you see a liquor license anywhere on the wall?
Then take that out of here before I get my butt hauled into the pokey!	Then take that out of here before I get my butt hauled into the pokey!
Are you implying that my steaks are as tough as leather?	Are you implying that my steaks are as tough as leather?
Not at all, I was just...	Not at all, I was just...
