He did it! What a MANLY man! Riverboat gambler in the corner pocket!	He did it! What a MANLY man! Riverboat gambler in the corner pocket!
You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!	You're cheating! That's a fake left hand! Your real hand is hidden under the table! You've been feeding good cards into your hand and taking away the bad ones!
Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...	Why, yes, silver-eared stranger! You're correct... almost! As you see, I have no cards under the table. I only have this...
Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!	Now turn around, silver-ear! I think I'd rather shoot you in the back, so I don't have see that ugly face of yours!
Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.	Sitting behind the counter is P.H. Balance, current owner and operator of The Bank of Bob.
(UNDER BREATH) He's a bore and a lice-infested jerk.	(UNDER BREATH) He's a bore and a lice-infested jerk.
Come again? Did you say something, Pharkas?	Come again? Did you say something, Pharkas?
I said you were more than just a nice, respected clerk!	I said you were more than just a nice, respected clerk!
Oh. That's very different.	Oh. That's very different.
Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.	Have I told you about our new Columbus Day account? It's a full benefit, non-interest -bearing account.
Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!	Did you hear about our Easter Club account? We may even make it an interest-bearing account if we can bear to part with the interest!
Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.	Yessir, our latest Halloween passbook account is very innovative! We give you zero percent interest and only charge you a nominal fee.
We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.	We have a new Yom Kippur savings account. Irving over at the deli in Bass Lake just opened one up. I'm sure he'd recommend it.
You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!	You know, this is the last day to be eligible for our interest-free Secretary's Day checking account. It's only $27.00 per month and we bill your secretary!
Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!	Soon it'll be time for the Saint Patrick's Day promotion. We give you the account and you give us the green!
Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!	Tomorrow's my birthday. Leave me a present and I'll open you a P.H. Balance Birthday Club account!
For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.	For Memorial Day, we're letting you remember us by taking your money and hiding it in our vault.
Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.	Say, it was too bad about your Pharmacy being shut down. Must be hard to lose a business so sudden like. We here at the Bank of Bob sympathize.
Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.	Yeah, I'm sorry about your pharmacy. Maybe you should think about selling up and leaving town.
Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.	Well, I know you can't be coming in to make a deposit here at the Bank of Bob. No business, no money, right? Might as well be selling the old place.
You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.	You know, it would be a shame if the Bank of Bob had to foreclose on your Pharmacy. Maybe you could sell it before things get that bad. I might be able to suggest an investor.
How about it, Freddy? Thought any more about selling that run-down store of yours?	How about it, Freddy? Thought any more about selling that run-down store of yours?
You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.	You better be selling, Pharkas. Life in the West can get downright dangerous for people who can't pay their way. I could take that place off your hands. Of course, I'd offer a fair market value. Not that that's much with the market the way it is. But the Bank of Bob wants to be fair.
Come to sell me your store yet?	Come to sell me your store yet?
I don't do business with losers. And you're about to lose, Pharkas. Big time.	I don't do business with losers. And you're about to lose, Pharkas. Big time.
Please keep your grubby hands to yourself.	Please keep your grubby hands to yourself.
(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|	(SOTTO VOCE) |c1|Yeah, how would you like me to turn your butt in to the ol' IRS, you goat!|c|
Did you say something?	Did you say something?
I said, "How I would love a turn at buttoning your Old Squire's blue coat."	I said, "How I would love a turn at buttoning your Old Squire's blue coat."
Oh. Thank you, I'll button it myself.	Oh. Thank you, I'll button it myself.
Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.	Don't try to sell me any of that bilge water, Pharkas. It's chicanery, pure and simple.
This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.	This is privileged information. I shouldn't even be looking at this. Trust you to fly in the face of propriety, Pharkas.
Take that nasty little glass away from me. It's stinking up my class establishment.	Take that nasty little glass away from me. It's stinking up my class establishment.
Clever, Pharkas, very clever. Hope you got a good many points for this.	Clever, Pharkas, very clever. Hope you got a good many points for this.
My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.	My anus sphincter is in perfect health, thank you very much. I move my bowels twice a day, and never strain. What's more, I find your offer most distasteful.
You are a desperate individual, Pharkas. I do not give handouts.	You are a desperate individual, Pharkas. I do not give handouts.
(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|	(UNDER BREATH) |c1|You are a swine, a cad, and a rank bounder!|c|
What say?	What say?
I said, "Your fine Dad was the bank founder."	I said, "Your fine Dad was the bank founder."
Oh! Yes, indeed!	Oh! Yes, indeed!
Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.	Do not attempt to threaten me with your puny ice pick, Pharkas. I have the protection of the local constabulary.
This is trash. Away with it!	This is trash. Away with it!
(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|	(UNDER BREATH) |c1|It's not the ONLY trash in here.|c|
I can't hear you. What was that?	I can't hear you. What was that?
I said, "There's lots of lonely cash in here."	I said, "There's lots of lonely cash in here."
Oh. Whatever you say.	Oh. Whatever you say.
You always were a strapping lad. Heh. heh.	You always were a strapping lad. Heh. heh.
Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!	Your concern is misplaced, Pharkas. I'm perfectly safe in here. You may go. And don't permit the door to strike your posterior as you depart!
Are you suggesting that I need something like this? I'll have you know I never expel gas!	Are you suggesting that I need something like this? I'll have you know I never expel gas!
(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|	(SOTTO VOCE) |c1|Maybe you SHOULD, then, before you EXPLODE.|c|
I'm sorry, I didn't quite catch that.	I'm sorry, I didn't quite catch that.
I'm sorry, I said, "Maybe I should spend more time in the commode."	I'm sorry, I said, "Maybe I should spend more time in the commode."
Oh! Well, I don't want to hear about your personal problems.	Oh! Well, I don't want to hear about your personal problems.
Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.	Snails? What am I supposed to do with these, deposit them? You're even more demented than I gave you credit for, Pharkas.
I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.	I'd be happy to keep it safe in your Christmas Club account here at the Bank of Bob. If you'd open one, that is.
Beer is the beverage of morons. Take it elsewhere forthwith.	Beer is the beverage of morons. Take it elsewhere forthwith.
(SOTTO VOCE) |c1|You worthless waste of space.|c|	(SOTTO VOCE) |c1|You worthless waste of space.|c|
Did you just say something?	Did you just say something?
I said, "Your worth is based on taste."	I said, "Your worth is based on taste."
Oh. Yes, I've invested a fortune in these beautiful paintings!	Oh. Yes, I've invested a fortune in these beautiful paintings!
I don't need any of your castoffs, Pharkas. Throw them out yourself.	I don't need any of your castoffs, Pharkas. Throw them out yourself.
I don't recognize that key. It certainly opens nothing around here!	I don't recognize that key. It certainly opens nothing around here!
(SOTTO VOCE) |c1|Like the key to your generosity.|c|	(SOTTO VOCE) |c1|Like the key to your generosity.|c|
Say again, please.	Say again, please.
I said, "Look at me, I'm a sight to see!"	I said, "Look at me, I'm a sight to see!"
Oh. You look pretty scrawny to me.	Oh. You look pretty scrawny to me.
Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.	Still trying to get to the top of the ladder, eh, Pharkas? I suppose this is the only way you're going to do it.
You don't have the gumption to tie me up, Pharkas.	You don't have the gumption to tie me up, Pharkas.
(UNDER BREATH) |c1|And I don't have enough rope, either!|c|	(UNDER BREATH) |c1|And I don't have enough rope, either!|c|
What was that? What did you say?	What was that? What did you say?
I said, "You don't happen to be a dope, either."	I said, "You don't happen to be a dope, either."
Oh. Too true, too true! Heh, heh.	Oh. Too true, too true! Heh, heh.
Cease your ridiculous antics, Pharkas. Do I look like a cow to you?	Cease your ridiculous antics, Pharkas. Do I look like a cow to you?
I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.	I'm not experiencing any of the lower G.I. problems that so many of the rabble seem to be afflicted with. Therefore, feel free to take that solution elsewhere.
That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.	That canister has no redemption value at all. But thank you so much for thinking of us here at the Bank of Bob.
I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!	I'm sorry, you backwoods pharmacist. We do not accept large deposits of baking soda!
(UNDER BREATH) |c1|You're full of hot air.|c|	(UNDER BREATH) |c1|You're full of hot air.|c|
Excuse me? What did you say?	Excuse me? What did you say?
I simply said, "You've got a full head of hair."	I simply said, "You've got a full head of hair."
Oh. Yes, do you like it? It's imported.	Oh. Yes, do you like it? It's imported.
Vulgar displays of pulchritude do not impress me, Pharkas.	Vulgar displays of pulchritude do not impress me, Pharkas.
(UNDER BREATH) |c2|You're no saint, you no-account rear!|c|	(UNDER BREATH) |c2|You're no saint, you no-account rear!|c|
Pardonne moi?	Pardonne moi?
I merely say, "I ain't got no account here!"	I merely say, "I ain't got no account here!"
Oh. Well, whose fault is that?	Oh. Well, whose fault is that?
I find your wax utterly irrelevant.	I find your wax utterly irrelevant.
(SOTTO VOCE) |c1|Yeah, and I find YOU utterly an elephant!|c|	(SOTTO VOCE) |c1|Yeah, and I find YOU utterly an elephant!|c|
I'm sorry? Please repeat that, I missed it.	I'm sorry? Please repeat that, I missed it.
I said, "I think you are a hell of a gent."	I said, "I think you are a hell of a gent."
Oh. Yes!	Oh. Yes!
What damage do you think you're going to do with that little penknife? Just remember, Pharkas, I've got friends in this town. Powerful friends. Not like your flea-bitten pals. So don't threaten me. Your day will come. And soon, too, I guarantee you.	What damage do you think you're going to do with that little penknife? Just remember, Pharkas, I've got friends in this town. Powerful friends. Not like your flea-bitten pals. So don't threaten me. Your day will come. And soon, too, I guarantee you.
You hand the safe-deposit key to P.H. Balance.	You hand the safe-deposit key to P.H. Balance.
It'll be ready Tuesday. OH! I mean, allow me to fetch your safe-deposit box for you immediately.	It'll be ready Tuesday. OH! I mean, allow me to fetch your safe-deposit box for you immediately.
You level your pistol at the Banker.	You level your pistol at the Banker.
You try it, Pharkas, and you'll wind up hanging from the tallest limb in town. The Sheriff and I are keeping our eyes on you. One wrong move, and you're history.	You try it, Pharkas, and you'll wind up hanging from the tallest limb in town. The Sheriff and I are keeping our eyes on you. One wrong move, and you're history.
You lower your pistol. You hate to admit it, but he's right; you'd never get away with shooting him in cold blood.	You lower your pistol. You hate to admit it, but he's right; you'd never get away with shooting him in cold blood.
Don't try to bribe me with pie, Pharkas. I'm not some backwoods hick like some of the folks in this one-horse town.	Don't try to bribe me with pie, Pharkas. I'm not some backwoods hick like some of the folks in this one-horse town.
Thank you, Pharkas, but no thank you. I prefer a more cultured beverage, specifically, tea.	Thank you, Pharkas, but no thank you. I prefer a more cultured beverage, specifically, tea.
(UNDER BREATH) |c1|I hope you choke on your tea!|c|	(UNDER BREATH) |c1|I hope you choke on your tea!|c|
What did you say, Pharkas?	What did you say, Pharkas?
I said, "I guess the joke is on me!"	I said, "I guess the joke is on me!"
Oh! Yes, I suppose it is, isn't it?	Oh! Yes, I suppose it is, isn't it?
What am I supposed to do with this? It's not bankable. Take it away.	What am I supposed to do with this? It's not bankable. Take it away.
(QUIETLY) |c1|You've got your nerve, you dirtpile.|c|	(QUIETLY) |c1|You've got your nerve, you dirtpile.|c|
Huh? What was that?	Huh? What was that?
I said, "You've got verve and earthy style."	I said, "You've got verve and earthy style."
Oh! That is so!	Oh! That is so!
I do not accept these as currency. In fact, I prefer not to have them in my bank! Please remove them forthwith or I shall have to remove them myself.	I do not accept these as currency. In fact, I prefer not to have them in my bank! Please remove them forthwith or I shall have to remove them myself.
(UNDER BREATH) |c1|Any stinkin' day, you dried-up horse.|c|	(UNDER BREATH) |c1|Any stinkin' day, you dried-up horse.|c|
Pardon me? Come again?	Pardon me? Come again?
I said, "Anything you say. You're right, of course."	I said, "Anything you say. You're right, of course."
Oh! Well, of course I am.	Oh! Well, of course I am.
I'm sure this silver is not investment-grade. Nice try, Pharkas. But hang onto it. It probably has great sentimental value. (SNICKER)	I'm sure this silver is not investment-grade. Nice try, Pharkas. But hang onto it. It probably has great sentimental value. (SNICKER)
It's an interesting trinket, but hardly worth my time. Take it back, Pharkas.	It's an interesting trinket, but hardly worth my time. Take it back, Pharkas.
That suit is clearly meant for somebody much scrawnier and less robust than me. Take it away.	That suit is clearly meant for somebody much scrawnier and less robust than me. Take it away.
(UNDER BREATH) |c1|One of these days... bang, zoom!|c|	(UNDER BREATH) |c1|One of these days... bang, zoom!|c|
Oh, I just said, "One of these days, banking boom!"	Oh, I just said, "One of these days, banking boom!"
Oh! I certainly hope so.	Oh! I certainly hope so.
It'll be ready on Tuesday, Pharkas. Hehe... just making a funny. This isn't redeemable here.	It'll be ready on Tuesday, Pharkas. Hehe... just making a funny. This isn't redeemable here.
Take those smelly old things away, or I shall be forced to remove you bodily from this bank!	Take those smelly old things away, or I shall be forced to remove you bodily from this bank!
(SOTTO VOCE) |c1|Yeah, you think so? You'd be sorry.|c|	(SOTTO VOCE) |c1|Yeah, you think so? You'd be sorry.|c|
I'm sorry, what did you just say?	I'm sorry, what did you just say?
I said, "Yeah, they stink like calamari."	I said, "Yeah, they stink like calamari."
Oh! Yes, exactly.	Oh! Yes, exactly.
I don't want your smelly old neckerchief! Wrap it around your scrawny li'l chicken gullet or something.	I don't want your smelly old neckerchief! Wrap it around your scrawny li'l chicken gullet or something.
(UNDER BREATH) |c1|I sure can't believe you smell so rank!|c|	(UNDER BREATH) |c1|I sure can't believe you smell so rank!|c|
What was that, Pharkas?	What was that, Pharkas?
I said, "You sure have achieved a swell bank."	I said, "You sure have achieved a swell bank."
Oh! Why, thank you. I'm proud of it.	Oh! Why, thank you. I'm proud of it.
Ah, yes, a letter from your worthless crony Mr. Graves. A shame he had to die.	Ah, yes, a letter from your worthless crony Mr. Graves. A shame he had to die.
Taking up digging, are we? Couldn't make a go of that pharmacy, eh? I'm not surprised. You haven't demonstrated much business sense.	Taking up digging, are we? Couldn't make a go of that pharmacy, eh? I'm not surprised. You haven't demonstrated much business sense.
(UNDER BREATH) |c1|I'd like to dig a grave for YOU.|c|	(UNDER BREATH) |c1|I'd like to dig a grave for YOU.|c|
Speak up, Pharkas, I can hardly hear you.	Speak up, Pharkas, I can hardly hear you.
I said, "I'd like to invest my savings with you!"	I said, "I'd like to invest my savings with you!"
Oh. I'm sure we can arrange something at a later date.	Oh. I'm sure we can arrange something at a later date.
What is this, your lunch? Take it away, Pharkas, I'm watching my weight.	What is this, your lunch? Take it away, Pharkas, I'm watching my weight.
I don't require a bag for anything. Goodbye.	I don't require a bag for anything. Goodbye.
(SHOUTING) Remove that filth from my bank at once, do you hear? And while you're at it, remove yourself, too!	(SHOUTING) Remove that filth from my bank at once, do you hear? And while you're at it, remove yourself, too!
I don't appreciate you throwing clay around my bank, Pharkas! Please remove it from the vicinity immediately.	I don't appreciate you throwing clay around my bank, Pharkas! Please remove it from the vicinity immediately.
