You test the leather strap. Wow, it IS durable!	You test the leather strap. Wow, it IS durable!
You've honed your silver ear to a deadly razor sharpness.	You've honed your silver ear to a deadly razor sharpness.
You scrape some of the dirt off the shovel, but it's still hopelessly dirty.	You scrape some of the dirt off the shovel, but it's still hopelessly dirty.
This shovel was left at ReBoot Hill for the convenience of the gravediggers.	This shovel was left at ReBoot Hill for the convenience of the gravediggers.
You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!	You carefully examine the silver ear. Fine workmanship. Nice socket for your cartilaginous earstump. No rough edges. A spectacular job, especially since this is your first foray into the wonderful world of lost-wax casting!
It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!	It's your soon-to-be-world-famous Silver Ear, symbol of truth, justice, and the Pharmacological Way!
You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)	You poke the snails, and they recede quickly into their shells. (Kinda reminds you of taking a cold shower!)
If you only had a few snails mushroom caps to go with these.	If you only had a few snails mushroom caps to go with these.
You pour a small amount of beer on the snails. They quickly begin to weave around uncertainly, as if... as if they were DRUNK! How bizarre!	You pour a small amount of beer on the snails. They quickly begin to weave around uncertainly, as if... as if they were DRUNK! How bizarre!
You run your hand up the length of the blade. Criminy! This baby's SHARP! (You compose a short mental note of complaint to the Franklin Mint.)	You run your hand up the length of the blade. Criminy! This baby's SHARP! (You compose a short mental note of complaint to the Franklin Mint.)
It appears to be a Confederate sword. You wonder if it's sharp?	It appears to be a Confederate sword. You wonder if it's sharp?
You drop the charcoal into tin can. Now we're gettin' somewhere!	You drop the charcoal into tin can. Now we're gettin' somewhere!
You poke around inside the can for a few leftover beans, but no dice. (And no beans, either!)	You poke around inside the can for a few leftover beans, but no dice. (And no beans, either!)
You gently stir the coal, and a little of it sifts through the holes in the can. (Look, Ma! Black snow!)	You gently stir the coal, and a little of it sifts through the holes in the can. (Look, Ma! Black snow!)
You stir the can full of charcoal with your finger. Whee!	You stir the can full of charcoal with your finger. Whee!
You feel the jagged edges inside the can where the ice pick has poked through the steel. You feel the leather of the strap where it passes through the holes in the side of the can. (And you feel mighty silly standing here feeling a can!)	You feel the jagged edges inside the can where the ice pick has poked through the steel. You feel the leather of the strap where it passes through the holes in the side of the can. (And you feel mighty silly standing here feeling a can!)
Yep, it feels like those holes go right straight through that can!	Yep, it feels like those holes go right straight through that can!
With all the precision of a serial killer, you deftly poke some holes in the tin can with the ice pick. Hah!	With all the precision of a serial killer, you deftly poke some holes in the tin can with the ice pick. Hah!
Having accomplished your immediate desire, and in the process hopelessly dulling the ice pick, you exhibit absolutely no regard for this barren piece of locality laughingly called the "environment" by brazenly tossing the ice pick away. You're such a "consumer!"	Having accomplished your immediate desire, and in the process hopelessly dulling the ice pick, you exhibit absolutely no regard for this barren piece of locality laughingly called the "environment" by brazenly tossing the ice pick away. You're such a "consumer!"
You slip the leather strap through the holes in the tin can. They fit perfectly. Congrats! You've always wanted a tin feed bag!	You slip the leather strap through the holes in the tin can. They fit perfectly. Congrats! You've always wanted a tin feed bag!
The leather strap just won't fit through the holes in the tin can... because there ARE no holes in the tin can!	The leather strap just won't fit through the holes in the tin can... because there ARE no holes in the tin can!
It's an empty can of beans. Why would Mom keep an empty can of beans on her shelf? Well, Mom's memory ain't what she used to be.	It's an empty can of beans. Why would Mom keep an empty can of beans on her shelf? Well, Mom's memory ain't what she used to be.
The hole-ridden tin can is now chock full of charcoal.	The hole-ridden tin can is now chock full of charcoal.
This tin can is full'a charcoal.	This tin can is full'a charcoal.
The tin can, riddled with holes from your trusty ice pick, has a leather strap threaded through two of the holes.	The tin can, riddled with holes from your trusty ice pick, has a leather strap threaded through two of the holes.
You've poked major holes in the tin can!	You've poked major holes in the tin can!
Careful, you'll get your finger stuck in one of the bottles.	Careful, you'll get your finger stuck in one of the bottles.
Oops.	Oops.
See! Now pull it out. Gently... carefully...	See! Now pull it out. Gently... carefully...
Ooof!	Ooof!
There. Now you're free again. Now don't do that again, okay?	There. Now you're free again. Now don't do that again, okay?
You've taken one of the empty beer bottles and filled it with water from the water tower. The other bottles are all empty.	You've taken one of the empty beer bottles and filled it with water from the water tower. The other bottles are all empty.
You're too precariously balanced to juggle paper and glass. Get on solid ground first!	You're too precariously balanced to juggle paper and glass. Get on solid ground first!
Finally you see the prescription as Doc Gillespie must've seen it when he wrote it: through the bottom of a whisky glass!	Finally you see the prescription as Doc Gillespie must've seen it when he wrote it: through the bottom of a whisky glass!
You carefully pack the clay in and around the wax ear, leaving a small opening so that you can pour out the molten wax later.	You carefully pack the clay in and around the wax ear, leaving a small opening so that you can pour out the molten wax later.
You try to attach the wax ear to the small knot of cartilage on the side of your head, but the wax is too slippery to stay on. Apparently you'll need to do something more to the wax ear to build yourself an acceptable prosthesis.	You try to attach the wax ear to the small knot of cartilage on the side of your head, but the wax is too slippery to stay on. Apparently you'll need to do something more to the wax ear to build yourself an acceptable prosthesis.
This handsomely-carved wax ear looks very much like one that bastard Kenny the Kid shot off so many years ago!	This handsomely-carved wax ear looks very much like one that bastard Kenny the Kid shot off so many years ago!
You stir the few remaining drops of whisky around, then lick off your finger. Mmm! Single-malt!	You stir the few remaining drops of whisky around, then lick off your finger. Mmm! Single-malt!
Poor Doc! What's he gonna do without his whiskey glass?	Poor Doc! What's he gonna do without his whiskey glass?
Scraping off the clay now would destroy the mold!	Scraping off the clay now would destroy the mold!
This clay mold still contains your original wax "positive" of your ear.	This clay mold still contains your original wax "positive" of your ear.
This door is locked.	This door is locked.
You don't hear anything.	You don't hear anything.
This door won't open this way.	This door won't open this way.
This door is already open and there's really no need for you to lock it.	This door is already open and there's really no need for you to lock it.
Whew-ee! You can't. The aroma is simply too overpowering. You don't dare touch the horse without some way to protect yourself from the stench.	Whew-ee! You can't. The aroma is simply too overpowering. You don't dare touch the horse without some way to protect yourself from the stench.
Somebody's poor horse seems to be dispelling huge quantities of a noxious methane compound.	Somebody's poor horse seems to be dispelling huge quantities of a noxious methane compound.
The horse's tail is fluttering in the breeze! (And what a breeze that is!)	The horse's tail is fluttering in the breeze! (And what a breeze that is!)
Hey, you're a purty li'l paint, aren't ya? Yes, you are! Yes, you are! What a little cutie! I like you, horsie! I sure do! Can I take you home with me? CAN I take you home with me? You'd like that, wouldn't you? Yes, you would! Yes, you would!	Hey, you're a purty li'l paint, aren't ya? Yes, you are! Yes, you are! What a little cutie! I like you, horsie! I sure do! Can I take you home with me? CAN I take you home with me? You'd like that, wouldn't you? Yes, you would! Yes, you would!
(You need to get out more often, Freddy.)	(You need to get out more often, Freddy.)
Nice horsey! (You'd BETTER be nice to this horsey. It has the power to cloud men's minds!)	Nice horsey! (You'd BETTER be nice to this horsey. It has the power to cloud men's minds!)
You must be thinking of Dad Gumm's Magic Suppositories! Unfortunately, Dad stopped manufacturing those years ago when they were found to be explosive under pressure!	You must be thinking of Dad Gumm's Magic Suppositories! Unfortunately, Dad stopped manufacturing those years ago when they were found to be explosive under pressure!
You don't have nearly enough keys to plug up |c2|all|c| the horses in town!	You don't have nearly enough keys to plug up |c2|all|c| the horses in town!
Yes, if you wanted, you could capture the "effluvium" in the tin can, but since the tin can doesn't have a top, the effluvium wouldn't stay in there.	Yes, if you wanted, you could capture the "effluvium" in the tin can, but since the tin can doesn't have a top, the effluvium wouldn't stay in there.
You really think that giving the horses hemorrhoids will make them stop farting?	You really think that giving the horses hemorrhoids will make them stop farting?
That charcoal might stay in there for a minute or two, but then |c0|BANG!|c| There goes windows all up and down Main Street!	That charcoal might stay in there for a minute or two, but then |c0|BANG!|c| There goes windows all up and down Main Street!
Yeah, spank 'em, that'll keep the horses from farting. Bet it really starts 'em kicking!	Yeah, spank 'em, that'll keep the horses from farting. Bet it really starts 'em kicking!
You'd need a lot of gas masks, but you're on the right track.	You'd need a lot of gas masks, but you're on the right track.
You carefully pour the Deflatulizer into the horse's water trough. The horses greedily lap up the dee-lish- and nu-trish- medicated trough water.	You carefully pour the Deflatulizer into the horse's water trough. The horses greedily lap up the dee-lish- and nu-trish- medicated trough water.
Seein' as how his home-brewed "Patootie Sealant" done the trick on these horses, Freddy ran 'round and dumped the stuff into all the horse troughs in town. It warn't long 'afore the folks o' Coarsegold wuz all breathin' a sigh of relief!	Seein' as how his home-brewed "Patootie Sealant" done the trick on these horses, Freddy ran 'round and dumped the stuff into all the horse troughs in town. It warn't long 'afore the folks o' Coarsegold wuz all breathin' a sigh of relief!
Freddy tossed away his homemade gas mask, kind of a shame too, since he could'a made a purty penny off'n the patent rights. Life returned to normal, fur a short spell anyhooch, until one lazy day when one o' the local inbreeds come a'runnin' up wif the latest calamity...	Freddy tossed away his homemade gas mask, kind of a shame too, since he could'a made a purty penny off'n the patent rights. Life returned to normal, fur a short spell anyhooch, until one lazy day when one o' the local inbreeds come a'runnin' up wif the latest calamity...
Unlike most headwaiters, this horse's ass doesn't accept tips!	Unlike most headwaiters, this horse's ass doesn't accept tips!
You briefly consider pouring beer into the horse's nether regions, but you quickly realize it would only worsen the horse's flatulence... and you'd have a hell of a time recycling that bottle!	You briefly consider pouring beer into the horse's nether regions, but you quickly realize it would only worsen the horse's flatulence... and you'd have a hell of a time recycling that bottle!
If you did that, you'd have to shoot it afterwards. (The Church Key, not the horse.)	If you did that, you'd have to shoot it afterwards. (The Church Key, not the horse.)
You are truly a sick and cruel person. (Oh, you just wanted to climb on board? Oops!)	You are truly a sick and cruel person. (Oh, you just wanted to climb on board? Oops!)
The horse would undoubtedly appreciate the "seven knots to heaven" trick, but you've got better uses for that rope in mind!	The horse would undoubtedly appreciate the "seven knots to heaven" trick, but you've got better uses for that rope in mind!
That might make sense if you were trying to remove their intestinal polyps, but that's not their problem.	That might make sense if you were trying to remove their intestinal polyps, but that's not their problem.
The sheer force of the wind would break the wax seal instantly. (But you get an "A" for creativity.)	The sheer force of the wind would break the wax seal instantly. (But you get an "A" for creativity.)
You could try that, but then you might have to go looking for it again, and wouldn't that be just TOO disgusting.	You could try that, but then you might have to go looking for it again, and wouldn't that be just TOO disgusting.
They're not rags, you know, they're your old official Cowboy duds!	They're not rags, you know, they're your old official Cowboy duds!
You're gonna |c0|need|c| that claim check sooner or later, and if you stick it in there, you're not gonna want it anymore.	You're gonna |c0|need|c| that claim check sooner or later, and if you stick it in there, you're not gonna want it anymore.
You've got better (and more polite) uses in mind for those boots!	You've got better (and more polite) uses in mind for those boots!
That's one interesting place to store the letter.	That's one interesting place to store the letter.
(SCOTTY LIKE) She can't take any more, Cap'n! I'm afraid she's gonna BLOW!	(SCOTTY LIKE) She can't take any more, Cap'n! I'm afraid she's gonna BLOW!
In what may well be the most revolting idea you've ever had, you hold the brown paper sack up to the horse's anal sphincter and wait. With a reverberating "bbbrrraaatt," the horse reponds, inflating your bag a foul sample of "gas." You quickly twist the bag shut to lock in freshness.	In what may well be the most revolting idea you've ever had, you hold the brown paper sack up to the horse's anal sphincter and wait. With a reverberating "bbbrrraaatt," the horse reponds, inflating your bag a foul sample of "gas." You quickly twist the bag shut to lock in freshness.
A really terrifically disgusting idea! Unfortunately, the horse's tail momentarily blocks your access.	A really terrifically disgusting idea! Unfortunately, the horse's tail momentarily blocks your access.
Someone's horse (at least, you HOPE it was a horse) has decorated the street with a steamin' hot, fly-attracting "pie."	Someone's horse (at least, you HOPE it was a horse) has decorated the street with a steamin' hot, fly-attracting "pie."
You gingerly pick up the steaming pile and place it in your (ecccch!) pocket. (You make a mental note to burn these clothes when you're done with the game.)	You gingerly pick up the steaming pile and place it in your (ecccch!) pocket. (You make a mental note to burn these clothes when you're done with the game.)
unused msg	unused msg
Taking a serious look at yourself, you decide you like what you see.	Taking a serious look at yourself, you decide you like what you see.
These little self-introspective chats are fun, aren't they, Freddy?	These little self-introspective chats are fun, aren't they, Freddy?
Ahhh! Scratching right there sure feels good, eh, Freddy?	Ahhh! Scratching right there sure feels good, eh, Freddy?
You uncork and swig the elixir, finishing the bottle before you know it.	You uncork and swig the elixir, finishing the bottle before you know it.
How poetic... the dorky and the door key!	How poetic... the dorky and the door key!
You rub the paper all over your hands, but it's still legible!	You rub the paper all over your hands, but it's still legible!
You rub it all over your hands, but it's still legible!	You rub it all over your hands, but it's still legible!
You rub it all over your hands, but it's still totally illegible!	You rub it all over your hands, but it's still totally illegible!
Doc's already drained all the whisky from the glass, but hey, nice try!	Doc's already drained all the whisky from the glass, but hey, nice try!
There's not enough whisky in the glass to drink, and you're not particularly hungry for a sodden piece of paper!	There's not enough whisky in the glass to drink, and you're not particularly hungry for a sodden piece of paper!
You already have the corrected prescription!	You already have the corrected prescription!
You heave... a sigh of relief!	You heave... a sigh of relief!
You take a swig of the water from the water tower. Uh-oh. Your stomach starts to make strange sounds. Your small intestine begins to whine. Your lower intestine starts complaining loudly.	You take a swig of the water from the water tower. Uh-oh. Your stomach starts to make strange sounds. Your small intestine begins to whine. Your lower intestine starts complaining loudly.
You're having enough trouble balancing on the ladder as it is; now's no time to juggle your inventory items.	You're having enough trouble balancing on the ladder as it is; now's no time to juggle your inventory items.
It's not a good idea to try that up here! Lose your balance and you'll be nothing more than a particularly large road apple.	It's not a good idea to try that up here! Lose your balance and you'll be nothing more than a particularly large road apple.
You had a drink of water just before you went to bed!	You had a drink of water just before you went to bed!
Fighting crime is thirsty work, but wait 'til you've dealt with the situation at hand to take your refreshment.	Fighting crime is thirsty work, but wait 'til you've dealt with the situation at hand to take your refreshment.
You try the old trick of flattening the can against your skull. Ring around the forehead! Ring around the forehead!	You try the old trick of flattening the can against your skull. Ring around the forehead! Ring around the forehead!
Congratulations! Nice form, Mr. Ripper!	Congratulations! Nice form, Mr. Ripper!
You briefly consider that current craze, the "minstrel" look, but decide there are better uses for the charcoal.	You briefly consider that current craze, the "minstrel" look, but decide there are better uses for the charcoal.
You glance around to make sure no one is watching, then you flagellate yourself just a little bit.	You glance around to make sure no one is watching, then you flagellate yourself just a little bit.
You take a few deep breaths from the gas mask, clearing your head and enabling you to go on awhile longer!	You take a few deep breaths from the gas mask, clearing your head and enabling you to go on awhile longer!
You can't fiddle with that while you're on the ladder.	You can't fiddle with that while you're on the ladder.
Fortunately, the aroma hasn't permeated the interior of the building. You won't need to use that gas mask in here.	Fortunately, the aroma hasn't permeated the interior of the building. You won't need to use that gas mask in here.
You can't keep your balance up here AND use the gas mask properly at the same time, Freddy.	You can't keep your balance up here AND use the gas mask properly at the same time, Freddy.
Unfortunately for you, this Deflatulizer is highly concentrated, far too powerful to be ingested in undiluted form!	Unfortunately for you, this Deflatulizer is highly concentrated, far too powerful to be ingested in undiluted form!
What? Uncooked? And without garlic butter? AUGGGH!	What? Uncooked? And without garlic butter? AUGGGH!
You thank yourself for last night, and pay yourself the usual amount.	You thank yourself for last night, and pay yourself the usual amount.
You rub the bottle cap across your lips, just enough to make sure that everybody knows what a macho stud pharmacist you are!	You rub the bottle cap across your lips, just enough to make sure that everybody knows what a macho stud pharmacist you are!
You take a drink of the beer.	You take a drink of the beer.
BURRRRRRRRP!!	BURRRRRRRRP!!
(Fortunately, you've got MUCH more beer left. You could never drink that much beer, so stop trying!)	(Fortunately, you've got MUCH more beer left. You could never drink that much beer, so stop trying!)
You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!	You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!
You are amazed to find the church key's shape precisely fits your navel, making a perfect belly-button lint remover.	You are amazed to find the church key's shape precisely fits your navel, making a perfect belly-button lint remover.
(LADDER PUN) You rung?	(LADDER PUN) You rung?
Give yourself enough rope and you know you'll hang yourself!	Give yourself enough rope and you know you'll hang yourself!
You strongly consider lynching yourself, but decide you're hung well enough already!	You strongly consider lynching yourself, but decide you're hung well enough already!
You take a swig of the concentrated water purification solution. That'll clean your clock!	You take a swig of the concentrated water purification solution. That'll clean your clock!
You open the valve on the tank of nitrous oxide, and suddenly the game seems much funnier! Unfortunately, you soon die laughing!	You open the valve on the tank of nitrous oxide, and suddenly the game seems much funnier! Unfortunately, you soon die laughing!
You foolishly ingest several sacks of the baking soda, creating a major eruption of the worst kind!	You foolishly ingest several sacks of the baking soda, creating a major eruption of the worst kind!
Don't French postcards. You don't know where those postcards have been!	Don't French postcards. You don't know where those postcards have been!
Trying the ol' hot wax treatment? You're SUPPOSED to have hairy legs, Freddy.	Trying the ol' hot wax treatment? You're SUPPOSED to have hairy legs, Freddy.
Good idea! Those fingernails were getting a little dirty!	Good idea! Those fingernails were getting a little dirty!
You cleverly attempt to unlock your head by inserting the desk key into your nose. Apparently this isn't the right key.	You cleverly attempt to unlock your head by inserting the desk key into your nose. Apparently this isn't the right key.
You find the safe deposit box key fits perfectly into several orifices!	You find the safe deposit box key fits perfectly into several orifices!
What are you doing? Trying to rob yourself? Who are you trying to kid? Those pistols aren't loaded!	What are you doing? Trying to rob yourself? Who are you trying to kid? Those pistols aren't loaded!
You just can't resist nibbling off a little corner of the crust. No one will ever notice that!	You just can't resist nibbling off a little corner of the crust. No one will ever notice that!
Ummm, good to the last drop! That Mom sure can make a good cup of Instant Hazelnut Vanilla Mocha Java. (Maybe she has friends here from Europe!)	Ummm, good to the last drop! That Mom sure can make a good cup of Instant Hazelnut Vanilla Mocha Java. (Maybe she has friends here from Europe!)
It won't clean THAT "deadly weapon," Freddy!	It won't clean THAT "deadly weapon," Freddy!
Just where did you intend to stick those bullets, Freddy?	Just where did you intend to stick those bullets, Freddy?
Just like you've seen it done at the spas, you apply the clay to your face for a few moments, then scrape it off. Now your complexion is as soft and smooth as a newborn hog's butt!	Just like you've seen it done at the spas, you apply the clay to your face for a few moments, then scrape it off. Now your complexion is as soft and smooth as a newborn hog's butt!
You will want to wear it later, but only after you have completed your outfit.	You will want to wear it later, but only after you have completed your outfit.
