(UNDER BREATH) |c1|You're asking for it, dude.|c|	(UNDER BREATH) |c1|You're asking for it, dude.|c|
It's not yer place to worry about the "tourist trade," bwoy! Leave that to ME! Now, as fer the Hotel, IF it's any o' yer business, it wuz attractin' the wrong sorta bizniz... transients, hobos, people of low moral fiber. Cain't be havin' none o' THET goin' on in Coarsegold, can we?	It's not yer place to worry about the "tourist trade," bwoy! Leave that to ME! Now, as fer the Hotel, IF it's any o' yer business, it wuz attractin' the wrong sorta bizniz... transients, hobos, people of low moral fiber. Cain't be havin' none o' THET goin' on in Coarsegold, can we?
But at the rate these places are closing down, there won't be any town LEFT in a matter of days!	But at the rate these places are closing down, there won't be any town LEFT in a matter of days!
Lissen to me, bwoy. Thet ain't none of my never mind. I'm jus' lookin' to make this place as SAFE as kin be. So if I gotta close down a place or two, welp, y'all will jus' hafta live with that.	Lissen to me, bwoy. Thet ain't none of my never mind. I'm jus' lookin' to make this place as SAFE as kin be. So if I gotta close down a place or two, welp, y'all will jus' hafta live with that.
<|c3|Hoccccccccccck...|c|> <|c3|pa-tooey!|c|>	<|c3|Hoccccccccccck...|c|> <|c3|pa-tooey!|c|>
The spittoon makes a resounding "ping!"	The spittoon makes a resounding "ping!"
Sheriff, I don't understand how the Opera House was making Coarsegold unsafe. Why'd you close it down?	Sheriff, I don't understand how the Opera House was making Coarsegold unsafe. Why'd you close it down?
They was showin' SMUT in there, and it wuz attractin' the wrong kinda customer!	They was showin' SMUT in there, and it wuz attractin' the wrong kinda customer!
Smut? Like what?	Smut? Like what?
Chaucer! Rebelais! Baaaaalzac!	Chaucer! Rebelais! Baaaaalzac!
And furthermore...	And furthermore...
Whut the Sam Hill do yew want now? Don't you have customers to git to, Pharkenstein?	Whut the Sam Hill do yew want now? Don't you have customers to git to, Pharkenstein?
Yes, but I don't see why you had to close down the Tall & Thin Shop! What in the world was wrong with THAT?	Yes, but I don't see why you had to close down the Tall & Thin Shop! What in the world was wrong with THAT?
Lissen to me, bwoy. Tall & thin folks are SNEAKY.	Lissen to me, bwoy. Tall & thin folks are SNEAKY.
Oh, that's ridiculous.	Oh, that's ridiculous.
It's NOT ridiculous! They look down on everbuddy, and when they wanna sneak around, they turn sideways towards ya so's you cain't hardly see 'em! Luckily, their collarbones break more easily than most folks', so's you kin' whup on 'em realll good.	It's NOT ridiculous! They look down on everbuddy, and when they wanna sneak around, they turn sideways towards ya so's you cain't hardly see 'em! Luckily, their collarbones break more easily than most folks', so's you kin' whup on 'em realll good.
That's the most insane load of horse manure I've ever heard.	That's the most insane load of horse manure I've ever heard.
Nobody's askin' yew to believe it, bwoy. Iffn yew don't like how ah'm running this town, why, yew jus' go right on and leave. In fact, ah should be seein' yew about this VERY soon, bwoy. VERY soon.	Nobody's askin' yew to believe it, bwoy. Iffn yew don't like how ah'm running this town, why, yew jus' go right on and leave. In fact, ah should be seein' yew about this VERY soon, bwoy. VERY soon.
Sheriff, do YOU aim to do anything about the flatulent horses out there?	Sheriff, do YOU aim to do anything about the flatulent horses out there?
Not much ah CAN do, Pharkwat. Yew cain't go 'round pluggin' up the horses, they'll explode. We'll jus' have to set tight 'til they get over it.	Not much ah CAN do, Pharkwat. Yew cain't go 'round pluggin' up the horses, they'll explode. We'll jus' have to set tight 'til they get over it.
But the town will be gassed to death by then! We've got to take action NOW!	But the town will be gassed to death by then! We've got to take action NOW!
I AM takin' action, bwoy! Ah'm catchin' up on m' office work! Cain't go outside anyways 'til this whole thang blows over! HYUK HYUK! I made a funny there! "Blows over." Git it? Git it?	I AM takin' action, bwoy! Ah'm catchin' up on m' office work! Cain't go outside anyways 'til this whole thang blows over! HYUK HYUK! I made a funny there! "Blows over." Git it? Git it?
That's whut I'm here fer, bwoy.	That's whut I'm here fer, bwoy.
Sheriff, if you're not going to help these people, then I am.	Sheriff, if you're not going to help these people, then I am.
Yew do whut yew hafta, bwoy. Iffn yew think yew kin cure them horses 'afore evvabuddy gits gassed, yer welcome to try! <snicker>	Yew do whut yew hafta, bwoy. Iffn yew think yew kin cure them horses 'afore evvabuddy gits gassed, yer welcome to try! <snicker>
Sheriff! Are you going to help me stop that stampede before it runs over the whole town?	Sheriff! Are you going to help me stop that stampede before it runs over the whole town?
Now look here, Pharkblatt! Stoppin' them horses from pootin' the town away wuz all well and good, but yew cain't stop a stampede, can ya? Why, there's nuttin' to be done but batten down the hatches and hope fer the best! Me, I figure I'm safe in here, this's the only buildin' in town made outta rock! You go save yer own butt, bwoy, or git outta town like the smart folks are doin'.	Now look here, Pharkblatt! Stoppin' them horses from pootin' the town away wuz all well and good, but yew cain't stop a stampede, can ya? Why, there's nuttin' to be done but batten down the hatches and hope fer the best! Me, I figure I'm safe in here, this's the only buildin' in town made outta rock! You go save yer own butt, bwoy, or git outta town like the smart folks are doin'.
Dag nab you, Sheriff! You're not doing ANYTHING to help!	Dag nab you, Sheriff! You're not doing ANYTHING to help!
Why, shore ah am! Ah'm refusin' to PANIC!	Why, shore ah am! Ah'm refusin' to PANIC!
Grrrr.	Grrrr.
Sheriff, I'm not jokin'. Get a posse together! We can round 'em up, I KNOW we can!	Sheriff, I'm not jokin'. Get a posse together! We can round 'em up, I KNOW we can!
Y'all mus' think ah'm CRAZY, bwoy! Yew wouldn't catch me outside this office 'til thet stampede is over! Now git along!	Y'all mus' think ah'm CRAZY, bwoy! Yew wouldn't catch me outside this office 'til thet stampede is over! Now git along!
Welp, Sheriff, I stopped that stampede, no thanks to you.	Welp, Sheriff, I stopped that stampede, no thanks to you.
Say WHUT? But... how?	Say WHUT? But... how?
A little Yankee ingenuity. Something you wouldn't know anything about.	A little Yankee ingenuity. Something you wouldn't know anything about.
Hey hey! Yer beginnin' to really PIDDLE ME OFF, bwoy! Yer spozed to be shuttin' down yer Pharmacy and leavin' town, yer NOT spozed to be runnin' around like the flippin' Lone Ranger, savin' people right and left! Ah don't wanna hafta -- ah sez, ah don't wanna hafta talk to yew about this AGIN! Fer yer own safety, just vamoose!	Hey hey! Yer beginnin' to really PIDDLE ME OFF, bwoy! Yer spozed to be shuttin' down yer Pharmacy and leavin' town, yer NOT spozed to be runnin' around like the flippin' Lone Ranger, savin' people right and left! Ah don't wanna hafta -- ah sez, ah don't wanna hafta talk to yew about this AGIN! Fer yer own safety, just vamoose!
I don't suppose you could help me rescue an Indian from an anthill?	I don't suppose you could help me rescue an Indian from an anthill?
No, ah don't suppose ah could! There's places in town whut need more fire inspections. Git along.	No, ah don't suppose ah could! There's places in town whut need more fire inspections. Git along.
Sheriff, I know you couldn't care less, but folks around town are having some sort of mysterious stomach ailment.	Sheriff, I know you couldn't care less, but folks around town are having some sort of mysterious stomach ailment.
Welp, guess the water in these parts has gone sour. Ain't no surprise, really, it were bound to happen sooner or later. I figger those that don't die from the dysentery will jus' have to pull up stakes and find someplace where the water's good.	Welp, guess the water in these parts has gone sour. Ain't no surprise, really, it were bound to happen sooner or later. I figger those that don't die from the dysentery will jus' have to pull up stakes and find someplace where the water's good.
I don't think that's it at all. I think somebody poisoned the water. If you were any kind of Sheriff, you'd look into it.	I don't think that's it at all. I think somebody poisoned the water. If you were any kind of Sheriff, you'd look into it.
HYUK HYUK! Like yew know ANYTHANG about bein' a Sheriff! 'Sides, ah know the water ain't poisoned, ah had some m'self awhile ago.	HYUK HYUK! Like yew know ANYTHANG about bein' a Sheriff! 'Sides, ah know the water ain't poisoned, ah had some m'self awhile ago.
I'm going to cure the poor folks of this town if it's the last thing I do!	I'm going to cure the poor folks of this town if it's the last thing I do!
Yep, an' it's gonna BE the last thing yew do iffn yew don't stop MESSIN' AROUND with the fine people of Coarsegold!	Yep, an' it's gonna BE the last thing yew do iffn yew don't stop MESSIN' AROUND with the fine people of Coarsegold!
Messing around? I'm trying to SAVE them, dammit!	Messing around? I'm trying to SAVE them, dammit!
|c0|Yew cuss at me one mo' time and ah'll throw yew in jail so fast yew'll be BEGGIN' me to let yew quit, restore or restart!|c|	|c0|Yew cuss at me one mo' time and ah'll throw yew in jail so fast yew'll be BEGGIN' me to let yew quit, restore or restart!|c|
I apologize.	I apologize.
That's better. See? Now we kin all be friends.	That's better. See? Now we kin all be friends.
Sheriff, I'm going to be saying my goodbyes soon, and I just wanted to thank you for all your help.	Sheriff, I'm going to be saying my goodbyes soon, and I just wanted to thank you for all your help.
Don't mention it, bwoy! Iffn ah kin do anything to make yer departure more hasty or pleasant, feel free to ask!	Don't mention it, bwoy! Iffn ah kin do anything to make yer departure more hasty or pleasant, feel free to ask!
Sheriff, I'll be leaving shortly. Thanks for the ammo and cleaning supplies.	Sheriff, I'll be leaving shortly. Thanks for the ammo and cleaning supplies.
Yep, yep, sure, sure, glad to help, whutever yew say, bon voi-ah-gee.	Yep, yep, sure, sure, glad to help, whutever yew say, bon voi-ah-gee.
Yeah? Do I know you?	Yeah? Do I know you?
I'm Fr... I mean, I'm 'fraid you've got a problem.	I'm Fr... I mean, I'm 'fraid you've got a problem.
Oh, do I? What problem would that be? Seems to me mah BIGGEST problem already left town! Jus' got a lotta little ones left.	Oh, do I? What problem would that be? Seems to me mah BIGGEST problem already left town! Jus' got a lotta little ones left.
You've got an infamous riverboat gambler in your Saloon, gambling up people's property.	You've got an infamous riverboat gambler in your Saloon, gambling up people's property.
Nothin' illegal 'bout that. Nobuddy's forcin' anyone to gamble.	Nothin' illegal 'bout that. Nobuddy's forcin' anyone to gamble.
But he's CHEATING!	But he's CHEATING!
Welp, I spoze if yew wuz to CATCH him cheatin', ah might have to run him in. But he's very good, ah don't think yew'll catch him. He came highly recommended.	Welp, I spoze if yew wuz to CATCH him cheatin', ah might have to run him in. But he's very good, ah don't think yew'll catch him. He came highly recommended.
Nothin', nothin'.	Nothin', nothin'.
I'm going to have to bring that gambler to justice!	I'm going to have to bring that gambler to justice!
Hey, mister, ah don't want any trouble 'round here. Don't yew go shootin' nobody, I'll hafta run you in. Yew let thangs take their nacheral course.	Hey, mister, ah don't want any trouble 'round here. Don't yew go shootin' nobody, I'll hafta run you in. Yew let thangs take their nacheral course.
Hey, Sheriff Shift!	Hey, Sheriff Shift!
Well, if it ain't the fella whut caught "Aces" Hall! Whussup?	Well, if it ain't the fella whut caught "Aces" Hall! Whussup?
Don't you know? Your entire town is being shot up by a bunch of rowdy cowhands!	Don't you know? Your entire town is being shot up by a bunch of rowdy cowhands!
Yep! Aren't it awful? Evvabuddy in town who don't git shot up is gonna git skeered away! HAW HAW! I hate it!	Yep! Aren't it awful? Evvabuddy in town who don't git shot up is gonna git skeered away! HAW HAW! I hate it!
I don't understand. Why do you want everyone to leave Coarsegold so badly?	I don't understand. Why do you want everyone to leave Coarsegold so badly?
Oh, it ain't ME, Stranger. It's m'boss, the one who already owns half the property in town and wants the rest of it.	Oh, it ain't ME, Stranger. It's m'boss, the one who already owns half the property in town and wants the rest of it.
But why? Why would anyone want a broken-down piece of underdeveloped property like Coarsegold?	But why? Why would anyone want a broken-down piece of underdeveloped property like Coarsegold?
Ah'm afeared that ain't none of yer business, pard.	Ah'm afeared that ain't none of yer business, pard.
Well? Are you going to stop those rowdy cowhands?	Well? Are you going to stop those rowdy cowhands?
Hell no, bwoy! Ah'm gonna let 'em do their business, then ah'm gonna collect m'cut and git outta this town! And ah'd advise YEW to do the same!	Hell no, bwoy! Ah'm gonna let 'em do their business, then ah'm gonna collect m'cut and git outta this town! And ah'd advise YEW to do the same!
Hey hey hey, bwoy! Don't be tichin' me. We's a pretty macho bunch in this town... iff'n yew don't know thet by now, yew better lern pretty quick! Leastways, not with the window open!	Hey hey hey, bwoy! Don't be tichin' me. We's a pretty macho bunch in this town... iff'n yew don't know thet by now, yew better lern pretty quick! Leastways, not with the window open!
Yew tryin' to peddle yer potions door-to-door, Phartkis?	Yew tryin' to peddle yer potions door-to-door, Phartkis?
No, no, this is Dad Gumm's Elixir. I found it on his wagon; I don't even carry the stuff.	No, no, this is Dad Gumm's Elixir. I found it on his wagon; I don't even carry the stuff.
Welp, that's fine, bwoy, yew jus' hang onto it. Wouldn't want one of children gettin' ahold of it, would we?	Welp, that's fine, bwoy, yew jus' hang onto it. Wouldn't want one of children gettin' ahold of it, would we?
Why, that's ol' Doc Gillespie's whisky glass! I'd rekanize that anywheres! Whut you doin' with it, Pharmakas?	Why, that's ol' Doc Gillespie's whisky glass! I'd rekanize that anywheres! Whut you doin' with it, Pharmakas?
I'm saving him from himself.	I'm saving him from himself.
Thet's the stoopidest thang I ever heard. Cain't save someone frum themSELF. How could yew git away?	Thet's the stoopidest thang I ever heard. Cain't save someone frum themSELF. How could yew git away?
That's a fine bit o' detective work, bwoy! Yew get sum big-time points fer that one?	That's a fine bit o' detective work, bwoy! Yew get sum big-time points fer that one?
Sure did!	Sure did!
Well, thet's fine, jes' fine. Now skedaddle on back to yer Pharmacy there, Pharsky, an' I'll be over in a li'l while.	Well, thet's fine, jes' fine. Now skedaddle on back to yer Pharmacy there, Pharsky, an' I'll be over in a li'l while.
I cain't read thet, Pharphetcht. Yew know ain't nobody 'round here kin read that ol' drunk's chicken scratchin'. And say, that reminds me. Ah'm gonna be stopping 'round at the Pharmacy a little later. Hope yew don't mind. Thet's fine, bwoy, jus' fine. Ah'll be seeing you later, then.	I cain't read thet, Pharphetcht. Yew know ain't nobody 'round here kin read that ol' drunk's chicken scratchin'. And say, that reminds me. Ah'm gonna be stopping 'round at the Pharmacy a little later. Hope yew don't mind. Thet's fine, bwoy, jus' fine. Ah'll be seeing you later, then.
Need anything for your piles, Sheriff?	Need anything for your piles, Sheriff?
If I WANTED sumpin' fer m'piles, I'da come inna yer store and AST ya fer sumpin'! Which reminds me, ah'll be payin' yew a visit shortly. Yew best be in when I gets there.	If I WANTED sumpin' fer m'piles, I'da come inna yer store and AST ya fer sumpin'! Which reminds me, ah'll be payin' yew a visit shortly. Yew best be in when I gets there.
Certainly, Sheriff. Anything to help.	Certainly, Sheriff. Anything to help.
That's whut yew say now! HAW HAW HAW!	That's whut yew say now! HAW HAW HAW!
Ah don't drink beer on duty, bwoy!	Ah don't drink beer on duty, bwoy!
It's nothing but water. I took it from the water tower.	It's nothing but water. I took it from the water tower.
Then ah SURELY doesn't wanna drink it.	Then ah SURELY doesn't wanna drink it.
Why, Sheriff? Do you know if there's something WRONG with the water? Could somebody have done something TO it? Something YOU know all about?	Why, Sheriff? Do you know if there's something WRONG with the water? Could somebody have done something TO it? Something YOU know all about?
Quit yellin' at me, bwoy! I don't know whut yer squawkin' about! Git outta mah face! G'wan witcha! Scat!	Quit yellin' at me, bwoy! I don't know whut yer squawkin' about! Git outta mah face! G'wan witcha! Scat!
Hmmm. He seems just a slight bit defensive.	Hmmm. He seems just a slight bit defensive.
Shoot, bwoy, I wouldn't give yew a plugged nickel. Yew kin jus' go beggin' elsewheres.	Shoot, bwoy, I wouldn't give yew a plugged nickel. Yew kin jus' go beggin' elsewheres.
HEY HEY HEY! Tryin' to stab a Sheriff is grounds fer inkarserayshun!	HEY HEY HEY! Tryin' to stab a Sheriff is grounds fer inkarserayshun!
I was merely showing it to you.	I was merely showing it to you.
Well, criminey, bwoy, ah've seen ice picks before! Now vamoose, before I change muh mind and toss you in the hoosegow fer attemptin' to aerate an officer of the law!	Well, criminey, bwoy, ah've seen ice picks before! Now vamoose, before I change muh mind and toss you in the hoosegow fer attemptin' to aerate an officer of the law!
Walll, lookee whut yew got. Charcoal. Yew plannin' on makin' a homemade bomb, mebbe? Gonna blow up the Ol' Abandoned Mine or sumpin'? Fella kin get inna lotta trouble, messin' around with dynamite. Take yer hand right off.	Walll, lookee whut yew got. Charcoal. Yew plannin' on makin' a homemade bomb, mebbe? Gonna blow up the Ol' Abandoned Mine or sumpin'? Fella kin get inna lotta trouble, messin' around with dynamite. Take yer hand right off.
Here's some advice fer ya, friend-to-friend, guy. Don't go tryin' to make no dynamite. Find a peaceful use fer that charcoal. You'll breathe easier. 'Nuff said!	Here's some advice fer ya, friend-to-friend, guy. Don't go tryin' to make no dynamite. Find a peaceful use fer that charcoal. You'll breathe easier. 'Nuff said!
HAW HAW HYUK! If that ain't the PUNIEST lookin' whip I ever did see!	HAW HAW HYUK! If that ain't the PUNIEST lookin' whip I ever did see!
