Will not.	Will not.
Welp, Mister Bigshot Gunslinger, looks t'me like yer bark was worse'n yer bite. Wait'll I tell the Boss how easy I whupped your butt, yew sorry excuse for a hero. Now die here in the dirt like the puny li'l pig yew are! See ya in hell, pal! (VICIOUS LAUGH)	Welp, Mister Bigshot Gunslinger, looks t'me like yer bark was worse'n yer bite. Wait'll I tell the Boss how easy I whupped your butt, yew sorry excuse for a hero. Now die here in the dirt like the puny li'l pig yew are! See ya in hell, pal! (VICIOUS LAUGH)
He spits into the dust, and trudges off cockily.	He spits into the dust, and trudges off cockily.
Your eyes are getting heavy...	Your eyes are getting heavy...
You poke yourself in the eye. Nice going!	You poke yourself in the eye. Nice going!
A trickle of blood runs from your mouth.	A trickle of blood runs from your mouth.
Flubble-ubble-ubble-ubble!	Flubble-ubble-ubble-ubble!
Now that you've got THAT out of the way, do you think you could try to save yourself?	Now that you've got THAT out of the way, do you think you could try to save yourself?
This is your pharmacy. Where you work. Hence the name, "Pharkas' Pharmacy."	This is your pharmacy. Where you work. Hence the name, "Pharkas' Pharmacy."
You and that are not on speaking terms.	You and that are not on speaking terms.
Quit picking at everything. That's the sign of an obsessive/compulsive personality disorder. But, that's... okay.	Quit picking at everything. That's the sign of an obsessive/compulsive personality disorder. But, that's... okay.
This door leads to your back office, laboratory, and the stairs to the second floor.	This door leads to your back office, laboratory, and the stairs to the second floor.
You thought an Iced Cream Stand would attract customers. Mostly, it attracts cockroaches. Especially now that the Iced Cream deliveries have stopped.	You thought an Iced Cream Stand would attract customers. Mostly, it attracts cockroaches. Especially now that the Iced Cream deliveries have stopped.
Yes, you often feel like ripping this Iced Cream Stand down and binging on the dregs of the leftover toppings. But you have to watch your heroic, girlish figure.	Yes, you often feel like ripping this Iced Cream Stand down and binging on the dregs of the leftover toppings. But you have to watch your heroic, girlish figure.
Ahh, your Diploma from the University of Hicksville School of Apothecary Sciences and Other Good Guesses. The old alma mater. What memories!	Ahh, your Diploma from the University of Hicksville School of Apothecary Sciences and Other Good Guesses. The old alma mater. What memories!
But it's hung so well!	But it's hung so well!
The top shelf is where you keep all the newest, most scientifically advanced medications safe from shoplifters:	The top shelf is where you keep all the newest, most scientifically advanced medications safe from shoplifters:
You won't need that one.	You won't need that one.
Here on the second shelf, close at hand, is where you keep the most expensive medicines out of reach of the customers:	Here on the second shelf, close at hand, is where you keep the most expensive medicines out of reach of the customers:
NEW YORK CITY?!?!	NEW YORK CITY?!?!
Nope, won't need any of that particular one.	Nope, won't need any of that particular one.
The items on the top shelf here are one or two weeks past their expiration dates:	The items on the top shelf here are one or two weeks past their expiration dates:
You don't need any of these items, and even if you did, they've expired.	You don't need any of these items, and even if you did, they've expired.
On the lowermost shelf of this case, you keep slightly scratched, dented, or previously-used items:	On the lowermost shelf of this case, you keep slightly scratched, dented, or previously-used items:
Chemists who keep up on their trade journals (like you always mean to do) know that these preparations aren't worth the bottles they're bottled in.	Chemists who keep up on their trade journals (like you always mean to do) know that these preparations aren't worth the bottles they're bottled in.
On the middle shelf, you store discontinued items:	On the middle shelf, you store discontinued items:
Savvy druggists (like you) eschew the use of trashy medicinals like these.	Savvy druggists (like you) eschew the use of trashy medicinals like these.
Up on the top shelf here, you keep your overstock:	Up on the top shelf here, you keep your overstock:
Pharmacists in the know, like yourself, know that there's no value to these phony curatives. That doesn't stop you from selling them, though!	Pharmacists in the know, like yourself, know that there's no value to these phony curatives. That doesn't stop you from selling them, though!
This hand-painted sign adds a real touch of friendly, folksy atmosphere to the place. It also spells "Pharmacy" phonetically, inbreeding being as popular as it is around here.	This hand-painted sign adds a real touch of friendly, folksy atmosphere to the place. It also spells "Pharmacy" phonetically, inbreeding being as popular as it is around here.
Certainly you're desperate for a sign of some sort, but not THIS kind of sign.	Certainly you're desperate for a sign of some sort, but not THIS kind of sign.
It's the back counter where you, Freddy Pharkas, Frontier Pharmacist Extraordinaire, dispense your wares.	It's the back counter where you, Freddy Pharkas, Frontier Pharmacist Extraordinaire, dispense your wares.
There's nothing there to be taken. You keep your business tidy... which is easy to do when there ain't much business!	There's nothing there to be taken. You keep your business tidy... which is easy to do when there ain't much business!
The items on the second shelf are about a month past their saleable shelf life:	The items on the second shelf are about a month past their saleable shelf life:
You don't need any of these items, and even if you did, they're expired.	You don't need any of these items, and even if you did, they're expired.
The items on the third shelf are 3-4 months past their usable shelf life:	The items on the third shelf are 3-4 months past their usable shelf life:
The bottom shelf holds the items that are a year or more past their shelf lives, OR have been found to be poisonous and/or illegal, OR have inexplicably reproduced on their own:	The bottom shelf holds the items that are a year or more past their shelf lives, OR have been found to be poisonous and/or illegal, OR have inexplicably reproduced on their own:
You don't need to use any of these items, and even if you did, you'd expire.	You don't need to use any of these items, and even if you did, you'd expire.
You've always wanted a counter gate; now you have one. And now you know they're a pain in the butt.	You've always wanted a counter gate; now you have one. And now you know they're a pain in the butt.
Your overhead designer lamps are rarely used, since the pharmacy closes at sunset.	Your overhead designer lamps are rarely used, since the pharmacy closes at sunset.
No need to turn on the lamps. The dry rot gives off a dandy phosphorescent glow.	No need to turn on the lamps. The dry rot gives off a dandy phosphorescent glow.
That's another table upon which to display your many valuable patent medicines and innovative treatments.	That's another table upon which to display your many valuable patent medicines and innovative treatments.
It took you weeks to get the bottles arranged just so. Don't blow it now.	It took you weeks to get the bottles arranged just so. Don't blow it now.
This multi-instrument piano-roll-style juke machine is called a "Symphonium." Trouble is, the company that sold it to you went out of business after producing only one roll. And how many times can one person listen to "Does Your Chawin' Tobacco Lose Its Flavor On the Bedpost Overnight"?	This multi-instrument piano-roll-style juke machine is called a "Symphonium." Trouble is, the company that sold it to you went out of business after producing only one roll. And how many times can one person listen to "Does Your Chawin' Tobacco Lose Its Flavor On the Bedpost Overnight"?
The Symphonium hasn't worked since 1885, when old Manny Rivberg put his fist through it.	The Symphonium hasn't worked since 1885, when old Manny Rivberg put his fist through it.
"Ol' Manny Rivberg... That Ol' Manny Rivberg. He just keeps..."	"Ol' Manny Rivberg... That Ol' Manny Rivberg. He just keeps..."
That's enough! Say any more and we'll have to pay a royalty!	That's enough! Say any more and we'll have to pay a royalty!
Here, on top of your "Reduced!" table:	Here, on top of your "Reduced!" table:
Nope, that's not one of the pills, poultices or preparations you'll need.	Nope, that's not one of the pills, poultices or preparations you'll need.
On top of this cabinet, you have a stunningly arranged display of Old Snuffy's Limproot Hair Oil Creme (in the 8 oz., 16 oz., and Giant 64 oz. "Baby Huey" jars), as well as a few dusty boxes of Rustler's Stove Chocolates.	On top of this cabinet, you have a stunningly arranged display of Old Snuffy's Limproot Hair Oil Creme (in the 8 oz., 16 oz., and Giant 64 oz. "Baby Huey" jars), as well as a few dusty boxes of Rustler's Stove Chocolates.
You won't need any Limproot Hair Oil Creme or Rustler's Stove Chocolates today.	You won't need any Limproot Hair Oil Creme or Rustler's Stove Chocolates today.
On the upper shelf of the left-hand cabinet, you find:	On the upper shelf of the left-hand cabinet, you find:
You briefly consider shoplifting some of these items, but hey, you really already own them, so where's the excitement?	You briefly consider shoplifting some of these items, but hey, you really already own them, so where's the excitement?
On the bottom shelf of the left-hand cabinet are:	On the bottom shelf of the left-hand cabinet are:
You don't need any underarm oatmeal packs; you took care of THAT little problem this morning! And fortunately, you don't need any of this other stuff either!	You don't need any underarm oatmeal packs; you took care of THAT little problem this morning! And fortunately, you don't need any of this other stuff either!
It's the President's wife. She's the head of the "Just Say No to Ether" campaign.	It's the President's wife. She's the head of the "Just Say No to Ether" campaign.
Mrs. Cleveland, I just want you to know that your "Just Say No to Ether" campaign has really inspired me. I'm totally committed to wiping out anesthetic abuse in our lifetime.	Mrs. Cleveland, I just want you to know that your "Just Say No to Ether" campaign has really inspired me. I'm totally committed to wiping out anesthetic abuse in our lifetime.
Keep talking to photographs and you WILL be committed!	Keep talking to photographs and you WILL be committed!
Leave her where she is, as a shining beacon to all who gaze upon her serene countenance. (Incidentally, have you heard about her scandalous affair?)	Leave her where she is, as a shining beacon to all who gaze upon her serene countenance. (Incidentally, have you heard about her scandalous affair?)
It's Saint Joseph, patron saint of chewable aspirin.	It's Saint Joseph, patron saint of chewable aspirin.
If you pick it up, all the luck will run out of the bottom.	If you pick it up, all the luck will run out of the bottom.
This bottle is filled with this century's most incredible medical breakthrough.	This bottle is filled with this century's most incredible medical breakthrough.
You won't be needing any leeches in this game.	You won't be needing any leeches in this game.
Back then, this is what was known as a "support system."	Back then, this is what was known as a "support system."
Seems sturdy enough... for now.	Seems sturdy enough... for now.
This sign clearly lets the townsfolk know that the prescription counter is in the back of the store.	This sign clearly lets the townsfolk know that the prescription counter is in the back of the store.
Someday, maybe there'll be a glass tube there, bent in the shape of the word "Prescription," filled with a rare gas that will glow in brilliant colors. Wouldn't that be wonderful? Boy, that'd make people actually WANT to buy drugs!	Someday, maybe there'll be a glass tube there, bent in the shape of the word "Prescription," filled with a rare gas that will glow in brilliant colors. Wouldn't that be wonderful? Boy, that'd make people actually WANT to buy drugs!
We were going to put in this elaborate animation of you touching the giant finger, like the creation mural on the ceiling of the Sistine Chapel depicting God touching Adam's finger with lightning bolts crackling all around. But, screw it.	We were going to put in this elaborate animation of you touching the giant finger, like the creation mural on the ceiling of the Sistine Chapel depicting God touching Adam's finger with lightning bolts crackling all around. But, screw it.
Thisi is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS provided by Crate & Whisky Keg.)	Thisi is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS provided by Crate & Whisky Keg.)
They're already arranged in a pleasing yet sales-conducive manner.	They're already arranged in a pleasing yet sales-conducive manner.
This is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS, FRONTIER PHARMACIST provided by Crate & Whisky Keg.)	This is a deluxe shelving unit, featuring polished mahogany inlays, filigreed endcaps, extra-wide midheight shelf and no-skid recessed legs. (Shelving units for FREDDY PHARKAS, FRONTIER PHARMACIST provided by Crate & Whisky Keg.)
On the upper shelf of the right display case, you keep some of your hot sellers:	On the upper shelf of the right display case, you keep some of your hot sellers:
Your survival instincts narrowly prevent you from using any of the items on this shelf.	Your survival instincts narrowly prevent you from using any of the items on this shelf.
On the lower shelf of the right display case, you keep some old, reliable, steady sellers:	On the lower shelf of the right display case, you keep some old, reliable, steady sellers:
You wouldn't recommend any of these preparations to your worst enemy.	You wouldn't recommend any of these preparations to your worst enemy.
Hey, Pharkas! M'butt's killin' me.	Hey, Pharkas! M'butt's killin' me.
He does know how to make an entrance, doesn't he?	He does know how to make an entrance, doesn't he?
Sorry to hear that, Smithie.	Sorry to hear that, Smithie.
Yeah, so gimme some o' dat Preparation G.	Yeah, so gimme some o' dat Preparation G.
It's Smithie the Blacksmith, owner of Smithie's Blacksmith and a durned clever fellow. He seems to be in pain.	It's Smithie the Blacksmith, owner of Smithie's Blacksmith and a durned clever fellow. He seems to be in pain.
Why not your usual six-pack of liniment, Smithie?	Why not your usual six-pack of liniment, Smithie?
Wall, Mr. Pharkas, I'ma fixin' to take a long ride. I'ma gonna leave town. The Sheriff shut me down for operatin' without a Smithie License, whutever the hell that is. So I sold that lousy property offn to that cheap snake of a banker, P. H. Balance, down to the Bank of Bob. And good riddance, sez I!	Wall, Mr. Pharkas, I'ma fixin' to take a long ride. I'ma gonna leave town. The Sheriff shut me down for operatin' without a Smithie License, whutever the hell that is. So I sold that lousy property offn to that cheap snake of a banker, P. H. Balance, down to the Bank of Bob. And good riddance, sez I!
I'll be sorry to see y'all go, Smithie.	I'll be sorry to see y'all go, Smithie.
Yeah, well, this town's goin' ta hell in a hand-me-down, anyway. Sumpthin's wrong with them horses out there, they's pooting up a storm. Cain't hardly take the smell, I wuz like to pass out around there!	Yeah, well, this town's goin' ta hell in a hand-me-down, anyway. Sumpthin's wrong with them horses out there, they's pooting up a storm. Cain't hardly take the smell, I wuz like to pass out around there!
That ain't whut I come in here fer! C'mon, Pharkas, I'm itchin' to blow this taco stand. Gimmee my Preparation G, willya?	That ain't whut I come in here fer! C'mon, Pharkas, I'm itchin' to blow this taco stand. Gimmee my Preparation G, willya?
Frederick!	Frederick!
Thank you, Frederick, this looks perfect! You are a scholar and a gentleman.	Thank you, Frederick, this looks perfect! You are a scholar and a gentleman.
Shucks, I'm just a poor pharmacist tryin' to please m' favorite customer. Will I see you again soon?	Shucks, I'm just a poor pharmacist tryin' to please m' favorite customer. Will I see you again soon?
I think that can be arranged, Frederick. See you soon.	I think that can be arranged, Frederick. See you soon.
I'll be waiting. S'long, now, Penelope.	I'll be waiting. S'long, now, Penelope.
Why, Miss Primm, you sure are lookin' purty today!	Why, Miss Primm, you sure are lookin' purty today!
Now, Frederick, you can call me Penelope if you please. After all, I think we're... to that point in our relationship.	Now, Frederick, you can call me Penelope if you please. After all, I think we're... to that point in our relationship.
She must be talking about the hayride you both went on last month... or the square dance you both went to last week... or the cow-tipping expedition you both went on last night!	She must be talking about the hayride you both went on last month... or the square dance you both went to last week... or the cow-tipping expedition you both went on last night!
Well, then, to what do I owe the pleasure of your company this fine morning?	Well, then, to what do I owe the pleasure of your company this fine morning?
This isn't a social call, I'm afraid. I have this rather important prescription Doc Gillespie gave me. I was hoping you could fill it as soon as possible.	This isn't a social call, I'm afraid. I have this rather important prescription Doc Gillespie gave me. I was hoping you could fill it as soon as possible.
My pleasure, Penelope.	My pleasure, Penelope.
I apologize for the scruffiness of the Prescription. Doctor Gillespie was in his cups again.	I apologize for the scruffiness of the Prescription. Doctor Gillespie was in his cups again.
No trouble, Penelope, that's as usual.	No trouble, Penelope, that's as usual.
I'll just wait right here if you don't mind, Frederick.	I'll just wait right here if you don't mind, Frederick.
Well now, I admit you're somewhat of a distraction to me, Penelope, but I'll do m'best!	Well now, I admit you're somewhat of a distraction to me, Penelope, but I'll do m'best!
Penelope hands you the prescription.	Penelope hands you the prescription.
Penelope! It's so good to see you again!	Penelope! It's so good to see you again!
I'm afraid this isn't good news, Frederick. This prescription you filled for me?	I'm afraid this isn't good news, Frederick. This prescription you filled for me?
Yes? What about it?	Yes? What about it?
Well, one of the children tasted a bit -- just a bit, mind you, on the tip of his finger, just to see what it tasted like.	Well, one of the children tasted a bit -- just a bit, mind you, on the tip of his finger, just to see what it tasted like.
And?	And?
I had to send him home. Chills, fever, bloody stool, the whole thing. I do hate to be a pest, but I'm terrified that this may be incorrectly prepared. Could you take another look at it?	I had to send him home. Chills, fever, bloody stool, the whole thing. I do hate to be a pest, but I'm terrified that this may be incorrectly prepared. Could you take another look at it?
For you... anything.	For you... anything.
Unfortunately, you were so taken with Penelope's angelic presence that you forgot to charge her the 19 cents she owed you!	Unfortunately, you were so taken with Penelope's angelic presence that you forgot to charge her the 19 cents she owed you!
Frederick! Oh, Frederick!	Frederick! Oh, Frederick!
Penelope, dearest! My heart leaps at seeing you in my humble store again.	Penelope, dearest! My heart leaps at seeing you in my humble store again.
I'm afraid it's not a happy occasion, Frederick. This prescription seems letter-perfect, except for the amount. Can you take another look at it? I'd hate for either one of us to be cheated.	I'm afraid it's not a happy occasion, Frederick. This prescription seems letter-perfect, except for the amount. Can you take another look at it? I'd hate for either one of us to be cheated.
Goodness! I'll remake it right away, Penelope, and I'll get it perfect. This time, for sure! Wait right here.	Goodness! I'll remake it right away, Penelope, and I'll get it perfect. This time, for sure! Wait right here.
It's Penelope, the love of your life! Right here in your very own pharmacy! And she's as beautiful as the day she stepped off the stage!	It's Penelope, the love of your life! Right here in your very own pharmacy! And she's as beautiful as the day she stepped off the stage!
I sure have been having a swell time with you these past few weeks, Penelope!	I sure have been having a swell time with you these past few weeks, Penelope!
Why, thank you, Frederick. I have, too.	Why, thank you, Frederick. I have, too.
I do believe I have a... a growing... uh... a growing AFFECTION for you!	I do believe I have a... a growing... uh... a growing AFFECTION for you!
That's sweet of you, Frederick. I think you're very cute... for a pharmacist, that is. Considering that you've only got one ear. And you're scrawnier than the other men around town.	That's sweet of you, Frederick. I think you're very cute... for a pharmacist, that is. Considering that you've only got one ear. And you're scrawnier than the other men around town.
(TO SELF) She thinks I'm cute! She thinks I'm cute!	(TO SELF) She thinks I'm cute! She thinks I'm cute!
How's school, Penelope?	How's school, Penelope?
Oh, how I love filling those impressionable young minds with knowledge, their eager faces turned upward in the quest to learn. It's so satisfying!	Oh, how I love filling those impressionable young minds with knowledge, their eager faces turned upward in the quest to learn. It's so satisfying!
I was wondering if you were going to go to the Rotary Club luncheon next week, and if so, if you had anybody else to go with.	I was wondering if you were going to go to the Rotary Club luncheon next week, and if so, if you had anybody else to go with.
Forgive me, Frederick, I do so hate to be short with you, but I DO need this prescription... otherwise I'd love to stay and chat. Please don't think me impertinent!	Forgive me, Frederick, I do so hate to be short with you, but I DO need this prescription... otherwise I'd love to stay and chat. Please don't think me impertinent!
Not at all, it's my fault for prattling on so. I'll get right to it.	Not at all, it's my fault for prattling on so. I'll get right to it.
I really can't wait to get my ha...	I really can't wait to get my ha...
Frederick, |c2|please!|c| I need to get back to school as soon as possible!	Frederick, |c2|please!|c| I need to get back to school as soon as possible!
Of course, of course, of course. Right away, Penelope.	Of course, of course, of course. Right away, Penelope.
Please, Frederick! Not in public! And not in broad daylight! And never, ever before our nineteenth date!	Please, Frederick! Not in public! And not in broad daylight! And never, ever before our nineteenth date!
I'm sorry, Frederick, I'm only interested in picking up my prescription just now. I'll be happy to look at your toys any other time!	I'm sorry, Frederick, I'm only interested in picking up my prescription just now. I'll be happy to look at your toys any other time!
Yes, Frederick, it's my prescription. Do you think you could fill it for me?	Yes, Frederick, it's my prescription. Do you think you could fill it for me?
If I'm any sort of a pharmacist, I should be able to. I'm not sure what's taking me so long.	If I'm any sort of a pharmacist, I should be able to. I'm not sure what's taking me so long.
Good day, Freddy... Freddy Pharkas!	Good day, Freddy... Freddy Pharkas!
That's better, Freddy Pharkas.	That's better, Freddy Pharkas.
That'll be 22 cents, Miss Back.	That'll be 22 cents, Miss Back.
Put it on my tab, I don't have it with me right now.	Put it on my tab, I don't have it with me right now.
Well, g'day to you, Ms. Back! What can I do for you today?	Well, g'day to you, Ms. Back! What can I do for you today?
Well, Freddy Pharkas, Doc Gillespie, that no-good, gin-soaked sodden ol' lush, wrote me this damn prescription that'll probably cost me an arm and a leg. Here. Take this prescription, the rotgut from that old wino doctor is making my new ensemble stink to high heaven.	Well, Freddy Pharkas, Doc Gillespie, that no-good, gin-soaked sodden ol' lush, wrote me this damn prescription that'll probably cost me an arm and a leg. Here. Take this prescription, the rotgut from that old wino doctor is making my new ensemble stink to high heaven.
Mr. Pharkas!	Mr. Pharkas!
Yes, Helen?	Yes, Helen?
I accidentally gave a bit of this so-called "medicine" to one of my pets. AND IT DIED! Obviously, this is not fit for consumption. Now take back my prescription and get it RIGHT this time. Or you'll feel the wrath of my handbag!	I accidentally gave a bit of this so-called "medicine" to one of my pets. AND IT DIED! Obviously, this is not fit for consumption. Now take back my prescription and get it RIGHT this time. Or you'll feel the wrath of my handbag!
I'm so sorry, Ms. Back. I'll take another stab at it, and I'll remove the charge from your tab until I get it right.	I'm so sorry, Ms. Back. I'll take another stab at it, and I'll remove the charge from your tab until I get it right.
Humph!	Humph!
Frederick Pharkas!	Frederick Pharkas!
Yes, Mom? What can I do for you now?	Yes, Mom? What can I do for you now?
Are you trying to pull the sheep over my eyes?	Are you trying to pull the sheep over my eyes?
Huh?	Huh?
This prescription! Oh, the medication seems just fine, but the quantity is wrong. I want exactly how much is prescribed, no more, no less. Is that understood?	This prescription! Oh, the medication seems just fine, but the quantity is wrong. I want exactly how much is prescribed, no more, no less. Is that understood?
