You must first place the balance pan on the balance.	You must first place the balance pan on the balance.
You don't really need those grooming aids, you're a Western-style hero. Your hair is always in place and your gums are always sparkling pink.	You don't really need those grooming aids, you're a Western-style hero. Your hair is always in place and your gums are always sparkling pink.
Your grooming aids:	Your grooming aids:
This is no time to sit and read books. You're in the middle of a stirring saga of the Old West!	This is no time to sit and read books. You're in the middle of a stirring saga of the Old West!
A lovely old glass-fronted bookcase, containing some of your favorite leisure-time reading material:	A lovely old glass-fronted bookcase, containing some of your favorite leisure-time reading material:
Now let's see. Where wuz I? Oh, that's right. Madame Ovaree begged and pleaded with Freddy to either leave town or take up his ol' gunslingin' ways, sumpthin' which Freddy was just a mite reluctant to consider. So they decided to sleep on it, and though they didn't get much sleep, Freddy did mull it over somewhat.	Now let's see. Where wuz I? Oh, that's right. Madame Ovaree begged and pleaded with Freddy to either leave town or take up his ol' gunslingin' ways, sumpthin' which Freddy was just a mite reluctant to consider. So they decided to sleep on it, and though they didn't get much sleep, Freddy did mull it over somewhat.
Penelope... Coarsegold... Madame Ovaree...	Penelope... Coarsegold... Madame Ovaree...
<cough cough>	<cough cough>
It's been so long since you moved this chair, it seems to have become one with the floor. How zen!	It's been so long since you moved this chair, it seems to have become one with the floor. How zen!
You ran across this desk chair outside the General Store. In so doing, you tripped and knocked out two teeth. You threatened to sue the owner, but he placated you by giving you this fine chair to keep.	You ran across this desk chair outside the General Store. In so doing, you tripped and knocked out two teeth. You threatened to sue the owner, but he placated you by giving you this fine chair to keep.
You pick up the claim check, your hand trembling with the memory of the last time you wore the boots that you traded for it... that monster, Kenny the Kid, looking down at you and laughing as your ear bled in the hot sun...	You pick up the claim check, your hand trembling with the memory of the last time you wore the boots that you traded for it... that monster, Kenny the Kid, looking down at you and laughing as your ear bled in the hot sun...
It's a claim check... for a pair of boots! Your old cowboy boots from... the Before Time? Before "The Accident?" Could it be?? That's what you get for not opening this drawer for the past decade.	It's a claim check... for a pair of boots! Your old cowboy boots from... the Before Time? Before "The Accident?" Could it be?? That's what you get for not opening this drawer for the past decade.
This side of the armoire doesn't open. It must've been built by the same yahoo that built the outhouse by ReBoot Hill!	This side of the armoire doesn't open. It must've been built by the same yahoo that built the outhouse by ReBoot Hill!
You picked up this old armoire at the farmer's market. It gave you a hernia. So instead of paying the doctor's bills, the owner let you keep it.	You picked up this old armoire at the farmer's market. It gave you a hernia. So instead of paying the doctor's bills, the owner let you keep it.
Look, your closet full of pharmacist duds.	Look, your closet full of pharmacist duds.
The armoire door is wide open, displaying your outfits for all the world to see and admire.	The armoire door is wide open, displaying your outfits for all the world to see and admire.
The drawer at the base of your armoire is empty, except for a few stray black widows.	The drawer at the base of your armoire is empty, except for a few stray black widows.
It's the open drawer of your armoire, currently exceedingly empty and devoid of stuff.	It's the open drawer of your armoire, currently exceedingly empty and devoid of stuff.
You take your old gunslinger clothes and your "Good Guy Model" Stetson hat.	You take your old gunslinger clothes and your "Good Guy Model" Stetson hat.
Your old hat and gunslinging outfit! And ... mmmm! ... it smells of camphor!	Your old hat and gunslinging outfit! And ... mmmm! ... it smells of camphor!
You take the key.	You take the key.
Hot dawg, now we're gettin' somewhere.	Hot dawg, now we're gettin' somewhere.
It's a key! Hot dawg, now we're gettin' somewhere.	It's a key! Hot dawg, now we're gettin' somewhere.
The dresser is artistically placed as it is. No need to move it.	The dresser is artistically placed as it is. No need to move it.
You stumbled onto this big ol' dresser at a moving sale. And broke your toe. So rather than pay to have your toe fixed, the owner let you keep the dresser. In fact, you get ALL your furniture by accident!	You stumbled onto this big ol' dresser at a moving sale. And broke your toe. So rather than pay to have your toe fixed, the owner let you keep the dresser. In fact, you get ALL your furniture by accident!
You'll hafta close the dresser drawer before you can do that. Damn these one-bedroom apartments.	You'll hafta close the dresser drawer before you can do that. Damn these one-bedroom apartments.
The drawer is empty, save for a few cobwebs, dust balls, and dead gnats. If you had some socks and underwear in there, they'd need washing pretty badly.	The drawer is empty, save for a few cobwebs, dust balls, and dead gnats. If you had some socks and underwear in there, they'd need washing pretty badly.
There you are, Freddy Pharkas, you are mostly indeed a picture of stately mysterious strangerness. Nobody will be positive to recognize you any now.	There you are, Freddy Pharkas, you are mostly indeed a picture of stately mysterious strangerness. Nobody will be positive to recognize you any now.
Thanks for your help, Srini. Coarsegold owes you a debt of gratitude it can never repay. If anyone asks, Freddy Pharkas has left town. And if I don't come out of this alive, the Pharmacy is yours.	Thanks for your help, Srini. Coarsegold owes you a debt of gratitude it can never repay. If anyone asks, Freddy Pharkas has left town. And if I don't come out of this alive, the Pharmacy is yours.
That is of a true generous nature you are displaying, Freddy Pharkas. As for me, I would like to open a pharmacy on the reservation among my people. But whether that is fated to be or not is in the hands of someone who is not I. Luck be with you, Freddy Pharkas. I am proud now.	That is of a true generous nature you are displaying, Freddy Pharkas. As for me, I would like to open a pharmacy on the reservation among my people. But whether that is fated to be or not is in the hands of someone who is not I. Luck be with you, Freddy Pharkas. I am proud now.
With your boots, your clothes, your guns cleaned and loaded, your silver ear, and your lucky neckerchief, you're ready to get dressed and assume your identity as the Gunslingin' Stranger. You return to your penthouse suite, high atop the glittering Pharkas Pharmacy in Beautiful Downtown Coarsegold.	With your boots, your clothes, your guns cleaned and loaded, your silver ear, and your lucky neckerchief, you're ready to get dressed and assume your identity as the Gunslingin' Stranger. You return to your penthouse suite, high atop the glittering Pharkas Pharmacy in Beautiful Downtown Coarsegold.
It's a reading lamp. Don't bother it while it's reading.	It's a reading lamp. Don't bother it while it's reading.
While browsing at a second-hand store, you were struck by this particularly sturdy reading lamp. The result was a mild concussion. The guy who'd accidentally dropped it out of the second-story window was very apologetic, and rather than pay for the skull surgery, offered to let you take the lamp home with you.	While browsing at a second-hand store, you were struck by this particularly sturdy reading lamp. The result was a mild concussion. The guy who'd accidentally dropped it out of the second-story window was very apologetic, and rather than pay for the skull surgery, offered to let you take the lamp home with you.
There's nothing under there but more moose.	There's nothing under there but more moose.
Your authentic moose-skin rug looks very attractive with those eyeglasses on it! It would've been a mite less lumpy if somebody'd remembered to skin the moose first.	Your authentic moose-skin rug looks very attractive with those eyeglasses on it! It would've been a mite less lumpy if somebody'd remembered to skin the moose first.
There's nothing left in the drawer you can use.	There's nothing left in the drawer you can use.
You've got nowhere to take it.	You've got nowhere to take it.
While window-shopping in Chowchilla, your eye fell on this plain but serviceable nightstand. They got your eye back in, but the owner didn't want to touch the nightstand anymore. He let you keep it.	While window-shopping in Chowchilla, your eye fell on this plain but serviceable nightstand. They got your eye back in, but the owner didn't want to touch the nightstand anymore. He let you keep it.
Don't move it, it's covering up the results of a failed experiment involving Madame Ovaree, a dog, a melon and a Tibetan hanging basket.	Don't move it, it's covering up the results of a failed experiment involving Madame Ovaree, a dog, a melon and a Tibetan hanging basket.
A small picture of your Mother, rest her soul. If only she could have lived to see you now: an ex-gunslinging pharmacist in Coarsegold, California. She'd have had a heart attack and died.	A small picture of your Mother, rest her soul. If only she could have lived to see you now: an ex-gunslinging pharmacist in Coarsegold, California. She'd have had a heart attack and died.
Sturdy timbers. Solid construction. Indoor plumbing. Any of those would be an improvement!	Sturdy timbers. Solid construction. Indoor plumbing. Any of those would be an improvement!
This is your cozy li'l bedroom.	This is your cozy li'l bedroom.
I wonder how this would look if I added a little paneling?	I wonder how this would look if I added a little paneling?
You usually try to avoid talking to your surroundings.	You usually try to avoid talking to your surroundings.
FIRE! FIRE! Freddy Pharkas, please come urgently!	FIRE! FIRE! Freddy Pharkas, please come urgently!
Whu... what's wrong, Srini?	Whu... what's wrong, Srini?
A tragedy is becoming!! The Assay Office is aflame! She is burning with a might most severe! The Pharmacy may be next alighted! Get dressed as soon as possible!	A tragedy is becoming!! The Assay Office is aflame! She is burning with a might most severe! The Pharmacy may be next alighted! Get dressed as soon as possible!
I am dressed. I don't own pajamas.	I am dressed. I don't own pajamas.
Take mine! No, wait, there is not time to perform such an effort. Just hurry and scheme in such a way so as to extinguish the most threatening fire!	Take mine! No, wait, there is not time to perform such an effort. Just hurry and scheme in such a way so as to extinguish the most threatening fire!
You can only take the stairs up or down. You can't take them anywhere else.	You can only take the stairs up or down. You can't take them anywhere else.
The stairs lead down to your back office.	The stairs lead down to your back office.
Careful, that trunk is DANGEROUS! And you've got the scars to prove it.	Careful, that trunk is DANGEROUS! And you've got the scars to prove it.
Your Dad unloaded his old vaudeville trunk on you. Not on purpose, though; he didn't know you were standing underneath when he unloaded it off the top of the stagecoach. Ever since then, you've had brief blackouts. But what the hey? Free trunk, right?	Your Dad unloaded his old vaudeville trunk on you. Not on purpose, though; he didn't know you were standing underneath when he unloaded it off the top of the stagecoach. Ever since then, you've had brief blackouts. But what the hey? Free trunk, right?
You need to close the armoire first. What do you think this is, the Embassy Suites?	You need to close the armoire first. What do you think this is, the Embassy Suites?
There is nothing more in your trunk.	There is nothing more in your trunk.
Salvatore O'Hanahan, town barber/dentist/bootblack, is hard at work on his customer, Eb Sorbeen, Jr. Salvatore also happens to be the only Irish-Italian in town!	Salvatore O'Hanahan, town barber/dentist/bootblack, is hard at work on his customer, Eb Sorbeen, Jr. Salvatore also happens to be the only Irish-Italian in town!
Salvatore O'Hanahan is taking a moment to sing a few bars from "The Barber of Seville."	Salvatore O'Hanahan is taking a moment to sing a few bars from "The Barber of Seville."
How's business, Sal? Seems like you always have a customer these days.	How's business, Sal? Seems like you always have a customer these days.
Notta so good, Freddy. My earnings are up, butta ma profits are down!	Notta so good, Freddy. My earnings are up, butta ma profits are down!
That's too bad, Sal. Do you have any ideas about how to increase business?	That's too bad, Sal. Do you have any ideas about how to increase business?
Well, ah do have one idea. I've been thinkin' 'bout providin' dirty reading material for ma customers ta read whilst they wait.	Well, ah do have one idea. I've been thinkin' 'bout providin' dirty reading material for ma customers ta read whilst they wait.
But your customers are illiterate!	But your customers are illiterate!
Yup, an' they cain't read so good neither!	Yup, an' they cain't read so good neither!
Howdy, Sal! How's things?	Howdy, Sal! How's things?
I canna complain, Freddy! I'm-a gettin' plenty business.	I canna complain, Freddy! I'm-a gettin' plenty business.
Did you notice that the Hotel's been shut down?	Did you notice that the Hotel's been shut down?
Yeah, I noticed that this-a morning! What's up with THAT? Who'sa-da genius who came up with THAT?	Yeah, I noticed that this-a morning! What's up with THAT? Who'sa-da genius who came up with THAT?
Well, if you hear anything about it, let me know, willya?	Well, if you hear anything about it, let me know, willya?
Hey, you got it, Freddy! Anna same to you! You hear anything, you letta me know! I be right here, uppa to my arms in this guy's head!	Hey, you got it, Freddy! Anna same to you! You hear anything, you letta me know! I be right here, uppa to my arms in this guy's head!
Sal...	Sal...
Gimme a break, Freddy! I gotta customers. Don't you gotta customers?	Gimme a break, Freddy! I gotta customers. Don't you gotta customers?
Well, I suppose so.	Well, I suppose so.
Then do me a favor, hokay? You come-a back when you gotta news, hokay? I gotta make some headway onna this guy! Hey! I made a funny! "Gotta make some headway." Get it? Get it?	Then do me a favor, hokay? You come-a back when you gotta news, hokay? I gotta make some headway onna this guy! Hey! I made a funny! "Gotta make some headway." Get it? Get it?
Got it.	Got it.
Good!	Good!
Sal, all hell has broken loose.	Sal, all hell has broken loose.
What's-a da problem, Freddy, me lad?	What's-a da problem, Freddy, me lad?
The Sheriff shut down Smithie. Then he shut me down, too. Some crap about being a fire hazard.	The Sheriff shut down Smithie. Then he shut me down, too. Some crap about being a fire hazard.
Say it ain't so, Freddy!	Say it ain't so, Freddy!
'Fraid so, Sal. And if that weren't bad enough, the whole town's bein' gassed by flatulent horses. Someone must've poisoned the horse's feed.	'Fraid so, Sal. And if that weren't bad enough, the whole town's bein' gassed by flatulent horses. Someone must've poisoned the horse's feed.
Tell-a me about it! I been stuffin' hair in the door jamb, tryin' to keep the stench out! You gotta do sumpin', Freddy!	Tell-a me about it! I been stuffin' hair in the door jamb, tryin' to keep the stench out! You gotta do sumpin', Freddy!
But... but I'm just a pharmacist!	But... but I'm just a pharmacist!
Yes, and the horses, they just have gas, right? So do sumpin' about it!	Yes, and the horses, they just have gas, right? So do sumpin' about it!
OK! I'm thinking, I'm thinking!	OK! I'm thinking, I'm thinking!
You can breathe easier now, Sal. I took care of that problem with the horses. Turns out somebody put lentils in the feed! Ever hear of anything so dastardly?	You can breathe easier now, Sal. I took care of that problem with the horses. Turns out somebody put lentils in the feed! Ever hear of anything so dastardly?
Atsa devious alright, Freddy! But now whatta ya gonna do about that-a stampede headin' for town?	Atsa devious alright, Freddy! But now whatta ya gonna do about that-a stampede headin' for town?
What am I gonna do about it? Why is it always ME?	What am I gonna do about it? Why is it always ME?
Sure 'n yer the smart one, Freddy Pharkas... the one in control, the one we're all watchin' and countin' on. You're the protagonist here, the rest of us are just extras. Now go be a bonnie lad and STOP THAT STAMPEDE!	Sure 'n yer the smart one, Freddy Pharkas... the one in control, the one we're all watchin' and countin' on. You're the protagonist here, the rest of us are just extras. Now go be a bonnie lad and STOP THAT STAMPEDE!
Sal! Great news! I derailed the snail stampede. Those snails are history.	Sal! Great news! I derailed the snail stampede. Those snails are history.
Atsa my boy! Your mama mus' be so proud.	Atsa my boy! Your mama mus' be so proud.
Now if I can just figure out WHAT'S going on in town... and how to get an Indian off an anthill!	Now if I can just figure out WHAT'S going on in town... and how to get an Indian off an anthill!
Well, the former problem, she sounds like-a very tough problem. But the latter problem, she sounds pretty easy!	Well, the former problem, she sounds like-a very tough problem. But the latter problem, she sounds pretty easy!
Congratulate me, Sal. I've got an assistant now!	Congratulate me, Sal. I've got an assistant now!
So I hear! Now mebbe you can do somethin' about the town's water supply, eh?	So I hear! Now mebbe you can do somethin' about the town's water supply, eh?
One thing at a time! I'm on the case, okay?	One thing at a time! I'm on the case, okay?
Sal, I'm heading out of town for a while.	Sal, I'm heading out of town for a while.
But you were doing such a good job, m'lad! Fixin' the water supply, puttin' out the fire... we need ye, Freddy!	But you were doing such a good job, m'lad! Fixin' the water supply, puttin' out the fire... we need ye, Freddy!
I know, but now the Sheriff and the Banker are out to get me. It's not safe for me in town any more.	I know, but now the Sheriff and the Banker are out to get me. It's not safe for me in town any more.
You wan' me to talk to 'em for you? Maybe Salvatore throws his weight around a li'l, eh?	You wan' me to talk to 'em for you? Maybe Salvatore throws his weight around a li'l, eh?
No, no, no. It's not worth the trouble. I'll be back, Sal. And if I'm not... you take care.	No, no, no. It's not worth the trouble. I'll be back, Sal. And if I'm not... you take care.
'Ay, you take care, too, you a nize boy.	'Ay, you take care, too, you a nize boy.
Hey, I put a fire out last night and saved the town. Proud of me?	Hey, I put a fire out last night and saved the town. Proud of me?
Of course I'm proud of you!	Of course I'm proud of you!
Hey, Sal!	Hey, Sal!
'Ey, that's Salvatore to you, stranger. What can I do for ye?	'Ey, that's Salvatore to you, stranger. What can I do for ye?
Oh... that's right... um... I was here for a teeth cleanin'.	Oh... that's right... um... I was here for a teeth cleanin'.
Sorry, I gotta customer gettin' "The Works." That's gonna take all day.	Sorry, I gotta customer gettin' "The Works." That's gonna take all day.
Oh, no! He found an "All Day" sucker!	Oh, no! He found an "All Day" sucker!
Don't go out on the street, now, Salvatore! There's a lot of shootin' and nastiness goin' on out there!	Don't go out on the street, now, Salvatore! There's a lot of shootin' and nastiness goin' on out there!
Thanks for the warnin', stranger! Much obliged!	Thanks for the warnin', stranger! Much obliged!
(MUTTERING) |c1|'ey, hands off while I'm a-workin' onna this guy!|c|	(MUTTERING) |c1|'ey, hands off while I'm a-workin' onna this guy!|c|
Salvatore sings away, unmindful of your poking and prodding.	Salvatore sings away, unmindful of your poking and prodding.
Ah, no thankee, lad. I had a wee bit of that stuff last night, anna whoo boy, I'm-a payin' today.	Ah, no thankee, lad. I had a wee bit of that stuff last night, anna whoo boy, I'm-a payin' today.
I don't know nuttin' about fillin' no prescriptions, Miz Scarl... I meanna, Freddy!	I don't know nuttin' about fillin' no prescriptions, Miz Scarl... I meanna, Freddy!
Not awhile I'm a-workin', Freddy! I wouldn't want to be operatin' heavy machinery like this chair while under the influence, now, would I?	Not awhile I'm a-workin', Freddy! I wouldn't want to be operatin' heavy machinery like this chair while under the influence, now, would I?
Nice job, Freddy! I hope you gotta big points for that!	Nice job, Freddy! I hope you gotta big points for that!
Yepper!	Yepper!
I wish I'd-a thoughta that.	I wish I'd-a thoughta that.
Atsa nice offer, Freddy, butta my hemors aren't a-rhoiding.	Atsa nice offer, Freddy, butta my hemors aren't a-rhoiding.
I'm-a not drinkin' beer, it throws off my clippin'.	I'm-a not drinkin' beer, it throws off my clippin'.
It's water, not beer.	It's water, not beer.
Ho, you thinkin' I'm-a just born offa da boat? I can tell-a da difference between water anna beer. I just lookit the label!	Ho, you thinkin' I'm-a just born offa da boat? I can tell-a da difference between water anna beer. I just lookit the label!
You no needa my charity, Freddy. You doin' hokay.	You no needa my charity, Freddy. You doin' hokay.
Say, that thing, she's-a sharper than mosta my dental instruments! You wanna trade for ol' rusty drill?	Say, that thing, she's-a sharper than mosta my dental instruments! You wanna trade for ol' rusty drill?
Nah, I don't think so. Thanks for the offer, though.	Nah, I don't think so. Thanks for the offer, though.
Some nize chunks-a charcoal. You wouldn't be takin' 'em from the Blacksmith's forge, would ya now, laddie-a?	Some nize chunks-a charcoal. You wouldn't be takin' 'em from the Blacksmith's forge, would ya now, laddie-a?
Smithie's gone, Sal. He hit the trail.	Smithie's gone, Sal. He hit the trail.
Oh, I'm-a sorry to see 'em go... him bein' such a fine broth of a smithie, too.	Oh, I'm-a sorry to see 'em go... him bein' such a fine broth of a smithie, too.
'Atsa nice strop! Good for sharpenin' blades! But I gotta whetstone, I no needa da strop. Thanks anyways!	'Atsa nice strop! Good for sharpenin' blades! But I gotta whetstone, I no needa da strop. Thanks anyways!
I'm-a not needin' that gas mask, laddie, as long as I'm-a stayin' inside!	I'm-a not needin' that gas mask, laddie, as long as I'm-a stayin' inside!
Don't be givin' it to me, lad. I'm-a not have any problems inna da lower regions!	Don't be givin' it to me, lad. I'm-a not have any problems inna da lower regions!
I don't needa da snails. I'm-a da vegetarian.	I don't needa da snails. I'm-a da vegetarian.
'Atsa not necessary, Freddy. You don't owe me any money! You haven't been in for a haircut or tooth job for months!	'Atsa not necessary, Freddy. You don't owe me any money! You haven't been in for a haircut or tooth job for months!
No-tanka you, Freddy, lad! You gotta Chianti?	No-tanka you, Freddy, lad! You gotta Chianti?
Nope... sorry.	Nope... sorry.
Too bad. 'Ow about a wee bit o' whisky, then?	Too bad. 'Ow about a wee bit o' whisky, then?
Sorry, none of the hard stuff.	Sorry, none of the hard stuff.
Atsa always the way, eh? Same all over.	Atsa always the way, eh? Same all over.
Sorry, this-a week I only accept aluminum.	Sorry, this-a week I only accept aluminum.
Sure 'n that key notta belongin' to me!	Sure 'n that key notta belongin' to me!
What, you wanna climb uppa me? Wanna see the toppa my head? Wotsa big deal?	What, you wanna climb uppa me? Wanna see the toppa my head? Wotsa big deal?
Some hanka rope you're havin' there, laddie.	Some hanka rope you're havin' there, laddie.
I was going to tie you up.	I was going to tie you up.
Ah, couldn't be lettin' ye do that, now. Nope, nope.	Ah, couldn't be lettin' ye do that, now. Nope, nope.
'Ay, I'm-a notta herd o' cattle! You should be usin' that lasso somewheres else, lad.	'Ay, I'm-a notta herd o' cattle! You should be usin' that lasso somewheres else, lad.
I'm-a no needin' that, Freddy! I'm-a sterilizin' my water wi' whisky!	I'm-a no needin' that, Freddy! I'm-a sterilizin' my water wi' whisky!
'Ay, now, we traded fair 'n square! I love-a doze French Postcards, I'm-a keepin' 'em! You keep-a da laughing gas! Feh!	'Ay, now, we traded fair 'n square! I love-a doze French Postcards, I'm-a keepin' 'em! You keep-a da laughing gas! Feh!
Some pile o' baking soda you've got there, lad! Atsa real nize!	Some pile o' baking soda you've got there, lad! Atsa real nize!
You hand Salvatore your French Postcards.	You hand Salvatore your French Postcards.
Your customers may not be able to read, Salvatore, but I bet they would enjoy looking at pictures!	Your customers may not be able to read, Salvatore, but I bet they would enjoy looking at pictures!
