A child's slate sits rests on a nearby desk.	A child's slate sits rests on a nearby desk.
It's a ball of some sort, with strange markings all over it. At first, you think it's supposed to be the Earth, but the Earth is very slightly egg-shaped, so that obviously isn't it. Anyway, you scarcely have time to worry about it right now.	It's a ball of some sort, with strange markings all over it. At first, you think it's supposed to be the Earth, but the Earth is very slightly egg-shaped, so that obviously isn't it. Anyway, you scarcely have time to worry about it right now.
You can't reach the strange orb!	You can't reach the strange orb!
It looks like somebody's taken a bite out of McGruff's Reader!	It looks like somebody's taken a bite out of McGruff's Reader!
This is neither the time nor the place to brush up on your phonics. Well, okay, it's the |c0|place,|c| but it isn't the |c0|time.|c|	This is neither the time nor the place to brush up on your phonics. Well, okay, it's the |c0|place,|c| but it isn't the |c0|time.|c|
Textbooks and classics of literature sit on this shelf.	Textbooks and classics of literature sit on this shelf.
This is no time to be reading the classics! You'd be bored silly!	This is no time to be reading the classics! You'd be bored silly!
You fool, you've deliberately tried to ruin all my plans. I just wanted you to know I don't regret what I'm about to do. Say Hi-yo, Silver!	You fool, you've deliberately tried to ruin all my plans. I just wanted you to know I don't regret what I'm about to do. Say Hi-yo, Silver!
"Hi-yo, Silver?"	"Hi-yo, Silver?"
Ignoring Penelope turns out to be a bad idea. She decides you have inadequate ventilation.	Ignoring Penelope turns out to be a bad idea. She decides you have inadequate ventilation.
FREDDY! You?!	FREDDY! You?!
Yes, it's me.	Yes, it's me.
Yes, it is |c2|I|c|.	Yes, it is |c2|I|c|.
Boy, you can take the wicked villainous hoodwinking double- crossing lying slut out of the schoolteacher, but you can't take the schoolteacher out of the wicked villainous hoodwinking double- crossing lying slut!	Boy, you can take the wicked villainous hoodwinking double- crossing lying slut out of the schoolteacher, but you can't take the schoolteacher out of the wicked villainous hoodwinking double- crossing lying slut!
I suppose I may as well tell you, you know too much already. I'll never be able to let you live. I had just finished my education back in western Pennsylvania at the local Meadville Normal School when I saw a small ad on the school bulletin board seeking teachers for a "lovely little village, way out West, nestled high in the Sierra Nevada mountains."	I suppose I may as well tell you, you know too much already. I'll never be able to let you live. I had just finished my education back in western Pennsylvania at the local Meadville Normal School when I saw a small ad on the school bulletin board seeking teachers for a "lovely little village, way out West, nestled high in the Sierra Nevada mountains."
I wrote a letter of inquiry and was offered the position by the Coarsegold Board of Education. They even sent me stagecoach fare! Soon after my arrival (which you saw in the Prologue, I believe), I noticed the oily swamp behind the schoolhouse. Being a good Pennsylvania oil country girl, I grasped immediately that Coarsegold was literally oozing money!	I wrote a letter of inquiry and was offered the position by the Coarsegold Board of Education. They even sent me stagecoach fare! Soon after my arrival (which you saw in the Prologue, I believe), I noticed the oily swamp behind the schoolhouse. Being a good Pennsylvania oil country girl, I grasped immediately that Coarsegold was literally oozing money!
But I could never afford to buy mineral rights on the meager pittance they pay a single unwed female teacher, so I made a little arrangement with Mr. Balance. He foreclosed whichever mortgages he could, and convinced Sheriff Shift to shut down everyone else. Balance would get the land and buildings for a song and give me the mineral rights |c2|I|c| wanted, as long as I gave him what |c2|he|c| wanted!	But I could never afford to buy mineral rights on the meager pittance they pay a single unwed female teacher, so I made a little arrangement with Mr. Balance. He foreclosed whichever mortgages he could, and convinced Sheriff Shift to shut down everyone else. Balance would get the land and buildings for a song and give me the mineral rights |c2|I|c| wanted, as long as I gave him what |c2|he|c| wanted!
But Penelope! You seemed to be such a sweet, innocent young woman. How could you be such a SLEAZEBAG?	But Penelope! You seemed to be such a sweet, innocent young woman. How could you be such a SLEAZEBAG?
Before I kill you, Mr. Gunslingin' Stranger Hero-type, let's find out who you REALLY are behind that silver ear!	Before I kill you, Mr. Gunslingin' Stranger Hero-type, let's find out who you REALLY are behind that silver ear!
It HAD to be me, Freddy. Don't you see? It's ALWAYS the person you LEAST SUSPECT.	It HAD to be me, Freddy. Don't you see? It's ALWAYS the person you LEAST SUSPECT.
I didn't suspect Srini. Couldn't it be him?	I didn't suspect Srini. Couldn't it be him?
It's a little late for that now.	It's a little late for that now.
Wait! I REALLY didn't suspect ME!	Wait! I REALLY didn't suspect ME!
Well, if it's YOU, then I'm doing the town a favor by disposing of you, aren't I? (SNICKER)	Well, if it's YOU, then I'm doing the town a favor by disposing of you, aren't I? (SNICKER)
Penelope eyes the lantern sitting on the newel post.	Penelope eyes the lantern sitting on the newel post.
Oops! How clumsy of me!	Oops! How clumsy of me!
Oh, well. Coarsegold won't be needing a schoolhouse anyway!	Oh, well. Coarsegold won't be needing a schoolhouse anyway!
Wait! There were a lot of other people I didn't suspect!	Wait! There were a lot of other people I didn't suspect!
It's a kerosene lantern, way up out of reach.	It's a kerosene lantern, way up out of reach.
You are deluding yourself in a big way.	You are deluding yourself in a big way.
It appears to be a harlequin doll, his eyes glaring at you in the flickering firelight, his mocking grin making you feel all oogy inside.	It appears to be a harlequin doll, his eyes glaring at you in the flickering firelight, his mocking grin making you feel all oogy inside.
From here? You must be thinking of that other Al Lowe game, |c3|"Plastic Man, Frontier Pharmacist"|c|.	From here? You must be thinking of that other Al Lowe game, |c3|"Plastic Man, Frontier Pharmacist"|c|.
This old pitcher is decorated with images of elder statesmen.	This old pitcher is decorated with images of elder statesmen.
Dream on! And if you don't find a way out of this predicament quickly, you |c0|will|c| be dreaming on and on and on and on....	Dream on! And if you don't find a way out of this predicament quickly, you |c0|will|c| be dreaming on and on and on and on....
It's a little brown jug.	It's a little brown jug.
Oh, sure, let's pour a little moonshine on the burning oil and see if |c0|that|c| helps. Anyway, you can't reach it from here.	Oh, sure, let's pour a little moonshine on the burning oil and see if |c0|that|c| helps. Anyway, you can't reach it from here.
This decorative toy chest is old and worthless.	This decorative toy chest is old and worthless.
Yes, crawling through the puddle of oil to get to the toy chest seems like a smashingly good idea, doesn't it? Think again, Brainiac!	Yes, crawling through the puddle of oil to get to the toy chest seems like a smashingly good idea, doesn't it? Think again, Brainiac!
An old barrel of some sort stands far out of reach in the corner of the room.	An old barrel of some sort stands far out of reach in the corner of the room.
Try looking at it and reading the words very carefully.	Try looking at it and reading the words very carefully.
There are a lot of books stacked up in the corner. You'd like to read some of the clever titles, but they're too far away. From here, though, they do look very flammable.	There are a lot of books stacked up in the corner. You'd like to read some of the clever titles, but they're too far away. From here, though, they do look very flammable.
You may be an intellectual, Freddy, at least compared to most of the other mokses in this town, but you do choose the |c2|darndest|c| times to try to catch up on your reading!	You may be an intellectual, Freddy, at least compared to most of the other mokses in this town, but you do choose the |c2|darndest|c| times to try to catch up on your reading!
A rolled-up chart or map of some sort stands in the corner of the basement.	A rolled-up chart or map of some sort stands in the corner of the basement.
Your instinct for survival tells your natural curiosity to shut up about the map and start concentrating on getting |c0|outta here!!!!|c|	Your instinct for survival tells your natural curiosity to shut up about the map and start concentrating on getting |c0|outta here!!!!|c|
There's a child's toy drum on the shelf.	There's a child's toy drum on the shelf.
What were you going to do, bang the drum slowly?	What were you going to do, bang the drum slowly?
Some jars sit on the top shelf of the bookcase over yonder.	Some jars sit on the top shelf of the bookcase over yonder.
The jars are far out of reach.	The jars are far out of reach.
There's a tall set of bookshelves jammed in the corner.	There's a tall set of bookshelves jammed in the corner.
You can't even hope to reach those shelves.	You can't even hope to reach those shelves.
There's a small bookshelf set in the wall near the stairs.	There's a small bookshelf set in the wall near the stairs.
Hey, that's school property, leave it alone.	Hey, that's school property, leave it alone.
It's the dank little schoolhouse basement. The walls and columns are made of rough brick; the stone floor is dirty and uneven.	It's the dank little schoolhouse basement. The walls and columns are made of rough brick; the stone floor is dirty and uneven.
You've got VASTLY more important things to do than to chat with the scenery!	You've got VASTLY more important things to do than to chat with the scenery!
There are no trap doors, no hidden exits, nothing whatsoever that would help you.	There are no trap doors, no hidden exits, nothing whatsoever that would help you.
Stairs leading up to the schoolroom. And they're looking mighty attractive right about now.	Stairs leading up to the schoolroom. And they're looking mighty attractive right about now.
You'd never be able to drag your chair up those steps... at least, not in time to avoid being incinerated first!	You'd never be able to drag your chair up those steps... at least, not in time to avoid being incinerated first!
Some old crates are piled up here.	Some old crates are piled up here.
Even if you could get over to them, you wouldn't have the leverage to break them open.	Even if you could get over to them, you wouldn't have the leverage to break them open.
A decrepit piano sits under the stairwell.	A decrepit piano sits under the stairwell.
Of course! You'll |c0|play|c| your way out of here with a few old family favorites! Wait, that logic seems somehow flawed.	Of course! You'll |c0|play|c| your way out of here with a few old family favorites! Wait, that logic seems somehow flawed.
A large stone column, topped with wooden beams, dominates the room.	A large stone column, topped with wooden beams, dominates the room.
The column ain't goin' nowhere. In the position you're in, you can't even get a grip on it.	The column ain't goin' nowhere. In the position you're in, you can't even get a grip on it.
You'd never be able to shimmy over to it in time!	You'd never be able to shimmy over to it in time!
A few old schoolroom desks have been piled haphazardly on the far side of the column.	A few old schoolroom desks have been piled haphazardly on the far side of the column.
They're way 'round back of the column, where you can't get at them.	They're way 'round back of the column, where you can't get at them.
Some books have been stacked at the base of the column.	Some books have been stacked at the base of the column.
Yeah, right, you'll slice your way out of these ropes with the book binding, then you'll dash upstairs and give Penelope a fatal paper cut.	Yeah, right, you'll slice your way out of these ropes with the book binding, then you'll dash upstairs and give Penelope a fatal paper cut.
A large crate and a smaller one sit at the base of the column.	A large crate and a smaller one sit at the base of the column.
They're around the corner, where you can't get at them.	They're around the corner, where you can't get at them.
A few dusty schoolroom charts lean against the large crate.	A few dusty schoolroom charts lean against the large crate.
Those charts will do you no good whatsoever. They're years out of date!	Those charts will do you no good whatsoever. They're years out of date!
Looks like the oily swamp water has seeped into the basement. Wait! That's not swamp water. That must be |c0|oil|c|!! It's what Penelope was after all along... Coarsegold was sitting on a rich oil deposit, and you never even realized it!	Looks like the oily swamp water has seeped into the basement. Wait! That's not swamp water. That must be |c0|oil|c|!! It's what Penelope was after all along... Coarsegold was sitting on a rich oil deposit, and you never even realized it!
Maybe you should be finding a way to avoid the oil as much as possible, rather than trying to splash about in it.	Maybe you should be finding a way to avoid the oil as much as possible, rather than trying to splash about in it.
It's your silver ear. Your cover's blown now!	It's your silver ear. Your cover's blown now!
You can't reach it from the chair, Freddy!	You can't reach it from the chair, Freddy!
You "scooch" the chair closer and closer to your precious silver ear... and just manage to snag it!	You "scooch" the chair closer and closer to your precious silver ear... and just manage to snag it!
The basement floor is bare rock. Well, it WOULD be bare if it weren't so dirty.	The basement floor is bare rock. Well, it WOULD be bare if it weren't so dirty.
The ground feels like solid rock with a layer of dust on top.	The ground feels like solid rock with a layer of dust on top.
Smart thinking! You frantically give the silver ear a few quick rubs on the stone floor.	Smart thinking! You frantically give the silver ear a few quick rubs on the stone floor.
You manage to slice into the ropes with the sharpened silver ear!	You manage to slice into the ropes with the sharpened silver ear!
Him again! It's Kenny the Kid, your arch-nemesis from your gunslinging days. He stares at you murderously, with glassy eyes and icewater in his veins. Or maybe he's got icewater in his eyes and glass in his veins? No, wait! He's got veins in his eyes and icewater in a glass! That's it!	Him again! It's Kenny the Kid, your arch-nemesis from your gunslinging days. He stares at you murderously, with glassy eyes and icewater in his veins. Or maybe he's got icewater in his eyes and glass in his veins? No, wait! He's got veins in his eyes and icewater in a glass! That's it!
Kenny, we're not kids anymore. We're grown up. We're both adults. Let's settle this reasonably.	Kenny, we're not kids anymore. We're grown up. We're both adults. Let's settle this reasonably.
I don't wanna. You can't make me. You're not the boss of me!	I don't wanna. You can't make me. You're not the boss of me!
I take back what I said about us both being adults.	I take back what I said about us both being adults.
Oh, yeah? Well, I'm rubber, you're glue. Everything you say bounces off me and sticks to you!	Oh, yeah? Well, I'm rubber, you're glue. Everything you say bounces off me and sticks to you!
If you touch Kenny, you'll have to turn your back on Penelope, and she'll stab you through the heart. Then again, if you ignore Kenny, he'll surely put a bullet through your heart. This situation basically sucks.	If you touch Kenny, you'll have to turn your back on Penelope, and she'll stab you through the heart. Then again, if you ignore Kenny, he'll surely put a bullet through your heart. This situation basically sucks.
Unfortunately, you're using the sword to keep Penelope at bay. You'll have to find some other way to deal with Kenny!	Unfortunately, you're using the sword to keep Penelope at bay. You'll have to find some other way to deal with Kenny!
Penelope, can't we talk this out like civilized people?	Penelope, can't we talk this out like civilized people?
Talk all you like. I'm fencing.	Talk all you like. I'm fencing.
Oh, my gosh! First you plot to destroy Coarsegold, then you sell stolen property? The shame of it all!	Oh, my gosh! First you plot to destroy Coarsegold, then you sell stolen property? The shame of it all!
Not THAT kind of fencing, you fool! SWORD fencing!	Not THAT kind of fencing, you fool! SWORD fencing!
Oh, okay! Now I got it!	Oh, okay! Now I got it!
There's no way you'll be able to grab her before she turns you into Fred-Ka-Bobs!	There's no way you'll be able to grab her before she turns you into Fred-Ka-Bobs!
There's a better deadly weapon for dealing with her! Actually, there's TWO, but this game is rated PG!	There's a better deadly weapon for dealing with her! Actually, there's TWO, but this game is rated PG!
Justice will be done, madam!	Justice will be done, madam!
Damn! I knew I shouldn't have wasted my time packing those student folders! I shall allow you to choose the manner of your demise.	Damn! I knew I shouldn't have wasted my time packing those student folders! I shall allow you to choose the manner of your demise.
Sorry, you took too long to decide.	Sorry, you took too long to decide.
Penelope grabs one of the swords off the Civil War display above the blackboard.	Penelope grabs one of the swords off the Civil War display above the blackboard.
Curses! You've foiled me!	Curses! You've foiled me!
It's not a foil, it's a sabre. A foil is straight and has two sharp edges, unless it's the smaller French foil which is dull and is used chiefly for thrusting. A sabre, like this one, is curved and has one sharp edge. As a teacher and a member of the fencing team, you of all people should have known THAT!	It's not a foil, it's a sabre. A foil is straight and has two sharp edges, unless it's the smaller French foil which is dull and is used chiefly for thrusting. A sabre, like this one, is curved and has one sharp edge. As a teacher and a member of the fencing team, you of all people should have known THAT!
Oh, no... foiled, defeated AND corrected! Now I REALLY feel bad.	Oh, no... foiled, defeated AND corrected! Now I REALLY feel bad.
And thank god for my high school intramural sports program! Otherwise, I'd be fettucine al Freddy by now!	And thank god for my high school intramural sports program! Otherwise, I'd be fettucine al Freddy by now!
Did I forget to mention downstairs that Meadville Normal had the nation's first female fencing team?	Did I forget to mention downstairs that Meadville Normal had the nation's first female fencing team?
Why, it's you! I recognize you now! From the old neighborhood. Freddy something!	Why, it's you! I recognize you now! From the old neighborhood. Freddy something!
Good to see you again, Kenny. I hope I didn't hurt your hand out there in the street.	Good to see you again, Kenny. I hope I didn't hurt your hand out there in the street.
Whoa! That was you, out there? I didn't recognize you. Have you done something with your hair?	Whoa! That was you, out there? I didn't recognize you. Have you done something with your hair?
It's funny, Pharkas! I thought I killed your sorry ass back in St. Louis!	It's funny, Pharkas! I thought I killed your sorry ass back in St. Louis!
No, not my hair, Kenny, but THIS!	No, not my hair, Kenny, but THIS!
Hurling your sharpened ear like a Chinese throwing star, you whip it at Kenny, catching him right in the throat!	Hurling your sharpened ear like a Chinese throwing star, you whip it at Kenny, catching him right in the throat!
Freddy Pharrrrggggghhhhh!!	Freddy Pharrrrggggghhhhh!!
One of the two Civil War Swords is still above the blackboard.	One of the two Civil War Swords is still above the blackboard.
