That would probably do something, but nothing you need to do now.	That would probably do something, but nothing you need to do now.
(JUBILANTLY) A "kiddie-pult!"	(JUBILANTLY) A "kiddie-pult!"
If you're looking for a sign, maybe you should play one of those Bible Trivia games.	If you're looking for a sign, maybe you should play one of those Bible Trivia games.
This is your personal mail. I am not reading it now or ever!	This is your personal mail. I am not reading it now or ever!
You can't find a good spot to dig here.	You can't find a good spot to dig here.
Oops, sorry, I forgot you were in here. You going to be long?	Oops, sorry, I forgot you were in here. You going to be long?
A short strong metal pole projects from the roof of the water tank.	A short strong metal pole projects from the roof of the water tank.
Figuring that you were the topic of the Sheriff's plotting, you have an irresistible urge to knock his block off. But the TRULY amazing thing is how you manage to RESIST that urge!	Figuring that you were the topic of the Sheriff's plotting, you have an irresistible urge to knock his block off. But the TRULY amazing thing is how you manage to RESIST that urge!
You won't need any plush red velvet chairs in your quest for truth, justice, liberty, and a good time.	You won't need any plush red velvet chairs in your quest for truth, justice, liberty, and a good time.
It ain't goin' nowhere.	It ain't goin' nowhere.
You won't need that one.	You won't need that one.
I'm afraid this isn't good news, Frederick. This prescription you filled for me?	I'm afraid this isn't good news, Frederick. This prescription you filled for me?
Now now, Freddy Pharkas! Normally I'd love to oblige, but I'm off-duty right now. Feel free to drop by tonight, though!	Now now, Freddy Pharkas! Normally I'd love to oblige, but I'm off-duty right now. Feel free to drop by tonight, though!
Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can eat of it. But I love us for our differences.	Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can eat of it. But I love us for our differences.
Some buxom lady's portrait. Notice how the painting seems to follow you around the room? And I don't mean her eyes!	Some buxom lady's portrait. Notice how the painting seems to follow you around the room? And I don't mean her eyes!
Graduated Cylinder	Graduated Cylinder
Gaseous Spectroscope	Gaseous Spectroscope
Sal, all hell has broken loose.	Sal, all hell has broken loose.
You aim the pistol at Salvatore.	You aim the pistol at Salvatore.
You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"	You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"
Welp, bring it back when it's full, and we'll get stinkin'!	Welp, bring it back when it's full, and we'll get stinkin'!
These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.	These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.
You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!	You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!
I'm not talking to you right now. I'm ashamed to be your Mom. Now you just turn right around and go outside and THINK about what you've done for awhile. You can come back in here when you decide to behave like a human being again.	I'm not talking to you right now. I'm ashamed to be your Mom. Now you just turn right around and go outside and THINK about what you've done for awhile. You can come back in here when you decide to behave like a human being again.
Steal it? Don't be silly. It's mine!	Steal it? Don't be silly. It's mine!
Mom's kitchen is spotlessly clean and efficiently-run.	Mom's kitchen is spotlessly clean and efficiently-run.
Certainly, yes, I understand.	Certainly, yes, I understand.
Worsh yet!	Worsh yet!
You bet your ash I'm right. Now take it away from me, whatever it is.	You bet your ash I'm right. Now take it away from me, whatever it is.
We're open 24 hours a day, Fred. I never go outside. Besides, the sun dries out my beautiful skin.	We're open 24 hours a day, Fred. I never go outside. Besides, the sun dries out my beautiful skin.
Hey, Sam! Gimme a case of the beer you just got in from St. Louis!	Hey, Sam! Gimme a case of the beer you just got in from St. Louis!
Sorry. Never mind, then.	Sorry. Never mind, then.
You'd shoot poor ol' Muff? Shame, shame!	You'd shoot poor ol' Muff? Shame, shame!
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.
What was that? What did you say?	What was that? What did you say?
You can't reach it; it's on the wrong side of the gate.	You can't reach it; it's on the wrong side of the gate.
But the town will be gassed to death by then! We've got to take action NOW!	But the town will be gassed to death by then! We've got to take action NOW!
Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?	Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?
My, my! Whut a purty hanky you got there!	My, my! Whut a purty hanky you got there!
Ah'm not done drinkin' it yit, Pharquar!	Ah'm not done drinkin' it yit, Pharquar!
Yes, it is |c2|I|c|.	Yes, it is |c2|I|c|.
Sorry, you took too long to decide.	Sorry, you took too long to decide.
Vana Baker	Vana Baker
What? Why?	What? Why?
